sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
104222.35700000,6657292856.04050200,20062184.00000000,2026-07-28 20:00:00
103990.92600000,6644067001.01817200,20062184.00000000,2026-07-28 21:00:00
103793.86300000,6637773229.64450000,20062184.00000000,2026-07-28 22:00:00
103812.81100000,6618691181.94918400,20062184.00000000,2026-07-28 23:00:00
103253.29700000,6598257390.16920000,20062184.00000000,2026-07-29 00:00:00
103123.39900000,6593029517.62660000,20062184.00000000,2026-07-29 01:00:00
103076.09500000,6564133112.22800000,20062184.00000000,2026-07-29 02:00:00
103125.33200000,6595267170.19480000,20062581.00000000,2026-07-29 03:00:00
103396.90500000,6588957431.43450000,20062581.00000000,2026-07-29 04:00:00
103840.53000000,6640806381.83960500,20062581.00000000,2026-07-29 05:00:00
104094.50900000,6666774466.70860000,20062581.00000000,2026-07-29 06:00:00
104539.99500000,6733191089.96100000,20062581.00000000,2026-07-29 07:00:00
104592.59400000,6749772150.77651000,20062581.00000000,2026-07-29 08:00:00
104254.49400000,6713071974.05280000,20062581.00000000,2026-07-29 09:00:00
103457.32900000,6689763858.55264950,20062581.00000000,2026-07-29 10:00:00
103709.42000000,6683304669.29200000,20062581.00000000,2026-07-29 11:00:00
103439.36600000,6669923117.61272200,20062581.00000000,2026-07-29 12:00:00
103361.06900000,6640928125.63261700,20062581.00000000,2026-07-29 13:00:00
102887.95800000,6650489499.09239500,20062581.00000000,2026-07-29 14:00:00
102430.33100000,6563940471.14200000,20062581.00000000,2026-07-29 15:00:00
102099.88500000,6529307841.55138800,20062581.00000000,2026-07-29 16:00:00
102755.23300000,6554845272.60428600,20062581.00000000,2026-07-29 17:00:00
102764.97200000,6602876186.27297200,20062581.00000000,2026-07-29 18:00:00
103198.27000000,6653058309.14900000,20062581.00000000,2026-07-29 19:00:00
102697.99900000,6530288471.81270000,20062581.00000000,2026-07-29 20:00:00
102775.19000000,6525657642.15675200,20062581.00000000,2026-07-29 21:00:00
103144.94000000,6582875102.70400000,20062581.00000000,2026-07-29 22:00:00
103963.83700000,6645046173.14530000,20062581.00000000,2026-07-29 23:00:00
104348.71000000,6674049577.76100000,20062581.00000000,2026-07-30 00:00:00
105168.89900000,6695041593.45010000,20062581.00000000,2026-07-30 01:00:00
104960.58500000,6743213775.44200000,20062581.00000000,2026-07-30 02:00:00
104857.38200000,6728659860.09030000,20063006.00000000,2026-07-30 03:00:00
104766.68300000,6719106447.52200000,20063006.00000000,2026-07-30 04:00:00
104680.67700000,6699416775.05220000,20063006.00000000,2026-07-30 05:00:00
104746.13500000,6705177187.43600000,20063006.00000000,2026-07-30 06:00:00
104829.44800000,6706422004.02080000,20063006.00000000,2026-07-30 07:00:00
104724.34600000,6700671115.98500900,20063006.00000000,2026-07-30 08:00:00
105048.75300000,6752586547.62617800,20063006.00000000,2026-07-30 09:00:00
105558.96700000,6813831319.85000000,20063006.00000000,2026-07-30 10:00:00
106094.08800000,6848460655.08792900,20063006.00000000,2026-07-30 11:00:00
106429.24500000,6892560121.76550000,20063006.00000000,2026-07-30 12:00:00
106886.92800000,6936513995.58921500,20063006.00000000,2026-07-30 13:00:00
106657.93100000,6932317551.68980000,20063006.00000000,2026-07-30 14:00:00
106661.13900000,6895821880.39409000,20063006.00000000,2026-07-30 15:00:00
106423.13000000,6885380483.45025000,20063006.00000000,2026-07-30 16:00:00
106461.22000000,6897515982.58000000,20063006.00000000,2026-07-30 17:00:00
106519.93200000,6907008038.71680000,20063006.00000000,2026-07-30 18:00:00
106532.70800000,6890100213.70445900,20063006.00000000,2026-07-30 19:00:00
106444.98600000,6895035457.87060100,20063006.00000000,2026-07-30 20:00:00
106457.72400000,6893137629.00000000,20063006.00000000,2026-07-30 21:00:00
106419.43700000,6886029300.24050000,20063006.00000000,2026-07-30 22:00:00
106568.19800000,6908922844.53800000,20063006.00000000,2026-07-30 23:00:00
106595.93600000,6902141264.72856600,20063006.00000000,2026-07-31 00:00:00
106634.12800000,6899326476.30940150,20063006.00000000,2026-07-31 01:00:00
105090.92500000,6782248730.12877200,20063006.00000000,2026-07-31 02:00:00
105125.64400000,6756624878.60360000,20063506.00000000,2026-07-31 03:00:00
104948.68200000,6752888902.62666600,20063506.00000000,2026-07-31 04:00:00
105431.13900000,6777345523.11842200,20063506.00000000,2026-07-31 05:00:00
105440.76600000,6783468416.15040000,20063506.00000000,2026-07-31 06:00:00
105620.47900000,6781795898.15890000,20063506.00000000,2026-07-31 07:00:00
105386.51100000,6735559721.46129700,20063506.00000000,2026-07-31 08:00:00
105486.07600000,6730022197.40760000,20063506.00000000,2026-07-31 09:00:00
105637.18400000,6727937175.49440000,20063506.00000000,2026-07-31 10:00:00
105570.37600000,6744479598.17360000,20063506.00000000,2026-07-31 11:00:00
105468.74000000,6726731131.65265750,20063506.00000000,2026-07-31 12:00:00
105771.73400000,6740557601.31160000,20063506.00000000,2026-07-31 13:00:00
106096.47000000,6711117491.54929700,20063506.00000000,2026-07-31 14:00:00
109516.37500000,6863183140.13750000,20063506.00000000,2026-07-31 15:00:00
110358.75800000,6919132005.92731400,20063506.00000000,2026-07-31 16:00:00
111046.10200000,6979541816.16747400,20063506.00000000,2026-07-31 17:00:00
110677.06200000,6996516880.56720000,20063506.00000000,2026-07-31 18:00:00
110047.14800000,6940367699.06273400,20063506.00000000,2026-07-31 19:00:00
109940.68600000,6919270990.37040000,20063506.00000000,2026-07-31 20:00:00
109535.46400000,6892913399.87040000,20063506.00000000,2026-07-31 21:00:00
109377.10700000,6882521644.84290000,20063506.00000000,2026-07-31 22:00:00
109608.15700000,6896645127.21315100,20063506.00000000,2026-07-31 23:00:00
109523.58900000,6884630899.82220000,20063506.00000000,2026-08-01 00:00:00
109470.59100000,6886729197.45540000,20063506.00000000,2026-08-01 01:00:00
109387.97700000,6885612171.82590000,20063506.00000000,2026-08-01 02:00:00
109156.55000000,6881316237.24000000,20063981.00000000,2026-08-01 03:00:00
109068.19200000,6868438509.36960000,20063981.00000000,2026-08-01 04:00:00
109081.67200000,6880688275.82028200,20063981.00000000,2026-08-01 05:00:00
109214.12400000,6880467969.17520000,20063981.00000000,2026-08-01 06:00:00
109203.50500000,6885299486.79131800,20063981.00000000,2026-08-01 07:00:00
109076.82500000,6873977880.77000000,20063981.00000000,2026-08-01 08:00:00
109049.57600000,6881015108.28743900,20063981.00000000,2026-08-01 09:00:00
109009.77700000,6869937859.25010000,20063981.00000000,2026-08-01 10:00:00
109004.13900000,6870029462.13060000,20063981.00000000,2026-08-01 11:00:00
108968.75900000,6870130578.15030700,20063981.00000000,2026-08-01 12:00:00
108927.62300000,6870030033.48188100,20063981.00000000,2026-08-01 13:00:00
108827.40500000,6859962281.99206900,20063981.00000000,2026-08-01 14:00:00
108904.88900000,6871637280.42095700,20063981.00000000,2026-08-01 15:00:00
108892.01200000,6857626904.51680000,20063981.00000000,2026-08-01 16:00:00
109095.92100000,6862597340.74929000,20063981.00000000,2026-08-01 17:00:00
109120.64200000,6840129235.19220000,20063981.00000000,2026-08-01 18:00:00
107994.07900000,6755310426.05540000,20063981.00000000,2026-08-01 19:00:00
108337.53700000,6771327698.35950200,20063981.00000000,2026-08-01 20:00:00
108435.29200000,6791508365.01480000,20063981.00000000,2026-08-01 21:00:00
108332.01700000,6802120071.49486300,20063981.00000000,2026-08-01 22:00:00
108466.75400000,6811798439.18627500,20063981.00000000,2026-08-01 23:00:00
108516.03000000,6813971110.56900000,20063981.00000000,2026-08-02 00:00:00
108528.00800000,6816372862.46000000,20063981.00000000,2026-08-02 01:00:00
108658.73400000,6841251685.50060000,20063981.00000000,2026-08-02 02:00:00
108976.83300000,6911899223.75820000,20064465.00000000,2026-08-02 03:00:00
109051.30900000,6917969645.11560600,20064465.00000000,2026-08-02 04:00:00
108882.01400000,6920779368.75497300,20064465.00000000,2026-08-02 05:00:00
109090.88300000,6919548486.82116700,20064465.00000000,2026-08-02 06:00:00
109127.42300000,6925226263.58000000,20064465.00000000,2026-08-02 07:00:00
109027.05200000,6919739839.04120000,20064465.00000000,2026-08-02 08:00:00
109030.83100000,6887643898.68033500,20064465.00000000,2026-08-02 09:00:00
109079.14800000,6899255473.12368600,20064465.00000000,2026-08-02 10:00:00
109125.48000000,6894176799.76800000,20064465.00000000,2026-08-02 11:00:00
109026.20500000,6869451556.04710700,20064465.00000000,2026-08-02 12:00:00
108833.19300000,6867080628.67890000,20064465.00000000,2026-08-02 13:00:00
108808.69800000,6865304636.28253700,20064465.00000000,2026-08-02 14:00:00
108827.90900000,6860800452.36748700,20064465.00000000,2026-08-02 15:00:00
108836.51600000,6865570684.05400000,20064465.00000000,2026-08-02 16:00:00
109004.77900000,6885435156.26857950,20064465.00000000,2026-08-02 17:00:00
109128.64800000,6906214304.82189000,20064465.00000000,2026-08-02 18:00:00
109166.09900000,6917233446.86570000,20064465.00000000,2026-08-02 19:00:00
109230.03700000,6928798581.71650000,20064465.00000000,2026-08-02 20:00:00
109167.73900000,6929673318.82470000,20064465.00000000,2026-08-02 21:00:00
109267.25800000,6945015991.75420000,20064465.00000000,2026-08-02 22:00:00
109051.75400000,6913674005.26740000,20064465.00000000,2026-08-02 23:00:00
109126.55900000,6934992824.45000000,20064465.00000000,2026-08-03 00:00:00
109164.01200000,6909961879.18680000,20064465.00000000,2026-08-03 01:00:00
109298.24500000,6906403731.08430700,20064465.00000000,2026-08-03 02:00:00
109209.61500000,6894113023.63776100,20064946.00000000,2026-08-03 03:00:00
109079.18400000,6854987018.73460800,20064946.00000000,2026-08-03 04:00:00
109150.99900000,6850862452.23500000,20064946.00000000,2026-08-03 05:00:00
109419.27800000,6871519716.47220000,20064946.00000000,2026-08-03 06:00:00
109916.20800000,6880194048.13920000,20064946.00000000,2026-08-03 07:00:00
110483.56000000,6915276503.96000000,20064946.00000000,2026-08-03 08:00:00
111000.43900000,6938957138.43686000,20064946.00000000,2026-08-03 09:00:00
111107.41600000,6978719832.29036000,20064946.00000000,2026-08-03 10:00:00
111285.35600000,6978614726.35452300,20064946.00000000,2026-08-03 11:00:00
111625.00800000,6980380575.27360000,20064946.00000000,2026-08-03 12:00:00
111450.82900000,6984649274.26444400,20064946.00000000,2026-08-03 13:00:00
110888.40400000,7022723865.89833100,20064946.00000000,2026-08-03 14:00:00
109111.85400000,6976564562.54241600,20064946.00000000,2026-08-03 15:00:00
108899.06700000,6933046705.78951700,20064946.00000000,2026-08-03 16:00:00
108367.69700000,6907533633.56195900,20064946.00000000,2026-08-03 17:00:00
108530.97200000,6932437976.03143900,20064946.00000000,2026-08-03 18:00:00
108478.77400000,6924932002.75730500,20064946.00000000,2026-08-03 19:00:00
108479.99700000,6924868295.78097700,20064946.00000000,2026-08-03 20:00:00
108590.88200000,6923596514.61849700,20064946.00000000,2026-08-03 21:00:00
108534.32000000,6900359024.91152900,20064946.00000000,2026-08-03 22:00:00
108553.06800000,6902993440.07512900,20064946.00000000,2026-08-03 23:00:00
108556.03000000,6893003948.11600000,20064946.00000000,2026-08-04 00:00:00
108375.12100000,6863342225.36950000,20064946.00000000,2026-08-04 01:00:00
108371.68900000,6915915695.89423400,20064946.00000000,2026-08-04 02:00:00
109046.50400000,6957417762.15920000,20065409.00000000,2026-08-04 03:00:00
108968.05800000,6949174190.72278000,20065409.00000000,2026-08-04 04:00:00
109022.82000000,6978107202.57782500,20065409.00000000,2026-08-04 05:00:00
108901.56800000,6946580549.11360000,20065409.00000000,2026-08-04 06:00:00
108736.49600000,6921532668.60445700,20065409.00000000,2026-08-04 07:00:00
108763.68500000,6924592274.68400000,20065409.00000000,2026-08-04 08:00:00
109089.30200000,6933436379.95112000,20065409.00000000,2026-08-04 09:00:00
109046.03700000,6932712826.15412400,20065409.00000000,2026-08-04 10:00:00
108982.32100000,6946903680.43140000,20065409.00000000,2026-08-04 11:00:00
109101.38000000,6971589092.13800000,20065409.00000000,2026-08-04 12:00:00
109294.43400000,6981245152.64471150,20065409.00000000,2026-08-04 13:00:00
109031.26700000,6941322969.78120000,20065409.00000000,2026-08-04 14:00:00
109593.90300000,7024977851.22704400,20065409.00000000,2026-08-04 15:00:00
109690.37200000,7030608055.24996000,20065409.00000000,2026-08-04 16:00:00
109473.05500000,6998627571.34174200,20065409.00000000,2026-08-04 17:00:00
108745.34100000,6953334406.85547100,20065409.00000000,2026-08-04 18:00:00
109031.10100000,7007684386.71639800,20065409.00000000,2026-08-04 19:00:00
108997.61700000,6995706853.81740000,20065409.00000000,2026-08-04 20:00:00
108275.65000000,6963986457.29021900,20065409.00000000,2026-08-04 21:00:00
108391.63300000,6955286673.20065400,20065409.00000000,2026-08-04 22:00:00
108414.13100000,6964328602.50820800,20065409.00000000,2026-08-04 23:00:00
108225.65200000,6934623587.29120000,20065409.00000000,2026-08-05 00:00:00
107886.90000000,6901622091.21000000,20065409.00000000,2026-08-05 01:00:00
107963.58100000,6942738428.86030000,20065409.00000000,2026-08-05 02:00:00
108781.73900000,6999049721.78170000,20065865.00000000,2026-08-05 03:00:00
108064.61400000,6932025776.97686800,20065865.00000000,2026-08-05 04:00:00
107982.98000000,6926254049.79772000,20065865.00000000,2026-08-05 05:00:00
108248.84100000,6961491320.26592200,20065865.00000000,2026-08-05 06:00:00
108158.83300000,6946620024.14130000,20065865.00000000,2026-08-05 07:00:00
107742.93000000,6910739273.13000000,20065865.00000000,2026-08-05 08:00:00
107490.55300000,6889746732.25390000,20065865.00000000,2026-08-05 09:00:00
107361.03600000,6884794836.09000000,20065865.00000000,2026-08-05 10:00:00
106966.97000000,6849409162.72654500,20065865.00000000,2026-08-05 11:00:00
106844.09000000,6842797690.82300000,20065865.00000000,2026-08-05 12:00:00
107291.77600000,6899029241.37789800,20065865.00000000,2026-08-05 13:00:00
106772.39300000,6874743390.85170000,20065865.00000000,2026-08-05 14:00:00
107705.13700000,6941532465.71862000,20065865.00000000,2026-08-05 15:00:00
108990.13500000,7013896652.72250000,20065865.00000000,2026-08-05 16:00:00
109225.94300000,7059480225.38170000,20065865.00000000,2026-08-05 17:00:00
109273.22900000,7073980598.63723900,20065865.00000000,2026-08-05 18:00:00
108965.84200000,7057554137.57700000,20065865.00000000,2026-08-05 19:00:00
108761.70600000,7047884159.90103400,20065865.00000000,2026-08-05 20:00:00
107443.37500000,6962939323.11885400,20065865.00000000,2026-08-05 21:00:00
107350.67700000,6946673043.73770000,20065865.00000000,2026-08-05 22:00:00
107345.79900000,6935590604.23020000,20065865.00000000,2026-08-05 23:00:00
107104.83200000,6922603001.00480000,20065865.00000000,2026-08-06 00:00:00
107026.32400000,6915862386.51396200,20065865.00000000,2026-08-06 01:00:00
107013.54400000,6908834599.73524500,20065865.00000000,2026-08-06 02:00:00
106096.41500000,6848597855.74050000,20066309.00000000,2026-08-06 03:00:00
106094.15900000,6842889423.53654100,20066309.00000000,2026-08-06 04:00:00
105999.74600000,6858104157.79620100,20066309.00000000,2026-08-06 05:00:00
106333.55000000,6898878190.58000000,20066309.00000000,2026-08-06 06:00:00
106207.42300000,6885480336.80150000,20066309.00000000,2026-08-06 07:00:00
106710.17700000,6913688341.72380000,20066309.00000000,2026-08-06 08:00:00
106827.19300000,6934611219.07991100,20066309.00000000,2026-08-06 09:00:00
107094.88400000,6923587865.20440000,20066309.00000000,2026-08-06 10:00:00
106898.98200000,6904519728.19440000,20066309.00000000,2026-08-06 11:00:00
106917.51600000,6906051759.04162600,20066309.00000000,2026-08-06 12:00:00
106731.70000000,6872765002.83488750,20066309.00000000,2026-08-06 13:00:00
105806.00800000,6815001016.79309600,20066309.00000000,2026-08-06 14:00:00
106502.52500000,6896561863.36433900,20066309.00000000,2026-08-06 15:00:00
106529.35900000,6882244014.70780000,20066309.00000000,2026-08-06 16:00:00
106169.62500000,6872242179.53459200,20066309.00000000,2026-08-06 17:00:00
106105.31000000,6852970714.26450500,20066309.00000000,2026-08-06 18:00:00
105975.81700000,6823666283.23130000,20066309.00000000,2026-08-06 19:00:00
105709.96500000,6809170943.82700000,20066309.00000000,2026-08-06 20:00:00
105646.04800000,6804562567.07465100,20066309.00000000,2026-08-06 21:00:00
105412.01500000,6789795337.75975700,20066309.00000000,2026-08-06 22:00:00
105527.11200000,6787582082.25289400,20066309.00000000,2026-08-06 23:00:00
105767.52700000,6800841409.34730000,20066309.00000000,2026-08-07 00:00:00
105601.08100000,6789009016.62520000,20066309.00000000,2026-08-07 01:00:00
105614.93700000,6801052745.12760000,20066309.00000000,2026-08-07 02:00:00
105389.99000000,6783900961.30500000,20066309.00000000,2026-08-07 03:00:00
105334.63600000,6769225047.90400000,20066703.00000000,2026-08-07 04:00:00
105547.28400000,6778882804.50558200,20066703.00000000,2026-08-07 05:00:00
105475.47100000,6783697611.23674500,20066703.00000000,2026-08-07 06:00:00
105564.72000000,6785721314.54400000,20066703.00000000,2026-08-07 07:00:00
105202.81200000,6763551615.47863300,20066703.00000000,2026-08-07 08:00:00
104748.05900000,6764252557.20760000,20066703.00000000,2026-08-07 09:00:00
105225.45600000,6819597364.96803950,20066703.00000000,2026-08-07 10:00:00
105573.31300000,6848266323.69620000,20066703.00000000,2026-08-07 11:00:00
105862.41600000,6880925495.97588100,20066703.00000000,2026-08-07 12:00:00
106403.77800000,6943814788.87980000,20066703.00000000,2026-08-07 13:00:00
107517.21000000,6986984388.40800000,20066703.00000000,2026-08-07 14:00:00
107421.45100000,6974574033.36720000,20066703.00000000,2026-08-07 15:00:00
107882.30100000,6999986253.30540000,20066703.00000000,2026-08-07 16:00:00
107563.09500000,6968175962.57835000,20066703.00000000,2026-08-07 17:00:00
107354.16600000,6950322770.26868600,20066703.00000000,2026-08-07 18:00:00
107223.86400000,6938118329.64837200,20066703.00000000,2026-08-07 19:00:00
106899.74600000,6941068531.75824800,20066703.00000000,2026-08-07 20:00:00
106926.99800000,6944068523.56651800,20066703.00000000,2026-08-07 21:00:00
106891.51700000,6936746374.01840000,20066703.00000000,2026-08-07 22:00:00
106990.85000000,6939189043.87566600,20066703.00000000,2026-08-07 23:00:00
106954.61300000,6939798035.19870300,20066703.00000000,2026-08-08 00:00:00
106807.19700000,6930761736.20880000,20066703.00000000,2026-08-08 01:00:00
106761.72800000,6926790436.21690600,20066703.00000000,2026-08-08 02:00:00
106819.13600000,6931429643.55840000,20067196.00000000,2026-08-08 03:00:00
106932.34400000,6950748860.41124800,20067196.00000000,2026-08-08 04:00:00
107031.06800000,6954525703.14666800,20067196.00000000,2026-08-08 05:00:00
