sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
2321020.05300000,4333808642.96160000,120682508.54011048,2026-07-31 20:00:00
2313149.31200000,4306251285.19168000,120682508.54011048,2026-07-31 21:00:00
2312115.28200000,4303239599.39994000,120682508.54011048,2026-07-31 22:00:00
2314031.77500000,4305832795.62632600,120682508.54011048,2026-07-31 23:00:00
2312158.70600000,4304524462.05852700,120682508.54011048,2026-08-01 00:00:00
2312070.99900000,4309585652.66332000,120682508.54011048,2026-08-01 01:00:00
2314794.91200000,4319407305.79200000,120682508.54011048,2026-08-01 02:00:00
2315994.21000000,4325049707.34870000,120682333.68853992,2026-08-01 03:00:00
2321190.70800000,4338339045.53259000,120682333.68853992,2026-08-01 04:00:00
2320424.38400000,4336501905.79456000,120682333.68853992,2026-08-01 05:00:00
2318165.12600000,4327087024.19160000,120682333.68853992,2026-08-01 06:00:00
2321149.47500000,4340152313.79760550,120682333.68853992,2026-08-01 07:00:00
2321974.99900000,4339037817.02587500,120682333.68853992,2026-08-01 08:00:00
2319438.21900000,4333951690.31766200,120682333.68853992,2026-08-01 09:00:00
2322069.13900000,4334770486.99976800,120682333.68853992,2026-08-01 10:00:00
2311812.08100000,4314650477.37435000,120682333.68853992,2026-08-01 11:00:00
2309991.88700000,4310850094.61036600,120682333.68853992,2026-08-01 12:00:00
2311003.21900000,4317767611.62012300,120682333.68853992,2026-08-01 13:00:00
2312880.33700000,4321320018.32654200,120682333.68853992,2026-08-01 14:00:00
2318063.22700000,4344792267.63064000,120682333.68853992,2026-08-01 15:00:00
2318971.91200000,4334626538.91580200,120682333.68853992,2026-08-01 16:00:00
2316820.40800000,4327706836.29944800,120682333.68853992,2026-08-01 17:00:00
2321771.15800000,4321159927.15308400,120682333.68853992,2026-08-01 18:00:00
2256426.28900000,4142948657.73537350,120682333.68853992,2026-08-01 19:00:00
2265873.30000000,4161049728.12000000,120682333.68853992,2026-08-01 20:00:00
2274489.59100000,4179552439.16934730,120682333.68853992,2026-08-01 21:00:00
2267533.35000000,4183712407.41750000,120682333.68853992,2026-08-01 22:00:00
2265491.81100000,4183143506.57876870,120682333.68853992,2026-08-01 23:00:00
2271901.61400000,4189772799.49038000,120682333.68853992,2026-08-02 00:00:00
2273059.14400000,4195839873.90960000,120682333.68853992,2026-08-02 01:00:00
2278265.43000000,4229232528.53293000,120682333.68853992,2026-08-02 02:00:00
2284836.59800000,4286536244.77584000,120682264.52991799,2026-08-02 03:00:00
2286109.07400000,4290263791.73439800,120682264.52991799,2026-08-02 04:00:00
2295292.30700000,4316061604.47267800,120682264.52991799,2026-08-02 05:00:00
2298373.81400000,4310967827.96724000,120682264.52991799,2026-08-02 06:00:00
2298324.01400000,4313328424.37693100,120682264.52991799,2026-08-02 07:00:00
2299562.68000000,4312415885.05760000,120682264.52991799,2026-08-02 08:00:00
2302841.16000000,4300210440.12600000,120682264.52991799,2026-08-02 09:00:00
2300827.83400000,4303031223.42514000,120682264.52991799,2026-08-02 10:00:00
2303081.84100000,4301736200.56928300,120682264.52991799,2026-08-02 11:00:00
2276941.28000000,4216166629.35040000,120682264.52991799,2026-08-02 12:00:00
2282361.77800000,4236497108.70582000,120682264.52991799,2026-08-02 13:00:00
2280723.95500000,4228370983.61180000,120682264.52991799,2026-08-02 14:00:00
2284755.51000000,4235936715.54000000,120682264.52991799,2026-08-02 15:00:00
2284640.24400000,4244336106.09588000,120682264.52991799,2026-08-02 16:00:00
2285802.89900000,4257010745.01063000,120682264.52991799,2026-08-02 17:00:00
2290140.45400000,4277935446.82702640,120682264.52991799,2026-08-02 18:00:00
2286891.93600000,4288265413.79040000,120682264.52991799,2026-08-02 19:00:00
2306565.77000000,4339549774.02030000,120682264.52991799,2026-08-02 20:00:00
2308399.92900000,4346832486.30345000,120682264.52991799,2026-08-02 21:00:00
2304891.42800000,4355668576.06300000,120682264.52991799,2026-08-02 22:00:00
2295081.12200000,4317839713.70175900,120682264.52991799,2026-08-02 23:00:00
2296287.93600000,4327079060.83968000,120682264.52991799,2026-08-03 00:00:00
2298796.66400000,4306209000.44924500,120682264.52991799,2026-08-03 01:00:00
2308212.20500000,4308150431.11942900,120682264.52991799,2026-08-03 02:00:00
2306538.04500000,4298423051.18143400,120682253.84488137,2026-08-03 03:00:00
2302322.56900000,4273666904.21647070,120682253.84488137,2026-08-03 04:00:00
2311306.55300000,4285185462.32753000,120682253.84488137,2026-08-03 05:00:00
2322699.70500000,4317573573.63630000,120682253.84488137,2026-08-03 06:00:00
2326652.99200000,4299654729.21600000,120682253.84488137,2026-08-03 07:00:00
2339969.56500000,4312212622.63382500,120682253.84488137,2026-08-03 08:00:00
2349669.36700000,4321840853.49778000,120682253.84488137,2026-08-03 09:00:00
2361250.34300000,4372586997.67083000,120682253.84488137,2026-08-03 10:00:00
2351403.12400000,4339255810.99836000,120682253.84488137,2026-08-03 11:00:00
2360123.82400000,4340173307.38304000,120682253.84488137,2026-08-03 12:00:00
2370976.03900000,4369454772.77081300,120682253.84488137,2026-08-03 13:00:00
2369902.49700000,4405046162.05356100,120682253.84488137,2026-08-03 14:00:00
