sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
1167008.74800000,52340342.34780000,77444979.01938175,2026-07-31 20:00:00
1155306.12500000,51557665.21905623,77444979.01938175,2026-07-31 21:00:00
1153845.75300000,51496135.95639000,77444979.01938175,2026-07-31 22:00:00
1153740.69500000,51006876.12595000,77444979.01938175,2026-07-31 23:00:00
1156150.56300000,51194346.92964000,77444979.01938175,2026-08-01 00:00:00
1158812.88200000,51301577.87899210,77444979.01938175,2026-08-01 01:00:00
1161292.08600000,51382506.86421819,77444979.01938175,2026-08-01 02:00:00
1162678.05000000,51715919.66400000,77448272.77777624,2026-08-01 03:00:00
1163500.44500000,51857214.83365000,77448272.77777624,2026-08-01 04:00:00
1163483.47200000,52013756.75159919,77448272.77777624,2026-08-01 05:00:00
1164847.66400000,51743618.13904882,77448272.77777624,2026-08-01 06:00:00
1167342.44100000,52016779.17096000,77448272.77777624,2026-08-01 07:00:00
1165113.52800000,51844467.87058457,77448272.77777624,2026-08-01 08:00:00
1163116.66000000,51665642.03720000,77448272.77777624,2026-08-01 09:00:00
1164315.56000000,51625751.93040000,77448272.77777624,2026-08-01 10:00:00
1165335.59000000,51610816.75569405,77448272.77777624,2026-08-01 11:00:00
1163600.80100000,51560702.95616600,77448272.77777624,2026-08-01 12:00:00
1163632.68100000,51618745.72916000,77448272.77777624,2026-08-01 13:00:00
1163226.64100000,51503193.82102583,77448272.77777624,2026-08-01 14:00:00
1159659.04000000,51222139.79680000,77448272.77777624,2026-08-01 15:00:00
1161471.84800000,51186064.34136000,77448272.77777624,2026-08-01 16:00:00
1155367.01000000,50874864.55743170,77448272.77777624,2026-08-01 17:00:00
1155080.57100000,50788892.70687000,77448272.77777624,2026-08-01 18:00:00
1144372.32000000,50192169.95520000,77448272.77777624,2026-08-01 19:00:00
1129867.11000000,49697603.60864780,77448272.77777624,2026-08-01 20:00:00
1128511.46300000,49677074.60126000,77448272.77777624,2026-08-01 21:00:00
1128849.39900000,49827412.47186000,77448272.77777624,2026-08-01 22:00:00
1129071.09300000,49882360.88874000,77448272.77777624,2026-08-01 23:00:00
1129763.44500000,49954971.77158129,77448272.77777624,2026-08-02 00:00:00
1124633.58200000,49708804.32440000,77448272.77777624,2026-08-02 01:00:00
1144362.23800000,50981337.70290000,77448272.77777624,2026-08-02 02:00:00
1136716.77300000,50719031.95975865,77449116.52960747,2026-08-02 03:00:00
1132432.18600000,50540448.46118000,77449116.52960747,2026-08-02 04:00:00
1130679.90200000,50417016.83018000,77449116.52960747,2026-08-02 05:00:00
1129226.46200000,50413662.60146458,77449116.52960747,2026-08-02 06:00:00
1129644.35500000,50612696.43175256,77449116.52960747,2026-08-02 07:00:00
1126836.20300000,50493530.25643000,77449116.52960747,2026-08-02 08:00:00
1123791.01400000,50216546.37235449,77449116.52960747,2026-08-02 09:00:00
1124227.92100000,50376653.14001000,77449116.52960747,2026-08-02 10:00:00
1124341.30600000,50213082.72596000,77449116.52960747,2026-08-02 11:00:00
1123551.62000000,50132873.28440000,77449116.52960747,2026-08-02 12:00:00
1124648.81600000,50226816.12256000,77449116.52960747,2026-08-02 13:00:00
1125096.48300000,50258059.89561000,77449116.52960747,2026-08-02 14:00:00
1123029.78200000,50143279.76630000,77449116.52960747,2026-08-02 15:00:00
1122712.51000000,50207703.44720000,77449116.52960747,2026-08-02 16:00:00
1124066.60200000,50380665.10164000,77449116.52960747,2026-08-02 17:00:00
1121492.85000000,50412390.02708852,77449116.52960747,2026-08-02 18:00:00
1120625.55800000,50330062.41607734,77449116.52960747,2026-08-02 19:00:00
1120600.06600000,50442515.59359765,77449116.52960747,2026-08-02 20:00:00
1120264.30100000,50255056.54286000,77449116.52960747,2026-08-02 21:00:00
1120296.29500000,50316175.02987094,77449116.52960747,2026-08-02 22:00:00
1120702.73400000,50175026.05787523,77449116.52960747,2026-08-02 23:00:00
1120898.13700000,50051486.49227347,77449116.52960747,2026-08-03 00:00:00
1124705.17800000,50288159.73913370,77449116.52960747,2026-08-03 01:00:00
