sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
528241474.00000000,91596342.61836588,36504641982.04265600,2026-08-01 23:00:00
525243836.00000000,91554239.33255652,36504641982.04265600,2026-08-02 00:00:00
523643159.00000000,90786198.06780303,36504641982.04265600,2026-08-02 01:00:00
540839832.00000000,95322057.69509904,36504641982.04265600,2026-08-02 02:00:00
551047399.00000000,99329357.49328844,36504641982.04265600,2026-08-02 03:00:00
553681038.00000000,99728801.55533442,36504641982.04265600,2026-08-02 04:00:00
555788787.00000000,101797540.58572116,36504641982.04265600,2026-08-02 05:00:00
564453403.00000000,104536770.23560000,36504641982.04265600,2026-08-02 06:00:00
573663236.00000000,107151308.91852424,36504641982.04265600,2026-08-02 07:00:00
576877272.00000000,107357829.47301696,36504641982.04265600,2026-08-02 08:00:00
578430268.00000000,107488487.78317988,36504641982.04265600,2026-08-02 09:00:00
582495315.00000000,109635975.04970070,36504641982.04265600,2026-08-02 10:00:00
582273407.00000000,108705152.22163036,36504641982.04265600,2026-08-02 11:00:00
588840525.00000000,111173091.12000000,36504641982.04265600,2026-08-02 12:00:00
588199171.00000000,111349861.66300268,36504641982.04265600,2026-08-02 13:00:00
588995618.00000000,110401909.96366946,36504641982.04265600,2026-08-02 14:00:00
590761556.00000000,112187285.43198793,36504641982.04265600,2026-08-02 15:00:00
591326215.00000000,112432353.90914280,36504641982.04265600,2026-08-02 16:00:00
600298625.00000000,113769916.06697500,36504641982.04265600,2026-08-02 17:00:00
603174949.00000000,113923051.98351169,36504641982.04265600,2026-08-02 18:00:00
602089901.00000000,113893246.33994418,36504641982.04265600,2026-08-02 19:00:00
602058325.00000000,113526808.96271275,36504641982.04265600,2026-08-02 20:00:00
600634257.00000000,112652714.87079883,36504641982.04265600,2026-08-02 21:00:00
603855912.00000000,114300588.52920048,36504641982.04265600,2026-08-02 22:00:00
603142871.00000000,114457578.22965060,36504641982.04265600,2026-08-02 23:00:00
599336906.00000000,113615919.68816923,36504641982.04265600,2026-08-03 00:00:00
