longAccount,longShortRatio,shortAccount,time
0.7304,2.7092,0.2696,2026-07-28 20:00:00
0.7303,2.7078,0.2697,2026-07-28 21:00:00
0.7309,2.7161,0.2691,2026-07-28 22:00:00
0.7315,2.7244,0.2685,2026-07-28 23:00:00
0.7315,2.7244,0.2685,2026-07-29 00:00:00
0.7307,2.7133,0.2693,2026-07-29 01:00:00
0.7280,2.6765,0.2720,2026-07-29 02:00:00
0.7283,2.6805,0.2717,2026-07-29 03:00:00
0.7324,2.7369,0.2676,2026-07-29 04:00:00
0.7400,2.8462,0.2600,2026-07-29 05:00:00
0.7365,2.7951,0.2635,2026-07-29 06:00:00
0.7333,2.7495,0.2667,2026-07-29 07:00:00
0.7285,2.6832,0.2715,2026-07-29 08:00:00
0.7247,2.6324,0.2753,2026-07-29 09:00:00
0.7209,2.5829,0.2791,2026-07-29 10:00:00
0.7194,2.5638,0.2806,2026-07-29 11:00:00
0.7124,2.4771,0.2876,2026-07-29 12:00:00
0.7084,2.4294,0.2916,2026-07-29 13:00:00
0.7071,2.4141,0.2929,2026-07-29 14:00:00
0.7069,2.4118,0.2931,2026-07-29 15:00:00
0.7006,2.3400,0.2994,2026-07-29 16:00:00
0.6970,2.3003,0.3030,2026-07-29 17:00:00
0.6948,2.2765,0.3052,2026-07-29 18:00:00
0.6896,2.2216,0.3104,2026-07-29 19:00:00
0.6902,2.2279,0.3098,2026-07-29 20:00:00
0.7020,2.3557,0.2980,2026-07-29 21:00:00
0.7030,2.3670,0.2970,2026-07-29 22:00:00
0.7017,2.3523,0.2983,2026-07-29 23:00:00
0.7007,2.3411,0.2993,2026-07-30 00:00:00
0.6931,2.2584,0.3069,2026-07-30 01:00:00
0.6886,2.2113,0.3114,2026-07-30 02:00:00
0.6847,2.1716,0.3153,2026-07-30 03:00:00
0.6846,2.1706,0.3154,2026-07-30 04:00:00
0.6845,2.1696,0.3155,2026-07-30 05:00:00
0.6856,2.1807,0.3144,2026-07-30 06:00:00
0.6857,2.1817,0.3143,2026-07-30 07:00:00
0.6876,2.2010,0.3124,2026-07-30 08:00:00
0.6894,2.2196,0.3106,2026-07-30 09:00:00
0.6913,2.2394,0.3087,2026-07-30 10:00:00
0.6927,2.2541,0.3073,2026-07-30 11:00:00
0.6908,2.2342,0.3092,2026-07-30 12:00:00
0.6909,2.2352,0.3091,2026-07-30 13:00:00
0.6905,2.2310,0.3095,2026-07-30 14:00:00
0.6906,2.2321,0.3094,2026-07-30 15:00:00
0.6978,2.3091,0.3022,2026-07-30 16:00:00
0.6972,2.3025,0.3028,2026-07-30 17:00:00
0.6977,2.3080,0.3023,2026-07-30 18:00:00
0.6977,2.3080,0.3023,2026-07-30 19:00:00
0.6962,2.2916,0.3038,2026-07-30 20:00:00
0.7009,2.3434,0.2991,2026-07-30 21:00:00
0.7003,2.3367,0.2997,2026-07-30 22:00:00
0.6943,2.2712,0.3057,2026-07-30 23:00:00
0.6943,2.2712,0.3057,2026-07-31 00:00:00
0.6897,2.2227,0.3103,2026-07-31 01:00:00
0.6920,2.2468,0.3080,2026-07-31 02:00:00
0.6944,2.2723,0.3056,2026-07-31 03:00:00
0.6815,2.1397,0.3185,2026-07-31 04:00:00
0.6824,2.1486,0.3176,2026-07-31 05:00:00
0.6822,2.1466,0.3178,2026-07-31 06:00:00
0.6821,2.1456,0.3179,2026-07-31 07:00:00
0.6797,2.1221,0.3203,2026-07-31 08:00:00
0.6783,2.1085,0.3217,2026-07-31 09:00:00
0.6800,2.1250,0.3200,2026-07-31 10:00:00
0.6869,2.1939,0.3131,2026-07-31 11:00:00
0.6884,2.2092,0.3116,2026-07-31 12:00:00
0.6844,2.1686,0.3156,2026-07-31 13:00:00
0.6824,2.1486,0.3176,2026-07-31 14:00:00
0.6852,2.1766,0.3148,2026-07-31 15:00:00
0.6852,2.1766,0.3148,2026-07-31 16:00:00
0.6874,2.1990,0.3126,2026-07-31 17:00:00
0.6840,2.1646,0.3160,2026-07-31 18:00:00
0.6814,2.1387,0.3186,2026-07-31 19:00:00
0.6794,2.1192,0.3206,2026-07-31 20:00:00
0.6826,2.1506,0.3174,2026-07-31 21:00:00
