longAccount,longShortRatio,shortAccount,time
0.5430,1.1882,0.4570,2026-07-30 21:00:00
0.5378,1.1636,0.4622,2026-07-30 22:00:00
0.5359,1.1547,0.4641,2026-07-30 23:00:00
0.5272,1.1151,0.4728,2026-07-31 00:00:00
0.5269,1.1137,0.4731,2026-07-31 01:00:00
0.5265,1.1119,0.4735,2026-07-31 02:00:00
0.5270,1.1142,0.4730,2026-07-31 03:00:00
0.5269,1.1137,0.4731,2026-07-31 04:00:00
0.5271,1.1146,0.4729,2026-07-31 05:00:00
0.5285,1.1209,0.4715,2026-07-31 06:00:00
0.5300,1.1277,0.4700,2026-07-31 07:00:00
0.5307,1.1308,0.4693,2026-07-31 08:00:00
0.5308,1.1313,0.4692,2026-07-31 09:00:00
0.5311,1.1327,0.4689,2026-07-31 10:00:00
0.5336,1.1441,0.4664,2026-07-31 11:00:00
0.5384,1.1664,0.4616,2026-07-31 12:00:00
0.5503,1.2237,0.4497,2026-07-31 13:00:00
0.5479,1.2119,0.4521,2026-07-31 14:00:00
0.5626,1.2862,0.4374,2026-07-31 15:00:00
0.5627,1.2868,0.4373,2026-07-31 16:00:00
0.5625,1.2857,0.4375,2026-07-31 17:00:00
0.5584,1.2645,0.4416,2026-07-31 18:00:00
0.5537,1.2406,0.4463,2026-07-31 19:00:00
0.5544,1.2442,0.4456,2026-07-31 20:00:00
0.5498,1.2212,0.4502,2026-07-31 21:00:00
0.5512,1.2282,0.4488,2026-07-31 22:00:00
0.5525,1.2346,0.4475,2026-07-31 23:00:00
0.5512,1.2282,0.4488,2026-08-01 00:00:00
0.5495,1.2198,0.4505,2026-08-01 01:00:00
0.5470,1.2075,0.4530,2026-08-01 02:00:00
0.5490,1.2173,0.4510,2026-08-01 03:00:00
0.5515,1.2297,0.4485,2026-08-01 04:00:00
0.5507,1.2257,0.4493,2026-08-01 05:00:00
0.5535,1.2396,0.4465,2026-08-01 06:00:00
0.5566,1.2553,0.4434,2026-08-01 07:00:00
0.5523,1.2336,0.4477,2026-08-01 08:00:00
0.5525,1.2346,0.4475,2026-08-01 09:00:00
0.5365,1.1575,0.4635,2026-08-01 10:00:00
0.5350,1.1505,0.4650,2026-08-01 11:00:00
0.5365,1.1575,0.4635,2026-08-01 12:00:00
0.5359,1.1547,0.4641,2026-08-01 13:00:00
0.5366,1.1580,0.4634,2026-08-01 14:00:00
0.5364,1.1570,0.4636,2026-08-01 15:00:00
0.5405,1.1763,0.4595,2026-08-01 16:00:00
0.5443,1.1944,0.4557,2026-08-01 17:00:00
0.5503,1.2237,0.4497,2026-08-01 18:00:00
0.5601,1.2732,0.4399,2026-08-01 19:00:00
0.5634,1.2904,0.4366,2026-08-01 20:00:00
0.5636,1.2915,0.4364,2026-08-01 21:00:00
0.5668,1.3084,0.4332,2026-08-01 22:00:00
0.5720,1.3364,0.4280,2026-08-01 23:00:00
0.5894,1.4355,0.4106,2026-08-02 00:00:00
0.5883,1.4290,0.4117,2026-08-02 01:00:00
0.5914,1.4474,0.4086,2026-08-02 02:00:00
0.5900,1.4390,0.4100,2026-08-02 03:00:00
0.5760,1.3585,0.4240,2026-08-02 04:00:00
0.5769,1.3635,0.4231,2026-08-02 05:00:00
0.5826,1.3958,0.4174,2026-08-02 06:00:00
0.5885,1.4301,0.4115,2026-08-02 07:00:00
0.5957,1.4734,0.4043,2026-08-02 08:00:00
0.6181,1.6185,0.3819,2026-08-02 09:00:00
0.6194,1.6274,0.3806,2026-08-02 10:00:00
0.6193,1.6267,0.3807,2026-08-02 11:00:00
0.6234,1.6553,0.3766,2026-08-02 12:00:00
0.6266,1.6781,0.3734,2026-08-02 13:00:00
0.6207,1.6364,0.3793,2026-08-02 14:00:00
0.6216,1.6427,0.3784,2026-08-02 15:00:00
0.6219,1.6448,0.3781,2026-08-02 16:00:00
0.6263,1.6759,0.3737,2026-08-02 17:00:00
0.6275,1.6846,0.3725,2026-08-02 18:00:00
0.6284,1.6911,0.3716,2026-08-02 19:00:00
0.6267,1.6788,0.3733,2026-08-02 20:00:00
0.6277,1.6860,0.3723,2026-08-02 21:00:00
0.6281,1.6889,0.3719,2026-08-02 22:00:00
0.6251,1.6674,0.3749,2026-08-02 23:00:00
0.6248,1.6652,0.3752,2026-08-03 00:00:00
0.6187,1.6226,0.3813,2026-08-03 01:00:00
0.6182,1.6192,0.3818,2026-08-03 02:00:00
0.6202,1.6330,0.3798,2026-08-03 03:00:00
0.6198,1.6302,0.3802,2026-08-03 04:00:00
0.6213,1.6406,0.3787,2026-08-03 05:00:00
0.6236,1.6567,0.3764,2026-08-03 06:00:00
0.6222,1.6469,0.3778,2026-08-03 07:00:00
0.6227,1.6504,0.3773,2026-08-03 08:00:00
0.6201,1.6323,0.3799,2026-08-03 09:00:00
0.6229,1.6518,0.3771,2026-08-03 10:00:00
0.6218,1.6441,0.3782,2026-08-03 11:00:00
0.6200,1.6316,0.3800,2026-08-03 12:00:00
0.6176,1.6151,0.3824,2026-08-03 13:00:00
0.6233,1.6546,0.3767,2026-08-03 14:00:00
0.6271,1.6817,0.3729,2026-08-03 15:00:00
0.6021,1.5132,0.3979,2026-08-03 16:00:00
0.6041,1.5259,0.3959,2026-08-03 17:00:00
0.6065,1.5413,0.3935,2026-08-03 18:00:00
0.6011,1.5069,0.3989,2026-08-03 19:00:00
0.5994,1.4963,0.4006,2026-08-03 20:00:00
0.6014,1.5088,0.3986,2026-08-03 21:00:00
0.6026,1.5164,0.3974,2026-08-03 22:00:00
0.6227,1.6504,0.3773,2026-08-03 23:00:00
0.6232,1.6539,0.3768,2026-08-04 00:00:00
0.6246,1.6638,0.3754,2026-08-04 01:00:00
0.6213,1.6406,0.3787,2026-08-04 02:00:00
0.6200,1.6316,0.3800,2026-08-04 03:00:00
0.6176,1.6151,0.3824,2026-08-04 04:00:00
0.6121,1.5780,0.3879,2026-08-04 05:00:00
0.6130,1.5840,0.3870,2026-08-04 06:00:00
0.6120,1.5773,0.3880,2026-08-04 07:00:00
0.6089,1.5569,0.3911,2026-08-04 08:00:00
0.6164,1.6069,0.3836,2026-08-04 09:00:00
0.6188,1.6233,0.3812,2026-08-04 10:00:00
0.6186,1.6219,0.3814,2026-08-04 11:00:00
0.6229,1.6518,0.3771,2026-08-04 12:00:00
0.6263,1.6759,0.3737,2026-08-04 13:00:00
0.6135,1.5873,0.3865,2026-08-04 14:00:00
0.6117,1.5753,0.3883,2026-08-04 15:00:00
0.6171,1.6116,0.3829,2026-08-04 16:00:00
0.6128,1.5826,0.3872,2026-08-04 17:00:00
0.6137,1.5887,0.3863,2026-08-04 18:00:00
0.6196,1.6288,0.3804,2026-08-04 19:00:00
0.6198,1.6302,0.3802,2026-08-04 20:00:00
0.6192,1.6261,0.3808,2026-08-04 21:00:00
0.6187,1.6226,0.3813,2026-08-04 22:00:00
0.6142,1.5920,0.3858,2026-08-04 23:00:00
0.6143,1.5927,0.3857,2026-08-05 00:00:00
0.6154,1.6001,0.3846,2026-08-05 01:00:00
0.6111,1.5714,0.3889,2026-08-05 02:00:00
0.6151,1.5981,0.3849,2026-08-05 03:00:00
0.6198,1.6302,0.3802,2026-08-05 04:00:00
0.6155,1.6008,0.3845,2026-08-05 05:00:00
0.6174,1.6137,0.3826,2026-08-05 06:00:00
0.6164,1.6069,0.3836,2026-08-05 07:00:00
0.6137,1.5887,0.3863,2026-08-05 08:00:00
0.6172,1.6123,0.3828,2026-08-05 09:00:00
0.6156,1.6015,0.3844,2026-08-05 10:00:00
0.6166,1.6082,0.3834,2026-08-05 11:00:00
0.6166,1.6082,0.3834,2026-08-05 12:00:00
0.6212,1.6399,0.3788,2026-08-05 13:00:00
0.6273,1.6831,0.3727,2026-08-05 14:00:00
0.6263,1.6759,0.3737,2026-08-05 15:00:00
0.6284,1.6911,0.3716,2026-08-05 16:00:00
0.6260,1.6738,0.3740,2026-08-05 17:00:00
0.6245,1.6631,0.3755,2026-08-05 18:00:00
0.6239,1.6589,0.3761,2026-08-05 19:00:00
0.6219,1.6448,0.3781,2026-08-05 20:00:00
0.6236,1.6567,0.3764,2026-08-05 21:00:00
0.6234,1.6553,0.3766,2026-08-05 22:00:00
0.6248,1.6652,0.3752,2026-08-05 23:00:00
