longAccount,longShortRatio,shortAccount,time
0.7092,2.4388,0.2908,2026-08-01 23:00:00
0.7033,2.3704,0.2967,2026-08-02 00:00:00
0.7057,2.3979,0.2943,2026-08-02 01:00:00
0.7010,2.3445,0.2990,2026-08-02 02:00:00
0.7040,2.3784,0.2960,2026-08-02 03:00:00
0.6992,2.3245,0.3008,2026-08-02 04:00:00
0.7020,2.3557,0.2980,2026-08-02 05:00:00
0.6949,2.2776,0.3051,2026-08-02 06:00:00
0.6939,2.2669,0.3061,2026-08-02 07:00:00
0.6898,2.2237,0.3102,2026-08-02 08:00:00
0.6818,2.1427,0.3182,2026-08-02 09:00:00
0.6832,2.1566,0.3168,2026-08-02 10:00:00
0.6817,2.1417,0.3183,2026-08-02 11:00:00
0.6757,2.0836,0.3243,2026-08-02 12:00:00
0.6717,2.0460,0.3283,2026-08-02 13:00:00
0.6739,2.0665,0.3261,2026-08-02 14:00:00
0.6626,1.9638,0.3374,2026-08-02 15:00:00
0.6552,1.9002,0.3448,2026-08-02 16:00:00
0.6539,1.8893,0.3461,2026-08-02 17:00:00
0.6514,1.8686,0.3486,2026-08-02 18:00:00
0.6485,1.8450,0.3515,2026-08-02 19:00:00
0.6470,1.8329,0.3530,2026-08-02 20:00:00
0.6499,1.8563,0.3501,2026-08-02 21:00:00
0.6496,1.8539,0.3504,2026-08-02 22:00:00
0.6476,1.8377,0.3524,2026-08-02 23:00:00
0.6366,1.7518,0.3634,2026-08-03 00:00:00
0.6370,1.7548,0.3630,2026-08-03 01:00:00
0.6415,1.7894,0.3585,2026-08-03 02:00:00
0.6420,1.7933,0.3580,2026-08-03 03:00:00
0.6418,1.7917,0.3582,2026-08-03 04:00:00
0.6422,1.7949,0.3578,2026-08-03 05:00:00
0.6414,1.7886,0.3586,2026-08-03 06:00:00
0.6430,1.8011,0.3570,2026-08-03 07:00:00
0.6443,1.8114,0.3557,2026-08-03 08:00:00
0.6480,1.8409,0.3520,2026-08-03 09:00:00
0.6501,1.8580,0.3499,2026-08-03 10:00:00
0.6511,1.8662,0.3489,2026-08-03 11:00:00
0.6511,1.8662,0.3489,2026-08-03 12:00:00
0.6533,1.8843,0.3467,2026-08-03 13:00:00
0.6570,1.9155,0.3430,2026-08-03 14:00:00
0.6536,1.8868,0.3464,2026-08-03 15:00:00
0.6439,1.8082,0.3561,2026-08-03 16:00:00
0.6463,1.8273,0.3537,2026-08-03 17:00:00
0.6449,1.8161,0.3551,2026-08-03 18:00:00
0.6410,1.7855,0.3590,2026-08-03 19:00:00
0.6397,1.7755,0.3603,2026-08-03 20:00:00
0.6398,1.7762,0.3602,2026-08-03 21:00:00
0.6407,1.7832,0.3593,2026-08-03 22:00:00
0.6369,1.7541,0.3631,2026-08-03 23:00:00
0.6382,1.7640,0.3618,2026-08-04 00:00:00
0.6353,1.7420,0.3647,2026-08-04 01:00:00
0.6391,1.7709,0.3609,2026-08-04 02:00:00
0.6355,1.7435,0.3645,2026-08-04 03:00:00
0.6383,1.7647,0.3617,2026-08-04 04:00:00
0.6438,1.8074,0.3562,2026-08-04 05:00:00
0.6388,1.7685,0.3612,2026-08-04 06:00:00
0.6344,1.7352,0.3656,2026-08-04 07:00:00
0.6319,1.7167,0.3681,2026-08-04 08:00:00
0.6292,1.6969,0.3708,2026-08-04 09:00:00
0.6247,1.6645,0.3753,2026-08-04 10:00:00
0.6255,1.6702,0.3745,2026-08-04 11:00:00
0.6197,1.6295,0.3803,2026-08-04 12:00:00
0.6191,1.6254,0.3809,2026-08-04 13:00:00
0.6212,1.6399,0.3788,2026-08-04 14:00:00
0.6241,1.6603,0.3759,2026-08-04 15:00:00
0.6213,1.6406,0.3787,2026-08-04 16:00:00
0.6200,1.6316,0.3800,2026-08-04 17:00:00
0.6200,1.6316,0.3800,2026-08-04 18:00:00
0.6207,1.6364,0.3793,2026-08-04 19:00:00
0.6211,1.6392,0.3789,2026-08-04 20:00:00
0.6200,1.6316,0.3800,2026-08-04 21:00:00
0.6210,1.6385,0.3790,2026-08-04 22:00:00
0.6230,1.6525,0.3770,2026-08-04 23:00:00
0.6209,1.6378,0.3791,2026-08-05 00:00:00
0.6204,1.6344,0.3796,2026-08-05 01:00:00
0.6213,1.6406,0.3787,2026-08-05 02:00:00
0.6220,1.6455,0.3780,2026-08-05 03:00:00
0.6216,1.6427,0.3784,2026-08-05 04:00:00
0.6214,1.6413,0.3786,2026-08-05 05:00:00
0.6232,1.6539,0.3768,2026-08-05 06:00:00
0.6215,1.6420,0.3785,2026-08-05 07:00:00
0.6204,1.6344,0.3796,2026-08-05 08:00:00
0.6219,1.6448,0.3781,2026-08-05 09:00:00
0.6219,1.6448,0.3781,2026-08-05 10:00:00
0.6234,1.6553,0.3766,2026-08-05 11:00:00
0.6208,1.6371,0.3792,2026-08-05 12:00:00
0.6237,1.6575,0.3763,2026-08-05 13:00:00
0.6316,1.7144,0.3684,2026-08-05 14:00:00
0.6332,1.7263,0.3668,2026-08-05 15:00:00
0.6336,1.7293,0.3664,2026-08-05 16:00:00
0.6308,1.7086,0.3692,2026-08-05 17:00:00
0.6346,1.7367,0.3654,2026-08-05 18:00:00
0.6327,1.7226,0.3673,2026-08-05 19:00:00
0.6336,1.7293,0.3664,2026-08-05 20:00:00
0.6325,1.7211,0.3675,2026-08-05 21:00:00
