longAccount,longShortRatio,shortAccount,time
0.6196,1.6288,0.3804,2026-08-01 23:00:00
0.6159,1.6035,0.3841,2026-08-02 00:00:00
0.6131,1.5846,0.3869,2026-08-02 01:00:00
0.6137,1.5887,0.3863,2026-08-02 02:00:00
0.6034,1.5214,0.3966,2026-08-02 03:00:00
0.6018,1.5113,0.3982,2026-08-02 04:00:00
0.5952,1.4704,0.4048,2026-08-02 05:00:00
0.5828,1.3969,0.4172,2026-08-02 06:00:00
0.5833,1.3998,0.4167,2026-08-02 07:00:00
0.5814,1.3889,0.4186,2026-08-02 08:00:00
0.5813,1.3883,0.4187,2026-08-02 09:00:00
0.5829,1.3975,0.4171,2026-08-02 10:00:00
0.5843,1.4056,0.4157,2026-08-02 11:00:00
0.5695,1.3229,0.4305,2026-08-02 12:00:00
0.5746,1.3507,0.4254,2026-08-02 13:00:00
0.5775,1.3669,0.4225,2026-08-02 14:00:00
0.5800,1.3810,0.4200,2026-08-02 15:00:00
0.5832,1.3992,0.4168,2026-08-02 16:00:00
0.5879,1.4266,0.4121,2026-08-02 17:00:00
0.5874,1.4237,0.4126,2026-08-02 18:00:00
0.5929,1.4564,0.4071,2026-08-02 19:00:00
0.5986,1.4913,0.4014,2026-08-02 20:00:00
0.6019,1.5119,0.3981,2026-08-02 21:00:00
0.6015,1.5094,0.3985,2026-08-02 22:00:00
0.6108,1.5694,0.3892,2026-08-02 23:00:00
0.6154,1.6001,0.3846,2026-08-03 00:00:00
0.6265,1.6774,0.3735,2026-08-03 01:00:00
0.6344,1.7352,0.3656,2026-08-03 02:00:00
0.6635,1.9718,0.3365,2026-08-03 03:00:00
0.6737,2.0647,0.3263,2026-08-03 04:00:00
0.6875,2.2000,0.3125,2026-08-03 05:00:00
0.6838,2.1626,0.3162,2026-08-03 06:00:00
0.6774,2.0998,0.3226,2026-08-03 07:00:00
0.6741,2.0684,0.3259,2026-08-03 08:00:00
0.6768,2.0941,0.3232,2026-08-03 09:00:00
0.6620,1.9586,0.3380,2026-08-03 10:00:00
0.6594,1.9360,0.3406,2026-08-03 11:00:00
0.6583,1.9265,0.3417,2026-08-03 12:00:00
0.6595,1.9369,0.3405,2026-08-03 13:00:00
0.6605,1.9455,0.3395,2026-08-03 14:00:00
0.6579,1.9231,0.3421,2026-08-03 15:00:00
0.6589,1.9317,0.3411,2026-08-03 16:00:00
0.6554,1.9019,0.3446,2026-08-03 17:00:00
0.6564,1.9104,0.3436,2026-08-03 18:00:00
0.6575,1.9197,0.3425,2026-08-03 19:00:00
0.6578,1.9223,0.3422,2026-08-03 20:00:00
