longAccount,longShortRatio,shortAccount,time
0.6069,1.5439,0.3931,2026-08-01 23:00:00
0.6039,1.5246,0.3961,2026-08-02 00:00:00
0.6057,1.5361,0.3943,2026-08-02 01:00:00
0.6085,1.5543,0.3915,2026-08-02 02:00:00
0.6079,1.5504,0.3921,2026-08-02 03:00:00
0.6069,1.5439,0.3931,2026-08-02 04:00:00
0.6095,1.5608,0.3905,2026-08-02 05:00:00
0.6116,1.5747,0.3884,2026-08-02 06:00:00
0.6129,1.5833,0.3871,2026-08-02 07:00:00
0.6137,1.5887,0.3863,2026-08-02 08:00:00
0.6079,1.5504,0.3921,2026-08-02 09:00:00
0.6044,1.5278,0.3956,2026-08-02 10:00:00
0.6039,1.5246,0.3961,2026-08-02 11:00:00
0.6033,1.5208,0.3967,2026-08-02 12:00:00
0.6026,1.5164,0.3974,2026-08-02 13:00:00
0.6015,1.5094,0.3985,2026-08-02 14:00:00
0.6032,1.5202,0.3968,2026-08-02 15:00:00
0.6026,1.5164,0.3974,2026-08-02 16:00:00
0.6044,1.5278,0.3956,2026-08-02 17:00:00
0.6100,1.5641,0.3900,2026-08-02 18:00:00
0.6110,1.5707,0.3890,2026-08-02 19:00:00
0.6033,1.5208,0.3967,2026-08-02 20:00:00
0.6037,1.5233,0.3963,2026-08-02 21:00:00
0.6044,1.5278,0.3956,2026-08-02 22:00:00
0.6051,1.5323,0.3949,2026-08-02 23:00:00
0.6056,1.5355,0.3944,2026-08-03 00:00:00
0.6060,1.5381,0.3940,2026-08-03 01:00:00
0.6035,1.5221,0.3965,2026-08-03 02:00:00
0.6023,1.5145,0.3977,2026-08-03 03:00:00
0.6020,1.5126,0.3980,2026-08-03 04:00:00
0.6002,1.5013,0.3998,2026-08-03 05:00:00
0.5999,1.4994,0.4001,2026-08-03 06:00:00
0.5977,1.4857,0.4023,2026-08-03 07:00:00
0.5993,1.4956,0.4007,2026-08-03 08:00:00
0.6038,1.5240,0.3962,2026-08-03 09:00:00
0.6039,1.5246,0.3961,2026-08-03 10:00:00
0.6023,1.5145,0.3977,2026-08-03 11:00:00
0.6003,1.5019,0.3997,2026-08-03 12:00:00
0.5980,1.4876,0.4020,2026-08-03 13:00:00
0.5991,1.4944,0.4009,2026-08-03 14:00:00
0.6003,1.5019,0.3997,2026-08-03 15:00:00
0.6280,1.6882,0.3720,2026-08-03 16:00:00
0.6226,1.6497,0.3774,2026-08-03 17:00:00
0.6175,1.6144,0.3825,2026-08-03 18:00:00
0.6120,1.5773,0.3880,2026-08-03 19:00:00
0.6067,1.5426,0.3933,2026-08-03 20:00:00
0.6046,1.5291,0.3954,2026-08-03 21:00:00
0.5976,1.4851,0.4024,2026-08-03 22:00:00
0.5946,1.4667,0.4054,2026-08-03 23:00:00
0.5796,1.3787,0.4204,2026-08-04 00:00:00
0.5803,1.3827,0.4197,2026-08-04 01:00:00
0.5809,1.3861,0.4191,2026-08-04 02:00:00
0.5774,1.3663,0.4226,2026-08-04 03:00:00
0.5726,1.3397,0.4274,2026-08-04 04:00:00
0.5718,1.3354,0.4282,2026-08-04 05:00:00
0.5685,1.3175,0.4315,2026-08-04 06:00:00
0.5623,1.2847,0.4377,2026-08-04 07:00:00
0.5649,1.2983,0.4351,2026-08-04 08:00:00
0.5635,1.2910,0.4365,2026-08-04 09:00:00
0.5617,1.2815,0.4383,2026-08-04 10:00:00
0.5595,1.2701,0.4405,2026-08-04 11:00:00
0.5617,1.2815,0.4383,2026-08-04 12:00:00
0.5601,1.2732,0.4399,2026-08-04 13:00:00
0.5583,1.2640,0.4417,2026-08-04 14:00:00
0.5726,1.3397,0.4274,2026-08-04 15:00:00
0.5697,1.3240,0.4303,2026-08-04 16:00:00
0.5659,1.3036,0.4341,2026-08-04 17:00:00
0.5570,1.2573,0.4430,2026-08-04 18:00:00
0.5556,1.2502,0.4444,2026-08-04 19:00:00
0.5543,1.2437,0.4457,2026-08-04 20:00:00
0.5557,1.2507,0.4443,2026-08-04 21:00:00
0.5571,1.2578,0.4429,2026-08-04 22:00:00
0.5529,1.2366,0.4471,2026-08-04 23:00:00
0.5549,1.2467,0.4451,2026-08-05 00:00:00
0.5555,1.2497,0.4445,2026-08-05 01:00:00
0.5567,1.2558,0.4433,2026-08-05 02:00:00
0.5542,1.2432,0.4458,2026-08-05 03:00:00
0.5510,1.2272,0.4490,2026-08-05 04:00:00
0.5468,1.2065,0.4532,2026-08-05 05:00:00
0.5462,1.2036,0.4538,2026-08-05 06:00:00
0.5475,1.2099,0.4525,2026-08-05 07:00:00
0.5467,1.2060,0.4533,2026-08-05 08:00:00
0.5516,1.2302,0.4484,2026-08-05 09:00:00
0.5524,1.2341,0.4476,2026-08-05 10:00:00
0.5495,1.2198,0.4505,2026-08-05 11:00:00
0.5530,1.2371,0.4470,2026-08-05 12:00:00
0.5533,1.2386,0.4467,2026-08-05 13:00:00
0.5551,1.2477,0.4449,2026-08-05 14:00:00
0.5513,1.2287,0.4487,2026-08-05 15:00:00
0.5535,1.2396,0.4465,2026-08-05 16:00:00
0.5522,1.2331,0.4478,2026-08-05 17:00:00
0.5549,1.2467,0.4451,2026-08-05 18:00:00
0.5526,1.2351,0.4474,2026-08-05 19:00:00
0.5549,1.2467,0.4451,2026-08-05 20:00:00
0.5575,1.2599,0.4425,2026-08-05 21:00:00
0.5571,1.2578,0.4429,2026-08-05 22:00:00
0.5656,1.3020,0.4344,2026-08-05 23:00:00
0.5665,1.3068,0.4335,2026-08-06 00:00:00
0.5587,1.2660,0.4413,2026-08-06 01:00:00
0.5652,1.2999,0.4348,2026-08-06 02:00:00
0.5587,1.2660,0.4413,2026-08-06 03:00:00
0.5489,1.2168,0.4511,2026-08-06 04:00:00
0.5506,1.2252,0.4494,2026-08-06 05:00:00
0.5574,1.2594,0.4426,2026-08-06 06:00:00
