buySellRatio,sellVol,buyVol,time
1.0222,8393.2110,8579.2890,2026-07-31 19:00:00
0.4034,54825.2590,22118.7720,2026-07-31 20:00:00
1.1142,14406.2270,16051.4860,2026-07-31 21:00:00
0.5522,25158.8120,13893.3300,2026-07-31 22:00:00
0.8727,16959.4100,14800.6880,2026-07-31 23:00:00
0.8076,24500.9740,19787.7240,2026-08-01 00:00:00
1.4871,10680.2500,15883.0370,2026-08-01 01:00:00
1.5265,8297.1950,12665.5650,2026-08-01 02:00:00
1.0333,10998.9550,11365.4480,2026-08-01 03:00:00
1.0798,12998.4290,14035.6790,2026-08-01 04:00:00
0.7613,16065.0440,12229.8990,2026-08-01 05:00:00
1.4196,9016.5500,12799.5460,2026-08-01 06:00:00
0.9108,9058.9740,8250.7130,2026-08-01 07:00:00
0.7521,12422.4750,9343.5620,2026-08-01 08:00:00
0.7560,13994.9960,10580.6890,2026-08-01 09:00:00
0.6253,17678.6390,11054.0860,2026-08-01 10:00:00
0.7169,11001.6970,7886.6500,2026-08-01 11:00:00
0.7550,8195.3460,6187.5960,2026-08-01 12:00:00
0.8303,11721.0150,9731.7790,2026-08-01 13:00:00
0.5722,28819.2460,16490.1240,2026-08-01 14:00:00
0.8931,13618.5010,12163.1470,2026-08-01 15:00:00
0.8407,26003.6590,21860.6810,2026-08-01 16:00:00
0.9822,29729.0020,29198.6020,2026-08-01 17:00:00
0.7398,57806.5570,42762.9020,2026-08-01 18:00:00
1.3802,38608.1020,53287.6920,2026-08-01 19:00:00
1.2084,8298.6550,10027.7200,2026-08-01 20:00:00
1.1071,7648.0780,8467.2380,2026-08-01 21:00:00
1.1038,6855.8630,7567.2450,2026-08-01 22:00:00
1.5850,5775.6340,9154.0940,2026-08-01 23:00:00
1.0172,15333.9270,15598.1780,2026-08-02 00:00:00
2.5423,27510.3690,69939.9600,2026-08-02 01:00:00
0.8116,30278.6240,24573.5410,2026-08-02 02:00:00
1.2556,9756.1770,12249.3770,2026-08-02 03:00:00
0.9988,10442.4950,10429.4730,2026-08-02 04:00:00
1.1407,9119.4920,10402.1510,2026-08-02 05:00:00
1.0208,10948.2170,11175.4150,2026-08-02 06:00:00
0.9036,10905.3470,9853.6150,2026-08-02 07:00:00
0.5882,12473.7620,7337.2560,2026-08-02 08:00:00
1.0375,9901.3960,10273.1640,2026-08-02 09:00:00
0.7865,8792.5390,6915.2140,2026-08-02 10:00:00
0.8834,12070.7660,10662.7220,2026-08-02 11:00:00
1.4865,4706.3260,6995.8850,2026-08-02 12:00:00
1.0114,7661.3030,7748.6100,2026-08-02 13:00:00
1.4027,6254.1410,8772.6350,2026-08-02 14:00:00
1.5291,5748.3780,8789.6940,2026-08-02 15:00:00
1.2076,9666.0860,11672.7650,2026-08-02 16:00:00
1.6639,9480.6360,15774.9190,2026-08-02 17:00:00
0.7564,15456.7320,11692.0000,2026-08-02 18:00:00
0.9840,10798.8140,10626.4460,2026-08-02 19:00:00
0.7825,10563.2410,8266.1790,2026-08-02 20:00:00
1.0083,8196.4560,8264.1100,2026-08-02 21:00:00
0.7981,13375.6840,10675.1650,2026-08-02 22:00:00
0.7989,11034.4400,8815.9200,2026-08-02 23:00:00
1.0390,16083.7930,16710.4090,2026-08-03 00:00:00
0.8638,7842.7460,6774.8640,2026-08-03 01:00:00
0.6756,13070.3850,8830.9260,2026-08-03 02:00:00
0.7129,16187.6720,11539.6650,2026-08-03 03:00:00
1.3281,9823.0920,13046.5240,2026-08-03 04:00:00
1.8807,5942.5480,11176.1880,2026-08-03 05:00:00
0.9595,10518.7800,10092.6630,2026-08-03 06:00:00
0.8905,29014.1260,25837.8600,2026-08-03 07:00:00
0.6146,23343.1590,14346.1190,2026-08-03 08:00:00
1.3776,20463.2380,28190.7830,2026-08-03 09:00:00
0.7359,13967.2650,10278.1090,2026-08-03 10:00:00
0.6910,13897.0570,9603.5590,2026-08-03 11:00:00
0.9470,9723.2050,9208.3020,2026-08-03 12:00:00
1.0224,26481.1310,27073.0570,2026-08-03 13:00:00
0.6623,29365.7800,19448.5970,2026-08-03 14:00:00
0.9328,23218.7720,21657.8600,2026-08-03 15:00:00
0.9143,25591.1170,23398.2900,2026-08-03 16:00:00
1.1268,11462.5050,12915.4120,2026-08-03 17:00:00
1.1888,15288.5510,18175.6340,2026-08-03 18:00:00
1.0242,8304.4250,8505.4890,2026-08-03 19:00:00
1.0837,11930.2380,12928.9100,2026-08-03 20:00:00
0.7405,9938.4430,7359.4040,2026-08-03 21:00:00
0.9844,10140.5310,9982.7840,2026-08-03 22:00:00
1.0581,7123.2060,7537.0620,2026-08-03 23:00:00
0.7507,14756.1730,11077.6200,2026-08-04 00:00:00
1.0439,17120.1660,17871.6960,2026-08-04 01:00:00
0.8499,8522.0040,7242.9710,2026-08-04 02:00:00
0.6747,10130.5540,6834.9470,2026-08-04 03:00:00
1.1882,11850.0020,14079.6600,2026-08-04 04:00:00
0.6047,7247.8230,4382.7800,2026-08-04 05:00:00
0.6996,16910.6700,11830.2890,2026-08-04 06:00:00
0.9205,23787.0130,21896.6960,2026-08-04 07:00:00
0.7610,9491.8450,7222.9770,2026-08-04 08:00:00
1.1107,12267.3000,13625.2530,2026-08-04 09:00:00
0.8945,7399.5530,6619.1320,2026-08-04 10:00:00
0.6757,22211.6510,15008.4950,2026-08-04 11:00:00
0.9301,12013.0620,11172.8010,2026-08-04 12:00:00
1.0423,21425.6310,22332.3820,2026-08-04 13:00:00
0.8714,21992.4410,19164.7910,2026-08-04 14:00:00
1.3302,29406.8840,39116.4350,2026-08-04 15:00:00
1.1312,26056.7290,29476.1570,2026-08-04 16:00:00
0.8008,23789.5890,19049.9090,2026-08-04 17:00:00
1.0596,16104.8710,17065.4810,2026-08-04 18:00:00
1.0000,13141.3200,13141.5860,2026-08-04 19:00:00
0.8558,22994.8700,19678.5540,2026-08-04 20:00:00
1.3532,10709.5280,14492.5210,2026-08-04 21:00:00
0.9533,16305.3350,15544.3950,2026-08-04 22:00:00
0.9815,21294.4110,20900.3100,2026-08-04 23:00:00
0.9782,24641.5870,24103.9970,2026-08-05 00:00:00
0.9541,22267.2330,21245.4080,2026-08-05 01:00:00
0.7867,18047.7850,14198.2030,2026-08-05 02:00:00
0.5987,58664.5070,35120.8480,2026-08-05 03:00:00
1.0591,15132.7660,16026.6840,2026-08-05 04:00:00
0.8425,11321.8830,9539.1640,2026-08-05 05:00:00
0.8171,12481.4250,10198.0690,2026-08-05 06:00:00
0.9876,11866.8160,11719.3620,2026-08-05 07:00:00
0.9301,10599.3330,9858.1400,2026-08-05 08:00:00
0.8961,13156.9220,11790.3430,2026-08-05 09:00:00
0.3666,56522.5770,20720.8400,2026-08-05 10:00:00
0.7060,12900.9190,9107.6080,2026-08-05 11:00:00
1.6479,15540.9120,25609.7120,2026-08-05 12:00:00
1.1211,31079.4510,34842.3630,2026-08-05 13:00:00
0.8209,29099.3410,23888.2300,2026-08-05 14:00:00
1.0112,26120.2640,26411.5210,2026-08-05 15:00:00
1.5769,12923.8990,20379.2690,2026-08-05 16:00:00
1.4416,10002.8630,14419.7530,2026-08-05 17:00:00
0.9854,11021.9670,10861.2740,2026-08-05 18:00:00
1.0748,10963.6870,11783.5790,2026-08-05 19:00:00
0.9867,15787.3250,15577.0090,2026-08-05 20:00:00
0.8739,9600.2550,8389.4650,2026-08-05 21:00:00
1.2849,4530.0420,5820.5540,2026-08-05 22:00:00
0.8771,8115.7760,7118.0490,2026-08-05 23:00:00
1.0247,10874.8630,11142.9320,2026-08-06 00:00:00
0.8700,14411.0240,12537.0970,2026-08-06 01:00:00
0.9596,44814.9520,43005.1300,2026-08-06 02:00:00
1.8593,6199.6550,11527.0660,2026-08-06 03:00:00
1.6332,7914.7560,12926.0280,2026-08-06 04:00:00
1.0013,8091.8450,8102.6480,2026-08-06 05:00:00
0.8730,5784.2930,5049.4070,2026-08-06 06:00:00
1.3414,10562.8900,14169.3050,2026-08-06 07:00:00
1.2861,9006.0090,11582.2080,2026-08-06 08:00:00
0.7063,28466.1530,20106.1880,2026-08-06 09:00:00
0.5730,23350.3550,13380.7900,2026-08-06 10:00:00
0.8248,21461.6340,17702.5130,2026-08-06 11:00:00
1.0178,27759.2150,28254.2060,2026-08-06 12:00:00
0.9750,30435.1370,29674.0790,2026-08-06 13:00:00
0.7888,29990.0660,23655.5660,2026-08-06 14:00:00
0.8638,32635.8250,28191.1730,2026-08-06 15:00:00
0.9201,25066.4840,23062.6260,2026-08-06 16:00:00
0.8493,15997.1010,13585.7470,2026-08-06 17:00:00
0.8899,21200.1260,18866.6540,2026-08-06 18:00:00
1.1013,10759.5800,11849.6080,2026-08-06 19:00:00
1.1357,10717.3430,12171.4040,2026-08-06 20:00:00
1.1056,8525.5820,9425.6560,2026-08-06 21:00:00
1.3468,8272.3060,11141.3790,2026-08-06 22:00:00
0.8242,10132.1490,8351.1920,2026-08-06 23:00:00
0.7577,16839.1610,12758.5530,2026-08-07 00:00:00
0.9312,13449.5520,12524.1500,2026-08-07 01:00:00
0.8130,12881.9950,10472.4300,2026-08-07 02:00:00
0.8703,10206.5660,8883.2690,2026-08-07 03:00:00
0.7422,14606.3510,10840.7930,2026-08-07 04:00:00
0.8465,6388.7390,5408.0670,2026-08-07 05:00:00
1.2170,6223.6520,7574.3390,2026-08-07 06:00:00
1.0635,8733.5150,9287.8400,2026-08-07 07:00:00
