buySellRatio,sellVol,buyVol,time
0.7934,129436.0000,102694.0000,2026-08-01 22:00:00
0.8477,88804.0000,75279.0000,2026-08-01 23:00:00
1.2319,121575.0000,149763.0000,2026-08-02 00:00:00
1.2481,160052.0000,199753.0000,2026-08-02 01:00:00
1.2113,350992.0000,425145.0000,2026-08-02 02:00:00
0.3367,388778.0000,130889.0000,2026-08-02 03:00:00
1.2207,602061.0000,734930.0000,2026-08-02 04:00:00
1.3547,971819.0000,1316570.0000,2026-08-02 05:00:00
1.2156,347201.0000,422058.0000,2026-08-02 06:00:00
1.0361,283408.0000,293627.0000,2026-08-02 07:00:00
0.7270,348259.0000,253170.0000,2026-08-02 08:00:00
1.7730,285639.0000,506433.0000,2026-08-02 09:00:00
0.7407,222297.0000,164650.0000,2026-08-02 10:00:00
1.2105,233889.0000,283132.0000,2026-08-02 11:00:00
0.6405,273259.0000,175025.0000,2026-08-02 12:00:00
1.7952,125294.0000,224933.0000,2026-08-02 13:00:00
0.8826,149208.0000,131698.0000,2026-08-02 14:00:00
1.5613,88378.0000,137985.0000,2026-08-02 15:00:00
0.9675,172695.0000,167081.0000,2026-08-02 16:00:00
1.9833,123634.0000,245200.0000,2026-08-02 17:00:00
1.1045,242810.0000,268183.0000,2026-08-02 18:00:00
0.8468,138500.0000,117285.0000,2026-08-02 19:00:00
1.1455,93942.0000,107615.0000,2026-08-02 20:00:00
1.7306,146971.0000,254355.0000,2026-08-02 21:00:00
0.7803,196087.0000,153003.0000,2026-08-02 22:00:00
0.8574,264818.0000,227049.0000,2026-08-02 23:00:00
1.2417,175194.0000,217541.0000,2026-08-03 00:00:00
1.6354,127765.0000,208943.0000,2026-08-03 01:00:00
0.8831,272760.0000,240861.0000,2026-08-03 02:00:00
0.5743,422819.0000,242845.0000,2026-08-03 03:00:00
1.1837,175952.0000,208270.0000,2026-08-03 04:00:00
1.1176,116705.0000,130432.0000,2026-08-03 05:00:00
0.9028,124204.0000,112131.0000,2026-08-03 06:00:00
0.9560,137705.0000,131642.0000,2026-08-03 07:00:00
1.0942,174658.0000,191117.0000,2026-08-03 08:00:00
1.1913,138490.0000,164985.0000,2026-08-03 09:00:00
1.1094,73419.0000,81454.0000,2026-08-03 10:00:00
0.7127,134659.0000,95973.0000,2026-08-03 11:00:00
0.7550,109927.0000,82992.0000,2026-08-03 12:00:00
1.5202,250441.0000,380725.0000,2026-08-03 13:00:00
0.8744,260248.0000,227572.0000,2026-08-03 14:00:00
0.9868,187762.0000,185280.0000,2026-08-03 15:00:00
0.9751,170437.0000,166190.0000,2026-08-03 16:00:00
1.0588,115780.0000,122592.0000,2026-08-03 17:00:00
1.2870,144691.0000,186213.0000,2026-08-03 18:00:00
1.3028,144652.0000,188454.0000,2026-08-03 19:00:00
0.8198,146603.0000,120192.0000,2026-08-03 20:00:00
1.3482,81741.0000,110200.0000,2026-08-03 21:00:00
1.3403,95173.0000,127560.0000,2026-08-03 22:00:00
1.5004,51315.0000,76992.0000,2026-08-03 23:00:00
1.1531,206949.0000,238640.0000,2026-08-04 00:00:00
1.3248,1279783.0000,1695465.0000,2026-08-04 01:00:00
1.1538,728453.0000,840515.0000,2026-08-04 02:00:00
0.8738,423467.0000,370009.0000,2026-08-04 03:00:00
1.0091,330800.0000,333809.0000,2026-08-04 04:00:00
0.9062,277342.0000,251316.0000,2026-08-04 05:00:00
0.7245,258395.0000,187212.0000,2026-08-04 06:00:00
0.9417,206496.0000,194455.0000,2026-08-04 07:00:00
0.7709,200813.0000,154814.0000,2026-08-04 08:00:00
1.1864,135690.0000,160986.0000,2026-08-04 09:00:00
1.6423,136895.0000,224826.0000,2026-08-04 10:00:00
1.1678,127835.0000,149280.0000,2026-08-04 11:00:00
0.9750,156892.0000,152970.0000,2026-08-04 12:00:00
0.7974,359010.0000,286292.0000,2026-08-04 13:00:00
1.0175,274645.0000,279445.0000,2026-08-04 14:00:00
0.8110,369180.0000,299408.0000,2026-08-04 15:00:00
0.8543,142672.0000,121878.0000,2026-08-04 16:00:00
0.8261,103477.0000,85478.0000,2026-08-04 17:00:00
1.8291,88220.0000,161364.0000,2026-08-04 18:00:00
1.4386,77278.0000,111169.0000,2026-08-04 19:00:00
0.7593,173638.0000,131852.0000,2026-08-04 20:00:00
0.9306,92188.0000,85789.0000,2026-08-04 21:00:00
0.8818,302533.0000,266784.0000,2026-08-04 22:00:00
0.6414,179895.0000,115391.0000,2026-08-04 23:00:00
0.7962,223224.0000,177729.0000,2026-08-05 00:00:00
1.3214,102377.0000,135286.0000,2026-08-05 01:00:00
1.3571,101256.0000,137419.0000,2026-08-05 02:00:00
