buySellRatio,sellVol,buyVol,time
0.7242,40818162.0000,29561954.0000,2026-08-01 22:00:00
1.4465,73604433.0000,106472022.0000,2026-08-01 23:00:00
1.1785,35609879.0000,41965148.0000,2026-08-02 00:00:00
1.6221,59284180.0000,96162222.0000,2026-08-02 01:00:00
0.8693,195099560.0000,169596425.0000,2026-08-02 02:00:00
0.9456,46894941.0000,44343501.0000,2026-08-02 03:00:00
1.3163,43498837.0000,57259177.0000,2026-08-02 04:00:00
1.2428,99538336.0000,123706778.0000,2026-08-02 05:00:00
0.8266,47446981.0000,39221490.0000,2026-08-02 06:00:00
0.8177,32118094.0000,26261607.0000,2026-08-02 07:00:00
0.7407,90400844.0000,66958535.0000,2026-08-02 08:00:00
1.0322,54949825.0000,56719160.0000,2026-08-02 09:00:00
0.9238,38976495.0000,36007534.0000,2026-08-02 10:00:00
0.8557,42387293.0000,36270624.0000,2026-08-02 11:00:00
0.9374,30109541.0000,28223309.0000,2026-08-02 12:00:00
0.9227,45932909.0000,42383229.0000,2026-08-02 13:00:00
1.4708,55041534.0000,80957658.0000,2026-08-02 14:00:00
0.8238,51449860.0000,42385604.0000,2026-08-02 15:00:00
1.0946,47467068.0000,51958372.0000,2026-08-02 16:00:00
2.4057,26068732.0000,62712707.0000,2026-08-02 17:00:00
1.4960,104535602.0000,156385358.0000,2026-08-02 18:00:00
1.4071,27044467.0000,38055605.0000,2026-08-02 19:00:00
0.9907,37882250.0000,37531639.0000,2026-08-02 20:00:00
1.1814,41376928.0000,48884544.0000,2026-08-02 21:00:00
1.5320,129203317.0000,197937411.0000,2026-08-02 22:00:00
0.7005,50374758.0000,35288877.0000,2026-08-02 23:00:00
0.6220,111357494.0000,69263466.0000,2026-08-03 00:00:00
0.8839,55077182.0000,48682579.0000,2026-08-03 01:00:00
1.0921,47088774.0000,51425363.0000,2026-08-03 02:00:00
0.4907,106249315.0000,52140028.0000,2026-08-03 03:00:00
1.2581,35206499.0000,44291619.0000,2026-08-03 04:00:00
1.3677,40026291.0000,54745605.0000,2026-08-03 05:00:00
0.5649,97955102.0000,55331892.0000,2026-08-03 06:00:00
0.5357,230519796.0000,123495891.0000,2026-08-03 07:00:00
1.0405,80789771.0000,84060935.0000,2026-08-03 08:00:00
1.5388,55227776.0000,84986351.0000,2026-08-03 09:00:00
0.5957,117558946.0000,70028006.0000,2026-08-03 10:00:00
0.6673,43603092.0000,29098188.0000,2026-08-03 11:00:00
1.5284,70433021.0000,107651682.0000,2026-08-03 12:00:00
1.1487,137915991.0000,158427810.0000,2026-08-03 13:00:00
0.8545,111548474.0000,95320966.0000,2026-08-03 14:00:00
0.8265,112996238.0000,93385759.0000,2026-08-03 15:00:00
1.0102,62620222.0000,63257336.0000,2026-08-03 16:00:00
1.2930,47370566.0000,61248662.0000,2026-08-03 17:00:00
1.0133,41164538.0000,41710276.0000,2026-08-03 18:00:00
0.6248,41571127.0000,25974965.0000,2026-08-03 19:00:00
1.1874,23423491.0000,27814191.0000,2026-08-03 20:00:00
0.7518,27357122.0000,20567821.0000,2026-08-03 21:00:00
0.5801,64109045.0000,37192741.0000,2026-08-03 22:00:00
0.7923,25761277.0000,20409499.0000,2026-08-03 23:00:00
0.8217,71286351.0000,58577484.0000,2026-08-04 00:00:00
1.5164,45138871.0000,68447794.0000,2026-08-04 01:00:00
1.5196,50420499.0000,76620750.0000,2026-08-04 02:00:00
1.1256,25855278.0000,29101831.0000,2026-08-04 03:00:00
1.3478,31906971.0000,43003971.0000,2026-08-04 04:00:00
0.6848,24562949.0000,16820264.0000,2026-08-04 05:00:00
1.4556,49275193.0000,71726667.0000,2026-08-04 06:00:00
0.9289,37845193.0000,35155589.0000,2026-08-04 07:00:00
1.1971,23438821.0000,28059581.0000,2026-08-04 08:00:00
0.9756,25365521.0000,24747125.0000,2026-08-04 09:00:00
1.4207,28926726.0000,41095966.0000,2026-08-04 10:00:00
1.3467,54611686.0000,73544294.0000,2026-08-04 11:00:00
0.8223,55586739.0000,45706853.0000,2026-08-04 12:00:00
1.0365,75655712.0000,78418383.0000,2026-08-04 13:00:00
0.7848,152729453.0000,119867787.0000,2026-08-04 14:00:00
1.0162,67211308.0000,68301576.0000,2026-08-04 15:00:00
1.2298,44062709.0000,54190490.0000,2026-08-04 16:00:00
0.8021,46215936.0000,37069815.0000,2026-08-04 17:00:00
1.1376,50605025.0000,57570798.0000,2026-08-04 18:00:00
1.1894,35911462.0000,42714628.0000,2026-08-04 19:00:00
