longAccount,longShortRatio,shortAccount,time
0.6789,2.1143,0.3211,2026-07-28 20:00:00
0.6799,2.1240,0.3201,2026-07-28 21:00:00
0.6850,2.1746,0.3150,2026-07-28 22:00:00
0.6861,2.1857,0.3139,2026-07-28 23:00:00
0.6865,2.1898,0.3135,2026-07-29 00:00:00
0.6929,2.2563,0.3071,2026-07-29 01:00:00
0.6967,2.2971,0.3033,2026-07-29 02:00:00
0.7040,2.3784,0.2960,2026-07-29 03:00:00
0.7071,2.4141,0.2929,2026-07-29 04:00:00
0.7157,2.5174,0.2843,2026-07-29 05:00:00
0.7164,2.5261,0.2836,2026-07-29 06:00:00
0.7142,2.4990,0.2858,2026-07-29 07:00:00
0.7128,2.4819,0.2872,2026-07-29 08:00:00
0.7097,2.4447,0.2903,2026-07-29 09:00:00
0.7084,2.4294,0.2916,2026-07-29 10:00:00
0.7068,2.4106,0.2932,2026-07-29 11:00:00
0.7040,2.3784,0.2960,2026-07-29 12:00:00
0.6989,2.3212,0.3011,2026-07-29 13:00:00
0.6990,2.3223,0.3010,2026-07-29 14:00:00
0.6961,2.2906,0.3039,2026-07-29 15:00:00
0.6959,2.2884,0.3041,2026-07-29 16:00:00
0.6946,2.2744,0.3054,2026-07-29 17:00:00
0.6942,2.2701,0.3058,2026-07-29 18:00:00
0.6957,2.2862,0.3043,2026-07-29 19:00:00
0.7004,2.3378,0.2996,2026-07-29 20:00:00
0.6962,2.2916,0.3038,2026-07-29 21:00:00
0.6951,2.2798,0.3049,2026-07-29 22:00:00
0.6944,2.2723,0.3056,2026-07-29 23:00:00
0.6933,2.2605,0.3067,2026-07-30 00:00:00
0.6923,2.2499,0.3077,2026-07-30 01:00:00
0.6895,2.2206,0.3105,2026-07-30 02:00:00
0.6859,2.1837,0.3141,2026-07-30 03:00:00
0.6825,2.1496,0.3175,2026-07-30 04:00:00
0.6863,2.1878,0.3137,2026-07-30 05:00:00
0.6862,2.1867,0.3138,2026-07-30 06:00:00
0.6887,2.2123,0.3113,2026-07-30 07:00:00
0.6897,2.2227,0.3103,2026-07-30 08:00:00
0.6912,2.2383,0.3088,2026-07-30 09:00:00
0.6936,2.2637,0.3064,2026-07-30 10:00:00
0.6925,2.2520,0.3075,2026-07-30 11:00:00
0.6909,2.2352,0.3091,2026-07-30 12:00:00
0.6937,2.2648,0.3063,2026-07-30 13:00:00
0.6960,2.2895,0.3040,2026-07-30 14:00:00
0.6946,2.2744,0.3054,2026-07-30 15:00:00
0.6978,2.3091,0.3022,2026-07-30 16:00:00
0.6982,2.3135,0.3018,2026-07-30 17:00:00
0.7012,2.3467,0.2988,2026-07-30 18:00:00
0.7026,2.3625,0.2974,2026-07-30 19:00:00
0.7056,2.3967,0.2944,2026-07-30 20:00:00
0.7065,2.4072,0.2935,2026-07-30 21:00:00
0.7076,2.4200,0.2924,2026-07-30 22:00:00
0.7078,2.4223,0.2922,2026-07-30 23:00:00
0.7078,2.4223,0.2922,2026-07-31 00:00:00
0.7065,2.4072,0.2935,2026-07-31 01:00:00
0.7091,2.4376,0.2909,2026-07-31 02:00:00
0.7137,2.4928,0.2863,2026-07-31 03:00:00
0.7108,2.4578,0.2892,2026-07-31 04:00:00
0.7069,2.4118,0.2931,2026-07-31 05:00:00
0.7080,2.4247,0.2920,2026-07-31 06:00:00
0.7073,2.4165,0.2927,2026-07-31 07:00:00
0.7074,2.4176,0.2926,2026-07-31 08:00:00
0.7076,2.4200,0.2924,2026-07-31 09:00:00
0.7075,2.4188,0.2925,2026-07-31 10:00:00
0.7052,2.3921,0.2948,2026-07-31 11:00:00
0.7058,2.3990,0.2942,2026-07-31 12:00:00
0.7098,2.4459,0.2902,2026-07-31 13:00:00
0.7159,2.5199,0.2841,2026-07-31 14:00:00
0.7176,2.5411,0.2824,2026-07-31 15:00:00
0.7133,2.4880,0.2867,2026-07-31 16:00:00
0.7103,2.4518,0.2897,2026-07-31 17:00:00
0.7075,2.4188,0.2925,2026-07-31 18:00:00
0.7025,2.3613,0.2975,2026-07-31 19:00:00
0.7047,2.3864,0.2953,2026-07-31 20:00:00
0.7066,2.4083,0.2934,2026-07-31 21:00:00
0.7062,2.4037,0.2938,2026-07-31 22:00:00
0.7052,2.3921,0.2948,2026-07-31 23:00:00
0.7082,2.4270,0.2918,2026-08-01 00:00:00
0.7051,2.3910,0.2949,2026-08-01 01:00:00
0.7026,2.3625,0.2974,2026-08-01 02:00:00
0.7011,2.3456,0.2989,2026-08-01 03:00:00
0.7016,2.3512,0.2984,2026-08-01 04:00:00
0.7003,2.3367,0.2997,2026-08-01 05:00:00
0.6995,2.3278,0.3005,2026-08-01 06:00:00
