longAccount,longShortRatio,shortAccount,time
0.6689,2.0202,0.3311,2026-07-31 20:00:00
0.6687,2.0184,0.3313,2026-07-31 21:00:00
0.6691,2.0221,0.3309,2026-07-31 22:00:00
0.6706,2.0358,0.3294,2026-07-31 23:00:00
0.6717,2.0460,0.3283,2026-08-01 00:00:00
0.6770,2.0960,0.3230,2026-08-01 01:00:00
0.6752,2.0788,0.3248,2026-08-01 02:00:00
0.6703,2.0331,0.3297,2026-08-01 03:00:00
0.6743,2.0703,0.3257,2026-08-01 04:00:00
0.6751,2.0779,0.3249,2026-08-01 05:00:00
0.6743,2.0703,0.3257,2026-08-01 06:00:00
0.6765,2.0912,0.3235,2026-08-01 07:00:00
0.6763,2.0893,0.3237,2026-08-01 08:00:00
0.6761,2.0874,0.3239,2026-08-01 09:00:00
0.6728,2.0562,0.3272,2026-08-01 10:00:00
0.6728,2.0562,0.3272,2026-08-01 11:00:00
0.6737,2.0647,0.3263,2026-08-01 12:00:00
0.6734,2.0618,0.3266,2026-08-01 13:00:00
0.6725,2.0534,0.3275,2026-08-01 14:00:00
0.6727,2.0553,0.3273,2026-08-01 15:00:00
0.6671,2.0039,0.3329,2026-08-01 16:00:00
0.6665,1.9985,0.3335,2026-08-01 17:00:00
0.6677,2.0093,0.3323,2026-08-01 18:00:00
0.6696,2.0266,0.3304,2026-08-01 19:00:00
0.6717,2.0460,0.3283,2026-08-01 20:00:00
0.6776,2.1017,0.3224,2026-08-01 21:00:00
0.6776,2.1017,0.3224,2026-08-01 22:00:00
0.6772,2.0979,0.3228,2026-08-01 23:00:00
0.6797,2.1221,0.3203,2026-08-02 00:00:00
0.6785,2.1104,0.3215,2026-08-02 01:00:00
0.6775,2.1008,0.3225,2026-08-02 02:00:00
0.6724,2.0525,0.3276,2026-08-02 03:00:00
0.6712,2.0414,0.3288,2026-08-02 04:00:00
0.6709,2.0386,0.3291,2026-08-02 05:00:00
0.6724,2.0525,0.3276,2026-08-02 06:00:00
0.6790,2.1153,0.3210,2026-08-02 07:00:00
0.6795,2.1201,0.3205,2026-08-02 08:00:00
0.6787,2.1124,0.3213,2026-08-02 09:00:00
0.6802,2.1270,0.3198,2026-08-02 10:00:00
0.6808,2.1328,0.3192,2026-08-02 11:00:00
0.6823,2.1476,0.3177,2026-08-02 12:00:00
0.6850,2.1746,0.3150,2026-08-02 13:00:00
0.6851,2.1756,0.3149,2026-08-02 14:00:00
0.6891,2.2165,0.3109,2026-08-02 15:00:00
0.6935,2.2626,0.3065,2026-08-02 16:00:00
0.6990,2.3223,0.3010,2026-08-02 17:00:00
0.6958,2.2873,0.3042,2026-08-02 18:00:00
0.6988,2.3201,0.3012,2026-08-02 19:00:00
0.7025,2.3613,0.2975,2026-08-02 20:00:00
0.7051,2.3910,0.2949,2026-08-02 21:00:00
0.7090,2.4364,0.2910,2026-08-02 22:00:00
0.7081,2.4258,0.2919,2026-08-02 23:00:00
0.7063,2.4048,0.2937,2026-08-03 00:00:00
0.7077,2.4211,0.2923,2026-08-03 01:00:00
0.7093,2.4400,0.2907,2026-08-03 02:00:00
0.7124,2.4771,0.2876,2026-08-03 03:00:00
0.7121,2.4734,0.2879,2026-08-03 04:00:00
0.7085,2.4305,0.2915,2026-08-03 05:00:00
0.7087,2.4329,0.2913,2026-08-03 06:00:00
0.7088,2.4341,0.2912,2026-08-03 07:00:00
0.7040,2.3784,0.2960,2026-08-03 08:00:00
0.7055,2.3956,0.2945,2026-08-03 09:00:00
0.7020,2.3557,0.2980,2026-08-03 10:00:00
0.7010,2.3445,0.2990,2026-08-03 11:00:00
0.7024,2.3602,0.2976,2026-08-03 12:00:00
0.7037,2.3750,0.2963,2026-08-03 13:00:00
0.7067,2.4095,0.2933,2026-08-03 14:00:00
0.7059,2.4002,0.2941,2026-08-03 15:00:00
0.7048,2.3875,0.2952,2026-08-03 16:00:00
0.7100,2.4483,0.2900,2026-08-03 17:00:00
0.7093,2.4400,0.2907,2026-08-03 18:00:00
0.7111,2.4614,0.2889,2026-08-03 19:00:00
0.7106,2.4554,0.2894,2026-08-03 20:00:00
0.7114,2.4650,0.2886,2026-08-03 21:00:00
0.7135,2.4904,0.2865,2026-08-03 22:00:00
0.7164,2.5261,0.2836,2026-08-03 23:00:00
0.7151,2.5100,0.2849,2026-08-04 00:00:00
0.7189,2.5575,0.2811,2026-08-04 01:00:00
0.7160,2.5211,0.2840,2026-08-04 02:00:00
0.7196,2.5663,0.2804,2026-08-04 03:00:00
0.7208,2.5817,0.2792,2026-08-04 04:00:00
0.7205,2.5778,0.2795,2026-08-04 05:00:00
0.7222,2.5997,0.2778,2026-08-04 06:00:00
0.7202,2.5740,0.2798,2026-08-04 07:00:00
0.7211,2.5855,0.2789,2026-08-04 08:00:00
0.7259,2.6483,0.2741,2026-08-04 09:00:00
0.7280,2.6765,0.2720,2026-08-04 10:00:00
0.7290,2.6900,0.2710,2026-08-04 11:00:00
0.7310,2.7175,0.2690,2026-08-04 12:00:00
0.7320,2.7313,0.2680,2026-08-04 13:00:00
0.7336,2.7538,0.2664,2026-08-04 14:00:00
0.7351,2.7750,0.2649,2026-08-04 15:00:00
0.7318,2.7286,0.2682,2026-08-04 16:00:00
0.7177,2.5423,0.2823,2026-08-04 17:00:00
0.7148,2.5063,0.2852,2026-08-04 18:00:00
