longAccount,longShortRatio,shortAccount,time
0.6185,1.6212,0.3815,2026-07-31 20:00:00
0.6149,1.5967,0.3851,2026-07-31 21:00:00
0.6175,1.6144,0.3825,2026-07-31 22:00:00
0.6168,1.6096,0.3832,2026-07-31 23:00:00
0.6155,1.6008,0.3845,2026-08-01 00:00:00
0.6157,1.6021,0.3843,2026-08-01 01:00:00
0.6145,1.5940,0.3855,2026-08-01 02:00:00
0.6133,1.5860,0.3867,2026-08-01 03:00:00
0.6145,1.5940,0.3855,2026-08-01 04:00:00
0.6140,1.5907,0.3860,2026-08-01 05:00:00
0.6181,1.6185,0.3819,2026-08-01 06:00:00
0.6224,1.6483,0.3776,2026-08-01 07:00:00
0.6184,1.6205,0.3816,2026-08-01 08:00:00
0.6158,1.6028,0.3842,2026-08-01 09:00:00
0.5952,1.4704,0.4048,2026-08-01 10:00:00
0.5946,1.4667,0.4054,2026-08-01 11:00:00
0.5971,1.4820,0.4029,2026-08-01 12:00:00
0.5934,1.4594,0.4066,2026-08-01 13:00:00
0.5955,1.4722,0.4045,2026-08-01 14:00:00
0.5956,1.4728,0.4044,2026-08-01 15:00:00
0.5994,1.4963,0.4006,2026-08-01 16:00:00
0.6058,1.5368,0.3942,2026-08-01 17:00:00
0.6100,1.5641,0.3900,2026-08-01 18:00:00
0.6163,1.6062,0.3837,2026-08-01 19:00:00
0.6202,1.6330,0.3798,2026-08-01 20:00:00
0.6186,1.6219,0.3814,2026-08-01 21:00:00
0.6207,1.6364,0.3793,2026-08-01 22:00:00
0.6240,1.6596,0.3760,2026-08-01 23:00:00
0.6413,1.7878,0.3587,2026-08-02 00:00:00
0.6418,1.7917,0.3582,2026-08-02 01:00:00
0.6446,1.8137,0.3554,2026-08-02 02:00:00
0.6454,1.8201,0.3546,2026-08-02 03:00:00
0.6294,1.6983,0.3706,2026-08-02 04:00:00
0.6324,1.7203,0.3676,2026-08-02 05:00:00
0.6368,1.7533,0.3632,2026-08-02 06:00:00
0.6401,1.7785,0.3599,2026-08-02 07:00:00
0.6406,1.7824,0.3594,2026-08-02 08:00:00
0.6626,1.9638,0.3374,2026-08-02 09:00:00
0.6613,1.9525,0.3387,2026-08-02 10:00:00
0.6585,1.9283,0.3415,2026-08-02 11:00:00
0.6634,1.9709,0.3366,2026-08-02 12:00:00
0.6655,1.9895,0.3345,2026-08-02 13:00:00
0.6593,1.9351,0.3407,2026-08-02 14:00:00
0.6577,1.9214,0.3423,2026-08-02 15:00:00
0.6566,1.9121,0.3434,2026-08-02 16:00:00
0.6632,1.9691,0.3368,2026-08-02 17:00:00
0.6626,1.9638,0.3374,2026-08-02 18:00:00
0.6643,1.9789,0.3357,2026-08-02 19:00:00
0.6621,1.9595,0.3379,2026-08-02 20:00:00
0.6617,1.9560,0.3383,2026-08-02 21:00:00
0.6636,1.9727,0.3364,2026-08-02 22:00:00
0.6595,1.9369,0.3405,2026-08-02 23:00:00
0.6587,1.9300,0.3413,2026-08-03 00:00:00
0.6530,1.8818,0.3470,2026-08-03 01:00:00
0.6517,1.8711,0.3483,2026-08-03 02:00:00
0.6572,1.9172,0.3428,2026-08-03 03:00:00
0.6573,1.9180,0.3427,2026-08-03 04:00:00
0.6595,1.9369,0.3405,2026-08-03 05:00:00
0.6599,1.9403,0.3401,2026-08-03 06:00:00
0.6565,1.9112,0.3435,2026-08-03 07:00:00
0.6550,1.8986,0.3450,2026-08-03 08:00:00
0.6533,1.8843,0.3467,2026-08-03 09:00:00
0.6562,1.9087,0.3438,2026-08-03 10:00:00
0.6551,1.8994,0.3449,2026-08-03 11:00:00
0.6546,1.8952,0.3454,2026-08-03 12:00:00
0.6529,1.8810,0.3471,2026-08-03 13:00:00
0.6603,1.9438,0.3397,2026-08-03 14:00:00
0.6653,1.9878,0.3347,2026-08-03 15:00:00
0.6463,1.8273,0.3537,2026-08-03 16:00:00
0.6479,1.8401,0.3521,2026-08-03 17:00:00
0.6493,1.8514,0.3507,2026-08-03 18:00:00
0.6453,1.8193,0.3547,2026-08-03 19:00:00
0.6433,1.8035,0.3567,2026-08-03 20:00:00
0.6445,1.8129,0.3555,2026-08-03 21:00:00
0.6443,1.8114,0.3557,2026-08-03 22:00:00
0.6650,1.9851,0.3350,2026-08-03 23:00:00
0.6650,1.9851,0.3350,2026-08-04 00:00:00
0.6693,2.0239,0.3307,2026-08-04 01:00:00
0.6654,1.9886,0.3346,2026-08-04 02:00:00
0.6650,1.9851,0.3350,2026-08-04 03:00:00
0.6598,1.9394,0.3402,2026-08-04 04:00:00
0.6560,1.9070,0.3440,2026-08-04 05:00:00
0.6547,1.8960,0.3453,2026-08-04 06:00:00
0.6544,1.8935,0.3456,2026-08-04 07:00:00
0.6502,1.8588,0.3498,2026-08-04 08:00:00
