longAccount,longShortRatio,shortAccount,time
0.7248,2.6337,0.2752,2026-08-01 23:00:00
0.7207,2.5804,0.2793,2026-08-02 00:00:00
0.7246,2.6311,0.2754,2026-08-02 01:00:00
0.7185,2.5524,0.2815,2026-08-02 02:00:00
0.7193,2.5625,0.2807,2026-08-02 03:00:00
0.7154,2.5137,0.2846,2026-08-02 04:00:00
0.7146,2.5039,0.2854,2026-08-02 05:00:00
0.7062,2.4037,0.2938,2026-08-02 06:00:00
0.7051,2.3910,0.2949,2026-08-02 07:00:00
0.7009,2.3434,0.2991,2026-08-02 08:00:00
0.6959,2.2884,0.3041,2026-08-02 09:00:00
0.6952,2.2808,0.3048,2026-08-02 10:00:00
0.6934,2.2616,0.3066,2026-08-02 11:00:00
0.6891,2.2165,0.3109,2026-08-02 12:00:00
0.6845,2.1696,0.3155,2026-08-02 13:00:00
0.6892,2.2175,0.3108,2026-08-02 14:00:00
0.6786,2.1114,0.3214,2026-08-02 15:00:00
0.6727,2.0553,0.3273,2026-08-02 16:00:00
0.6719,2.0479,0.3281,2026-08-02 17:00:00
0.6706,2.0358,0.3294,2026-08-02 18:00:00
0.6687,2.0184,0.3313,2026-08-02 19:00:00
0.6682,2.0139,0.3318,2026-08-02 20:00:00
0.6727,2.0553,0.3273,2026-08-02 21:00:00
0.6709,2.0386,0.3291,2026-08-02 22:00:00
0.6677,2.0093,0.3323,2026-08-02 23:00:00
0.6606,1.9464,0.3394,2026-08-03 00:00:00
0.6613,1.9525,0.3387,2026-08-03 01:00:00
0.6688,2.0193,0.3312,2026-08-03 02:00:00
0.6737,2.0647,0.3263,2026-08-03 03:00:00
0.6752,2.0788,0.3248,2026-08-03 04:00:00
0.6758,2.0845,0.3242,2026-08-03 05:00:00
0.6766,2.0921,0.3234,2026-08-03 06:00:00
0.6789,2.1143,0.3211,2026-08-03 07:00:00
0.6810,2.1348,0.3190,2026-08-03 08:00:00
0.6837,2.1616,0.3163,2026-08-03 09:00:00
0.6826,2.1506,0.3174,2026-08-03 10:00:00
0.6830,2.1546,0.3170,2026-08-03 11:00:00
0.6827,2.1516,0.3173,2026-08-03 12:00:00
0.6840,2.1646,0.3160,2026-08-03 13:00:00
0.6835,2.1596,0.3165,2026-08-03 14:00:00
0.6805,2.1299,0.3195,2026-08-03 15:00:00
0.6698,2.0285,0.3302,2026-08-03 16:00:00
0.6729,2.0572,0.3271,2026-08-03 17:00:00
0.6722,2.0506,0.3278,2026-08-03 18:00:00
0.6679,2.0111,0.3321,2026-08-03 19:00:00
0.6670,2.0030,0.3330,2026-08-03 20:00:00
0.6675,2.0075,0.3325,2026-08-03 21:00:00
0.6702,2.0321,0.3298,2026-08-03 22:00:00
0.6666,1.9994,0.3334,2026-08-03 23:00:00
0.6665,1.9985,0.3335,2026-08-04 00:00:00
0.6663,1.9967,0.3337,2026-08-04 01:00:00
0.6701,2.0312,0.3299,2026-08-04 02:00:00
0.6644,1.9797,0.3356,2026-08-04 03:00:00
0.6667,2.0003,0.3333,2026-08-04 04:00:00
0.6691,2.0221,0.3309,2026-08-04 05:00:00
0.6650,1.9851,0.3350,2026-08-04 06:00:00
0.6615,1.9542,0.3385,2026-08-04 07:00:00
0.6595,1.9369,0.3405,2026-08-04 08:00:00
0.6561,1.9078,0.3439,2026-08-04 09:00:00
0.6527,1.8794,0.3473,2026-08-04 10:00:00
0.6532,1.8835,0.3468,2026-08-04 11:00:00
0.6477,1.8385,0.3523,2026-08-04 12:00:00
0.6463,1.8273,0.3537,2026-08-04 13:00:00
0.6494,1.8523,0.3506,2026-08-04 14:00:00
0.6515,1.8694,0.3485,2026-08-04 15:00:00
0.6493,1.8514,0.3507,2026-08-04 16:00:00
0.6475,1.8369,0.3525,2026-08-04 17:00:00
0.6482,1.8425,0.3518,2026-08-04 18:00:00
0.6491,1.8498,0.3509,2026-08-04 19:00:00
