longAccount,longShortRatio,shortAccount,time
0.6630,1.9674,0.3370,2026-08-01 23:00:00
0.6626,1.9638,0.3374,2026-08-02 00:00:00
0.6621,1.9595,0.3379,2026-08-02 01:00:00
0.6587,1.9300,0.3413,2026-08-02 02:00:00
0.6534,1.8852,0.3466,2026-08-02 03:00:00
0.6470,1.8329,0.3530,2026-08-02 04:00:00
0.6381,1.7632,0.3619,2026-08-02 05:00:00
0.6364,1.7503,0.3636,2026-08-02 06:00:00
0.6359,1.7465,0.3641,2026-08-02 07:00:00
0.6355,1.7435,0.3645,2026-08-02 08:00:00
0.6361,1.7480,0.3639,2026-08-02 09:00:00
0.6381,1.7632,0.3619,2026-08-02 10:00:00
0.6430,1.8011,0.3570,2026-08-02 11:00:00
0.6452,1.8185,0.3548,2026-08-02 12:00:00
0.6479,1.8401,0.3521,2026-08-02 13:00:00
0.6508,1.8637,0.3492,2026-08-02 14:00:00
0.6520,1.8736,0.3480,2026-08-02 15:00:00
0.6528,1.8802,0.3472,2026-08-02 16:00:00
0.6554,1.9019,0.3446,2026-08-02 17:00:00
0.6548,1.8969,0.3452,2026-08-02 18:00:00
0.6569,1.9146,0.3431,2026-08-02 19:00:00
0.6548,1.8969,0.3452,2026-08-02 20:00:00
0.6550,1.8986,0.3450,2026-08-02 21:00:00
0.6569,1.9146,0.3431,2026-08-02 22:00:00
0.6553,1.9011,0.3447,2026-08-02 23:00:00
0.6544,1.8935,0.3456,2026-08-03 00:00:00
0.6551,1.8994,0.3449,2026-08-03 01:00:00
0.6591,1.9334,0.3409,2026-08-03 02:00:00
0.6659,1.9931,0.3341,2026-08-03 03:00:00
0.6687,2.0184,0.3313,2026-08-03 04:00:00
0.6672,2.0048,0.3328,2026-08-03 05:00:00
0.6676,2.0084,0.3324,2026-08-03 06:00:00
0.6668,2.0012,0.3332,2026-08-03 07:00:00
0.6663,1.9967,0.3337,2026-08-03 08:00:00
0.6727,2.0553,0.3273,2026-08-03 09:00:00
0.6724,2.0525,0.3276,2026-08-03 10:00:00
0.6711,2.0404,0.3289,2026-08-03 11:00:00
0.6709,2.0386,0.3291,2026-08-03 12:00:00
0.6690,2.0211,0.3310,2026-08-03 13:00:00
0.6682,2.0139,0.3318,2026-08-03 14:00:00
0.6667,2.0003,0.3333,2026-08-03 15:00:00
0.6670,2.0030,0.3330,2026-08-03 16:00:00
