longAccount,longShortRatio,shortAccount,time
0.7126,2.4801,0.2874,2026-07-28 20:00:00
0.7124,2.4766,0.2876,2026-07-28 21:00:00
0.7119,2.4715,0.2881,2026-07-28 22:00:00
0.7103,2.4514,0.2897,2026-07-28 23:00:00
0.7121,2.4736,0.2879,2026-07-29 00:00:00
0.7141,2.4979,0.2859,2026-07-29 01:00:00
0.7131,2.4860,0.2869,2026-07-29 02:00:00
0.7143,2.5004,0.2857,2026-07-29 03:00:00
0.7096,2.4434,0.2904,2026-07-29 04:00:00
0.7144,2.5019,0.2856,2026-07-29 05:00:00
0.7102,2.4510,0.2898,2026-07-29 06:00:00
0.7102,2.4508,0.2898,2026-07-29 07:00:00
0.7118,2.4699,0.2882,2026-07-29 08:00:00
0.7116,2.4674,0.2884,2026-07-29 09:00:00
0.7097,2.4449,0.2903,2026-07-29 10:00:00
0.7088,2.4340,0.2912,2026-07-29 11:00:00
0.7087,2.4333,0.2913,2026-07-29 12:00:00
0.7095,2.4426,0.2905,2026-07-29 13:00:00
0.7081,2.4261,0.2919,2026-07-29 14:00:00
0.7064,2.4056,0.2936,2026-07-29 15:00:00
0.7083,2.4277,0.2917,2026-07-29 16:00:00
0.7104,2.4534,0.2896,2026-07-29 17:00:00
0.7087,2.4334,0.2913,2026-07-29 18:00:00
0.7074,2.4172,0.2926,2026-07-29 19:00:00
0.7100,2.4481,0.2900,2026-07-29 20:00:00
0.7120,2.4721,0.2880,2026-07-29 21:00:00
0.7131,2.4851,0.2869,2026-07-29 22:00:00
0.7126,2.4789,0.2874,2026-07-29 23:00:00
0.7112,2.4621,0.2888,2026-07-30 00:00:00
0.7110,2.4602,0.2890,2026-07-30 01:00:00
0.7110,2.4604,0.2890,2026-07-30 02:00:00
0.7097,2.4450,0.2903,2026-07-30 03:00:00
0.7129,2.4837,0.2871,2026-07-30 04:00:00
0.7121,2.4734,0.2879,2026-07-30 05:00:00
0.7097,2.4446,0.2903,2026-07-30 06:00:00
0.7092,2.4389,0.2908,2026-07-30 07:00:00
0.7107,2.4564,0.2893,2026-07-30 08:00:00
0.7102,2.4505,0.2898,2026-07-30 09:00:00
0.7083,2.4280,0.2917,2026-07-30 10:00:00
0.7086,2.4318,0.2914,2026-07-30 11:00:00
0.7077,2.4210,0.2923,2026-07-30 12:00:00
0.7075,2.4188,0.2925,2026-07-30 13:00:00
0.7073,2.4163,0.2927,2026-07-30 14:00:00
0.7071,2.4147,0.2929,2026-07-30 15:00:00
0.7102,2.4507,0.2898,2026-07-30 16:00:00
0.7084,2.4297,0.2916,2026-07-30 17:00:00
0.7073,2.4169,0.2927,2026-07-30 18:00:00
0.7064,2.4057,0.2936,2026-07-30 19:00:00
0.7058,2.3994,0.2942,2026-07-30 20:00:00
0.7026,2.3629,0.2974,2026-07-30 21:00:00
0.6991,2.3231,0.3009,2026-07-30 22:00:00
0.7002,2.3357,0.2998,2026-07-30 23:00:00
0.7009,2.3435,0.2991,2026-07-31 00:00:00
0.7007,2.3411,0.2993,2026-07-31 01:00:00
0.7014,2.3491,0.2986,2026-07-31 02:00:00
0.7022,2.3581,0.2978,2026-07-31 03:00:00
0.7040,2.3786,0.2960,2026-07-31 04:00:00
0.7023,2.3587,0.2977,2026-07-31 05:00:00
0.7028,2.3642,0.2972,2026-07-31 06:00:00
0.7029,2.3661,0.2971,2026-07-31 07:00:00
0.7051,2.3905,0.2949,2026-07-31 08:00:00
0.7051,2.3906,0.2949,2026-07-31 09:00:00
0.7049,2.3886,0.2951,2026-07-31 10:00:00
0.7065,2.4067,0.2935,2026-07-31 11:00:00
0.7067,2.4098,0.2933,2026-07-31 12:00:00
0.7062,2.4035,0.2938,2026-07-31 13:00:00
0.7059,2.4004,0.2941,2026-07-31 14:00:00
0.7117,2.4691,0.2883,2026-07-31 15:00:00
0.7129,2.4832,0.2871,2026-07-31 16:00:00
0.7139,2.4952,0.2861,2026-07-31 17:00:00
0.7135,2.4909,0.2865,2026-07-31 18:00:00
0.7126,2.4796,0.2874,2026-07-31 19:00:00
0.7117,2.4689,0.2883,2026-07-31 20:00:00
0.7097,2.4453,0.2903,2026-07-31 21:00:00
0.7099,2.4475,0.2901,2026-07-31 22:00:00
0.7109,2.4591,0.2891,2026-07-31 23:00:00
0.7119,2.4713,0.2881,2026-08-01 00:00:00
0.7134,2.4896,0.2866,2026-08-01 01:00:00
0.7122,2.4741,0.2878,2026-08-01 02:00:00
0.7131,2.4859,0.2869,2026-08-01 03:00:00
0.7131,2.4849,0.2869,2026-08-01 04:00:00
0.7117,2.4685,0.2883,2026-08-01 05:00:00
0.7102,2.4509,0.2898,2026-08-01 06:00:00
0.7101,2.4496,0.2899,2026-08-01 07:00:00
0.7087,2.4334,0.2913,2026-08-01 08:00:00
0.7079,2.4240,0.2921,2026-08-01 09:00:00
0.7083,2.4277,0.2917,2026-08-01 10:00:00
0.7067,2.4089,0.2933,2026-08-01 11:00:00
0.7051,2.3915,0.2949,2026-08-01 12:00:00
0.7039,2.3774,0.2961,2026-08-01 13:00:00
0.7023,2.3589,0.2977,2026-08-01 14:00:00
0.7009,2.3438,0.2991,2026-08-01 15:00:00
0.7001,2.3348,0.2999,2026-08-01 16:00:00
0.7010,2.3440,0.2990,2026-08-01 17:00:00
0.6977,2.3077,0.3023,2026-08-01 18:00:00
0.6956,2.2847,0.3044,2026-08-01 19:00:00
0.7162,2.5237,0.2838,2026-08-01 20:00:00
0.7155,2.5148,0.2845,2026-08-01 21:00:00
0.7155,2.5152,0.2845,2026-08-01 22:00:00
0.7147,2.5054,0.2853,2026-08-01 23:00:00
0.7129,2.4828,0.2871,2026-08-02 00:00:00
0.7140,2.4960,0.2860,2026-08-02 01:00:00
0.7185,2.5522,0.2815,2026-08-02 02:00:00
0.7189,2.5579,0.2811,2026-08-02 03:00:00
