longAccount,longShortRatio,shortAccount,time
0.5777,1.3682,0.4223,2026-07-31 20:00:00
0.5805,1.3840,0.4195,2026-07-31 21:00:00
0.5834,1.4002,0.4166,2026-07-31 22:00:00
0.5843,1.4054,0.4157,2026-07-31 23:00:00
0.5843,1.4053,0.4157,2026-08-01 00:00:00
0.5824,1.3944,0.4176,2026-08-01 01:00:00
0.5829,1.3976,0.4171,2026-08-01 02:00:00
0.5833,1.3999,0.4167,2026-08-01 03:00:00
0.5835,1.4011,0.4165,2026-08-01 04:00:00
0.5834,1.4003,0.4166,2026-08-01 05:00:00
0.5806,1.3843,0.4194,2026-08-01 06:00:00
0.5812,1.3880,0.4188,2026-08-01 07:00:00
0.5816,1.3901,0.4184,2026-08-01 08:00:00
0.5839,1.4030,0.4161,2026-08-01 09:00:00
0.5875,1.4245,0.4125,2026-08-01 10:00:00
0.5887,1.4311,0.4113,2026-08-01 11:00:00
0.5900,1.4390,0.4100,2026-08-01 12:00:00
0.5905,1.4417,0.4095,2026-08-01 13:00:00
0.5908,1.4439,0.4092,2026-08-01 14:00:00
0.5908,1.4438,0.4092,2026-08-01 15:00:00
0.5900,1.4392,0.4100,2026-08-01 16:00:00
0.5886,1.4307,0.4114,2026-08-01 17:00:00
0.5884,1.4296,0.4116,2026-08-01 18:00:00
0.6182,1.6190,0.3818,2026-08-01 19:00:00
0.6118,1.5761,0.3882,2026-08-01 20:00:00
0.6084,1.5539,0.3916,2026-08-01 21:00:00
0.6069,1.5441,0.3931,2026-08-01 22:00:00
0.6058,1.5369,0.3942,2026-08-01 23:00:00
0.6061,1.5387,0.3939,2026-08-02 00:00:00
0.6031,1.5196,0.3969,2026-08-02 01:00:00
0.6017,1.5105,0.3983,2026-08-02 02:00:00
0.5953,1.4712,0.4047,2026-08-02 03:00:00
0.6051,1.5325,0.3949,2026-08-02 04:00:00
0.5922,1.4520,0.4078,2026-08-02 05:00:00
0.5916,1.4484,0.4084,2026-08-02 06:00:00
0.5978,1.4864,0.4022,2026-08-02 07:00:00
0.6048,1.5304,0.3952,2026-08-02 08:00:00
0.6101,1.5645,0.3899,2026-08-02 09:00:00
0.6034,1.5217,0.3966,2026-08-02 10:00:00
0.6079,1.5506,0.3921,2026-08-02 11:00:00
0.6125,1.5804,0.3875,2026-08-02 12:00:00
0.6129,1.5832,0.3871,2026-08-02 13:00:00
