longAccount,longShortRatio,shortAccount,time
0.6108,1.5696,0.3892,2026-07-31 20:00:00
0.6108,1.5694,0.3892,2026-07-31 21:00:00
0.6113,1.5727,0.3887,2026-07-31 22:00:00
0.6113,1.5728,0.3887,2026-07-31 23:00:00
0.6125,1.5810,0.3875,2026-08-01 00:00:00
0.6113,1.5729,0.3887,2026-08-01 01:00:00
0.6093,1.5592,0.3907,2026-08-01 02:00:00
0.6084,1.5535,0.3916,2026-08-01 03:00:00
0.6080,1.5512,0.3920,2026-08-01 04:00:00
0.6098,1.5630,0.3902,2026-08-01 05:00:00
0.6098,1.5625,0.3902,2026-08-01 06:00:00
0.6092,1.5587,0.3908,2026-08-01 07:00:00
0.6091,1.5584,0.3909,2026-08-01 08:00:00
0.6114,1.5731,0.3886,2026-08-01 09:00:00
0.6107,1.5689,0.3893,2026-08-01 10:00:00
0.6171,1.6120,0.3829,2026-08-01 11:00:00
0.6150,1.5973,0.3850,2026-08-01 12:00:00
0.6153,1.5997,0.3847,2026-08-01 13:00:00
0.6151,1.5982,0.3849,2026-08-01 14:00:00
0.6151,1.5979,0.3849,2026-08-01 15:00:00
0.6147,1.5955,0.3853,2026-08-01 16:00:00
0.6134,1.5867,0.3866,2026-08-01 17:00:00
0.6133,1.5859,0.3867,2026-08-01 18:00:00
0.6144,1.5932,0.3856,2026-08-01 19:00:00
0.6178,1.6167,0.3822,2026-08-01 20:00:00
0.6174,1.6137,0.3826,2026-08-01 21:00:00
0.6181,1.6182,0.3819,2026-08-01 22:00:00
0.6174,1.6139,0.3826,2026-08-01 23:00:00
0.6171,1.6116,0.3829,2026-08-02 00:00:00
0.6169,1.6102,0.3831,2026-08-02 01:00:00
0.6169,1.6100,0.3831,2026-08-02 02:00:00
0.6171,1.6114,0.3829,2026-08-02 03:00:00
0.6164,1.6070,0.3836,2026-08-02 04:00:00
0.6143,1.5928,0.3857,2026-08-02 05:00:00
0.6139,1.5898,0.3861,2026-08-02 06:00:00
0.6111,1.5712,0.3889,2026-08-02 07:00:00
0.6092,1.5591,0.3908,2026-08-02 08:00:00
0.6092,1.5590,0.3908,2026-08-02 09:00:00
0.6098,1.5627,0.3902,2026-08-02 10:00:00
0.6102,1.5657,0.3898,2026-08-02 11:00:00
0.6103,1.5658,0.3897,2026-08-02 12:00:00
0.6117,1.5755,0.3883,2026-08-02 13:00:00
0.6134,1.5866,0.3866,2026-08-02 14:00:00
0.6101,1.5648,0.3899,2026-08-02 15:00:00
0.6095,1.5607,0.3905,2026-08-02 16:00:00
0.6083,1.5530,0.3917,2026-08-02 17:00:00
0.6078,1.5499,0.3922,2026-08-02 18:00:00
0.6086,1.5547,0.3914,2026-08-02 19:00:00
0.6088,1.5562,0.3912,2026-08-02 20:00:00
0.6081,1.5517,0.3919,2026-08-02 21:00:00
0.6081,1.5520,0.3919,2026-08-02 22:00:00
0.6100,1.5643,0.3900,2026-08-02 23:00:00
0.6100,1.5641,0.3900,2026-08-03 00:00:00
0.6113,1.5725,0.3887,2026-08-03 01:00:00
0.6113,1.5729,0.3887,2026-08-03 02:00:00
0.6145,1.5940,0.3855,2026-08-03 03:00:00
0.6142,1.5921,0.3858,2026-08-03 04:00:00
0.6143,1.5929,0.3857,2026-08-03 05:00:00
0.6148,1.5961,0.3852,2026-08-03 06:00:00
