longAccount,longShortRatio,shortAccount,time
0.7306,2.7120,0.2694,2026-08-01 23:00:00
0.7401,2.8471,0.2599,2026-08-02 00:00:00
0.7395,2.8385,0.2605,2026-08-02 01:00:00
0.7381,2.8182,0.2619,2026-08-02 02:00:00
0.7467,2.9475,0.2533,2026-08-02 03:00:00
0.7464,2.9439,0.2536,2026-08-02 04:00:00
0.7450,2.9222,0.2550,2026-08-02 05:00:00
0.7429,2.8895,0.2571,2026-08-02 06:00:00
0.7448,2.9188,0.2552,2026-08-02 07:00:00
0.7434,2.8977,0.2566,2026-08-02 08:00:00
0.7474,2.9595,0.2526,2026-08-02 09:00:00
0.7488,2.9816,0.2512,2026-08-02 10:00:00
0.7480,2.9678,0.2520,2026-08-02 11:00:00
0.7494,2.9900,0.2506,2026-08-02 12:00:00
0.7488,2.9814,0.2512,2026-08-02 13:00:00
0.7503,3.0051,0.2497,2026-08-02 14:00:00
0.7461,2.9380,0.2539,2026-08-02 15:00:00
0.7469,2.9514,0.2531,2026-08-02 16:00:00
0.7469,2.9512,0.2531,2026-08-02 17:00:00
0.7442,2.9089,0.2558,2026-08-02 18:00:00
0.7437,2.9023,0.2563,2026-08-02 19:00:00
0.7426,2.8847,0.2574,2026-08-02 20:00:00
0.7398,2.8433,0.2602,2026-08-02 21:00:00
0.7393,2.8361,0.2607,2026-08-02 22:00:00
0.7453,2.9255,0.2547,2026-08-02 23:00:00
0.7467,2.9481,0.2533,2026-08-03 00:00:00
0.7500,2.9998,0.2500,2026-08-03 01:00:00
0.7489,2.9831,0.2511,2026-08-03 02:00:00
0.7493,2.9896,0.2507,2026-08-03 03:00:00
0.7511,3.0182,0.2489,2026-08-03 04:00:00
0.7494,2.9909,0.2506,2026-08-03 05:00:00
0.7495,2.9916,0.2505,2026-08-03 06:00:00
0.7488,2.9803,0.2512,2026-08-03 07:00:00
0.7406,2.8556,0.2594,2026-08-03 08:00:00
0.7412,2.8636,0.2588,2026-08-03 09:00:00
0.7409,2.8594,0.2591,2026-08-03 10:00:00
0.7280,2.6766,0.2720,2026-08-03 11:00:00
0.7280,2.6761,0.2720,2026-08-03 12:00:00
0.7396,2.8401,0.2604,2026-08-03 13:00:00
0.7406,2.8548,0.2594,2026-08-03 14:00:00
0.7398,2.8437,0.2602,2026-08-03 15:00:00
0.7395,2.8387,0.2605,2026-08-03 16:00:00
0.7421,2.8768,0.2579,2026-08-03 17:00:00
0.7427,2.8870,0.2573,2026-08-03 18:00:00
0.7413,2.8657,0.2587,2026-08-03 19:00:00
0.7427,2.8864,0.2573,2026-08-03 20:00:00
0.7439,2.9043,0.2561,2026-08-03 21:00:00
0.7446,2.9152,0.2554,2026-08-03 22:00:00
0.7494,2.9906,0.2506,2026-08-03 23:00:00
0.7500,2.9993,0.2500,2026-08-04 00:00:00
0.7523,3.0366,0.2477,2026-08-04 01:00:00
0.7516,3.0259,0.2484,2026-08-04 02:00:00
0.7488,2.9810,0.2512,2026-08-04 03:00:00
0.7495,2.9918,0.2505,2026-08-04 04:00:00
0.7487,2.9794,0.2513,2026-08-04 05:00:00
0.7487,2.9791,0.2513,2026-08-04 06:00:00
0.7490,2.9838,0.2510,2026-08-04 07:00:00
0.7486,2.9779,0.2514,2026-08-04 08:00:00
0.7489,2.9823,0.2511,2026-08-04 09:00:00
0.7493,2.9892,0.2507,2026-08-04 10:00:00
0.7488,2.9815,0.2512,2026-08-04 11:00:00
0.7460,2.9366,0.2540,2026-08-04 12:00:00
0.7464,2.9432,0.2536,2026-08-04 13:00:00
0.7507,3.0117,0.2493,2026-08-04 14:00:00
0.7516,3.0263,0.2484,2026-08-04 15:00:00
0.7496,2.9934,0.2504,2026-08-04 16:00:00
0.7502,3.0039,0.2498,2026-08-04 17:00:00
0.7527,3.0444,0.2473,2026-08-04 18:00:00
0.7550,3.0809,0.2450,2026-08-04 19:00:00
0.7560,3.0976,0.2440,2026-08-04 20:00:00
0.7568,3.1124,0.2432,2026-08-04 21:00:00
0.7561,3.1008,0.2439,2026-08-04 22:00:00
0.7573,3.1202,0.2427,2026-08-04 23:00:00
0.7590,3.1497,0.2410,2026-08-05 00:00:00
0.7594,3.1565,0.2406,2026-08-05 01:00:00
0.7595,3.1576,0.2405,2026-08-05 02:00:00
0.7603,3.1711,0.2397,2026-08-05 03:00:00
0.7572,3.1181,0.2428,2026-08-05 04:00:00
0.7572,3.1180,0.2428,2026-08-05 05:00:00
0.7560,3.0982,0.2440,2026-08-05 06:00:00
0.7550,3.0813,0.2450,2026-08-05 07:00:00
0.7540,3.0652,0.2460,2026-08-05 08:00:00
0.7547,3.0771,0.2453,2026-08-05 09:00:00
0.7542,3.0689,0.2458,2026-08-05 10:00:00
0.7539,3.0626,0.2461,2026-08-05 11:00:00
