Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2026-08-18 13:00:00,0.17400000,0.17520000,0.17380000,0.17450000,2826195.10000000,2026-08-18 13:59:59,493230.91295000,3637,1222712.90000000,213463.59687000,0
2026-08-18 14:00:00,0.17460000,0.17700000,0.17370000,0.17560000,8348646.50000000,2026-08-18 14:59:59,1466566.91866000,9162,3343615.00000000,587386.34526000,0
2026-08-18 15:00:00,0.17570000,0.17600000,0.17500000,0.17570000,2056879.20000000,2026-08-18 15:59:59,361066.20213000,3869,1180793.00000000,207314.78318000,0
2026-08-18 16:00:00,0.17570000,0.17580000,0.17460000,0.17470000,2509232.20000000,2026-08-18 16:59:59,439898.80182000,3107,1531133.80000000,268454.48528000,0
2026-08-18 17:00:00,0.17470000,0.17470000,0.17410000,0.17430000,1976554.80000000,2026-08-18 17:59:59,344641.38599000,2087,1014282.30000000,176878.32214000,0
2026-08-18 18:00:00,0.17430000,0.17460000,0.17410000,0.17430000,1520707.30000000,2026-08-18 18:59:59,265175.10889000,1419,908798.50000000,158489.45015000,0
2026-08-18 19:00:00,0.17440000,0.17470000,0.17330000,0.17340000,1909634.10000000,2026-08-18 19:59:59,332161.39690000,1778,923825.30000000,160659.58300000,0
2026-08-18 20:00:00,0.17350000,0.17380000,0.17280000,0.17290000,1989105.30000000,2026-08-18 20:59:59,344406.22841000,2125,881145.90000000,152541.69497000,0
2026-08-18 21:00:00,0.17280000,0.17370000,0.17280000,0.17290000,1165225.00000000,2026-08-18 21:59:59,201750.48545000,1034,687121.40000000,118972.63721000,0
2026-08-18 22:00:00,0.17290000,0.17340000,0.17270000,0.17290000,1687965.20000000,2026-08-18 22:59:59,292027.46760000,1760,567815.00000000,98245.89477000,0
2026-08-18 23:00:00,0.17290000,0.17480000,0.17280000,0.17460000,2554733.90000000,2026-08-18 23:59:59,444766.77663000,2558,1485507.40000000,258430.76284000,0
2026-08-19 00:00:00,0.17460000,0.17470000,0.17330000,0.17380000,1704160.70000000,2026-08-19 00:59:59,296662.53859000,2387,749913.60000000,130564.60509000,0
2026-08-19 01:00:00,0.17380000,0.17450000,0.17360000,0.17380000,1655390.80000000,2026-08-19 01:59:59,288125.44150000,2043,731829.20000000,127362.52144000,0
2026-08-19 02:00:00,0.17380000,0.17430000,0.17350000,0.17410000,1712697.70000000,2026-08-19 02:59:59,297793.84750000,1999,769099.80000000,133716.68254000,0
2026-08-19 03:00:00,0.17410000,0.17540000,0.17370000,0.17530000,2017899.50000000,2026-08-19 03:59:59,352736.62670000,2298,986193.80000000,172454.41392000,0
2026-08-19 04:00:00,0.17530000,0.17550000,0.17420000,0.17420000,2909597.20000000,2026-08-19 04:59:59,508800.85107000,2204,839269.80000000,146803.14149000,0
2026-08-19 05:00:00,0.17420000,0.17560000,0.17420000,0.17550000,2532402.10000000,2026-08-19 05:59:59,443554.71605000,2543,1188409.90000000,208053.46443000,0
2026-08-19 06:00:00,0.17540000,0.17620000,0.17480000,0.17600000,3521887.40000000,2026-08-19 06:59:59,618761.55454000,3266,1481722.80000000,260363.10696000,0
2026-08-19 07:00:00,0.17600000,0.17630000,0.17510000,0.17540000,2555393.70000000,2026-08-19 07:59:59,448697.35417000,2205,1014829.00000000,178182.99042000,0
2026-08-19 08:00:00,0.17540000,0.17580000,0.17470000,0.17480000,1988813.50000000,2026-08-19 08:59:59,348656.56428000,2058,704847.10000000,123554.39244000,0
2026-08-19 09:00:00,0.17480000,0.17510000,0.17370000,0.17420000,2399024.90000000,2026-08-19 09:59:59,418254.07033000,1977,1073697.90000000,187238.18561000,0
2026-08-19 10:00:00,0.17430000,0.17430000,0.17370000,0.17430000,1899602.40000000,2026-08-19 10:59:59,330516.51870000,1526,938193.80000000,163227.24024000,0
2026-08-19 11:00:00,0.17420000,0.17520000,0.17420000,0.17490000,3152022.60000000,2026-08-19 11:59:59,551240.87598000,2187,1379427.10000000,241229.30462000,0
2026-08-19 12:00:00,0.17500000,0.17590000,0.17460000,0.17550000,3233250.30000000,2026-08-19 12:59:59,566448.80899000,2977,1433348.40000000,251165.50657000,0
2026-08-19 13:00:00,0.17550000,0.17570000,0.17380000,0.17410000,4220088.40000000,2026-08-19 13:59:59,737551.47199000,4350,1538714.00000000,268860.41134000,0
2026-08-19 14:00:00,0.17420000,0.17690000,0.17390000,0.17650000,6506221.20000000,2026-08-19 14:59:59,1141074.45789000,5669,4105119.10000000,720256.14161000,0
2026-08-19 15:00:00,0.17660000,0.18340000,0.17600000,0.17950000,43341069.60000000,2026-08-19 15:59:59,7801560.83388000,35944,21280659.90000000,3833277.26088000,0
2026-08-19 16:00:00,0.17960000,0.18140000,0.17860000,0.17940000,15507023.50000000,2026-08-19 16:59:59,2792858.99020000,11922,7348229.20000000,1323114.24303000,0
2026-08-19 17:00:00,0.17940000,0.18020000,0.17790000,0.17990000,4936582.40000000,2026-08-19 17:59:59,884098.96974000,5844,2347311.90000000,420635.79668000,0
2026-08-19 18:00:00,0.17980000,0.18060000,0.17870000,0.18020000,5115801.00000000,2026-08-19 18:59:59,920317.68449000,4731,2789038.70000000,501749.62537000,0
2026-08-19 19:00:00,0.18010000,0.18130000,0.17950000,0.18130000,5005890.80000000,2026-08-19 19:59:59,904301.22873000,4906,2325277.60000000,420037.59334000,0
2026-08-19 20:00:00,0.18130000,0.18570000,0.18110000,0.18510000,15196554.00000000,2026-08-19 20:59:59,2782835.21737000,13721,10065189.20000000,1841402.24133000,0
2026-08-19 21:00:00,0.18510000,0.19230000,0.18490000,0.19010000,26933779.10000000,2026-08-19 21:59:59,5097614.87660000,31909,13466045.00000000,2548471.64599000,0
2026-08-19 22:00:00,0.19020000,0.19100000,0.18780000,0.18840000,9819633.20000000,2026-08-19 22:59:59,1860279.33304000,14133,4686753.80000000,888297.01013000,0
2026-08-19 23:00:00,0.18850000,0.18860000,0.18580000,0.18710000,8450337.20000000,2026-08-19 23:59:59,1580589.45959000,8606,3978809.40000000,744707.39738000,0
2026-08-20 00:00:00,0.18710000,0.18880000,0.18540000,0.18590000,7135944.40000000,2026-08-20 00:59:59,1335829.80583000,8083,3120560.20000000,585152.97447000,0
2026-08-20 01:00:00,0.18590000,0.18790000,0.18520000,0.18720000,5286042.10000000,2026-08-20 01:59:59,983857.55723000,5362,2298764.30000000,428427.00634000,0
2026-08-20 02:00:00,0.18720000,0.18750000,0.18540000,0.18550000,3856716.50000000,2026-08-20 02:59:59,718746.78537000,3890,1382771.70000000,257983.73719000,0
2026-08-20 03:00:00,0.18550000,0.18550000,0.18200000,0.18230000,8849005.00000000,2026-08-20 03:59:59,1622520.43420000,7740,4285981.70000000,785602.93389000,0
2026-08-20 04:00:00,0.18230000,0.18380000,0.18180000,0.18350000,5501045.30000000,2026-08-20 04:59:59,1004107.02939000,4308,3453740.50000000,630350.93651000,0
2026-08-20 05:00:00,0.18350000,0.18440000,0.18320000,0.18350000,2729526.60000000,2026-08-20 05:59:59,501952.24140000,3001,1355964.10000000,249381.74097000,0
2026-08-20 06:00:00,0.18350000,0.18480000,0.18280000,0.18470000,3625205.40000000,2026-08-20 06:59:59,666684.28177000,3480,2030738.30000000,373429.14510000,0
2026-08-20 07:00:00,0.18460000,0.18470000,0.18330000,0.18420000,2536928.70000000,2026-08-20 07:59:59,466641.67029000,3181,1338874.50000000,246271.21746000,0
2026-08-20 08:00:00,0.18430000,0.19020000,0.18390000,0.18980000,17859570.60000000,2026-08-20 08:59:59,3354066.99408000,16414,10564874.60000000,1982615.58728000,0
2026-08-20 09:00:00,0.18980000,0.19120000,0.18830000,0.18940000,12939703.80000000,2026-08-20 09:59:59,2458017.65070000,12144,5766658.70000000,1095841.83561000,0
2026-08-20 10:00:00,0.18940000,0.19220000,0.18920000,0.19020000,17961915.20000000,2026-08-20 10:59:59,3421277.33012000,14686,8700101.10000000,1658358.43880000,0
2026-08-20 11:00:00,0.19020000,0.19550000,0.18980000,0.19310000,14435088.40000000,2026-08-20 11:59:59,2784999.87008000,13876,7145982.70000000,1379837.45919000,0
2026-08-20 12:00:00,0.19310000,0.19370000,0.19000000,0.19160000,10124074.20000000,2026-08-20 12:59:59,1939423.90243000,12476,4586819.50000000,878380.95128000,0
2026-08-20 13:00:00,0.19160000,0.19530000,0.19100000,0.19530000,11569477.50000000,2026-08-20 13:59:59,2230518.82942000,15646,5606470.80000000,1081616.42489000,0
2026-08-20 14:00:00,0.19530000,0.19720000,0.19280000,0.19430000,14506204.20000000,2026-08-20 14:59:59,2827326.47465000,19038,6524379.30000000,1271311.28152000,0
2026-08-20 15:00:00,0.19430000,0.19800000,0.19400000,0.19690000,13850960.00000000,2026-08-20 15:59:59,2717785.58714000,17630,6705545.30000000,1316272.97977000,0
2026-08-20 16:00:00,0.19700000,0.19970000,0.19600000,0.19950000,13822092.60000000,2026-08-20 16:59:59,2737657.94005000,14101,7386131.60000000,1464110.37940000,0
2026-08-20 17:00:00,0.19960000,0.20350000,0.19940000,0.20090000,20180430.60000000,2026-08-20 17:59:59,4060661.56495000,19884,10647123.30000000,2141025.05764000,0
2026-08-20 18:00:00,0.20090000,0.20260000,0.19540000,0.19540000,17236954.70000000,2026-08-20 18:59:59,3420913.72264000,19494,7890406.00000000,1566673.61868000,0
2026-08-20 19:00:00,0.19540000,0.19630000,0.19330000,0.19480000,11851479.10000000,2026-08-20 19:59:59,2309536.55932000,11725,6231005.10000000,1214735.99341000,0
2026-08-20 20:00:00,0.19480000,0.19800000,0.19450000,0.19800000,5435244.70000000,2026-08-20 20:59:59,1069080.03297000,7246,2765158.80000000,544107.31389000,0
2026-08-20 21:00:00,0.19800000,0.19900000,0.19690000,0.19770000,4152849.30000000,2026-08-20 21:59:59,821346.64747000,5150,2015230.60000000,398534.77393000,0
2026-08-20 22:00:00,0.19780000,0.19820000,0.19580000,0.19600000,4120648.40000000,2026-08-20 22:59:59,809726.55434000,5514,2124001.90000000,417329.74711000,0
