Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2026-08-18 13:00:00,601.23000000,601.23000000,600.00000000,600.30000000,6040.38500000,2026-08-18 13:59:59,3627145.87884000,21163,2173.50400000,1305158.52008000,0
2026-08-18 14:00:00,600.30000000,604.24000000,600.29000000,602.71000000,7568.75400000,2026-08-18 14:59:59,4560801.80526000,35294,3267.98300000,1969131.52867000,0
2026-08-18 15:00:00,602.71000000,604.00000000,602.70000000,603.45000000,3953.84000000,2026-08-18 15:59:59,2385764.72585000,22159,1724.99300000,1040829.99948000,0
2026-08-18 16:00:00,603.46000000,604.48000000,603.13000000,603.91000000,2270.89300000,2026-08-18 16:59:59,1370781.58115000,12570,964.60100000,582281.86830000,0
2026-08-18 17:00:00,603.92000000,603.96000000,602.70000000,602.78000000,2304.80400000,2026-08-18 17:59:59,1389699.75355000,9562,697.35900000,420467.32344000,0
2026-08-18 18:00:00,602.79000000,604.00000000,602.70000000,603.29000000,1834.33800000,2026-08-18 18:59:59,1106685.25125000,9895,846.31000000,510513.81056000,0
2026-08-18 19:00:00,603.30000000,603.83000000,602.94000000,603.00000000,1800.58400000,2026-08-18 19:59:59,1086293.63717000,7934,531.32800000,320552.60496000,0
2026-08-18 20:00:00,603.00000000,603.12000000,602.69000000,602.91000000,1320.06600000,2026-08-18 20:59:59,795808.07093000,6395,463.67400000,279525.30817000,0
2026-08-18 21:00:00,602.92000000,603.11000000,602.23000000,602.53000000,1579.73600000,2026-08-18 21:59:59,952158.63358000,7602,415.21100000,250330.47662000,0
2026-08-18 22:00:00,602.54000000,603.51000000,602.53000000,603.20000000,1906.67700000,2026-08-18 22:59:59,1149781.40393000,6970,939.75200000,566709.97099000,0
2026-08-18 23:00:00,603.20000000,604.20000000,603.12000000,603.94000000,1573.25300000,2026-08-18 23:59:59,949957.16874000,7584,602.62600000,363908.49838000,0
2026-08-19 00:00:00,603.95000000,604.82000000,602.94000000,603.93000000,3592.15800000,2026-08-19 00:59:59,2168781.85035000,14195,1217.57600000,735182.88969000,0
