Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2026-08-18 13:00:00,64230.02000000,64284.00000000,64027.85000000,64219.99000000,1179.78725000,2026-08-18 13:59:59,75678917.74610210,126163,595.37980000,38190395.78956680,0
2026-08-18 14:00:00,64219.99000000,65058.81000000,64219.99000000,64714.16000000,1757.31459000,2026-08-18 14:59:59,113790684.52106390,251794,1085.36158000,70288098.97345640,0
2026-08-18 15:00:00,64714.16000000,64888.00000000,64652.00000000,64855.06000000,513.17463000,2026-08-18 15:59:59,33252775.05249240,123676,228.34888000,14796033.84595490,0
2026-08-18 16:00:00,64855.06000000,64891.81000000,64675.50000000,64840.00000000,419.07089000,2026-08-18 16:59:59,27151200.79374230,76505,176.38230000,11428016.08530830,0
2026-08-18 17:00:00,64840.00000000,64840.01000000,64670.02000000,64670.02000000,400.18777000,2026-08-18 17:59:59,25919257.95790650,60838,155.64780000,10080715.99360800,0
2026-08-18 18:00:00,64670.02000000,64822.00000000,64656.00000000,64772.00000000,219.38960000,2026-08-18 18:59:59,14206272.97293700,35455,116.26890000,7528250.12747370,0
2026-08-18 19:00:00,64771.99000000,64796.00000000,64642.36000000,64643.26000000,185.09854000,2026-08-18 19:59:59,11978365.36690260,38499,68.98168000,4463718.71448160,0
2026-08-18 20:00:00,64643.27000000,64654.87000000,64568.00000000,64582.39000000,191.92081000,2026-08-18 20:59:59,12401073.62210910,44252,70.67045000,4566354.50419450,0
2026-08-18 21:00:00,64582.38000000,64653.97000000,64571.48000000,64604.58000000,187.67225000,2026-08-18 21:59:59,12124743.90031590,40680,60.18888000,3888456.10926680,0
2026-08-18 22:00:00,64604.58000000,64648.00000000,64562.25000000,64634.00000000,200.09422000,2026-08-18 22:59:59,12927083.11238080,37209,92.86291000,5999385.48469290,0
2026-08-18 23:00:00,64634.00000000,64780.00000000,64631.15000000,64725.42000000,213.85880000,2026-08-18 23:59:59,13840563.33997260,36255,97.82201000,6330741.98471130,0
2026-08-19 00:00:00,64725.42000000,64736.27000000,64488.00000000,64488.00000000,247.80518000,2026-08-19 00:59:59,16009811.61936310,68139,105.08919000,6789187.72074350,0
2026-08-19 01:00:00,64488.00000000,64551.47000000,64389.27000000,64400.48000000,314.28140000,2026-08-19 01:59:59,20261820.13558840,75477,184.17169000,11875012.69033680,0
2026-08-19 02:00:00,64400.47000000,64414.65000000,64350.00000000,64351.90000000,547.93834000,2026-08-19 02:59:59,35282299.56928000,54869,267.44222000,17220530.66412200,0
2026-08-19 03:00:00,64351.86000000,64414.00000000,64278.00000000,64330.71000000,258.70445000,2026-08-19 03:59:59,16645879.68441740,59844,139.59508000,8982380.29203690,0
2026-08-19 04:00:00,64330.70000000,64391.80000000,64293.43000000,64316.22000000,402.06932000,2026-08-19 04:59:59,25874122.96685750,36820,190.81226000,12278598.96003830,0
2026-08-19 05:00:00,64316.22000000,64409.93000000,64236.00000000,64236.01000000,258.31718000,2026-08-19 05:59:59,16619607.44597930,39791,103.37039000,6651121.43830100,0
2026-08-19 06:00:00,64236.01000000,64344.00000000,64166.00000000,64339.80000000,531.39508000,2026-08-19 06:59:59,34151339.39718540,60116,294.43973000,18922041.18997940,0
2026-08-19 07:00:00,64339.80000000,64395.78000000,64271.78000000,64296.00000000,630.66386000,2026-08-19 07:59:59,40576794.02784620,48190,348.62425000,22429447.19807710,0
2026-08-19 08:00:00,64296.01000000,64510.95000000,64255.00000000,64413.95000000,381.23164000,2026-08-19 08:59:59,24535506.80527360,49947,149.99439000,9656602.40914730,0
2026-08-19 09:00:00,64413.95000000,64470.66000000,64360.70000000,64427.06000000,228.19510000,2026-08-19 09:59:59,14697556.30413850,37034,104.20858000,6711485.78640280,0
