Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2026-08-19 18:00:00,0.08040000,0.08060000,0.08010000,0.08040000,1033587.10000000,2026-08-19 18:59:59,83037.08660000,506,522244.20000000,41960.78934000,0
2026-08-19 19:00:00,0.08040000,0.08360000,0.08040000,0.08340000,23396161.30000000,2026-08-19 19:59:59,1933423.44040000,9089,9484099.40000000,782820.16394000,0
2026-08-19 20:00:00,0.08350000,0.08520000,0.08300000,0.08470000,14729844.90000000,2026-08-19 20:59:59,1235996.69617000,5203,5351168.10000000,449517.68809000,0
2026-08-19 21:00:00,0.08470000,0.08930000,0.08430000,0.08910000,23504242.00000000,2026-08-19 21:59:59,2057423.92530000,12318,11147940.80000000,973784.35574000,0
2026-08-19 22:00:00,0.08910000,0.09030000,0.08820000,0.08950000,12859861.40000000,2026-08-19 22:59:59,1149926.81229000,9559,6479560.90000000,579424.66815000,0
2026-08-19 23:00:00,0.08950000,0.09060000,0.08920000,0.08950000,8912762.30000000,2026-08-19 23:59:59,801382.26636000,5773,4864614.00000000,437243.23921000,0
2026-08-20 00:00:00,0.08950000,0.09000000,0.08750000,0.08860000,18622356.70000000,2026-08-20 00:59:59,1648501.46438000,9149,9908758.20000000,876720.41625000,0
2026-08-20 01:00:00,0.08870000,0.08910000,0.08710000,0.08810000,7504431.70000000,2026-08-20 01:59:59,658870.77614000,3747,4355921.50000000,382549.32521000,0
2026-08-20 02:00:00,0.08810000,0.08860000,0.08750000,0.08810000,4499952.40000000,2026-08-20 02:59:59,395655.34068000,2139,2413828.80000000,212266.47256000,0
2026-08-20 03:00:00,0.08810000,0.08810000,0.08690000,0.08740000,2497141.60000000,2026-08-20 03:59:59,218316.92011000,1544,920405.00000000,80488.70123000,0
2026-08-20 04:00:00,0.08740000,0.08800000,0.08720000,0.08780000,2452473.50000000,2026-08-20 04:59:59,214985.89668000,1266,1442378.20000000,126382.22405000,0
2026-08-20 05:00:00,0.08780000,0.08780000,0.08700000,0.08740000,2368801.00000000,2026-08-20 05:59:59,207122.99756000,1187,1119906.70000000,97965.75696000,0
2026-08-20 06:00:00,0.08730000,0.08930000,0.08690000,0.08900000,4545851.30000000,2026-08-20 06:59:59,399723.52250000,3107,2383928.00000000,209782.04109000,0
2026-08-20 07:00:00,0.08890000,0.08960000,0.08830000,0.08910000,5568016.60000000,2026-08-20 07:59:59,495922.69950000,2696,2725944.10000000,242645.36917000,0
2026-08-20 08:00:00,0.08900000,0.09070000,0.08880000,0.08980000,6164084.40000000,2026-08-20 08:59:59,553689.22691000,3233,2990487.50000000,268685.87515000,0
2026-08-20 09:00:00,0.08980000,0.09010000,0.08880000,0.08920000,5290526.70000000,2026-08-20 09:59:59,472914.09430000,2418,2867281.70000000,256552.66602000,0
2026-08-20 10:00:00,0.08920000,0.08930000,0.08780000,0.08860000,21681573.10000000,2026-08-20 10:59:59,1915107.48253000,6929,15091021.30000000,1331418.99722000,0
2026-08-20 11:00:00,0.08870000,0.09000000,0.08850000,0.08860000,13071711.50000000,2026-08-20 11:59:59,1164531.33336000,4066,9781262.90000000,871136.47771000,0
2026-08-20 12:00:00,0.08860000,0.08870000,0.08740000,0.08800000,4053712.30000000,2026-08-20 12:59:59,355740.15252000,2660,1732786.80000000,152032.49684000,0
2026-08-20 13:00:00,0.08810000,0.08830000,0.08740000,0.08800000,3150854.90000000,2026-08-20 13:59:59,276987.57350000,2013,1269242.60000000,111651.32413000,0
2026-08-20 14:00:00,0.08800000,0.08820000,0.08750000,0.08810000,1743464.80000000,2026-08-20 14:59:59,153285.18533000,1287,1036036.30000000,91102.96768000,0
2026-08-20 15:00:00,0.08810000,0.08970000,0.08810000,0.08960000,5017340.60000000,2026-08-20 15:59:59,446413.67183000,3211,2856369.50000000,254254.80003000,0
2026-08-20 16:00:00,0.08950000,0.09050000,0.08880000,0.09040000,4174148.70000000,2026-08-20 16:59:59,374165.47929000,2212,1776829.70000000,159675.91974000,0
2026-08-20 17:00:00,0.09040000,0.09120000,0.08970000,0.09000000,4634868.90000000,2026-08-20 17:59:59,418822.86412000,3763,2585907.40000000,233859.54239000,0
2026-08-20 18:00:00,0.09000000,0.09010000,0.08820000,0.08880000,4220565.50000000,2026-08-20 18:59:59,375496.93400000,2989,2200739.50000000,195688.73475000,0
2026-08-20 19:00:00,0.08880000,0.08940000,0.08860000,0.08910000,2170277.40000000,2026-08-20 19:59:59,193082.37389000,1487,1185435.20000000,105447.24989000,0
2026-08-20 20:00:00,0.08910000,0.08990000,0.08900000,0.08970000,2945958.80000000,2026-08-20 20:59:59,263728.17996000,1568,1789976.60000000,160289.98593000,0
2026-08-20 21:00:00,0.08970000,0.09050000,0.08970000,0.09000000,1844108.90000000,2026-08-20 21:59:59,165990.30211000,1202,732907.00000000,66008.43407000,0
2026-08-20 22:00:00,0.09000000,0.09090000,0.08970000,0.09040000,2213980.00000000,2026-08-20 22:59:59,200031.57869000,1746,1122769.70000000,101432.09633000,0
2026-08-20 23:00:00,0.09040000,0.09130000,0.09040000,0.09090000,2154772.40000000,2026-08-20 23:59:59,195759.59236000,1219,976172.50000000,88700.03109000,0
2026-08-21 00:00:00,0.09090000,0.09190000,0.09050000,0.09070000,3324252.30000000,2026-08-21 00:59:59,303069.06311000,2233,1712372.00000000,156132.38689000,0
2026-08-21 01:00:00,0.09070000,0.09250000,0.09050000,0.09140000,4488163.80000000,2026-08-21 01:59:59,410839.34811000,2761,1896266.40000000,173593.47821000,0
2026-08-21 02:00:00,0.09150000,0.09180000,0.09070000,0.09150000,3437439.90000000,2026-08-21 02:59:59,314004.16136000,2183,1363709.10000000,124675.27262000,0
2026-08-21 03:00:00,0.09150000,0.09150000,0.09060000,0.09080000,3266658.00000000,2026-08-21 03:59:59,297315.40520000,1703,1382031.60000000,125817.75452000,0
2026-08-21 04:00:00,0.09080000,0.09140000,0.09080000,0.09120000,3389277.30000000,2026-08-21 04:59:59,308773.94403000,1348,2292996.60000000,208967.16079000,0
2026-08-21 05:00:00,0.09120000,0.09250000,0.09060000,0.09200000,4374769.70000000,2026-08-21 05:59:59,400078.58308000,1788,2675176.70000000,245081.97794000,0
2026-08-21 06:00:00,0.09200000,0.09300000,0.09150000,0.09190000,4717742.60000000,2026-08-21 06:59:59,435659.63371000,2302,2482274.10000000,229285.01031000,0
2026-08-21 07:00:00,0.09200000,0.09410000,0.09190000,0.09380000,3968661.70000000,2026-08-21 07:59:59,370556.32686000,2910,2037943.10000000,190194.50367000,0
2026-08-21 08:00:00,0.09380000,0.09760000,0.09320000,0.09740000,6788372.60000000,2026-08-21 08:59:59,648751.57945000,4352,3389056.10000000,322695.40547000,0
2026-08-21 09:00:00,0.09720000,0.09760000,0.09430000,0.09600000,8246471.60000000,2026-08-21 09:59:59,788499.18799000,5551,4350527.70000000,415919.80006000,0
2026-08-21 10:00:00,0.09600000,0.09620000,0.09440000,0.09590000,4672886.40000000,2026-08-21 10:59:59,446435.07611000,3376,2545082.20000000,243161.08223000,0
2026-08-21 11:00:00,0.09580000,0.09620000,0.09430000,0.09570000,5199076.30000000,2026-08-21 11:59:59,496166.81219000,3547,2355672.90000000,224898.61074000,0
2026-08-21 12:00:00,0.09580000,0.09750000,0.09520000,0.09670000,3919500.20000000,2026-08-21 12:59:59,377872.49151000,2525,2148511.60000000,207209.21617000,0
2026-08-21 13:00:00,0.09660000,0.09730000,0.09520000,0.09690000,7747481.30000000,2026-08-21 13:59:59,745049.29052000,4275,2705942.60000000,260184.78797000,0
2026-08-21 14:00:00,0.09690000,0.09800000,0.09590000,0.09760000,4498342.20000000,2026-08-21 14:59:59,436088.78653000,3891,2276462.60000000,220614.18616000,0
2026-08-21 15:00:00,0.09750000,0.09880000,0.09720000,0.09760000,6591459.30000000,2026-08-21 15:59:59,646044.74752000,3782,3263280.50000000,319790.79511000,0
2026-08-21 16:00:00,0.09770000,0.09880000,0.09640000,0.09800000,4002825.00000000,2026-08-21 16:59:59,391844.37132000,2938,2049148.50000000,200501.93916000,0
2026-08-21 17:00:00,0.09810000,0.09840000,0.09670000,0.09830000,5080640.00000000,2026-08-21 17:59:59,496094.35054000,2806,2405409.00000000,235024.27238000,0
2026-08-21 18:00:00,0.09830000,0.09890000,0.09620000,0.09700000,3814520.40000000,2026-08-21 18:59:59,372234.67748000,2529,2023761.60000000,197739.20359000,0
2026-08-21 19:00:00,0.09690000,0.09700000,0.09420000,0.09520000,8293724.70000000,2026-08-21 19:59:59,788395.68750000,4424,3706508.00000000,352123.64555000,0
