funding_time,funding_rate,mark_price
2026-08-06 04:00:00.000,-7.3e-05,
2026-08-06 08:00:00.000,2.1e-05,
2026-08-06 12:00:00.000,-9e-05,
2026-08-06 16:00:00.000,5e-05,
2026-08-06 20:00:00.000,5e-05,
2026-08-07 00:00:00.000,5e-05,
2026-08-07 04:00:00.000,2e-05,
2026-08-07 08:00:00.000,3.2e-05,
2026-08-07 12:00:00.000,1.5e-05,
2026-08-07 16:00:00.000,-3.2e-05,
2026-08-07 20:00:00.000,-1e-06,
2026-08-08 00:00:00.000,2.6e-05,
2026-08-08 04:00:00.000,-4.8e-05,
2026-08-08 08:00:00.000,-0.000119,
2026-08-08 12:00:00.000,-8.4e-05,
2026-08-08 16:00:00.000,3e-05,
2026-08-08 20:00:00.000,-8.8e-05,
2026-08-09 00:00:00.000,5e-05,
2026-08-09 04:00:00.000,-0.000103,
2026-08-09 08:00:00.000,-0.000102,
2026-08-09 12:00:00.000,-6.9e-05,
2026-08-09 16:00:00.000,5e-05,
2026-08-09 20:00:00.000,5e-05,
2026-08-10 00:00:00.000,5e-05,
2026-08-10 04:00:00.000,5e-05,
2026-08-10 08:00:00.000,5e-05,
2026-08-10 12:00:00.000,8e-06,
2026-08-10 16:00:00.000,-3.1e-05,
2026-08-10 20:00:00.000,-0.000113,
2026-08-11 00:00:00.000,-0.000104,
2026-08-11 04:00:00.000,-6.6e-05,
2026-08-11 08:00:00.000,2.5e-05,
2026-08-11 12:00:00.000,-6.8e-05,
2026-08-11 16:00:00.000,-4.9e-05,
2026-08-11 20:00:00.000,5e-05,
2026-08-12 00:00:00.000,5e-05,
2026-08-12 04:00:00.000,5e-05,
2026-08-12 08:00:00.000,5e-05,
2026-08-12 12:00:00.000,5e-05,
2026-08-12 16:00:00.000,5e-05,
2026-08-12 20:00:00.000,5e-05,
2026-08-13 00:00:00.000,4.9e-05,
2026-08-13 04:00:00.000,3.8e-05,
2026-08-13 08:00:00.000,5e-05,
2026-08-13 12:00:00.000,5e-05,
2026-08-13 16:00:00.000,5e-05,
2026-08-13 20:00:00.000,5e-05,
2026-08-14 00:00:00.000,5e-05,
2026-08-14 04:00:00.000,-5.6e-05,
2026-08-14 08:00:00.000,-0.00015,
2026-08-14 12:00:00.000,-0.000255,
2026-08-14 16:00:00.000,-6.8e-05,
2026-08-14 20:00:00.000,5e-05,
2026-08-15 00:00:00.000,5e-05,
2026-08-15 04:00:00.000,5e-05,
2026-08-15 08:00:00.000,4.3e-05,
2026-08-15 12:00:00.000,-3.2e-05,
2026-08-15 16:00:00.000,3.6e-05,
2026-08-15 20:00:00.000,5e-05,
2026-08-16 00:00:00.000,5e-05,
2026-08-16 04:00:00.000,5e-05,
2026-08-16 08:00:00.000,5e-05,
2026-08-16 12:00:00.000,5e-05,
2026-08-16 16:00:00.000,5e-05,
2026-08-16 20:00:00.000,5e-05,
2026-08-17 00:00:00.000,4.7e-05,
2026-08-17 04:00:00.000,5e-05,
2026-08-17 08:00:00.000,5e-05,
2026-08-17 12:00:00.000,5e-05,
2026-08-17 16:00:00.000,2.7e-05,
2026-08-17 20:00:00.000,5e-05,
2026-08-18 00:00:00.000,5e-05,
2026-08-18 04:00:00.000,5e-05,
2026-08-18 08:00:00.000,5e-05,
2026-08-18 12:00:00.000,5e-05,
2026-08-18 16:00:00.000,5e-05,
2026-08-18 20:00:00.000,5e-05,
2026-08-19 00:00:00.000,2.4e-05,
2026-08-19 04:00:00.000,-1.5e-05,
2026-08-19 08:00:00.000,-4.1e-05,
2026-08-19 12:00:00.000,5e-05,
2026-08-19 16:00:00.000,2.4e-05,
2026-08-19 20:00:00.000,5e-05,
2026-08-20 00:00:00.000,5e-05,
2026-08-20 04:00:00.000,-2e-06,
2026-08-20 08:00:00.000,5e-05,
2026-08-20 12:00:00.000,5e-05,
2026-08-20 16:00:00.000,5e-05,
2026-08-20 20:00:00.000,5e-05,
2026-08-21 00:00:00.000,5e-05,
2026-08-21 04:00:00.000,5e-05,
2026-08-21 08:00:00.000,5e-05,
2026-08-21 12:00:00.000,5e-05,
2026-08-21 16:00:00.000,5e-05,
2026-08-21 20:00:00.000,5e-05,
2026-08-22 00:00:00.000,5e-05,
2026-08-22 04:00:00.000,5e-05,
2026-08-22 08:00:00.000,5e-05,
2026-08-22 12:00:00.000,5e-05,
2026-08-22 16:00:00.000,5e-05,
