time,low,high,open,close,volume
1787061600,0.996,1.0057,0.9973,1.0001,4810428.005371
1787065200,0.9996,1.004,1.0003,1.0032,2203245.650151
1787068800,0.9997,1.0036,1.0033,1.0017,1250560.30907
1787072400,0.9998,1.0017,1.0016,0.9999,1402936.256302
1787076000,0.9997,1.002,0.9998,1.0004,777575.002971
1787079600,1,1.0025,1.0005,1.0022,3325353.34719
1787083200,0.9981,1.003,1.0021,0.9995,2199732.965458
1787086800,0.9994,1.0017,0.9994,0.9997,1709965.133228
1787090400,0.9984,1.0017,0.9997,0.9999,2775766.373428
1787094000,0.9998,1.0028,0.9999,1.0013,2475777.089534
1787097600,0.9957,1.0015,1.0013,0.9957,2619629.97017
1787101200,0.9953,0.9996,0.9958,0.9981,2051508.480141
1787104800,0.9969,0.9984,0.9981,0.9978,801767.270876
1787108400,0.9969,1.0007,0.9977,0.9993,1300428.143895
1787112000,0.9987,1.0002,0.9994,0.9992,614225.884503
1787115600,0.9986,1.001,0.9991,0.9993,1039650.379422
1787119200,0.9983,1.0045,0.9993,1.0035,2330117.118744
1787122800,1.0022,1.0054,1.0036,1.0026,946160.426502
1787126400,1.0023,1.0087,1.0026,1.0056,1756054.879041
1787130000,1.0028,1.0074,1.0056,1.0034,710601.148339
1787133600,1.0025,1.0048,1.0034,1.0044,714157.11996
1787137200,1.0036,1.0059,1.0045,1.005,1108596.877071
1787140800,1.0048,1.0116,1.0051,1.0103,1756946.477304
1787144400,1.0093,1.0231,1.0104,1.0162,5586428.372768
1787148000,1.0145,1.0342,1.0162,1.0324,6967469.010949
1787151600,1.0302,1.0744,1.0326,1.0673,25072338.778752
1787155200,1.0632,1.0707,1.0675,1.0638,11503636.915902
1787158800,1.0516,1.0643,1.0637,1.0614,6448550.807322
1787162400,1.0554,1.0697,1.0616,1.0689,4590826.628699
1787166000,1.0639,1.0711,1.0689,1.0671,9302698.820518
1787169600,1.067,1.1038,1.0672,1.099,13964865.797783
1787173200,1.0957,1.1329,1.099,1.1323,24423281.283843
1787176800,1.0988,1.136,1.1324,1.1019,22897094.309045
1787180400,1.0941,1.1057,1.1018,1.1054,8637870.034242
1787184000,1.1038,1.1128,1.1054,1.1074,4515642.321412
1787187600,1.106,1.1158,1.1075,1.1113,5331992.281381
1787191200,1.0984,1.1135,1.1114,1.0986,3724190.296666
1787194800,1.0864,1.0997,1.0986,1.0929,6258778.175611
1787198400,1.0923,1.1007,1.093,1.099,2379270.05002
1787202000,1.0991,1.1093,1.0993,1.1037,2018640.952012
1787205600,1.0997,1.1113,1.1036,1.1105,2662832.29908
1787209200,1.1067,1.1126,1.1104,1.1112,1480797.33411
1787212800,1.1104,1.1549,1.1111,1.1523,9583770.354191
1787216400,1.1447,1.1627,1.1524,1.1485,7248009.458738
1787220000,1.1464,1.166,1.1486,1.1597,6033750.254429
1787223600,1.1563,1.1955,1.1596,1.1899,16001220.651654
1787227200,1.1775,1.1965,1.1901,1.1919,13326459.131214
1787230800,1.1878,1.2225,1.192,1.2199,17990979.199422
1787234400,1.2143,1.2457,1.2196,1.2266,29246429.133075
1787238000,1.2252,1.2638,1.2267,1.2608,22065402.768641
1787241600,1.2516,1.3167,1.2606,1.3146,27000754.860969
1787245200,1.3044,1.3439,1.3145,1.3095,35532886.778309
1787248800,1.228,1.3183,1.31,1.2288,30057848.000371
1787252400,1.22,1.2395,1.2287,1.2324,19843512.599992
1787256000,1.23,1.2473,1.2324,1.2434,11176344.802809
1787259600,1.2424,1.2719,1.2434,1.2577,8992260.124182
1787263200,1.2534,1.2656,1.2575,1.256,8736411.465896
1787266800,1.2545,1.275,1.2559,1.2677,5859500.447168
1787270400,1.2586,1.2736,1.2676,1.2652,10430500.118728
1787274000,1.2635,1.3023,1.2651,1.2958,12519933.947443
1787277600,1.2814,1.3003,1.2957,1.2889,10569895.654668
1787281200,1.2837,1.3186,1.2889,1.3082,14593118.929855
1787284800,1.2963,1.3209,1.3082,1.3141,9485858.818415
1787288400,1.3033,1.3139,1.3138,1.3095,6070624.835546
1787292000,1.2963,1.3204,1.3097,1.2983,4702581.203835
1787295600,1.2976,1.3214,1.2982,1.3142,5183937.216478
1787299200,1.3124,1.3999,1.3137,1.3995,25981473.088051
1787302800,1.3375,1.43,1.3994,1.4192,32018887.28986
1787306400,1.3672,1.4254,1.4197,1.3844,25237143.634323
1787310000,1.3544,1.4043,1.3846,1.3567,18481967.156547
1787313600,1.3464,1.3873,1.3566,1.3807,13711592.529697
1787317200,1.3658,1.3819,1.3809,1.3687,2943015.882875
