time,low,high,open,close,volume
1787166000,68053.99,68478.55,68381.11,68418.55,1270.57575236
1787169600,68367.04,69572.95,68420,69033.59,718.60839424
1787173200,68966.49,70022.44,69033.59,69700.12,1822.82731301
1787176800,68951.21,69837.38,69700.12,69219.55,916.71895577
1787180400,69126.96,69426.42,69219.55,69300.01,551.04889134
1787184000,69280,69750,69300.01,69388.78,390.00383117
1787187600,69239.66,69865.02,69390.57,69678.66,487.72758209
1787191200,69210.76,69790.53,69678.67,69242.42,484.86341226
1787194800,68853.22,69287.96,69242.43,69139.99,568.91347544
1787198400,69104.42,69558.89,69139.99,69442.52,240.41176263
1787202000,69317.99,69638.78,69442.52,69374.89,485.69509539
1787205600,69300.84,69887.89,69374.89,69813.99,470.06942598
1787209200,69452.29,69982,69813.99,69783.61,433.3597418
1787212800,69735.72,71785.44,69783.62,71527.94,1443.2968109
1787216400,71430,71998.71,71527.94,71738.04,419.03478787
1787220000,71642.76,72427.2,71734.53,71943.6,423.51884504
1787223600,71754.12,72281.45,71943.6,71870.11,391.93342316
1787227200,71426.74,71955.96,71870.67,71897.77,588.77541329
1787230800,71065,72054.53,71897.71,71649.71,1708.49883578
1787234400,71315.01,71950.04,71649.71,71780.32,831.43694288
1787238000,71737.78,72801.32,71781,72429.27,1593.82084453
1787241600,72175.13,72888.56,72429.27,72808.56,797.19318333
1787245200,72515,72950,72808.57,72720.26,833.40248017
1787248800,72370.56,72803.73,72715.34,72410.92,794.60139815
1787252400,72303.97,72780.69,72410.92,72669.36,666.66317283
1787256000,72580,73079.09,72672.84,72660.23,740.68827896
1787259600,72544.08,72831.19,72660.23,72725.63,432.43276994
1787263200,72481.19,72867.72,72725.64,72665.07,294.44814688
1787266800,72645,73391.43,72665.07,73011.87,634.25356734
1787270400,73004.7,73979.13,73010.86,73683.35,704.09181646
1787274000,73645.01,75750,73682.05,75101.88,1299.18679847
1787277600,74346.81,75167.64,75103.21,74407.62,638.93345673
1787281200,74211.92,74846.7,74409,74478.95,491.40856968
1787284800,74478.96,75023.03,74478.96,74999.99,277.21708854
1787288400,74875,75483.37,75000,75438.09,308.46662359
1787292000,75063.6,75705,75438.09,75615.79,422.70397164
1787295600,75585.61,76868.69,75615.8,76288.2,1292.86824699
1787299200,76237.37,79500,76287.21,79242.47,1801.14106392
1787302800,77244.68,79345.51,79247.76,77888.17,1275.71323939
1787306400,77600.01,78242.99,77888.18,77797.93,502.92437912
1787310000,76399.09,77851.08,77795.41,76709.62,812.34883926
1787313600,76504.91,77465.88,76709.63,77199.99,871.98921474
1787317200,76202.06,77698.8,77200,77244.23,1736.39900693
1787320800,76522.24,77434.13,77244.23,77363.82,1497.43017581
1787324400,77133.45,77860.39,77363.83,77191.8,1005.2771216
1787328000,76744.33,77540.15,77190.74,77451.34,933.3981367
1787331600,77164,77730,77451.34,77375,594.65507764
1787335200,76594.11,77528.38,77376.05,77110.52,943.61188419
1787338800,76824.21,77340.22,77110.52,77003.92,759.57000463
1787342400,76822.2,77527,77003.92,77497.98,665.50788163
1787346000,77362.64,78702.52,77497.98,78495.4,501.64755998
1787349600,78079.85,78750,78495.4,78451.34,602.73824909
1787353200,78104.71,78722.56,78451.34,78325.54,305.94073173
1787356800,77670.04,78500,78325.54,77934.35,395.53924151
1787360400,77801.94,78226.83,77934.35,77821.05,193.22195925
1787364000,77779.5,78550,77821.05,78474.25,285.49436173
1787367600,78347,78828.37,78474.26,78402.62,260.14273862
1787371200,78190.36,78806.6,78402.62,78451.35,294.17058189
1787374800,76471.7,78585.85,78451.34,77369.81,818.56548474
1787378400,76972.63,77560.69,77369.81,77475.57,233.31257006
1787382000,77205.68,77666.4,77475.57,77288.55,130.26468817
1787385600,77011.2,77433.05,77288.55,77195.48,150.444684
1787389200,76829.18,77387.05,77195.48,77046.9,173.20712831
1787392800,76522.25,77186.92,77049.4,76961.55,300.57934708
1787396400,76808.75,77206.03,76961.54,77120.87,183.52266958
1787400000,77069,77386.48,77120.86,77300.01,119.89422003
1787403600,77100,77368.8,77300.01,77277.3,123.89093733
1787407200,76914.72,77323.64,77277.3,76995.59,190.59236459
1787410800,76868,77093.83,76995.59,76970.55,199.3192583
1787414400,76941,77559.46,76970.56,77272.07,270.55543112
1787418000,77062.99,77379.04,77272.08,77270.52,145.81042274
1787421600,77205.85,77362.23,77270.52,77290.06,56.55736778
