time,low,high,open,close,volume
1514764800,13536.13,13885.34,13863.14,13586.93,975.33688204
1514768400,13332.11,13673.99,13588,13345.7,824.68339289
1514772000,13320.01,13488.99,13345.71,13438,520.56952442
1514775600,13400.57,13703.9,13438,13474,630.81549071
1514779200,13361.01,13649,13474,13620,475.27304199
1514782800,13462.71,13620,13620,13508.01,443.02198473
1514786400,13400,13800,13508.01,13797.99,504.20403246
1514790000,13580.01,13889,13798,13601.27,444.90614719
1514793600,13432,13700,13601.29,13474.97,412.9200326
1514797200,13459.98,13650,13474.97,13596.95,138.05718175
1514800800,13479.04,13600.01,13596.95,13576.48,117.80164705
1514804400,13188,13576.48,13576.47,13279.99,445.09012454
1514808000,13190,13339.99,13280,13234.45,259.1309727
1514811600,13054.43,13262.39,13234.45,13115.95,537.39151501
1514815200,12952.5,13277.73,13115.95,13271.98,804.67304844
1514818800,13178.85,13399,13271.99,13255.29,531.69219527
1514822400,13035,13272.38,13250.37,13093.1,527.28738423
1514826000,13093.09,13248.6,13093.1,13138.11,380.26933814
1514829600,13114.47,13321.23,13138.12,13189.98,552.89205543
1514833200,13156.91,13350,13189.98,13345.47,453.70157938
1514836800,13345.46,13544.24,13345.47,13469.01,575.89473162
1514840400,13432,13772.59,13469.01,13565,827.49920157
1514844000,13475.33,13688,13565.01,13538.11,453.65171581
1514847600,13454,13538.11,13538.1,13480.01,458.24331582
1514851200,13480,13999,13480,13830.32,1060.40571583
1514854800,13631,13889.42,13839.32,13632.94,1207.72415092
1514858400,13431,13713.27,13639.99,13550.01,1831.90883543
1514862000,13310.66,13550.01,13550,13372.95,896.06594839
1514865600,13005,13400,13372.96,13164.83,1315.37158712
1514869200,13150,13250,13164.84,13194.02,469.46641365
1514872800,13154.63,13424,13194.01,13368,493.6753019
1514876400,13300,13438.99,13368,13423.34,220.97266409
1514880000,13423.33,13558.94,13423.34,13478.23,434.30475236
1514883600,13478.23,13625.17,13478.24,13600.1,482.88418497
1514887200,13600.09,13750,13600.1,13740.01,504.11205589
1514890800,13560,13740.01,13740,13645.41,263.5439855
1514894400,13580,13720,13640.01,13632,418.27734435
1514898000,13632,13988,13632,13969.57,845.68990435
1514901600,13790,13991.97,13969.57,13859,853.70516343
1514905200,13660,13893.67,13858.99,13741.01,754.87273156
1514908800,13689.99,13894,13741.01,13690,717.61332702
1514912400,13680,13895,13689.99,13895,779.31551969
1514916000,13894.99,14800,13895,14577,4078.56751477
1514919600,14554,15275,14577,14790.01,4265.88657528
1514923200,14790.01,15177.02,14790.01,14830,1605.20712061
1514926800,14700,14965.01,14830,14761.01,1038.15171925
1514930400,14761.01,15049,14761.01,14862.03,1045.69683397
1514934000,14718.01,14942.24,14870.02,14781.51,804.51558403
1514937600,14761,14970,14781.52,14885,715.47910266
1514941200,14816,14899.99,14885,14888.9,515.47413292
1514944800,14822.47,15084.46,14888.9,15041,1008.42456434
1514948400,14850,15198.88,15041,14900.04,1442.89091722
1514952000,14904.21,15150,14907.5,15090.01,683.8326088
1514955600,15015,15149.8,15090.01,15098.88,578.00303354
1514959200,15067.61,15374.7,15098.87,15356,971.86729784
1514962800,15277.62,15400,15356,15308,555.40035192
1514966400,15135,15308,15308,15162,381.59667066
1514970000,14860.62,15180.01,15164.99,14880.01,742.84120971
1514973600,14629,14950.01,14881.49,14750.01,755.64329271
1514977200,14750,14907.51,14750.01,14903.13,295.05102453
1514980800,14628,14944.83,14903.14,14650,357.91885962
1514984400,14650,14986.06,14650,14971.9,523.946231
1514988000,14900,15100,14971.91,14925.03,672.57910675
1514991600,14925.02,15100,14925.03,15085,590.46416141
1514995200,15080,15250,15085.01,15119.93,845.67494403
1514998800,14954.99,15120.2,15119.93,14955,854.22901041
1515002400,14778,14955,14954.99,14787.89,1193.80785616
1515006000,14775,14944,14787.89,14789,1019.31866566
1515009600,14780,14993.42,14789,14980.12,804.55355167
1515013200,14955.73,15080.84,14980.12,15067.99,775.75392655
1515016800,14863,15068,15067.99,14865.01,591.29932857
1515020400,14865,15098.14,14865.01,15098.14,1001.44543778
1515024000,15032,15129.99,15098.23,15104.48,791.26062653
1515027600,14926.26,15370,15104.49,15369.73,1247.69669913
1515031200,15207.2,15400,15369.73,15290.31,1245.1568225
1515034800,15110,15300.52,15279.52,15150.01,749.15955898
1515038400,14950,15150.02,15150.02,14986.76,1013.80016151
1515042000,14863.69,15000,14986.76,14971.23,755.01586666
1515045600,14970.99,15142,14971.01,15000,586.03144853
1515049200,14920,15000,15000,14920,558.29908762
1515052800,14406.51,14945.99,14920.01,14406.51,1691.55153709
1515056400,14230,14614.54,14417,14577.88,1011.18436677
1515060000,14531,14698.88,14577.88,14531.01,437.18176653
1515063600,14386.01,14603.96,14531.01,14603.19,418.41145657
1515067200,14400,14647.6,14603.19,14480,645.99390345
1515070800,14471.13,14686.56,14480,14619.99,791.98835302
1515074400,14567.33,14699.06,14619.99,14674.01,750.4636478
1515078000,14510,14676.21,14674.01,14620.01,965.09583421
1515081600,14500,14649.42,14620.01,14625.49,733.128709
1515085200,14608,14750,14625.5,14717.01,720.27189813
1515088800,14717.01,14928.04,14717.01,14815,853.929498
1515092400,14784.22,14998,14815,14997.99,804.12031217
1515096000,14860.97,15075,14997.99,14889.99,1104.42872061
1515099600,14860.97,15024.99,14890,14940.04,686.65053949
1515103200,14899.81,15049,14940.04,15014.99,609.78354102
1515106800,14979.44,15165,15015,15144.99,839.83198717
1515110400,14980,15176.86,15145,15053.18,547.3032968
1515114000,15035,15099.98,15053.18,15073,433.96026573
1515117600,15072.99,15171,15073,15120.02,533.34680181
1515121200,14950,15120.02,15120.01,14959,573.1032176
1515124800,14819.78,15021,14959,14938.79,669.65161878
1515128400,14850.01,15068.1,14938.8,15038,510.93451921
1515132000,14902.24,15046.53,15038,14943.5,426.36026875
1515135600,14842.47,14976.01,14943.5,14953.99,304.05166509
1515139200,14953.98,15369,14953.99,15369,1042.99165704
1515142800,15369,15940,15369,15812.79,2827.91832213
1515146400,15781.54,16097,15800.37,15995.56,1219.99424209
1515150000,15775.18,16052.73,15995.56,16000,556.44259842
1515153600,15714.01,16016.81,16000.01,15861.58,444.62340484
1515157200,15848.12,16054.97,15855.01,16053.76,476.92473949
1515160800,15850.03,16102,16053.76,16050,763.04005306
1515164400,15927.13,16050,16050,16048.98,660.20067137
1515168000,16048.98,16351.5,16048.99,16277,1421.58876525
1515171600,16239.16,16586,16278.59,16379.67,1843.73972769
1515175200,16305.24,16550,16379.61,16381,1024.33987766
1515178800,16213.81,16489,16380.99,16441.19,1193.50619433
1515182400,16320,16556.25,16441.18,16556.25,830.89020524
1515186000,16556.25,16899.5,16556.25,16727.02,1783.16069818
1515189600,16720.13,16991.42,16727.02,16975,842.1363545
1515193200,16870,17178,16975,16960.01,1987.57150385
1515196800,16655.01,16960.01,16960.01,16889.32,1319.4022872
1515200400,16857.75,16999,16889.31,16944,613.5597359
1515204000,16553.37,16992.5,16944,16553.37,852.65770787
1515207600,16519,16770,16553.37,16571.78,594.46537764
1515211200,16410.75,16650,16570.86,16550.02,946.3901978
1515214800,16434,16682,16550.03,16594.08,497.81776238
1515218400,16564.99,16658.9,16594.09,16608.01,293.18435804
1515222000,16404.99,16608.01,16608,16509.99,430.2664665
1515225600,16403.43,16600,16510,16404.49,226.46695373
1515229200,16328.03,16514.56,16404.48,16362.79,372.79943924
1515232800,16345,16680,16362.79,16679.99,246.53455826
1515236400,16496.2,16684,16680,16501,353.37500654
1515240000,16300,16549.84,16501,16300.01,523.63802742
1515243600,16251.01,16398.23,16300,16276,514.60878442
1515247200,16275.99,16518.4,16276,16479.88,431.61006277
1515250800,16449,16650,16479.89,16598,423.97421621
1515254400,16528.1,16893.18,16597.99,16811.12,735.30331032
1515258000,16710,16892,16811.11,16892,595.14485407
1515261600,16726.64,16984.8,16892,16785.02,726.47565426
1515265200,16682.47,16849.99,16785.02,16731,409.77236307
1515268800,16716.56,16849.5,16731,16849.5,341.34424047
1515272400,16712.2,16849.99,16849.5,16841.44,428.78523105
1515276000,16841.43,17174,16841.44,17029.99,1668.02139826
1515279600,17000.04,17122,17029.99,17098.99,558.61592654
1515283200,16925,17115.01,17099,16990,614.71155698
1515286800,16885,17039,16990,16997.17,573.79235963
1515290400,16833,16997.17,16997.17,16833,299.26615164
1515294000,16666.6,16849.96,16833,16743.19,555.00991843
1515297600,16554.99,16796.01,16743.19,16635.31,496.63909591
1515301200,16600,16807.06,16635.31,16610.02,423.12488957
1515304800,16355,16634.19,16610.02,16390.3,898.44881214
1515308400,16390.29,16744,16390.3,16744,462.45090093
1515312000,16709,16850,16744,16754.72,237.12580374
1515315600,16625,16775.01,16754.7,16626.96,98.27416841
1515319200,16626.95,16737.82,16626.96,16721.46,179.20562696
1515322800,16626.97,16775.01,16721.47,16626.97,104.27495597
1515326400,16499,16626.97,16626.97,16499,237.99234779
1515330000,16401,16543.7,16499.01,16460.01,315.47176407
1515333600,16439.01,16581,16460.01,16567.01,186.36037184
