time,low,high,open,close,volume
1577836800,128.12,128.54,128.54,128.34,1910.23945475
1577840400,128.32,130.14,128.33,130.14,4916.26114071
1577844000,129.91,130.5,130.23,130.37,3044.7458358
1577847600,129.38,130.44,130.38,129.57,3829.07914065
1577851200,129.5,130,129.58,129.56,5416.86864899
1577854800,129.47,129.94,129.55,129.83,1789.72782679
1577858400,129.82,130.25,129.83,130,909.71828672
1577862000,129.8,130.25,130,129.87,866.22584185
1577865600,129.61,130.01,129.87,130.01,1034.71834475
1577869200,129.96,130.22,130.02,129.98,830.42917385
1577872800,129.88,130.33,129.98,130.33,564.36166566
1577876400,130.23,131.42,130.33,130.36,1857.75926611
1577880000,130.36,131.31,130.38,131.28,1688.6394726
1577883600,131.04,132.08,131.28,131.41,4327.96619463
1577887200,130.93,132.05,131.36,131.66,1087.60675341
1577890800,131.29,132.15,131.71,131.75,1277.48157701
1577894400,131.51,132.56,131.73,132.55,2050.91384464
1577898000,131.94,132.68,132.56,131.97,1846.20527873
1577901600,131.24,132.14,131.97,131.64,2025.07846725
1577905200,131.15,131.72,131.55,131.34,1278.7266515
1577908800,131.23,131.87,131.45,131.73,1233.76265075
1577912400,130.97,131.99,131.81,131.41,8899.99013475
1577916000,129.36,131.41,131.41,129.77,3165.85896442
1577919600,129.24,130.27,129.78,130.19,1660.13038997
1577923200,129.67,130.18,130.14,130,2310.92264453
1577926800,129.69,130,130,129.76,819.75671348
1577930400,128.28,129.76,129.76,129.21,2467.13864111
1577934000,128.36,129.19,129.19,128.56,1231.62472474
1577937600,128.21,129.25,128.51,129.12,1201.78263409
1577941200,128.78,129.19,129.02,129.08,666.48023803
1577944800,128.59,129.44,129.07,128.78,690.31159846
1577948400,128.41,129.07,128.79,128.65,526.01618701
1577952000,128.61,129.7,128.61,129.68,1259.46806283
1577955600,129.07,129.67,129.67,129.46,404.71275703
1577959200,129.28,129.7,129.45,129.39,1033.0567624
1577962800,128.97,129.43,129.33,129.16,579.74515922
1577966400,129.06,129.52,129.16,129.51,697.75596192
1577970000,128.45,129.53,129.51,128.97,1297.98204062
1577973600,128.81,129.45,128.97,129.03,1452.04115127
1577977200,128.96,129.41,128.99,129.26,941.16763459
1577980800,126.4,129.36,129.26,127.22,11614.28243367
1577984400,125.83,127.21,127.21,126.91,7867.57770928
1577988000,126.66,127.33,126.92,127.12,1884.55336999
1577991600,126.68,127.32,127.11,127.25,1895.17253179
1577995200,126.51,127.29,127.26,126.82,3100.96479258
1577998800,126.75,127.51,126.8,127.39,2392.46247665
1578002400,126.84,127.39,127.39,127.01,1964.80479389
1578006000,126.59,127.01,126.95,126.81,911.78799619
1578009600,126.55,127.22,126.81,126.65,1134.05098761
1578013200,125.52,126.65,126.65,125.63,2631.28437425
1578016800,125.53,126.65,125.63,126.61,1713.94587603
1578020400,126.23,126.69,126.61,126.52,1669.17359948
1578024000,126.51,129.83,126.51,129.14,6914.14871797
1578027600,128.44,129.67,129.12,128.96,3584.39419088
1578031200,128.57,129.18,128.93,129.08,2197.93381485
1578034800,128.55,129.37,129.08,128.58,4958.64540787
1578038400,128.53,132.86,128.54,131.95,6275.28658513
1578042000,131.63,132.73,131.95,132.18,3327.17577773
1578045600,131.4,132.59,132.19,131.98,3225.6090366
1578049200,131.74,132.45,131.92,132.27,1707.98898222
1578052800,131.69,132.79,132.41,132.14,1533.21750315
1578056400,132.17,133.68,132.17,133.4,4447.3752581
1578060000,131,133.65,133.41,131.62,5141.44070982
1578063600,131.47,132.5,131.63,132.5,1945.3497834
1578067200,131.96,133.68,132.49,133.42,5732.01529999
1578070800,132.58,134.93,133.43,134.05,8909.50999118
1578074400,133.25,134.21,133.97,133.39,2151.01211275
1578078000,132.21,133.41,133.38,133.28,2458.75634567
1578081600,132.81,133.93,133.23,133.3,2178.77489587
1578085200,131,133.75,133.3,132.14,8670.95817709
1578088800,132.02,133,132.17,132.93,2604.56909754
1578092400,132.83,134.82,132.88,134.17,3539.27632323
1578096000,133.35,134.73,134.17,133.65,3015.27676965
1578099600,132.68,133.66,133.66,132.89,1258.71456036
1578103200,132.59,133.22,132.86,133.22,1397.82487233
1578106800,132.98,133.39,133.2,133.28,811.41324472
1578110400,132.84,133.7,133.23,133.45,488.32976995
1578114000,133.29,133.93,133.46,133.55,1321.6134726
1578117600,133.49,134.1,133.49,133.84,623.47698515
1578121200,133.24,134.16,133.83,133.84,481.44316176
1578124800,133.39,133.9,133.84,133.45,257.2430255
1578128400,133.03,133.89,133.5,133.87,908.62877334
1578132000,133.03,133.9,133.86,133.03,616.55906248
1578135600,132.83,133.6,133.09,133.6,385.09070347
1578139200,132.5,133.61,133.61,132.69,1986.23220676
1578142800,132.5,132.98,132.64,132.64,991.91112306
1578146400,132.59,133.1,132.63,132.82,683.62848806
1578150000,132.75,133.49,132.82,133.19,860.45904883
1578153600,132.8,133.34,133.19,132.96,843.54956625
1578157200,133.06,134.65,133.06,134.55,3106.36920651
1578160800,132.9,135.75,134.59,133.34,4766.31644666
1578164400,132.9,134.11,133.27,133.72,1884.98323626
1578168000,133.4,134,133.68,133.93,736.70659088
1578171600,133.53,134.38,133.99,133.95,1115.40093129
1578175200,133.68,134.37,134.05,134.11,1307.10461974
1578178800,133.81,134.36,134.1,134.14,1406.5712586
1578182400,134.14,135.09,134.14,134.66,1894.57457042
1578186000,134.71,135.71,134.72,135.59,2987.92192967
1578189600,135.07,135.9,135.62,135.35,1073.69910218
1578193200,135.32,136.12,135.35,136.12,1115.07388506
1578196800,135.6,137.1,136.09,135.77,1982.83802221
1578200400,135.59,136.4,135.84,136.1,1040.46302771
1578204000,135.88,136.49,136.1,136.07,832.87878158
1578207600,135.91,136.35,136.08,136.09,633.33291786
1578211200,135.01,136.19,136.09,135.48,784.43240269
1578214800,135.08,135.68,135.48,135.24,523.21188305
1578218400,134.75,135.4,135.21,134.89,477.66138657
1578222000,134.86,135.39,134.88,135.12,292.28259242
1578225600,135.11,136,135.12,135.94,1159.06673865
1578229200,135.4,136,135.87,135.66,1124.93910802
1578232800,135.59,136.09,135.63,135.68,1316.48573113
1578236400,135.64,138.19,135.67,137.26,3799.82148446
1578240000,136.79,138.07,137.23,137.2,3119.93328996
1578243600,136.89,138.97,137.19,137.96,4430.66396562
1578247200,136.98,138.23,137.97,137.91,2938.71006791
1578250800,137.33,137.99,137.91,137.99,1978.56617184
1578254400,137.66,138.13,137.98,137.95,1281.61539208
1578258000,135,137.89,137.89,135.3,5903.32814323
1578261600,134.27,135.76,135.32,134.78,2707.68337867
1578265200,134.15,135.36,134.77,135.31,1954.50913928
1578268800,134.78,135.64,135.31,135.64,1851.25821178
1578272400,135.35,137.38,135.59,137.18,3445.42551732
1578276000,137.19,139.53,137.19,139.03,6061.92765537
1578279600,138.12,139.59,139.12,139.45,5636.13992461
1578283200,139.06,139.73,139.45,139.3,1833.89041911
1578286800,138.58,139.52,139.38,139.1,1657.11705114
1578290400,138.73,139.31,139.07,138.82,1004.10259015
1578294000,138.65,139.01,138.81,138.82,1173.78103014
1578297600,138.78,141.15,138.81,140.39,5891.97153274
1578301200,139.58,140.66,140.39,140.66,3188.26893458
1578304800,140.49,142.31,140.67,142.06,3257.86336791
1578308400,140.69,142.99,141.96,141.25,3122.4856438
1578312000,141.3,142.57,141.36,142.33,3302.52456031
1578315600,139.06,142.99,142.32,140.08,8908.84494425
1578319200,139.6,141.37,140.08,140.99,5864.65891181
1578322800,140.11,141.37,140.98,140.13,3827.25978496
1578326400,140.03,141.31,140.11,140.58,2611.24649114
1578330000,140.43,141.67,140.58,141.66,2653.14474216
1578333600,140.6,141.66,141.66,140.94,3109.11837225
1578337200,140.73,141.53,140.98,141.27,2556.30620514
1578340800,141.06,142.27,141.26,142.06,3786.57073524
1578344400,141.57,142.62,142.06,141.75,3073.58007059
1578348000,141.62,143.85,141.75,142.98,6221.23426772
1578351600,142.66,144.51,143.02,144.19,7485.05416982
1578355200,143.19,145.25,144.2,143.65,11196.80866626
1578358800,143.5,144.16,143.72,143.84,2487.53874121
1578362400,143.86,144.92,143.86,144.01,3934.06200497
1578366000,143.58,144.46,144.01,143.59,1536.96082766
