time,low,high,open,close,volume
1704067200,101.55,102.77,101.7,101.94,61149.419
1704070800,101.52,104.69,101.89,104.07,61946.282
1704074400,103.18,104.29,104.04,103.66,41312.943
1704078000,102.45,103.95,103.64,103.07,41234.987
1704081600,101.53,104,103.02,102.58,35149.688
1704085200,101.47,102.79,102.62,101.63,25735.532
1704088800,101.52,102.54,101.64,102.36,30876.931
1704092400,101.84,103.25,102.33,102.48,30309.332
1704096000,101.93,102.97,102.48,102.49,14652.63
1704099600,101.81,104.27,102.5,104.04,41123.738
1704103200,103.91,104.85,104.08,104.13,22406.3
1704106800,103.7,104.6,104.13,104.34,46799.023
1704110400,103.89,106.03,104.49,104.75,50015.333
1704114000,104.42,105.81,104.76,105.34,38394.17
1704117600,104.34,105.36,105.32,104.41,35163.119
1704121200,104.29,106.41,104.39,106,51990.215
1704124800,105.91,108.5,106.03,106.67,90053.174
1704128400,106.17,107.3,106.67,107.13,42298.488
1704132000,107.12,108.53,107.12,107.89,91720.046
1704135600,107.45,109.18,107.91,108.87,80725.986
1704139200,107.7,109.5,108.89,107.93,73881.025
1704142800,107.51,108.34,107.95,108.03,39296.488
1704146400,107.2,108.18,108.07,108.11,40130.761
1704150000,108.12,110.44,108.12,110.11,100208.438
1704153600,108.63,110.86,110.11,110.66,96745.706
1704157200,110.6,113.23,110.6,111.16,161117.639
1704160800,111,112.2,111.13,112.1,64128.27
1704164400,110.83,112.17,112.08,111.5,70762.849
1704168000,110.96,112.89,111.5,112.59,55548.8
1704171600,112.22,113.25,112.56,112.7,71509.935
1704175200,111.9,113.37,112.69,112.71,52501.99
1704178800,112.72,114.77,112.72,114.53,84213.548
1704182400,113.76,115.1,114.56,114.59,66316.361
1704186000,114.44,117,114.61,115.94,95587.635
1704189600,114.44,116.73,115.95,115.4,52494.352
1704193200,112.76,115.74,115.34,113.96,59700.26
1704196800,112.86,114.42,113.96,113.02,55775.026
1704200400,112.92,114.15,113.03,113.46,65602.154
1704204000,109.2,113.89,113.43,110.14,124051.724
1704207600,107.84,110.74,110.11,109.68,129283.196
1704211200,108.57,110.48,109.68,110.17,63764.891
1704214800,106.8,110.49,110.21,107.74,102536.569
1704218400,107.49,108.49,107.74,107.85,46663.513
1704222000,107,109.1,107.85,107.69,67374.98
1704225600,106.94,108.71,107.7,107.05,63906.046
1704229200,106.63,108.04,107.05,108.04,50373.917
1704232800,107.59,108.95,108,108.04,62922.371
1704236400,106,108.08,108.04,106.74,62691.289
1704240000,106.55,108.08,106.77,107.35,37166.889
1704243600,106.72,108.56,107.34,108.21,46945.48
1704247200,107.51,108.75,108.18,107.76,31665.16
1704250800,107.2,108.17,107.75,108.17,19155.9
1704254400,107.18,108.43,108.18,108.03,21653.325
1704258000,107.75,108.91,108.03,108.38,40337.428
1704261600,108,109.8,108.37,109.24,41621.097
1704265200,107.49,109.97,109.32,107.83,39767.735
1704268800,107.59,108.64,107.86,108.39,21884.414
1704272400,108.26,109.44,108.41,109.01,31735.492
1704276000,106.37,109.4,109.01,107.31,39859.542
1704279600,102.49,107.45,107.34,103.46,97453.107
1704283200,85.5,103.46,103.46,100.63,730000.938
1704286800,96.4,100.66,100.6,98.5,310302.096
1704290400,95,98.7,98.5,96.62,390562.084
1704294000,96.52,101.99,96.61,101.97,190607.685
1704297600,98.54,103.25,101.99,99.71,199710.805
1704301200,96.69,100.23,99.7,97.9,161538.017
1704304800,95.3,101.37,97.88,96.92,173841.041
1704308400,96.46,98.57,96.86,97.44,72081.258
1704312000,97.29,99.91,97.42,99.69,84117.792
1704315600,98.68,100.57,99.69,100.33,65546.292
1704319200,98.23,100.36,100.34,98.86,47595.536
1704322800,97.81,99.06,98.87,98.59,39081.813
1704326400,98.24,100.42,98.57,100.21,42725.156
1704330000,97.7,100.45,100.18,98.47,51109.888
1704333600,98.1,101.15,98.48,100.96,61436.331
1704337200,100.24,102,101.01,101.17,42028.145
1704340800,100.3,101.55,101.2,100.62,25522.91
1704344400,99.75,101.74,100.66,101.28,23005.283
1704348000,100.49,101.59,101.3,100.79,17627.497
1704351600,98.79,101.27,100.8,98.94,33768.823
1704355200,97.5,99.38,98.95,98.13,42378.363
1704358800,98.1,99.18,98.1,98.55,19564.06
1704362400,96.74,99.12,98.57,98.38,28497.252
1704366000,97.58,98.99,98.42,98.61,64047.425
1704369600,98.24,99.92,98.57,99.5,36862.936
1704373200,98.26,100.62,99.53,100.02,36583.729
1704376800,99.49,102.36,100.01,102.36,56542.551
1704380400,101.69,104.42,102.36,103.77,162032.86
1704384000,101.78,104.11,103.77,102.1,72175.965
1704387600,101.62,105.75,102.12,103.23,124063.669
1704391200,102.77,104.1,103.26,103.76,46707.88
1704394800,103.68,106.95,103.76,105.31,159707.267
1704398400,105.31,108.23,105.31,106.41,133774.706
1704402000,105.34,107.21,106.41,105.69,100076.029
1704405600,104.38,107.1,105.7,104.92,71628.097
1704409200,104.49,105.49,104.92,105.01,42578.988
1704412800,102.82,105.57,105.01,104.19,67229.966
