ts,open,high,low,close,confirm
1577980800000,0.1904,0.1907,0.1882,0.1886,1
1577984400000,0.1886,0.1886,0.1858,0.1882,1
1577988000000,0.1882,0.1883,0.1878,0.1881,1
1577991600000,0.1881,0.1881,0.1873,0.188,1
1577995200000,0.188,0.188,0.1868,0.1871,1
1577998800000,0.1871,0.1878,0.1869,0.1876,1
1578002400000,0.1876,0.1879,0.1871,0.1879,1
1578006000000,0.1879,0.1879,0.1872,0.1873,1
1578009600000,0.1873,0.1873,0.1857,0.1859,1
1578013200000,0.1859,0.1859,0.1846,0.1846,1
1578016800000,0.1846,0.1865,0.1845,0.1864,1
1578020400000,0.1864,0.1865,0.186,0.1861,1
1578024000000,0.1861,0.1917,0.1861,0.1904,1
1578027600000,0.1904,0.1913,0.1901,0.1912,1
1578031200000,0.1912,0.1912,0.1898,0.1903,1
1578034800000,0.1903,0.1905,0.1895,0.1896,1
1578038400000,0.1896,0.1921,0.1896,0.1918,1
1578042000000,0.1918,0.1933,0.1917,0.1931,1
1578045600000,0.1931,0.1934,0.1922,0.1924,1
1578049200000,0.1924,0.193,0.1924,0.1928,1
1578052800000,0.1928,0.193,0.1923,0.1927,1
1578056400000,0.1926,0.1937,0.1926,0.1934,1
1578060000000,0.1934,0.1935,0.1912,0.1913,1
1578063600000,0.1913,0.192,0.1912,0.1919,1
1578067200000,0.192,0.1935,0.1916,0.1934,1
1578070800000,0.1934,0.1937,0.1927,0.1932,1
1578074400000,0.1932,0.1933,0.1925,0.1927,1
1578078000000,0.1927,0.1928,0.1916,0.1926,1
1578081600000,0.1926,0.1929,0.1922,0.1925,1
1578085200000,0.1925,0.1926,0.1917,0.1919,1
1578088800000,0.1919,0.1924,0.1916,0.1923,1
1578092400000,0.1923,0.1933,0.1923,0.1933,1
1578096000000,0.1933,0.1934,0.1921,0.1924,1
1578099600000,0.1924,0.1926,0.192,0.1923,1
1578103200000,0.1923,0.1925,0.1919,0.1925,1
1578106800000,0.1925,0.1929,0.1924,0.1927,1
1578110400000,0.1927,0.1927,0.1921,0.1925,1
1578114000000,0.1925,0.193,0.1924,0.1926,1
1578117600000,0.1926,0.1936,0.1926,0.1931,1
1578121200000,0.1931,0.1933,0.1927,0.1928,1
1578124800000,0.1928,0.1932,0.1928,0.193,1
1578128400000,0.193,0.193,0.1924,0.1929,1
1578132000000,0.1929,0.1933,0.1924,0.1925,1
1578135600000,0.1925,0.1927,0.1922,0.1927,1
1578139200000,0.1927,0.1927,0.1917,0.1919,1
1578142800000,0.1919,0.1921,0.1918,0.1921,1
1578146400000,0.1921,0.1924,0.1919,0.1924,1
1578150000000,0.1924,0.1928,0.1921,0.1925,1
1578153600000,0.1925,0.1927,0.192,0.192,1
1578157200000,0.192,0.1926,0.192,0.1926,1
1578160800000,0.1926,0.1934,0.1915,0.1917,1
1578164400000,0.1916,0.1926,0.1912,0.1923,1
1578168000000,0.1923,0.1926,0.1917,0.1925,1
1578171600000,0.1925,0.1929,0.1924,0.1926,1
1578175200000,0.1925,0.1927,0.1924,0.1924,1
1578178800000,0.1924,0.1932,0.1923,0.193,1
1578182400000,0.193,0.1945,0.1929,0.1944,1
1578186000000,0.1944,0.1953,0.1943,0.1948,1
1578189600000,0.1949,0.1949,0.1943,0.1944,1
1578193200000,0.1944,0.1949,0.1943,0.1949,1
1578196800000,0.1948,0.1953,0.1945,0.1951,1
1578200400000,0.1951,0.1954,0.1948,0.1953,1
1578204000000,0.1953,0.1956,0.1946,0.1949,1
1578207600000,0.1949,0.195,0.1946,0.1948,1
1578211200000,0.1948,0.195,0.1936,0.1939,1
1578214800000,0.1939,0.1941,0.1934,0.1939,1
1578218400000,0.1939,0.194,0.1933,0.1936,1
1578222000000,0.1936,0.1947,0.1936,0.1947,1
1578225600000,0.1947,0.1949,0.1945,0.1947,1
1578229200000,0.1948,0.1948,0.194,0.1943,1
1578232800000,0.1943,0.1951,0.1942,0.1948,1
1578236400000,0.1947,0.1962,0.1946,0.1961,1
1578240000000,0.1961,0.1969,0.196,0.1963,1
1578243600000,0.1963,0.197,0.196,0.1969,1
1578247200000,0.1969,0.1969,0.1963,0.1965,1
1578250800000,0.1966,0.1966,0.196,0.1963,1
1578254400000,0.1963,0.1964,0.196,0.1963,1
1578258000000,0.1962,0.1962,0.1949,0.195,1
1578261600000,0.195,0.1951,0.1943,0.1946,1
1578265200000,0.1946,0.1947,0.1938,0.1945,1
1578268800000,0.1944,0.1949,0.1942,0.1949,1
1578272400000,0.1949,0.1961,0.1947,0.196,1
1578276000000,0.196,0.1969,0.1959,0.1968,1
1578279600000,0.1969,0.1973,0.196,0.1971,1
1578283200000,0.1971,0.1973,0.1965,0.1968,1
1578286800000,0.1968,0.1972,0.1962,0.1967,1
1578290400000,0.1967,0.1972,0.1966,0.1969,1
1578294000000,0.1969,0.1972,0.1965,0.1965,1
1578297600000,0.1965,0.2022,0.1965,0.2016,1
1578301200000,0.2016,0.2106,0.2009,0.2081,1
1578304800000,0.2081,0.2137,0.2069,0.212,1
1578308400000,0.212,0.2133,0.2096,0.211,1
1578312000000,0.2111,0.216,0.2102,0.2144,1
1578315600000,0.2144,0.2148,0.21,0.2108,1
1578319200000,0.2108,0.2138,0.2105,0.2128,1
1578322800000,0.2128,0.2142,0.2121,0.2128,1
1578326400000,0.2127,0.2193,0.2126,0.2181,1
1578330000000,0.2181,0.2201,0.2172,0.219,1
1578333600000,0.219,0.2191,0.2177,0.2181,1
1578337200000,0.2181,0.22,0.2175,0.2194,1
1578340800000,0.2194,0.2236,0.2194,0.2234,1
1578344400000,0.2234,0.2235,0.2177,0.2182,1
1578348000000,0.2182,0.2211,0.2177,0.2185,1
1578351600000,0.2185,0.223,0.2182,0.223,1
1578355200000,0.223,0.2252,0.2195,0.22,1
1578358800000,0.22,0.2218,0.2199,0.2211,1
1578362400000,0.2211,0.222,0.2195,0.2196,1
1578366000000,0.2196,0.2203,0.2188,0.2198,1
1578369600000,0.2197,0.2198,0.2135,0.2144,1
1578373200000,0.2143,0.2163,0.2137,0.2163,1
1578376800000,0.2163,0.2163,0.2147,0.2156,1
1578380400000,0.2156,0.2178,0.2156,0.2175,1
1578384000000,0.2174,0.2178,0.2159,0.2162,1
1578387600000,0.2162,0.2162,0.2148,0.2148,1
1578391200000,0.2148,0.2163,0.2148,0.2163,1
1578394800000,0.2162,0.2175,0.2149,0.2149,1
1578398400000,0.2149,0.215,0.21,0.2109,1
1578402000000,0.2109,0.2112,0.2077,0.2105,1
1578405600000,0.2105,0.2113,0.2092,0.2094,1
1578409200000,0.2094,0.2102,0.2073,0.208,1
1578412800000,0.208,0.2107,0.2071,0.2101,1
1578416400000,0.2101,0.2126,0.2092,0.2117,1
1578420000000,0.2117,0.2151,0.2114,0.2131,1
1578423600000,0.2131,0.2173,0.213,0.2148,1
1578427200000,0.2148,0.2161,0.2144,0.2159,1
1578430800000,0.2159,0.2166,0.2131,0.2136,1
1578434400000,0.2136,0.2139,0.2113,0.2127,1
1578438000000,0.2127,0.2148,0.2125,0.2133,1
1578441600000,0.2133,0.2182,0.2127,0.2173,1
1578445200000,0.2173,0.2176,0.2146,0.2147,1
1578448800000,0.2147,0.2156,0.2132,0.2132,1
1578452400000,0.2132,0.2132,0.2118,0.2124,1
1578456000000,0.2124,0.2134,0.2124,0.2131,1
1578459600000,0.2131,0.2143,0.2127,0.214,1
1578463200000,0.214,0.2152,0.2137,0.214,1
1578466800000,0.214,0.2146,0.2118,0.2121,1
1578470400000,0.2121,0.2128,0.2114,0.2123,1
1578474000000,0.2123,0.2124,0.2113,0.2117,1
1578477600000,0.2117,0.2132,0.2115,0.2125,1
1578481200000,0.2125,0.2129,0.2121,0.2122,1
1578484800000,0.2122,0.217,0.2116,0.2132,1
1578488400000,0.2132,0.2147,0.2119,0.2143,1
1578492000000,0.2143,0.2143,0.2112,0.2125,1
1578495600000,0.2125,0.2138,0.2113,0.2126,1
1578499200000,0.2126,0.213,0.2043,0.2068,1
1578502800000,0.2068,0.2077,0.2055,0.2068,1
1578506400000,0.2068,0.2075,0.2061,0.2065,1
1578510000000,0.2065,0.207,0.2046,0.2055,1
1578513600000,0.2055,0.2057,0.2034,0.2055,1
1578517200000,0.2054,0.2064,0.2051,0.206,1
1578520800000,0.206,0.2082,0.2056,0.2077,1
1578524400000,0.2077,0.2084,0.2072,0.2075,1
1578528000000,0.2075,0.2075,0.2057,0.2069,1
1578531600000,0.2069,0.2082,0.2067,0.2077,1
1578535200000,0.2077,0.2086,0.2072,0.2079,1
1578538800000,0.2079,0.2079,0.2059,0.2066,1
1578542400000,0.2066,0.2068,0.2062,0.2066,1
1578546000000,0.2066,0.2068,0.2061,0.2065,1
1578549600000,0.2065,0.2065,0.2052,0.2058,1
1578553200000,0.2058,0.2064,0.2057,0.206,1
1578556800000,0.206,0.2061,0.2053,0.2054,1
1578560400000,0.2054,0.2054,0.2037,0.2037,1
1578564000000,0.2038,0.2048,0.2034,0.2045,1
1578567600000,0.2045,0.2045,0.2033,0.2035,1
1578571200000,0.2035,0.2043,0.2035,0.2041,1
1578574800000,0.2042,0.2052,0.2042,0.2044,1
1578578400000,0.2044,0.205,0.2039,0.2039,1
1578582000000,0.2039,0.2048,0.2039,0.2043,1
1578585600000,0.2043,0.2047,0.2023,0.2029,1
1578589200000,0.2029,0.2029,0.2013,0.2016,1
1578592800000,0.2016,0.2025,0.2015,0.2022,1
1578596400000,0.2021,0.2049,0.202,0.2041,1
1578600000000,0.2041,0.2058,0.2023,0.2026,1
1578603600000,0.2026,0.2027,0.2013,0.202,1
1578607200000,0.202,0.2039,0.2019,0.2031,1
