ts,open,high,low,close,confirm
1785985200000,64581.8,64586.3,64495.9,64532.9,1
1785988800000,64532.9,64738.2,64498.3,64732,1
1785992400000,64732,64999.4,64731.9,64909.4,1
1785996000000,64909.4,64909.5,64747.5,64863.3,1
1785999600000,64863.3,64967.3,64781.3,64817.1,1
1786003200000,64817.1,65000.9,64759.4,64946.2,1
1786006800000,64946.2,64948.8,64639,64688.1,1
1786010400000,64688.1,64689.4,64587.3,64619,1
1786014000000,64619,64660.4,64507.4,64622.5,1
1786017600000,64622.5,64640.6,64387.6,64421.2,1
1786021200000,64421.2,64530.9,64170.7,64432.2,1
1786024800000,64432.2,64846.7,64360.2,64774.9,1
1786028400000,64774.9,64987.7,64622.8,64631.8,1
1786032000000,64631.8,64774.8,64591.8,64756.2,1
1786035600000,64756.2,64837.8,64546.4,64619.5,1
1786039200000,64619.5,64620.5,64376.6,64418.1,1
1786042800000,64417.9,64476.3,64362.4,64447.5,1
1786046400000,64447.5,64536.5,64439,64439.4,1
1786050000000,64439.4,64517.4,64403.8,64441.8,1
1786053600000,64441.8,64450.2,64326.5,64351.4,1
1786057200000,64351.4,64363.7,64196.7,64324.2,1
1786060800000,64324.2,64413.1,64230.6,64320,1
1786064400000,64320,64479.2,64300.6,64425.1,1
1786068000000,64425.1,64546.8,64254.8,64398,1
1786071600000,64398,64409.5,64260.3,64291.3,1
1786075200000,64291.3,64365.4,64162.6,64254.5,1
1786078800000,64254.5,64394.9,64175.8,64336.6,1
1786082400000,64336.6,64467.6,64282.3,64304.8,1
1786086000000,64304.8,64426.4,64261,64319.3,1
1786089600000,64319.3,64674.2,64302,64602.7,1
1786093200000,64602.7,64963.9,64602.7,64837.9,1
1786096800000,64837.9,64918.1,64802.8,64893.7,1
1786100400000,64893.7,65211.1,64892.9,65025.8,1
1786104000000,65025.8,65391.9,64983.5,65291.9,1
1786107600000,65291.9,65337.4,64984.1,65011.9,1
1786111200000,65011.9,65276.5,64785.5,64956.4,1
1786114800000,64956.4,65135.8,64892.4,64912,1
1786118400000,64912,65074.3,64811.2,64811.4,1
1786122000000,64811.4,64829.6,64523.6,64763.8,1
1786125600000,64763.8,64881.3,64676.2,64736.5,1
1786129200000,64736.5,65028.9,64735.9,64954.1,1
1786132800000,64954.1,65040.9,64948.6,64973.9,1
1786136400000,64973.9,65101.5,64928.1,64928.7,1
1786140000000,64928.7,64950,64844,64885.2,1
1786143600000,64885.2,64922.1,64876.3,64921.1,1
1786147200000,64921.1,64955.5,64821,64923.4,1
1786150800000,64923.4,64958.5,64907.8,64910.3,1
1786154400000,64910.3,64959.3,64893.6,64921.5,1
1786158000000,64921.5,65073.2,64915.5,65032.1,1
1786161600000,65032.1,65069.4,64969.5,65008.6,1
1786165200000,65008.6,65020.5,64974.7,64996.3,1
1786168800000,64996.3,65017,64960,65005,1
1786172400000,65005,65006.9,64947.2,64960.7,1
1786176000000,64960.7,65015.4,64945.8,64991.2,1
1786179600000,64991.2,65053.2,64990.2,64992.2,1
1786183200000,64992.2,65024,64990.7,65008.9,1
1786186800000,65008.9,65025.9,64957.3,64964.4,1
1786190400000,64964.4,65052.6,64922.6,65004.1,1
1786194000000,65004.1,65020.2,64998.5,65015.3,1
1786197600000,65015.3,65190,65015,65128.2,1
1786201200000,65128.2,65151.6,65058.7,65078,1
1786204800000,65078,65116.5,65037.7,65083.7,1
1786208400000,65083.7,65150.9,65075,65117.2,1
1786212000000,65117.2,65123.9,65025.4,65043.8,1
1786215600000,65043.8,65087.3,65015.9,65073.8,1
1786219200000,65073.8,65092,65058.9,65080.6,1
1786222800000,65080.6,65081.4,65000.6,65017.2,1
1786226400000,65017.2,65041.5,64946.5,64946.5,1
1786230000000,64946.5,64976.5,64937.2,64959.1,1
1786233600000,64959.1,64990.8,64958.4,64976.6,1
1786237200000,64976.6,65006.3,64848.3,64866,1
1786240800000,64866,64866,64777.4,64822.1,1
1786244400000,64822.1,64822.1,64727.7,64788.3,1
1786248000000,64788.3,64831,64784.6,64786.6,1
1786251600000,64786.6,64802.4,64773,64802.4,1
1786255200000,64802.4,64863.8,64799.7,64848.3,1
1786258800000,64848.3,64860.7,64824,64827.5,1
1786262400000,64827.5,64936.2,64787.9,64821.2,1
1786266000000,64821.2,64879.5,64809.6,64879.4,1
1786269600000,64879.4,64979.4,64879.4,64957.6,1
1786273200000,64957.6,65001.9,64947.7,64949.6,1
1786276800000,64949.6,64956.6,64915.6,64956.3,1
1786280400000,64956.3,65265.7,64956.3,65222.4,1
1786284000000,65222.4,65302.7,65150,65264.5,1
1786287600000,65264.5,65268.8,65210.5,65230.3,1
1786291200000,65230.3,65264.9,65182.1,65233.2,1
1786294800000,65233.2,65238.6,65197.1,65197.8,1
1786298400000,65197.8,65223.4,65190.3,65197.9,1
1786302000000,65197.9,65214,65178.6,65181.6,1
1786305600000,65181.6,65186.2,65075.2,65139.6,1
1786309200000,65139.6,65247.5,65123.1,65196.4,1
1786312800000,65196.4,65471.9,64973,65076.2,1
1786316400000,65076.2,65108.1,64839.6,64900.4,1
1786320000000,64900.4,65324.5,64824.7,64970.2,1
1786323600000,64970.2,65390.4,64896.5,65195.3,1
1786327200000,65195.3,65221.8,64905.4,65101.8,1
1786330800000,65101.8,65173,64907.5,64980.9,1
1786334400000,64980.9,65104.5,64922.1,65007.4,1
1786338000000,65007.4,65160.9,64979.2,65138.6,1
1786341600000,65138.6,65338.7,65130.5,65299.4,1
1786345200000,65299.4,65370.7,65198.3,65204.9,1
1786348800000,65204.9,65329.5,65190.4,65246.4,1
1786352400000,65246.4,65246.4,64956.2,64969.1,1
1786356000000,64969.1,65074.1,64967.3,65014.2,1
1786359600000,65014.2,65134.7,64979.4,65126.6,1
1786363200000,65126.6,65238.5,64848.8,64871.9,1
1786366800000,64871.9,64973.1,64517.3,64561.7,1
1786370400000,64561.7,64886.7,64540.8,64625.3,1
1786374000000,64625.3,64711.8,64202.4,64297.4,1
1786377600000,64297.4,64354.9,63829.3,63904.5,1
1786381200000,63904.5,64024.5,63830,63951.7,1
1786384800000,63951.7,64022.1,63812,63889.9,1
1786388400000,63889.9,64104.1,63884.7,64047.1,1
1786392000000,64047.1,64200.6,64021.4,64160.8,1
1786395600000,64160.8,64160.8,63983,63983.2,1
