ts,open,high,low,close
1784008800000,62696.2,62747.7,62534.5,62592.5,1
1784012400000,62592.5,62630.6,62477.9,62521.3,1
1784016000000,62521.3,62776.8,62460.3,62679.7,1
1784019600000,62679.7,62719.5,62508.3,62607.9,1
1784023200000,62607.9,62881.3,62575.5,62769.5,1
1784026800000,62769.5,62897.7,62686,62809.7,1
1784030400000,62809.7,63958.9,62752.3,63943.1,1
1784034000000,63943.1,64160.2,63676.5,63817.9,1
1784037600000,63817.9,64326.6,63547.8,64280.4,1
1784041200000,64280.3,64955.4,64168.8,64734.8,1
1784044800000,64734.6,64883.9,64600.2,64706.4,1
1784048400000,64706.4,64706.9,64267.4,64608.9,1
1784052000000,64608.8,64631.2,64452.4,64553.5,1
1784055600000,64553.5,64684.3,64462.9,64542.5,1
1784059200000,64545.8,64579.8,64389.7,64543.4,1
1784062800000,64543.4,64871.6,64491.7,64653.5,1
1784066400000,64653.4,65088,64496.4,64840,1
1784070000000,64840,65020.9,64747.8,65009.6,1
1784073600000,65009.6,65036.9,64740.8,64793.7,1
1784077200000,64793.6,64827.1,64619.5,64645.3,1
1784080800000,64645.3,64732.6,64457.4,64470,1
1784084400000,64470,64822.2,64470,64766.1,1
1784088000000,64766.1,64866.7,64689.4,64726.1,1
1784091600000,64726.1,64943.9,64582.8,64922,1
1784095200000,64922.2,65255.1,64777.3,64782.1,1
1784098800000,64782,64857,64454.6,64524.8,1
1784102400000,64524.8,64764.1,64524.8,64743.6,1
1784106000000,64743.6,64895.7,64616.9,64637,1
1784109600000,64637,64820.9,64574.2,64627.3,1
1784113200000,64627.3,64726.8,64581,64706.9,1
1784116800000,64706.9,65230.9,64566.7,65128.5,1
1784120400000,65128.5,65552,64857,65093.7,1
1784124000000,65093.8,65494,65039.4,65362.8,1
1784127600000,65362.8,65566.2,65220.2,65389.3,1
1784131200000,65389.3,65436,64748.8,65089.2,1
1784134800000,65089.4,65170.6,64944.3,65030.8,1
1784138400000,65030.8,65123,64824.8,64843.6,1
1784142000000,64845,64976.1,64709.9,64949.5,1
1784145600000,64949.6,65028.7,64874.9,64940.8,1
1784149200000,64940.8,64995.1,64764.3,64808.3,1
1784152800000,64808.3,64944.9,64748,64836.2,1
