ts,open,high,low,close,confirm
1577980800000,7132.2,7147,7045.3,7056.9,1
1577984400000,7056.9,7056.9,6932.9,6968.9,1
1577988000000,6969,6987.1,6954.1,6974.5,1
1577991600000,6974.5,6996.9,6962.5,6986.1,1
1577995200000,6985.8,6986.2,6944.6,6949.6,1
1577998800000,6949.5,6987.8,6948.5,6978.8,1
1578002400000,6978.8,6978.8,6963.6,6974.3,1
1578006000000,6974.4,6974.4,6956,6965.6,1
1578009600000,6965.6,6966.3,6916.9,6937.1,1
1578013200000,6937.1,6945.3,6878.1,6887.8,1
1578016800000,6887.9,6959.4,6869.2,6954.8,1
1578020400000,6955.1,6960.3,6937.7,6949.6,1
1578024000000,6949.6,7297.1,6947.8,7206.3,1
1578027600000,7206.3,7246.8,7166.9,7217.6,1
1578031200000,7217.6,7221.3,7192.3,7202.5,1
1578034800000,7202.5,7228.6,7189,7202,1
1578038400000,7202,7291.1,7202,7260.2,1
1578042000000,7260.1,7355.6,7258.3,7350.5,1
1578045600000,7350.6,7367.4,7287.5,7315.2,1
1578049200000,7315.2,7344.6,7309.3,7336.9,1
1578052800000,7336.9,7347.8,7309.7,7320.8,1
1578056400000,7320.7,7376.5,7313.1,7346.5,1
1578060000000,7346.5,7359.3,7235.8,7255.7,1
1578063600000,7255.6,7321.9,7255.5,7318.9,1
1578067200000,7319.1,7403,7292.5,7386.3,1
1578070800000,7386.2,7400.1,7333.9,7353.4,1
1578074400000,7353.5,7367.9,7330.1,7342.9,1
1578078000000,7343,7350.3,7284.1,7341.4,1
1578081600000,7342,7359.5,7299.9,7315.5,1
1578085200000,7315.5,7333,7267.2,7282.2,1
1578088800000,7282.4,7322.4,7263,7301.6,1
1578092400000,7301.4,7345,7294.7,7342.6,1
1578096000000,7342.5,7345.9,7289.4,7309.3,1
1578099600000,7309.2,7313.4,7283.7,7310.1,1
1578103200000,7310.2,7328.3,7298.7,7325.6,1
1578106800000,7326.6,7340.2,7318.4,7331.8,1
1578110400000,7331.6,7336.7,7311.1,7332.4,1
1578114000000,7332.4,7364.1,7324.3,7342.6,1
1578117600000,7342.6,7363,7339.3,7354.6,1
1578121200000,7354.6,7361.9,7326.7,7348.7,1
1578124800000,7348.7,7361.5,7332.2,7343.8,1
