ts,open,high,low,close,vol,volCcy,volCcyQuote,confirm
1576476000000,7080,7096,7079,7079,3472,34.72,246031.33,1
1576479600000,7088.7,7099.8,7052.7,7052.7,243080,2430.8,17217248.52,1
1576483200000,7100,7100,7057.7,7064.8,287120,2871.2,20289060.49,1
1576486800000,7063.6,7073.1,7055.8,7059.8,232696,2326.96,16439103.53,1
1576490400000,7061.8,7081.4,7059.1,7063.7,208636,2086.36,14746982.42,1
1576494000000,7063,7129.1,7062,7088,329800,3298,23358900.57,1
1576497600000,7088.4,7114.4,7073.7,7103.4,312664,3126.64,22167194.38,1
1576501200000,7105.9,7130,7091.7,7129.1,273452,2734.52,19444608.62,1
1576504800000,7130.7,7137,7102.4,7110.2,195240,1952.4,13894098.89,1
1576508400000,7110.7,7117.8,7080.6,7081.3,224840,2248.4,15955809.58,1
1576512000000,7084.8,7101.6,7084.8,7097.8,203424,2034.24,14430589.31,1
1576515600000,7097.6,7106.1,7092.7,7106.1,192212,1922.12,13641267.71,1
1576519200000,7106.7,7110.8,6825.7,6915.7,2941992,29419.92,204541637.28,1
1576522800000,6915.7,6919.3,6881.2,6907.9,274984,2749.84,18988479.36,1
1576526400000,6903.6,6916.8,6843,6865.6,529924,5299.24,36455386.18,1
1576530000000,6865.7,6902.6,6865.7,6885.2,287200,2872,19773924.19,1
1576533600000,6884.9,6900.8,6881.1,6890.7,226864,2268.64,15638474.19,1
1576537200000,6887.2,6899.5,6875.6,6889.1,301492,3014.92,20772841.47,1
1576540800000,6892.9,6904.2,6883.2,6887.8,217000,2170,14961625.53,1
1576544400000,6889.1,6889.1,6876.3,6883,189372,1893.72,13036529.89,1
1576548000000,6882.1,6893.5,6880.4,6890.4,360556,3605.56,24835941.95,1
1576551600000,6890.7,6892.1,6862.2,6880.3,358864,3588.64,24672228.46,1
1576555200000,6879.1,6885.8,6863.3,6881.1,293332,2933.32,20165699.02,1
1576558800000,6879.8,6892.4,6876.1,6884.7,259964,2599.64,17895762.14,1
1576562400000,6885.2,6887.6,6879.4,6880.4,264124,2641.24,18180565.65,1
1576566000000,6880.1,6886.3,6869.2,6869.5,260240,2602.4,17897954.77,1
1576569600000,6870,6877.6,6851.1,6869.8,754036,7540.36,51794919.38,1
1576573200000,6869.6,6876.6,6867.5,6875.1,536588,5365.88,36873373.24,1
1576576800000,6876.3,6892,6875.2,6883.1,325712,3257.12,22418885.55,1
1576580400000,6881,6953.7,6871.7,6924.8,1384062,13840.62,95481616.65,1
1576584000000,6926,6926.2,6871.6,6875.2,856668,8566.68,59146283.8,1
1576587600000,6871,6881.6,6702,6762.3,3089472,30894.72,209553830.71,1
1576591200000,6762.3,6762.3,6661.7,6738.9,1777912,17779.12,119525559.35,1
1576594800000,6740.1,6742.5,6696.5,6696.5,1082944,10829.44,72850421.56,1
1576598400000,6697.9,6732.8,6617.2,6732.7,1406200,14062,94191422.8,1
1576602000000,6732.1,6732.1,6689.4,6703.6,730660,7306.6,49027460.23,1
1576605600000,6701.1,6718.6,6698.9,6704,447100,4471,29997969.32,1
1576609200000,6705.9,6706.2,6565.5,6617.4,1454780,14547.8,96601283.87,1
1576612800000,6614.2,6632.5,6560.4,6578.7,976632,9766.32,64542340.13,1
1576616400000,6581,6618.8,6581,6612.1,819328,8193.28,54125973.2,1
1576620000000,6617.3,6686.5,6541.2,6586.2,1124180,11241.8,74403173.99,1
1576623600000,6588.9,6639.2,6558.5,6624,1457204,14572.04,96255554.65,1
1576627200000,6623.8,6652,6595,6649.5,705760,7057.6,46682516.84,1
1576630800000,6641.4,6709.8,6640.7,6656.1,1247748,12477.48,83115598.78,1
1576634400000,6657.6,6706.3,6645.5,6699.2,950328,9503.28,63489518.32,1
1576638000000,6699.6,6720.1,6680,6687.4,1110260,11102.6,74344647.24,1
1576641600000,6683.8,6707.6,6658.5,6675.4,1048796,10487.96,70113069.79,1
1576645200000,6675.4,6682.1,6628.9,6667.7,1059604,10596.04,70614171.54,1
