ts,open,high,low,close,vol,volCcy,volCcyQuote,confirm
1577232000000,127.64,127.72,127,127,300560,300.56,38315.28477,1
1577235600000,127,127,124.98,126.23,611801,611.801,77016.948735,1
1577239200000,126.23,126.29,125.49,125.75,695279,695.279,87502.68734,1
1577242800000,125.71,125.78,125.38,125.61,605159,605.159,75993.544795,1
1577246400000,125.62,126.01,125.61,126,791458,791.458,99591.4734,1
1577250000000,126.01,126.02,125.82,125.82,407754,407.754,51365.3470825,1
1577253600000,125.83,125.92,124.83,125.23,1137846,1137.846,142725.87368,1
1577257200000,125.01,125.97,124.7,125.71,906335,906.335,113500.3981175,1
1577260800000,125.55,125.99,125.53,125.79,952676,952.676,119689.00105,1
1577264400000,125.79,125.8,125.22,125.23,423430,423.43,53178.3248575,1
1577268000000,125.23,125.63,124.3,124.67,877392,877.392,109573.431955,1
1577271600000,124.7,124.8,124.14,124.46,563691,563.691,70194.9213,1
1577275200000,124.49,125.5,123.41,124.64,1360331,1360.331,169916.8023025,1
1577278800000,124.55,124.72,124.11,124.44,534270,534.27,66493.174405,1
1577282400000,124.43,124.62,123.92,124.3,839429,839.429,104273.7839175,1
1577286000000,124.27,124.57,123.81,124.4,651385,651.385,81010.8610275,1
1577289600000,124.39,124.73,123.4,124.04,1159596,1159.596,143836.69338,1
1577293200000,124.1,124.48,123.85,124.48,909278,909.278,112867.1912225,1
1577296800000,124.33,124.83,124.04,124.77,593098,593.098,73767.5412525,1
1577300400000,124.76,125.8,124.71,125.38,619938,619.938,77598.18365,1
1577304000000,125.38,125.86,125.38,125.65,565524,565.524,71063.539925,1
1577307600000,125.65,125.65,125,125.35,483191,483.191,60510.109395,1
1577311200000,125.23,125.77,125.02,125.34,672163,672.163,84217.83739,1
1577314800000,125.31,125.37,124.9,125.07,874965,874.965,109463.94122,1
1577318400000,125.07,125.38,124.89,124.89,1055814,1055.814,132050.57504,1
1577322000000,124.82,125.1,124.7,125.01,693068,693.068,86535.7554325,1
1577325600000,125.03,125.36,125.02,125.3,870200,870.2,108918.513865,1
1577329200000,125.25,125.28,124.37,124.53,1183219,1183.219,147965.526415,1
1577332800000,124.56,124.87,124.42,124.43,853385,853.385,106391.776165,1
1577336400000,124.46,124.73,124.41,124.58,726929,726.929,90549.070525,1
1577340000000,124.53,125.03,124.53,125.03,913234,913.234,113928.6685525,1
1577343600000,125.02,125.02,124.65,124.84,1212356,1212.356,151375.9253475,1
1577347200000,124.85,125.99,124.85,125.43,1598077,1598.077,200353.9313175,1
1577350800000,125.44,125.92,125.2,125.32,1813386,1813.386,227814.0253425,1
1577354400000,125.26,125.5,125.23,125.28,929379,929.379,116528.019845,1
1577358000000,125.28,125.3,124.91,125.08,887615,887.615,111056.4608125,1
1577361600000,125.07,125.48,125,125.34,1166906,1166.906,146236.3201,1
1577365200000,125.37,125.8,125.21,125.56,1041205,1041.205,130683.24636,1
1577368800000,125.54,125.88,125.5,125.79,1355481,1355.481,170369.889125,1
1577372400000,125.79,126.7,125.46,126.09,1418571,1418.571,178461.3046025,1
1577376000000,126.13,128.9,125.64,127.92,2614258,2614.258,332314.54685,1
1577379600000,128.15,128.9,128.02,128.85,1008743,1008.743,129674.1911575,1
1577383200000,128.88,128.9,128.45,128.7,795102,795.102,102252.5709275,1
1577386800000,128.7,132,128.21,129.02,1902756,1902.756,247890.1489,1
1577390400000,129.02,129.43,127.33,127.65,2044076,2044.076,261671.995445,1
1577394000000,127.64,127.64,126,126.45,1034649,1034.649,131109.70494,1
1577397600000,126.25,126.25,124.5,125.34,1920083,1920.083,240538.8219875,1
1577401200000,125.32,125.67,125.06,125.61,842905,842.905,105665.1937925,1
1577404800000,125.66,125.69,125.21,125.35,986417,986.417,123767.654345,1
1577408400000,125.38,125.82,125.27,125.76,1911659,1911.659,239710.8188525,1
1577412000000,125.85,126.6,125.82,126.36,2087291,2087.291,263325.61817,1
1577415600000,126.34,126.59,126,126.43,2144669,2144.669,271024.555885,1
1577419200000,126.47,126.5,125.27,125.35,2000691,2000.691,251677.348095,1
1577422800000,125.33,125.83,125.24,125.42,1936896,1936.896,243001.0671175,1
1577426400000,125.44,125.44,125.1,125.19,1766006,1766.006,221228.575415,1
1577430000000,125.18,125.28,124.51,124.94,2032674,2032.674,253777.3724125,1
1577433600000,124.95,125.25,124.7,125.04,1264362,1264.362,158152.581995,1
1577437200000,125.03,125.12,124.55,124.73,2238465,2238.465,279139.37528,1
1577440800000,124.73,125.08,124.48,124.87,1133628,1133.628,141584.6408575,1
1577444400000,124.9,125,122.65,123.73,2158478,2158.478,268386.1097775,1
1577448000000,123.55,125.22,123,125.22,2534530,2534.53,313726.7661075,1
1577451600000,125.14,125.78,124.38,124.46,2128108,2128.108,265587.1144725,1
1577455200000,124.49,125.06,124.28,124.86,1526261,1526.261,190186.02216,1
1577458800000,124.86,126.5,124.78,126.17,1939223,1939.223,243710.7632425,1
1577462400000,126,126.96,124.8,125.34,2505754,2505.754,315582.963245,1
1577466000000,125.33,125.63,124.72,125.21,2061022,2061.022,258234.349765,1
1577469600000,125.22,125.81,125.01,125.38,1929391,1929.391,242112.938855,1
1577473200000,125.37,125.7,125.17,125.36,1734976,1734.976,217629.83303,1
1577476800000,125.39,125.75,125.39,125.57,2103363,2103.363,264062.05832,1
1577480400000,125.63,125.71,125.17,125.64,1893705,1893.705,237766.1154175,1
1577484000000,125.66,126.72,125.66,126.33,2048360,2048.36,258745.4645825,1
1577487600000,126.33,126.47,126.09,126.26,1929970,1929.97,243681.71651,1
1577491200000,126.24,127.65,125.86,127.59,1925373,1925.373,243845.20237,1
1577494800000,127.64,128.35,126.99,127.35,2177419,2177.419,277368.8444825,1
1577498400000,127.44,127.85,126.52,126.92,2038321,2038.321,258966.61518,1
1577502000000,126.86,127.12,126.66,127.06,1871341,1871.341,237606.1813925,1
1577505600000,126.96,127.81,126.8,127.5,2044180,2044.18,260210.57951,1
1577509200000,127.5,128.07,127.5,127.86,1907399,1907.399,243668.86073,1
1577512800000,127.77,128.5,127.13,127.16,2227756,2227.756,284620.5804675,1
1577516400000,127.16,127.53,126.92,127.15,1920753,1920.753,244406.627655,1
1577520000000,127.18,127.4,126.69,127.31,2383330,2383.33,302767.0803425,1
1577523600000,127.3,127.43,127.12,127.22,2221014,2221.014,282718.0173975,1
1577527200000,127.21,127.94,126.93,127.86,2091409,2091.409,266211.7812675,1
1577530800000,127.76,127.8,126.95,127.37,2012455,2012.455,255996.2178675,1
1577534400000,127.38,127.66,127.1,127.59,1773296,1773.296,225844.443715,1
