ts,open,high,low,close,vol,volCcy,volCcyQuote,confirm
1723528800000,2652.8,2658.85,2634.28,2654.6,3760.199308,9952228.14573085,9952228.14573085,1
1723532400000,2654.81,2662.28,2642.45,2648.79,2813.029953,7464954.84410328,7464954.84410328,1
1723536000000,2648.79,2658.5,2632.62,2642.56,2824.712022,7463474.51572746,7463474.51572746,1
1723539600000,2642.91,2647.23,2627.22,2641.61,3052.491316,8048373.81433903,8048373.81433903,1
1723543200000,2641.7,2644.62,2610.65,2633.59,6458.790152,16942905.29236458,16942905.29236458,1
1723546800000,2633.5,2648.4,2629.68,2644.59,1962.5382,5179458.56734074,5179458.56734074,1
1723550400000,2644.41,2663.38,2633,2650.11,5477.397393,14504405.17500186,14504405.17500186,1
1723554000000,2650.1,2675.34,2635.75,2669.34,5992.155339,15917078.72719037,15917078.72719037,1
1723557600000,2669.19,2674.49,2630.28,2661.79,6696.693418,17762741.32570646,17762741.32570646,1
1723561200000,2662,2664.4,2643.67,2652,2103.644822,5577297.24143556,5577297.24143556,1
1723564800000,2652.01,2717.57,2650,2715.5,7779.838809,20912510.80309183,20912510.80309183,1
1723568400000,2715.79,2731.69,2701.92,2713.01,9346.400422,25357274.01317423,25357274.01317423,1
1723572000000,2712.96,2714.14,2687.21,2697.7,7095.371256,19162738.83713267,19162738.83713267,1
1723575600000,2697.58,2718.7,2674.8,2711.01,8781.228316,23713798.52614293,23713798.52614293,1
1723579200000,2711.15,2715.3,2697.92,2698.5,2496.605802,6757872.62792203,6757872.62792203,1
1723582800000,2698.7,2731,2694.55,2730,1861.9584,5053937.87742404,5053937.87742404,1
1723586400000,2730.2,2734.43,2707.94,2713.5,2123.647646,5774392.35583713,5774392.35583713,1
1723590000000,2713.6,2713.79,2692.94,2702.04,3510.830091,9487012.76786916,9487012.76786916,1
1723593600000,2702.15,2716.93,2693.52,2715.51,1854.503623,5015524.45459464,5015524.45459464,1
1723597200000,2715.5,2719.69,2690,2690.98,2346.073093,6340536.32953136,6340536.32953136,1
1723600800000,2691,2713.56,2685.85,2708.81,1899.994948,5133058.74572308,5133058.74572308,1
1723604400000,2709.1,2725.63,2704.8,2709.3,3085.800874,8378501.50379551,8378501.50379551,1
1723608000000,2709.31,2724.27,2708.01,2720.51,1749.003212,4751578.8972556,4751578.8972556,1
1723611600000,2720.4,2744.83,2715.3,2724.11,4170.193729,11388223.77571375,11388223.77571375,1
1723615200000,2724.11,2750.19,2717.03,2727.63,5128.701363,14031977.46389613,14031977.46389613,1
1723618800000,2727.64,2729.46,2717.97,2727.49,3377.873932,9195982.39539961,9195982.39539961,1
1723622400000,2727.49,2736.91,2714.56,2725.8,2171.493068,5921312.66929635,5921312.66929635,1
1723626000000,2726,2730.49,2719.64,2721.76,1533.407448,4177007.27543064,4177007.27543064,1
1723629600000,2721.77,2765.29,2720.64,2742.89,7118.565742,19559642.15245917,19559642.15245917,1
1723633200000,2743,2756.72,2724.84,2750.1,5391.733598,14782594.88123845,14782594.88123845,1
1723636800000,2750.1,2784.12,2720.02,2731.81,13212.613455,36398726.62738111,36398726.62738111,1
1723640400000,2731.8,2738.82,2651,2658.61,13297.822434,35756794.2773997,35756794.2773997,1
1723644000000,2658.91,2669.33,2632.34,2653.77,13810.254076,36606898.79950548,36606898.79950548,1
1723647600000,2653.2,2685.85,2638,2673.91,10425.075874,27706132.18884158,27706132.18884158,1
1723651200000,2673.91,2674.1,2641.24,2664.19,6198.63078,16459505.10365703,16459505.10365703,1
1723654800000,2663.7,2672,2651.05,2658.5,1482.832315,3946924.71659222,3946924.71659222,1
1723658400000,2658.3,2669.2,2647.02,2659.4,1600.273637,4251373.42621084,4251373.42621084,1
1723662000000,2659.39,2672.41,2651.11,2669.3,4879.270234,12983059.63751403,12983059.63751403,1
1723665600000,2668.86,2678.83,2666.39,2676.09,938.989648,2509910.74003455,2509910.74003455,1
1723669200000,2676.18,2680.22,2663.07,2664.2,1292.210797,3453695.22135348,3453695.22135348,1
1723672800000,2664.22,2670.58,2641.49,2669.84,2801.900148,7441166.26257824,7441166.26257824,1
1723676400000,2670.2,2674.11,2660.63,2661.19,948.312168,2530208.98307484,2530208.98307484,1
1723680000000,2661.2,2674.01,2654.86,2666.39,3973.510896,10597417.89971078,10597417.89971078,1
1723683600000,2666.4,2667.59,2637.8,2644.23,4154.944632,11021291.71409858,11021291.71409858,1
1723687200000,2644.22,2663.01,2633.9,2648.68,5714.8051,15147809.93432605,15147809.93432605,1
1723690800000,2648.7,2655.99,2647.21,2652.38,1484.384013,3937276.66476414,3937276.66476414,1
1723694400000,2652.39,2654.93,2642.78,2652.7,1670.901109,4424624.03600928,4424624.03600928,1
1723698000000,2652.3,2656.44,2632.69,2637,3014.884179,7973734.58380191,7973734.58380191,1
1723701600000,2636.99,2641.54,2610,2624,5473.695017,14370041.59040734,14370041.59040734,1
1723705200000,2623.99,2624.92,2588.58,2615,6682.722751,17423215.26720639,17423215.26720639,1
1723708800000,2615.2,2622.13,2605.05,2621.71,1871.273082,4891027.38917817,4891027.38917817,1
1723712400000,2621.79,2630.69,2617.58,2623.4,1513.633492,3972739.24808034,3972739.24808034,1
1723716000000,2623.4,2626.77,2614.22,2618.09,1147.561663,3008421.62835363,3008421.62835363,1
1723719600000,2618.01,2644.27,2617.1,2637.61,2419.540352,6373886.58063862,6373886.58063862,1
1723723200000,2637.6,2668.25,2632.75,2641.8,6810.147552,18045400.14500406,18045400.14500406,1
1723726800000,2642,2668.4,2633.5,2662.5,2487.530102,6597702.68736441,6597702.68736441,1
1723730400000,2662.31,2669.22,2646.6,2654.31,8691.94631,23089057.32775004,23089057.32775004,1
1723734000000,2654.31,2675.4,2647.29,2668.39,6343.247274,16876046.62117353,16876046.62117353,1
1723737600000,2668.3,2675.1,2652.35,2657.82,4355.967648,11603420.75865371,11603420.75865371,1
1723741200000,2657.82,2660.6,2604,2613.8,4694.505671,12347549.45627028,12347549.45627028,1
1723744800000,2614.19,2614.19,2542.01,2554,15575.630215,39956023.04850408,39956023.04850408,1
1723748400000,2554.04,2557.58,2521.35,2549.7,10388.073972,26401124.21246455,26401124.21246455,1
1723752000000,2549.31,2550.89,2515.43,2549.47,8270.49308,20947887.97431745,20947887.97431745,1
1723755600000,2549.47,2573.33,2533.6,2572.1,5100.706457,13011667.84677624,13011667.84677624,1
1723759200000,2572.1,2589.6,2560.22,2576.64,3120.595084,8038681.94318703,8038681.94318703,1
1723762800000,2576.4,2582.03,2566.67,2570.09,2373.399482,6110779.7085689,6110779.7085689,1
1723766400000,2570.01,2579.79,2566,2572.81,2469.922504,6354770.58787034,6354770.58787034,1
1723770000000,2572.7,2578.78,2552.17,2572.51,1834.719792,4705047.90729122,4705047.90729122,1
1723773600000,2572.8,2610.01,2561,2594.4,3827.061517,9921322.51174072,9921322.51174072,1
1723777200000,2594.32,2594.32,2576.5,2580.01,1800.703486,4650959.8028788,4650959.8028788,1
1723780800000,2580.01,2597.62,2577.81,2597.1,1358.494617,3516629.58618936,3516629.58618936,1
1723784400000,2596.59,2604.35,2591.78,2596.51,2300.589769,5977168.28031918,5977168.28031918,1
1723788000000,2596.68,2628.18,2593.08,2626.49,3438.966021,8993887.58273706,8993887.58273706,1
1723791600000,2626.49,2629.25,2613,2617.39,2497.729066,6541744.12368145,6541744.12368145,1
1723795200000,2617.39,2625.59,2610.48,2617.99,1536.334738,4021946.95211733,4021946.95211733,1
1723798800000,2618,2626.21,2612.19,2626.16,1495.292863,3915919.48248571,3915919.48248571,1
1723802400000,2626.21,2626.47,2611.65,2617.91,1029.802853,2695780.80063636,2695780.80063636,1
1723806000000,2617.91,2624.98,2605.86,2612,3172.83711,8295126.65541373,8295126.65541373,1
1723809600000,2612,2616.99,2560.95,2575.2,7006.005458,18108291.35966098,18108291.35966098,1
1723813200000,2575.61,2619.37,2566,2593.8,8524.825661,22138231.00561311,22138231.00561311,1
1723816800000,2593.51,2601.42,2571.15,2581.3,3062.317737,7919133.79493941,7919133.79493941,1
1723820400000,2581.78,2593.32,2550.7,2568.98,4867.136988,12495887.98137442,12495887.98137442,1
1723824000000,2568.91,2611.87,2564.2,2594.4,7414.280484,19213969.10124433,19213969.10124433,1
1723827600000,2594.24,2615.63,2568.6,2611.1,4925.314844,12760327.8197729,12760327.8197729,1
1723831200000,2611.2,2631.27,2604.16,2614.1,4739.08314,12411220.60845631,12411220.60845631,1
1723834800000,2614.39,2629.31,2612.59,2620.39,1469.418132,3851039.1130277,3851039.1130277,1
1723838400000,2620.73,2626.58,2608.33,2608.34,2407.058746,6302413.87912424,6302413.87912424,1
1723842000000,2608.34,2612.53,2591.6,2600.7,1141.030765,2969570.31971707,2969570.31971707,1
1723845600000,2601,2605.85,2593.54,2595.9,559.942252,1455973.55470059,1455973.55470059,1
1723849200000,2595.9,2599.4,2586.9,2592.89,682.622487,1769882.34316594,1769882.34316594,1
1723852800000,2592.9,2602.83,2587.5,2599.32,1020.527523,2650239.13807985,2650239.13807985,1
1723856400000,2599.5,2608.42,2595.8,2604.11,1199.846282,3122503.91620852,3122503.91620852,1
1723860000000,2604.11,2607.92,2596.6,2598.29,560.305572,1457884.88860035,1457884.88860035,1
1723863600000,2598.5,2600.62,2588.44,2595.6,1111.097658,2883817.44309007,2883817.44309007,1
