ts,open,high,low,close,vol,volCcy,volCcyQuote,confirm
1723532400000,146.49,147.06,145.91,145.99,17786.877407,2605979.68893811,2605979.68893811,1
1723536000000,145.98,146.38,144.37,145.48,14007.134674,2032934.92743895,2032934.92743895,1
1723539600000,145.49,145.55,143.81,144.64,24852.867594,3588240.51475101,3588240.51475101,1
1723543200000,144.63,145.1,143.25,144.63,16050.699977,2313605.01880043,2313605.01880043,1
1723546800000,144.61,146.23,144.21,145.85,10471.038393,1517736.97618692,1517736.97618692,1
1723550400000,145.9,147.43,145.17,146.24,47741.871633,6976875.82369643,6976875.82369643,1
1723554000000,146.28,147.66,145.62,147.15,40391.260901,5920926.11156022,5920926.11156022,1
1723557600000,147.15,147.54,144.63,146.44,44595.067204,6521869.94190742,6521869.94190742,1
1723561200000,146.46,146.7,145.23,146.09,22019.579226,3210875.54084879,3210875.54084879,1
1723564800000,146.06,149.4,145.87,149.38,71126.015148,10504830.57299121,10504830.57299121,1
1723568400000,149.35,149.81,147.44,148.21,67762.868002,10073337.65083334,10073337.65083334,1
1723572000000,148.23,148.35,146.47,146.72,41083.018401,6052759.32863964,6052759.32863964,1
1723575600000,146.69,147.15,144.83,146.55,32602.90325,4765700.76430696,4765700.76430696,1
1723579200000,146.52,146.91,145.72,145.96,7510.267506,1098709.97254704,1098709.97254704,1
1723582800000,145.96,147.86,145.83,147.79,8415.419715,1234007.59764926,1234007.59764926,1
1723586400000,147.8,147.86,146.47,147.09,14553.932482,2141782.79026631,2141782.79026631,1
1723590000000,147.11,147.46,146.22,146.67,14409.262284,2116127.53006135,2116127.53006135,1
1723593600000,146.65,147.27,145.95,146,11280.738172,1651694.53668547,1651694.53668547,1
1723597200000,145.99,146.37,143.57,144.01,46983.798732,6789386.50280644,6789386.50280644,1
1723600800000,144.01,145.08,143.76,144.99,19598.204147,2832789.41296943,2832789.41296943,1
1723604400000,144.99,146.19,144.61,145.13,20600.161937,2994143.13432872,2994143.13432872,1
1723608000000,145.14,145.32,144.38,144.6,27368.62355,3966133.05303061,3966133.05303061,1
1723611600000,144.6,145.59,144.39,144.74,11788.542766,1708034.30054353,1708034.30054353,1
1723615200000,144.74,145.63,144.18,145.26,16982.398292,2460522.21159174,2460522.21159174,1
1723618800000,145.25,145.71,144.88,145.69,11483.091494,1667927.27842193,1667927.27842193,1
1723622400000,145.72,145.9,144.82,145.62,14784.140109,2149071.86381617,2149071.86381617,1
1723626000000,145.63,146.54,145.44,146.33,14888.437612,2175019.23081123,2175019.23081123,1
1723629600000,146.32,148.12,146.31,146.83,49219.854659,7249955.03572021,7249955.03572021,1
1723633200000,146.83,149.05,146.54,147.98,45704.583541,6776506.96308171,6776506.96308171,1
1723636800000,147.99,152.17,147.32,149.91,136012.623307,20362506.41897716,20362506.41897716,1
1723640400000,149.9,151.17,146.64,147.2,100882.061586,15033504.73665875,15033504.73665875,1
1723644000000,147.2,147.75,145.3,146.74,86456.94369,12675392.94390778,12675392.94390778,1
1723647600000,146.71,147.31,144.58,146.7,67533.35436,9860467.00048857,9860467.00048857,1
1723651200000,146.71,147.25,143.92,144.97,82808.98739,12053347.50004177,12053347.50004177,1
1723654800000,144.94,145.49,144.37,144.6,11349.530454,1644442.58842656,1644442.58842656,1
1723658400000,144.6,145.33,143.77,144.51,9986.135792,1443095.04947137,1443095.04947137,1
1723662000000,144.51,144.78,143.77,144.26,11410.619705,1646058.56270186,1646058.56270186,1
1723665600000,144.21,144.71,144.03,144.22,9729.527358,1404398.85793487,1404398.85793487,1
1723669200000,144.25,144.54,143.6,143.88,9062.069197,1306473.08016831,1306473.08016831,1
1723672800000,143.88,144.36,142.38,144.36,31751.406757,4549567.37805084,4549567.37805084,1
1723676400000,144.37,144.41,143.66,143.68,13748.917723,1980518.45214683,1980518.45214683,1
1723680000000,143.71,145.33,143.67,144.9,13042.325689,1885389.71039,1885389.71039,1
1723683600000,144.91,145.39,144.09,144.25,19020.082701,2754901.20066939,2754901.20066939,1
1723687200000,144.24,145.28,143.16,144.64,38482.938345,5544535.27883466,5544535.27883466,1
1723690800000,144.65,145.2,144.43,144.69,20334.056856,2943855.913319,2943855.913319,1
1723694400000,144.7,144.88,143.76,144.61,11739.111286,1692336.67925405,1692336.67925405,1
1723698000000,144.59,144.86,142.62,142.93,20441.40028,2932233.29926401,2932233.29926401,1
1723701600000,142.93,143.22,141.15,141.91,50394.112501,7156238.27554486,7156238.27554486,1
1723705200000,141.91,142.67,141.1,142.51,22310.084457,3164042.69368939,3164042.69368939,1
1723708800000,142.51,143.15,141.7,143.15,21011.667122,2991763.97313522,2991763.97313522,1
1723712400000,143.13,143.52,142.09,142.14,15743.926452,2248490.54344478,2248490.54344478,1
1723716000000,142.15,142.39,141.26,141.69,13700.947565,1943444.84032639,1943444.84032639,1
1723719600000,141.69,143.44,141.69,143.16,32192.522088,4599364.65872947,4599364.65872947,1
1723723200000,143.15,145.51,142.5,142.81,54327.344806,7830224.55027422,7830224.55027422,1
1723726800000,142.82,145.2,142.07,144.97,46219.5184,6667018.2724376,6667018.2724376,1
1723730400000,144.98,146.66,144.12,144.99,57571.20668,8354797.8933656,8354797.8933656,1
1723734000000,145,146.31,144.34,145.96,38559.242179,5606357.27818426,5606357.27818426,1
1723737600000,145.95,147.61,145.53,145.94,52745.663619,7740561.18325269,7740561.18325269,1
1723741200000,145.92,145.94,143.19,143.26,31172.831448,4511273.60782238,4511273.60782238,1
1723744800000,143.27,143.28,138.09,138.63,153015.819804,21424363.04834153,21424363.04834153,1
1723748400000,138.62,140.57,137.73,139.97,104713.879565,14574172.96744227,14574172.96744227,1
1723752000000,139.97,140.58,138.69,140.51,55320.645187,7713888.8370229,7713888.8370229,1
1723755600000,140.45,141.84,139.83,141.84,58717.670728,8275950.89458369,8275950.89458369,1
1723759200000,141.81,144.88,140.91,143.7,45786.666234,6548637.06789503,6548637.06789503,1
1723762800000,143.69,144.13,142.43,142.58,23334.758292,3340768.90617631,3340768.90617631,1
1723766400000,142.57,142.85,141.73,141.94,28596.450161,4067633.65081311,4067633.65081311,1
1723770000000,141.93,142.64,140.7,142.02,24637.457978,3486599.61126443,3486599.61126443,1
1723773600000,142.01,144.41,141.23,143.2,24457.486837,3497903.11160903,3497903.11160903,1
1723777200000,143.19,143.25,141.79,142.02,17770.490879,2529906.71642825,2529906.71642825,1
1723780800000,142.02,142.58,141.61,142.5,12783.565947,1816292.02123236,1816292.02123236,1
1723784400000,142.49,143.23,142.22,143.07,20442.845409,2917462.86263325,2917462.86263325,1
1723788000000,143.08,144.86,142.86,144.32,39849.969852,5743840.90805576,5743840.90805576,1
1723791600000,144.33,144.75,143.86,144.55,24510.955727,3536622.51542259,3536622.51542259,1
1723795200000,144.56,144.94,143.41,143.73,28651.285495,4129005.364274,4129005.364274,1
1723798800000,143.74,144.45,143.48,144.38,18678.856733,2689388.38100153,2689388.38100153,1
1723802400000,144.38,144.43,142.74,143.48,17688.180455,2536792.74632218,2536792.74632218,1
1723806000000,143.49,143.94,141.8,141.98,17293.777887,2467609.03273956,2467609.03273956,1
1723809600000,141.98,142.6,138.82,139.21,83728.950231,11711785.7652923,11711785.7652923,1
1723813200000,139.21,142.58,138.85,140.38,69013.646192,9706166.55733606,9706166.55733606,1
1723816800000,140.36,140.75,137.8,138.38,57401.861689,7975924.9111324,7975924.9111324,1
1723820400000,138.37,139.28,136.26,137.87,60298.743375,8286587.48033148,8286587.48033148,1
1723824000000,137.89,139.87,137.49,138.37,50136.250179,6947871.55785819,6947871.55785819,1
1723827600000,138.37,139.93,136.1,139.6,45513.947893,6270010.30926753,6270010.30926753,1
1723831200000,139.6,140.66,138.5,139.41,38626.447322,5383240.75126021,5383240.75126021,1
1723834800000,139.43,141.47,139.41,140.94,32136.514296,4521867.12837105,4521867.12837105,1
1723838400000,140.95,141.9,140.48,140.5,23617.487323,3333987.599382,3333987.599382,1
1723842000000,140.49,141.15,139.64,139.94,9273.35162,1302142.42096374,1302142.42096374,1
1723845600000,139.93,140.28,139.49,139.61,6522.570646,912477.19770022,912477.19770022,1
