date,symbol,circulating_supply,rank
2013-01-01 00:00:00+00:00,BTC,10617811.46000000,1
2013-01-02 00:00:00+00:00,BTC,10621637.50000000,1
2013-01-03 00:00:00+00:00,BTC,10625687.50000000,1
2013-01-04 00:00:00+00:00,BTC,10629428.13000000,1
2013-01-05 00:00:00+00:00,BTC,10632967.71000000,1
2013-01-06 00:00:00+00:00,BTC,10636655.21000000,1
2013-01-07 00:00:00+00:00,BTC,10640847.92000000,1
2013-01-08 00:00:00+00:00,BTC,10644187.50000000,1
2013-01-09 00:00:00+00:00,BTC,10647362.50000000,1
2013-01-10 00:00:00+00:00,BTC,10651112.50000000,1
2013-01-11 00:00:00+00:00,BTC,10654037.50000000,1
2013-01-12 00:00:00+00:00,BTC,10657078.13000000,1
2013-01-13 00:00:00+00:00,BTC,10660408.33000000,1
2013-01-14 00:00:00+00:00,BTC,10664314.58000000,1
2013-01-15 00:00:00+00:00,BTC,10667337.50000000,1
2013-01-16 00:00:00+00:00,BTC,10670616.67000000,1
2013-01-17 00:00:00+00:00,BTC,10673412.50000000,1
2013-01-18 00:00:00+00:00,BTC,10676431.25000000,1
2013-01-19 00:00:00+00:00,BTC,10680277.08000000,1
2013-01-20 00:00:00+00:00,BTC,10683489.58000000,1
2013-01-21 00:00:00+00:00,BTC,10686762.50000000,1
2013-01-22 00:00:00+00:00,BTC,10690412.50000000,1
2013-01-23 00:00:00+00:00,BTC,10693554.17000000,1
2013-01-24 00:00:00+00:00,BTC,10697436.46000000,1
2013-01-25 00:00:00+00:00,BTC,10700802.08000000,1
2013-01-26 00:00:00+00:00,BTC,10704786.46000000,1
2013-01-27 00:00:00+00:00,BTC,10708587.50000000,1
2013-01-28 00:00:00+00:00,BTC,10712216.67000000,1
2013-01-29 00:00:00+00:00,BTC,10716188.54000000,1
2013-01-30 00:00:00+00:00,BTC,10719998.96000000,1
2013-01-31 00:00:00+00:00,BTC,10724833.33000000,1
2013-02-01 00:00:00+00:00,BTC,10728537.50000000,1
2013-02-02 00:00:00+00:00,BTC,10732330.21000000,1
2013-02-03 00:00:00+00:00,BTC,10736892.71000000,1
2013-02-04 00:00:00+00:00,BTC,10741112.50000000,1
2013-02-05 00:00:00+00:00,BTC,10745281.25000000,1
2013-02-06 00:00:00+00:00,BTC,10748892.71000000,1
2013-02-07 00:00:00+00:00,BTC,10752770.83000000,1
2013-02-08 00:00:00+00:00,BTC,10756562.50000000,1
2013-02-09 00:00:00+00:00,BTC,10760112.50000000,1
2013-02-10 00:00:00+00:00,BTC,10764094.79000000,1
2013-02-11 00:00:00+00:00,BTC,10768101.04000000,1
2013-02-12 00:00:00+00:00,BTC,10771607.29000000,1
2013-02-13 00:00:00+00:00,BTC,10775869.79000000,1
2013-02-14 00:00:00+00:00,BTC,10779612.50000000,1
2013-02-15 00:00:00+00:00,BTC,10784134.38000000,1
2013-02-16 00:00:00+00:00,BTC,10788858.33000000,1
2013-02-17 00:00:00+00:00,BTC,10793562.50000000,1
2013-02-18 00:00:00+00:00,BTC,10797559.38000000,1
2013-02-19 00:00:00+00:00,BTC,10801496.88000000,1
2013-02-20 00:00:00+00:00,BTC,10806387.50000000,1
2013-02-21 00:00:00+00:00,BTC,10810787.50000000,1
2013-02-22 00:00:00+00:00,BTC,10814991.67000000,1
2013-02-23 00:00:00+00:00,BTC,10819095.83000000,1
2013-02-24 00:00:00+00:00,BTC,10823011.46000000,1
2013-02-25 00:00:00+00:00,BTC,10828129.17000000,1
2013-02-26 00:00:00+00:00,BTC,10832222.92000000,1
2013-02-27 00:00:00+00:00,BTC,10837000.00000000,1
2013-02-28 00:00:00+00:00,BTC,10841312.50000000,1
2013-03-01 00:00:00+00:00,BTC,10845112.50000000,1
2013-03-02 00:00:00+00:00,BTC,10848737.50000000,1
2013-03-03 00:00:00+00:00,BTC,10852737.50000000,1
2013-03-04 00:00:00+00:00,BTC,10857184.38000000,1
2013-03-05 00:00:00+00:00,BTC,10860672.92000000,1
2013-03-06 00:00:00+00:00,BTC,10864562.50000000,1
2013-03-07 00:00:00+00:00,BTC,10868562.50000000,1
2013-03-08 00:00:00+00:00,BTC,10872587.50000000,1
2013-03-09 00:00:00+00:00,BTC,10876748.96000000,1
2013-03-10 00:00:00+00:00,BTC,10881337.50000000,1
2013-03-11 00:00:00+00:00,BTC,10885487.50000000,1
2013-03-12 00:00:00+00:00,BTC,10888850.00000000,1
2013-03-13 00:00:00+00:00,BTC,10892694.79000000,1
2013-03-14 00:00:00+00:00,BTC,10897262.50000000,1
2013-03-15 00:00:00+00:00,BTC,10901506.25000000,1
2013-03-16 00:00:00+00:00,BTC,10905912.50000000,1
2013-03-17 00:00:00+00:00,BTC,10911137.50000000,1
2013-03-18 00:00:00+00:00,BTC,10915845.83000000,1
2013-03-19 00:00:00+00:00,BTC,10920162.50000000,1
2013-03-20 00:00:00+00:00,BTC,10925437.50000000,1
2013-03-21 00:00:00+00:00,BTC,10930887.50000000,1
2013-03-22 00:00:00+00:00,BTC,10936612.50000000,1
