date,symbol,volume,rank,rank_change
2019-09-08,BTCUSDT,32096280.44997000,1,0
2019-09-09,BTCUSDT,152447209.57153001,1,0
2019-09-10,BTCUSDT,92717645.17470001,1,0
2019-09-11,BTCUSDT,109786235.83973999,1,0
2019-09-12,BTCUSDT,159494237.43414000,1,0
2019-09-13,BTCUSDT,198205401.80487001,1,0
2019-09-14,BTCUSDT,213270510.33553001,1,0
2019-09-15,BTCUSDT,211512546.03806999,1,0
2019-09-16,BTCUSDT,206767492.67183000,1,0
2019-09-17,BTCUSDT,229911548.18276000,1,0
2019-09-18,BTCUSDT,212309755.01688001,1,0
2019-09-19,BTCUSDT,262112110.02614999,1,0
2019-09-20,BTCUSDT,236683803.67807999,1,0
2019-09-21,BTCUSDT,237320660.25696000,1,0
2019-09-22,BTCUSDT,238688620.33846000,1,0
2019-09-23,BTCUSDT,314749491.62709999,1,0
2019-09-24,BTCUSDT,286175252.41144001,1,0
2019-09-25,BTCUSDT,406841550.16218001,1,0
2019-09-26,BTCUSDT,487919029.55307001,1,0
2019-09-27,BTCUSDT,321440849.10519999,1,0
2019-09-28,BTCUSDT,275406180.40420997,1,0
2019-09-29,BTCUSDT,289320913.71819001,1,0
2019-09-30,BTCUSDT,436701925.16117001,1,0
2019-10-01,BTCUSDT,327218811.62990999,1,0
2019-10-02,BTCUSDT,249785989.08192000,1,0
2019-10-03,BTCUSDT,274334928.39047003,1,0
2019-10-04,BTCUSDT,230978393.31481999,1,0
2019-10-05,BTCUSDT,244744089.06028000,1,0
2019-10-06,BTCUSDT,333155725.01068002,1,0
2019-10-07,BTCUSDT,504822438.82757002,1,0
2019-10-08,BTCUSDT,366576763.24704999,1,0
2019-10-09,BTCUSDT,549731852.71201003,1,0
2019-10-10,BTCUSDT,377726959.91583002,1,0
2019-10-11,BTCUSDT,582172642.93171000,1,0
2019-10-12,BTCUSDT,314379330.82757002,1,0
2019-10-13,BTCUSDT,365285901.78074998,1,0
2019-10-14,BTCUSDT,514903627.22128999,1,0
2019-10-15,BTCUSDT,711597427.68429995,1,0
2019-10-16,BTCUSDT,566811841.94843996,1,0
2019-10-17,BTCUSDT,468701651.96454000,1,0
2019-10-18,BTCUSDT,597673590.50876999,1,0
2019-10-19,BTCUSDT,620945265.24093997,1,0
2019-10-20,BTCUSDT,631533255.81236005,1,0
2019-10-21,BTCUSDT,492366045.41500998,1,0
2019-10-22,BTCUSDT,568694788.53217995,1,0
2019-10-23,BTCUSDT,828695587.22740996,1,0
2019-10-24,BTCUSDT,495690565.11975002,1,0
