date,BTCUSDT,ETHUSDT,SNDKUSDT,BTCUSDC,SPCXUSDT,ETHUSDC,XAUUSDT,SOLUSDT,SNXXUSDT,MUUSDT,SOXLUSDT,SKHYNIXUSDT,XAGUSDT,KORUUSDT,SKHYUSDT,CLUSDT,GPSUSDT,ZECUSDT,XRPUSDT,ACEUSDT,HYPEUSDT,TUTUSDT,PORTALUSDT,BTWUSDT,BZUSDT,DRAMUSDT,CYSUSDT,BNBUSDT,DOGEUSDT,SOLUSDC,PUMPUSDT,WLDUSDT,APRUSDT,LINKUSDT,SOXSUSDT,SAMSUNGUSDT,INTCUSDT,CRCLUSDT,ADAUSDT,AIOUSDT,1000PEPEUSDT,NBISUSDT,MRVLUSDT,MUUUSDT,AKEUSDT,QQQUSDT,VELVETUSDT,MSTRUSDT,HEMIUSDT,BEATUSDT,SUIUSDT,PAXGUSDT,EWYUSDT,NVDAUSDT,ONGUSDT,CBRSUSDT,CHIPUSDT,AAOIUSDT,LITEUSDT,GOOGLUSDT,NEARUSDT,HUSDT,SPCXUSD1,AVAXUSDT,AXTIUSDT,TRXUSDT,XAUTUSDT,TSLAUSDT,KAITOUSDT,XPINUSDT,ENAUSDT,ONDOUSDT,GRVTUSDT,CAPUSDT,AAPLUSDT,TAOUSDT,XRPUSDC,ZHIPUUSDT,AAVEUSDT,AMDUSDT,MVLLUSDT,BTCUSD1,FILUSDT,BNBUSDC,XMRUSDT,BICOUSDT,UNIUSDT,BTCU,GIGGLEUSDT,COWUSDT,STARUSDT,HOMEUSDT,LTCUSDT,MSFTUSDT,BEUSDT,TQQQUSDT,WLFIUSDT,BSBUSDT,FETUSDT,COHRUSDT,RKLBUSDT,SPYUSDT,METAUSDT,DELLUSDT,SKYAIUSDT,1000SHIBUSDT,XLMUSDT,PENGUUSDT,BCHUSDT,DOTUSDT,APTUSDT,WDCUSDT,ETHFIUSDT,EDENUSDT,COINUSDT,NATGASUSDT,LITUSDT,INJUSDT,CRWVUSDT,ZECUSDC,PLTRUSDT,AMZNUSDT,ALICEUSDT,ARMUSDT,TRUMPUSDT,ALLOUSDT,ORCLUSDT,BANKUSDT,EULUSDT,PRLUSDT,COPPERUSDT,CRVUSDT,RAREUSDT,HBARUSDT,COTIUSDT,MINIMAXUSDT,OPUSDT,USUSDT,DEXEUSDT,ROBOUSDT,REUSDT,MUBARAKUSDT,SOPHUSDT,DOSUSDT,LABUSDT,ETHU,ONUSDT,FARTCOINUSDT,ETCUSDT
2019-09-08,32096280.44997000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-09,152447209.57153001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-10,92717645.17470001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-11,109786235.83973999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-12,159494237.43414000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-13,198205401.80487001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-14,213270510.33553001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-15,211512546.03806999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-16,206767492.67183000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-17,229911548.18276000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-18,212309755.01688001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-19,262112110.02614999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-20,236683803.67807999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-21,237320660.25696000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
