buySellRatio,sellVol,buyVol,time
0.7624,756522510.0000,576791773.0000,2026-07-28 19:00:00
0.9892,821907240.0000,813037969.0000,2026-07-28 20:00:00
1.1328,583495436.0000,660965306.0000,2026-07-28 21:00:00
0.6261,727845341.0000,455672826.0000,2026-07-28 22:00:00
0.8737,762288646.0000,666035357.0000,2026-07-28 23:00:00
1.0615,850549726.0000,902866283.0000,2026-07-29 00:00:00
1.0791,812731225.0000,877058058.0000,2026-07-29 01:00:00
0.9884,1096071471.0000,1083373902.0000,2026-07-29 02:00:00
0.6069,2338788817.0000,1419527123.0000,2026-07-29 03:00:00
0.7992,1504468043.0000,1202316775.0000,2026-07-29 04:00:00
0.8676,995727624.0000,863894783.0000,2026-07-29 05:00:00
0.9510,857704408.0000,815688481.0000,2026-07-29 06:00:00
0.9249,599887375.0000,554821132.0000,2026-07-29 07:00:00
0.7156,886825298.0000,634649331.0000,2026-07-29 08:00:00
1.2169,674461820.0000,820728867.0000,2026-07-29 09:00:00
0.9517,652344603.0000,620819574.0000,2026-07-29 10:00:00
0.9019,580395396.0000,523439556.0000,2026-07-29 11:00:00
0.8737,986605480.0000,861951052.0000,2026-07-29 12:00:00
0.9161,1158740165.0000,1061490304.0000,2026-07-29 13:00:00
0.7006,1904248364.0000,1334168456.0000,2026-07-29 14:00:00
0.7632,1079928865.0000,824247593.0000,2026-07-29 15:00:00
0.7162,1058927262.0000,758399624.0000,2026-07-29 16:00:00
1.3435,583454987.0000,783852008.0000,2026-07-29 17:00:00
1.0111,2981787304.0000,3014784394.0000,2026-07-29 18:00:00
0.7478,2115837223.0000,1582327690.0000,2026-07-29 19:00:00
0.8416,2335852748.0000,1965894446.0000,2026-07-29 20:00:00
0.8156,1277654350.0000,1042082490.0000,2026-07-29 21:00:00
1.0566,807431505.0000,853170807.0000,2026-07-29 22:00:00
0.9280,525660029.0000,487828573.0000,2026-07-29 23:00:00
0.8918,907462104.0000,809304162.0000,2026-07-30 00:00:00
1.0156,959539446.0000,974510252.0000,2026-07-30 01:00:00
0.8639,741998546.0000,641041075.0000,2026-07-30 02:00:00
1.1771,408285843.0000,480595439.0000,2026-07-30 03:00:00
0.5821,663830345.0000,386431478.0000,2026-07-30 04:00:00
0.9525,510868073.0000,486611837.0000,2026-07-30 05:00:00
0.6641,415471078.0000,275920698.0000,2026-07-30 06:00:00
1.2683,380576922.0000,482701603.0000,2026-07-30 07:00:00
0.9260,598621924.0000,554348303.0000,2026-07-30 08:00:00
1.1312,460612260.0000,521034334.0000,2026-07-30 09:00:00
1.1546,677558236.0000,782296801.0000,2026-07-30 10:00:00
1.2430,383164752.0000,476261586.0000,2026-07-30 11:00:00
0.9796,649665255.0000,636426503.0000,2026-07-30 12:00:00
0.8488,1059930560.0000,899653803.0000,2026-07-30 13:00:00
0.8323,2002819955.0000,1667005301.0000,2026-07-30 14:00:00
0.8287,917261237.0000,760109168.0000,2026-07-30 15:00:00
0.8444,814937534.0000,688141393.0000,2026-07-30 16:00:00
0.9977,652390877.0000,650876399.0000,2026-07-30 17:00:00
0.5778,839235150.0000,484869412.0000,2026-07-30 18:00:00
1.3515,372283189.0000,503149328.0000,2026-07-30 19:00:00
1.2392,488143521.0000,604900525.0000,2026-07-30 20:00:00
1.0789,261839425.0000,282505739.0000,2026-07-30 21:00:00
1.3002,416171976.0000,541095795.0000,2026-07-30 22:00:00
0.7262,890917785.0000,646986350.0000,2026-07-30 23:00:00
0.9305,573651611.0000,533809461.0000,2026-07-31 00:00:00
1.5010,963190994.0000,1445707527.0000,2026-07-31 01:00:00
0.6365,1414432544.0000,900309046.0000,2026-07-31 02:00:00
1.1616,952975269.0000,1106981867.0000,2026-07-31 03:00:00
0.9483,403525111.0000,382664925.0000,2026-07-31 04:00:00
0.9501,490447006.0000,465981686.0000,2026-07-31 05:00:00
1.1342,420004931.0000,476375382.0000,2026-07-31 06:00:00
1.0752,634216537.0000,681890320.0000,2026-07-31 07:00:00
1.0149,553016271.0000,561282329.0000,2026-07-31 08:00:00
0.8540,523730762.0000,447274805.0000,2026-07-31 09:00:00
0.8762,751167137.0000,658180469.0000,2026-07-31 10:00:00
1.0230,335491311.0000,343214334.0000,2026-07-31 11:00:00
1.0451,798127133.0000,834106559.0000,2026-07-31 12:00:00
0.8530,2314481185.0000,1974297466.0000,2026-07-31 13:00:00
1.0137,2574933729.0000,2610240673.0000,2026-07-31 14:00:00
0.9827,1054331732.0000,1036052605.0000,2026-07-31 15:00:00
1.2169,1059476385.0000,1289276852.0000,2026-07-31 16:00:00
1.0245,1969896649.0000,2018222158.0000,2026-07-31 17:00:00
0.7699,1441032897.0000,1109481913.0000,2026-07-31 18:00:00
1.2278,688664752.0000,845575691.0000,2026-07-31 19:00:00
1.0316,542609922.0000,559782196.0000,2026-07-31 20:00:00
0.8445,548341007.0000,463099830.0000,2026-07-31 21:00:00
1.4212,349654565.0000,496928793.0000,2026-07-31 22:00:00
1.1194,454157315.0000,508383574.0000,2026-07-31 23:00:00
1.2300,764560225.0000,940414802.0000,2026-08-01 00:00:00
1.1086,731985528.0000,811452391.0000,2026-08-01 01:00:00
1.0219,479099144.0000,489606930.0000,2026-08-01 02:00:00
1.0835,472314145.0000,511741906.0000,2026-08-01 03:00:00
1.2617,623003829.0000,786036575.0000,2026-08-01 04:00:00
0.7811,819190253.0000,639886541.0000,2026-08-01 05:00:00
1.0679,513200604.0000,548056693.0000,2026-08-01 06:00:00
1.4236,347470308.0000,494649850.0000,2026-08-01 07:00:00
1.1689,596607733.0000,697404115.0000,2026-08-01 08:00:00
0.8960,732899317.0000,656686634.0000,2026-08-01 09:00:00
0.6688,1225655973.0000,819749756.0000,2026-08-01 10:00:00
1.4005,398488699.0000,558079284.0000,2026-08-01 11:00:00
1.1592,457589034.0000,530415830.0000,2026-08-01 12:00:00
1.0108,403232563.0000,407581896.0000,2026-08-01 13:00:00
1.0367,364670422.0000,378046540.0000,2026-08-01 14:00:00
1.1292,1190890301.0000,1344721654.0000,2026-08-01 15:00:00
0.8070,1886248094.0000,1522141145.0000,2026-08-01 16:00:00
0.7809,1360635048.0000,1062520147.0000,2026-08-01 17:00:00
1.1193,1976141148.0000,2211839588.0000,2026-08-01 18:00:00
