sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
79185.20000000,26879416.14000000,0.00000000,2026-07-28 19:00:00
79716.01000000,27130968.22222886,0.00000000,2026-07-28 20:00:00
79742.90000000,27117898.28380476,0.00000000,2026-07-28 21:00:00
79789.16000000,27144979.88206004,0.00000000,2026-07-28 22:00:00
80089.13000000,27265065.63268073,0.00000000,2026-07-28 23:00:00
80169.48000000,27385092.67320000,0.00000000,2026-07-29 00:00:00
80114.41000000,27311002.36900000,0.00000000,2026-07-29 01:00:00
80345.56000000,27399507.14282727,0.00000000,2026-07-29 02:00:00
80199.25000000,27423590.74256006,0.00000000,2026-07-29 03:00:00
80468.55000000,27578181.45600000,0.00000000,2026-07-29 04:00:00
81070.70000000,27723532.68242498,0.00000000,2026-07-29 05:00:00
80698.33000000,27492307.06440000,0.00000000,2026-07-29 06:00:00
80453.68000000,27466886.35200000,0.00000000,2026-07-29 07:00:00
80804.96000000,27633940.42731609,0.00000000,2026-07-29 08:00:00
80862.47000000,27623822.17450303,0.00000000,2026-07-29 09:00:00
80813.10000000,27439279.97400000,0.00000000,2026-07-29 10:00:00
81563.24000000,27835583.17491493,0.00000000,2026-07-29 11:00:00
81834.02000000,27892307.37680000,0.00000000,2026-07-29 12:00:00
81722.97000000,27716255.78639616,0.00000000,2026-07-29 13:00:00
85366.46000000,29282679.39604046,0.00000000,2026-07-29 14:00:00
87941.97000000,29946241.88078302,0.00000000,2026-07-29 15:00:00
88632.61000000,30243219.18420000,0.00000000,2026-07-29 16:00:00
88559.94000000,30244105.10940000,0.00000000,2026-07-29 17:00:00
89366.92000000,30702739.70023732,0.00000000,2026-07-29 18:00:00
90723.13000000,31126951.57388356,0.00000000,2026-07-29 19:00:00
92529.11000000,31345702.05574762,0.00000000,2026-07-29 20:00:00
92053.32000000,31228868.30547727,0.00000000,2026-07-29 21:00:00
92086.08000000,31261340.98677195,0.00000000,2026-07-29 22:00:00
92211.55000000,31308347.21932858,0.00000000,2026-07-29 23:00:00
91850.04000000,31254730.15996937,0.00000000,2026-07-30 00:00:00
92188.87000000,31345137.68870000,0.00000000,2026-07-30 01:00:00
92270.43000000,31242924.11817582,0.00000000,2026-07-30 02:00:00
92157.17000000,31257055.15712218,0.00000000,2026-07-30 03:00:00
92166.60000000,31245138.54328011,0.00000000,2026-07-30 04:00:00
92078.84000000,31244191.98880000,0.00000000,2026-07-30 05:00:00
92070.30000000,31105030.15200000,0.00000000,2026-07-30 06:00:00
92351.32000000,31258564.42695921,0.00000000,2026-07-30 07:00:00
92609.71000000,31389551.71681092,0.00000000,2026-07-30 08:00:00
92535.46000000,31379804.12158594,0.00000000,2026-07-30 09:00:00
93040.10000000,31522140.71640402,0.00000000,2026-07-30 10:00:00
92959.97000000,31372130.67560000,0.00000000,2026-07-30 11:00:00
93349.90000000,31417842.34400000,0.00000000,2026-07-30 12:00:00
93287.40000000,31296989.82600000,0.00000000,2026-07-30 13:00:00
91807.94000000,30534456.36666577,0.00000000,2026-07-30 14:00:00
91992.91000000,30592928.11319746,0.00000000,2026-07-30 15:00:00
92133.72000000,30600372.42360000,0.00000000,2026-07-30 16:00:00
92139.96000000,30593301.80575683,0.00000000,2026-07-30 17:00:00
91666.79000000,30584624.48350000,0.00000000,2026-07-30 18:00:00
91858.89000000,30698694.30031684,0.00000000,2026-07-30 19:00:00
93199.51000000,31119343.18945110,0.00000000,2026-07-30 20:00:00
94836.06000000,30238477.73100000,0.00000000,2026-07-30 21:00:00
97905.67000000,30559296.77710000,0.00000000,2026-07-30 22:00:00
95805.89000000,30078420.08969538,0.00000000,2026-07-30 23:00:00
96200.04000000,30116131.87704495,0.00000000,2026-07-31 00:00:00
95760.23000000,30082118.65220000,0.00000000,2026-07-31 01:00:00
95227.17000000,30021622.33543037,0.00000000,2026-07-31 02:00:00
95375.24000000,29977391.68440000,0.00000000,2026-07-31 03:00:00
95681.05000000,30091690.22500000,0.00000000,2026-07-31 04:00:00
96218.75000000,30200420.77265969,0.00000000,2026-07-31 05:00:00
97868.54000000,30589790.86240000,0.00000000,2026-07-31 06:00:00
98580.79000000,30827482.71710031,0.00000000,2026-07-31 07:00:00
95166.98000000,29640774.67495587,0.00000000,2026-07-31 08:00:00
94346.54000000,29247427.40000000,0.00000000,2026-07-31 09:00:00
94417.43000000,29228803.80510000,0.00000000,2026-07-31 10:00:00
92764.71000000,28665206.16876514,0.00000000,2026-07-31 11:00:00
90684.05000000,27984261.89807922,0.00000000,2026-07-31 12:00:00
89828.18000000,27744156.58620295,0.00000000,2026-07-31 13:00:00
83970.93000000,25454947.72020000,0.00000000,2026-07-31 14:00:00
78511.33000000,23844427.24681238,0.00000000,2026-07-31 15:00:00
72038.57000000,21745562.74020000,0.00000000,2026-07-31 16:00:00
70693.19000000,21304950.43691971,0.00000000,2026-07-31 17:00:00
71009.27000000,21386571.93860000,0.00000000,2026-07-31 18:00:00
70484.55000000,21379415.31091533,0.00000000,2026-07-31 19:00:00
66886.21000000,20718274.61523668,0.00000000,2026-07-31 20:00:00
64801.16000000,19900436.23600000,0.00000000,2026-07-31 21:00:00
64476.41000000,19791451.95464094,0.00000000,2026-07-31 22:00:00
64296.59000000,19784703.70890000,0.00000000,2026-07-31 23:00:00
63854.75000000,19652760.91516158,0.00000000,2026-08-01 00:00:00
63670.21000000,19547242.58429422,0.00000000,2026-08-01 01:00:00
63587.62000000,19550943.73794250,0.00000000,2026-08-01 02:00:00
63356.64000000,19500540.22560000,0.00000000,2026-08-01 03:00:00
63259.18000000,19486544.64571850,0.00000000,2026-08-01 04:00:00
63091.82000000,19419662.19600000,0.00000000,2026-08-01 05:00:00
62967.56000000,19370325.98902578,0.00000000,2026-08-01 06:00:00
62708.94000000,19275101.38388083,0.00000000,2026-08-01 07:00:00
62630.85000000,19250651.76211008,0.00000000,2026-08-01 08:00:00
62499.27000000,19219775.51040000,0.00000000,2026-08-01 09:00:00
62430.57000000,19222267.54160419,0.00000000,2026-08-01 10:00:00
62442.86000000,19246138.30920000,0.00000000,2026-08-01 11:00:00
62397.37000000,19223023.20245648,0.00000000,2026-08-01 12:00:00
62400.29000000,19227764.18106619,0.00000000,2026-08-01 13:00:00
62295.02000000,19188814.74075020,0.00000000,2026-08-01 14:00:00
62125.27000000,19150344.45841576,0.00000000,2026-08-01 15:00:00
62123.88000000,19156845.46164087,0.00000000,2026-08-01 16:00:00
62033.34000000,19106268.72000000,0.00000000,2026-08-01 17:00:00
62164.06000000,19108610.40340000,0.00000000,2026-08-01 18:00:00
61870.80000000,19014409.28717370,0.00000000,2026-08-01 19:00:00
61819.98000000,18963109.37872463,0.00000000,2026-08-01 20:00:00
61734.53000000,18966230.89050150,0.00000000,2026-08-01 21:00:00
61750.47000000,18981507.95783333,0.00000000,2026-08-01 22:00:00
61657.34000000,18968264.07760000,0.00000000,2026-08-01 23:00:00
61624.40000000,18931631.92400000,0.00000000,2026-08-02 00:00:00
61560.24000000,18957002.38971193,0.00000000,2026-08-02 01:00:00
61515.13000000,18953426.70430000,0.00000000,2026-08-02 02:00:00
61420.99000000,18976173.32542578,0.00000000,2026-08-02 03:00:00
61408.60000000,18970344.71200000,0.00000000,2026-08-02 04:00:00
61719.12000000,19117375.27107242,0.00000000,2026-08-02 05:00:00
61919.04000000,19196140.78080000,0.00000000,2026-08-02 06:00:00
62261.22000000,19309072.15860000,0.00000000,2026-08-02 07:00:00
62575.87000000,19479868.33100000,0.00000000,2026-08-02 08:00:00
62593.29000000,19447735.20300000,0.00000000,2026-08-02 09:00:00
62888.52000000,19583303.55752283,0.00000000,2026-08-02 10:00:00
62634.50000000,19486219.29500000,0.00000000,2026-08-02 11:00:00
62495.11000000,19348486.05600000,0.00000000,2026-08-02 12:00:00
62519.03000000,19385900.82240000,0.00000000,2026-08-02 13:00:00
62678.93000000,19463061.34360000,0.00000000,2026-08-02 14:00:00
62659.52000000,19453773.12841769,0.00000000,2026-08-02 15:00:00
62743.57000000,19474976.69230000,0.00000000,2026-08-02 16:00:00
62776.98000000,19519874.16120000,0.00000000,2026-08-02 17:00:00
62694.41000000,19504827.76103183,0.00000000,2026-08-02 18:00:00
62754.43000000,19529806.16030000,0.00000000,2026-08-02 19:00:00
62670.96000000,19497857.68244429,0.00000000,2026-08-02 20:00:00
62594.07000000,19448609.21956117,0.00000000,2026-08-02 21:00:00
62551.31000000,19469720.75060000,0.00000000,2026-08-02 22:00:00
62600.07000000,19441703.73990000,0.00000000,2026-08-02 23:00:00
62192.94000000,19331826.04556666,0.00000000,2026-08-03 00:00:00
62173.58000000,19207644.36343089,0.00000000,2026-08-03 01:00:00
61520.42000000,18983064.17728773,0.00000000,2026-08-03 02:00:00
61845.26000000,19120699.03420000,0.00000000,2026-08-03 03:00:00
62057.68000000,19187185.31958600,0.00000000,2026-08-03 04:00:00
62156.27000000,19229243.17445615,0.00000000,2026-08-03 05:00:00
62519.60000000,19324356.99412104,0.00000000,2026-08-03 06:00:00
62505.40000000,19340420.86800000,0.00000000,2026-08-03 07:00:00
62296.24000000,19274823.72413495,0.00000000,2026-08-03 08:00:00
61966.78000000,19120469.63680000,0.00000000,2026-08-03 09:00:00
61873.05000000,19113203.87550000,0.00000000,2026-08-03 10:00:00
61960.90000000,19223988.83400000,0.00000000,2026-08-03 11:00:00
62751.63000000,19591916.97814430,0.00000000,2026-08-03 12:00:00
61964.94000000,19278532.13280000,0.00000000,2026-08-03 13:00:00
64565.40000000,19786712.48400000,0.00000000,2026-08-03 14:00:00
63774.70000000,19510593.97100000,0.00000000,2026-08-03 15:00:00
65531.03000000,19940609.70253123,0.00000000,2026-08-03 16:00:00
63946.91000000,19635412.59990292,0.00000000,2026-08-03 17:00:00
64120.42000000,19647779.09640000,0.00000000,2026-08-03 18:00:00
63609.44000000,19438408.76960000,0.00000000,2026-08-03 19:00:00
63159.17000000,19180235.40910028,0.00000000,2026-08-03 20:00:00
63213.14000000,19209790.22233312,0.00000000,2026-08-03 21:00:00
63275.10000000,19259194.31109717,0.00000000,2026-08-03 22:00:00
63359.74000000,19286071.25860000,0.00000000,2026-08-03 23:00:00
63234.22000000,19237121.00246446,0.00000000,2026-08-04 00:00:00
63601.81000000,19393193.22034877,0.00000000,2026-08-04 01:00:00
63689.19000000,19423339.18329911,0.00000000,2026-08-04 02:00:00
64051.17000000,19545508.67217157,0.00000000,2026-08-04 03:00:00
64364.16000000,19638148.85760000,0.00000000,2026-08-04 04:00:00
64672.87000000,19736219.73790000,0.00000000,2026-08-04 05:00:00
64841.66000000,19763737.96800000,0.00000000,2026-08-04 06:00:00
65217.89000000,19834688.25569847,0.00000000,2026-08-04 07:00:00
65776.50000000,20033548.60500000,0.00000000,2026-08-04 08:00:00
68216.87000000,20737246.31130000,0.00000000,2026-08-04 09:00:00
68290.45000000,20800301.23224785,0.00000000,2026-08-04 10:00:00
69355.96000000,21037743.34680000,0.00000000,2026-08-04 11:00:00
70515.13000000,21370161.90482741,0.00000000,2026-08-04 12:00:00
73158.96000000,22169747.24935962,0.00000000,2026-08-04 13:00:00
74702.80000000,22835316.05443867,0.00000000,2026-08-04 14:00:00
91474.14000000,28054153.19277738,0.00000000,2026-08-04 15:00:00
91267.78000000,28000352.03285385,0.00000000,2026-08-04 16:00:00
91664.91000000,28285957.92780000,0.00000000,2026-08-04 17:00:00
88910.63000000,27537400.32360000,0.00000000,2026-08-04 18:00:00
87804.37000000,27109599.23750000,0.00000000,2026-08-04 19:00:00
87489.78000000,27081633.68706305,0.00000000,2026-08-04 20:00:00
85895.92000000,26727543.95702934,0.00000000,2026-08-04 21:00:00
84672.75000000,26277826.59698428,0.00000000,2026-08-04 22:00:00
84552.46000000,26264530.64980000,0.00000000,2026-08-04 23:00:00
83864.20000000,26053252.37200000,0.00000000,2026-08-05 00:00:00
82743.01000000,25690553.21202038,0.00000000,2026-08-05 01:00:00
82478.23000000,25715062.54940000,0.00000000,2026-08-05 02:00:00
82512.51000000,25716819.00331070,0.00000000,2026-08-05 03:00:00
82358.67000000,25650607.77150000,0.00000000,2026-08-05 04:00:00
82334.97000000,25672866.99570000,0.00000000,2026-08-05 05:00:00
81595.48000000,25385626.04758911,0.00000000,2026-08-05 06:00:00
81392.77000000,25328117.37838038,0.00000000,2026-08-05 07:00:00
80959.61000000,25216489.72670000,0.00000000,2026-08-05 08:00:00
82412.66000000,25739121.97120000,0.00000000,2026-08-05 09:00:00
82629.64000000,25789536.94040000,0.00000000,2026-08-05 10:00:00
82398.75000000,25679570.43750000,0.00000000,2026-08-05 11:00:00
80658.11000000,24850238.83899926,0.00000000,2026-08-05 12:00:00
80777.24000000,24939165.07760000,0.00000000,2026-08-05 13:00:00
81876.56000000,25251840.31687141,0.00000000,2026-08-05 14:00:00
81730.53000000,25463055.01710467,0.00000000,2026-08-05 15:00:00
81462.83000000,25121507.51540000,0.00000000,2026-08-05 16:00:00
81504.06000000,25205130.55500000,0.00000000,2026-08-05 17:00:00
81296.00000000,25147313.07629424,0.00000000,2026-08-05 18:00:00
81142.41000000,25090593.07010615,0.00000000,2026-08-05 19:00:00
79533.07000000,24763174.18284622,0.00000000,2026-08-05 20:00:00
78997.69000000,24616821.64636267,0.00000000,2026-08-05 21:00:00
78486.78000000,24527118.75000000,0.00000000,2026-08-05 22:00:00
78287.69000000,24501032.73970825,0.00000000,2026-08-05 23:00:00
77813.30000000,24333831.19379467,0.00000000,2026-08-06 00:00:00
77228.06000000,24127590.50520000,0.00000000,2026-08-06 01:00:00
76864.25000000,24099490.48637890,0.00000000,2026-08-06 02:00:00
76877.32000000,24114108.96440000,0.00000000,2026-08-06 03:00:00
76745.32000000,24072595.36799646,0.00000000,2026-08-06 04:00:00
77139.01000000,24193107.70630000,0.00000000,2026-08-06 05:00:00
76403.43000000,23952356.18059212,0.00000000,2026-08-06 06:00:00
76033.38000000,23870141.11037113,0.00000000,2026-08-06 07:00:00
75767.71000000,23766649.77642176,0.00000000,2026-08-06 08:00:00
75897.37000000,23852112.93027946,0.00000000,2026-08-06 09:00:00
75924.32000000,23870676.86241295,0.00000000,2026-08-06 10:00:00
75855.72000000,23832350.10960000,0.00000000,2026-08-06 11:00:00
75648.47000000,23761940.91170000,0.00000000,2026-08-06 12:00:00
75523.67000000,23734191.10836117,0.00000000,2026-08-06 13:00:00
75681.61000000,23858627.55250000,0.00000000,2026-08-06 14:00:00
74097.94000000,23239336.92220000,0.00000000,2026-08-06 15:00:00
77983.89000000,24172934.86545665,0.00000000,2026-08-06 16:00:00
78065.65000000,24359605.42600000,0.00000000,2026-08-06 17:00:00
78178.24000000,24431705.58715656,0.00000000,2026-08-06 18:00:00
78175.53000000,24441359.59754821,0.00000000,2026-08-06 19:00:00
78441.50000000,24545276.55728544,0.00000000,2026-08-06 20:00:00
78374.66000000,24452110.17340000,0.00000000,2026-08-06 21:00:00
78296.88000000,24454753.78647863,0.00000000,2026-08-06 22:00:00
78116.56000000,24390333.52880000,0.00000000,2026-08-06 23:00:00
78309.29000000,24505306.66767236,0.00000000,2026-08-07 00:00:00
77797.21000000,24338079.17640000,0.00000000,2026-08-07 01:00:00
77495.00000000,24242760.85000000,0.00000000,2026-08-07 02:00:00
77183.46000000,24139127.11500000,0.00000000,2026-08-07 03:00:00
77040.20000000,24068899.28400000,0.00000000,2026-08-07 04:00:00
76958.92000000,24064284.69480000,0.00000000,2026-08-07 05:00:00
76856.15000000,24020006.73601115,0.00000000,2026-08-07 06:00:00
76863.54000000,24037534.86420000,0.00000000,2026-08-07 07:00:00
76762.72000000,23987607.64078454,0.00000000,2026-08-07 08:00:00
77000.07000000,24003357.98109469,0.00000000,2026-08-07 09:00:00
76757.14000000,23974325.10760000,0.00000000,2026-08-07 10:00:00
76705.59000000,23938280.52720000,0.00000000,2026-08-07 11:00:00
76691.04000000,23967483.82080000,0.00000000,2026-08-07 12:00:00
77226.07000000,24140547.68868892,0.00000000,2026-08-07 13:00:00
75589.07000000,23579470.74630269,0.00000000,2026-08-07 14:00:00
74982.79000000,23580587.79920000,0.00000000,2026-08-07 15:00:00
73746.15000000,23034609.95250000,0.00000000,2026-08-07 16:00:00
73911.89000000,23088596.19820000,0.00000000,2026-08-07 17:00:00
73727.73000000,23085626.81760000,0.00000000,2026-08-07 18:00:00
