buySellRatio,sellVol,buyVol,time
1.2501,12702.7000,15880.1000,2026-07-28 19:00:00
0.9216,13656.6000,12586.6000,2026-07-28 20:00:00
0.8222,10379.8000,8534.7000,2026-07-28 21:00:00
0.5547,13990.1000,7759.9000,2026-07-28 22:00:00
1.5109,10150.2000,15335.6000,2026-07-28 23:00:00
1.1335,20821.3000,23600.7000,2026-07-29 00:00:00
0.9336,14981.8000,13986.8000,2026-07-29 01:00:00
1.1102,16816.6000,18670.5000,2026-07-29 02:00:00
0.9665,34541.1000,33383.8000,2026-07-29 03:00:00
1.2263,21959.2000,26928.1000,2026-07-29 04:00:00
1.1140,14386.9000,16026.7000,2026-07-29 05:00:00
0.8079,16485.7000,13319.1000,2026-07-29 06:00:00
0.9665,10386.4000,10038.4000,2026-07-29 07:00:00
1.0380,20048.1000,20810.8000,2026-07-29 08:00:00
1.1618,21706.4000,25219.4000,2026-07-29 09:00:00
0.7750,25842.3000,20027.8000,2026-07-29 10:00:00
1.0111,21946.6000,22190.1000,2026-07-29 11:00:00
1.0386,22675.3000,23551.3000,2026-07-29 12:00:00
1.1040,24252.2000,26774.6000,2026-07-29 13:00:00
0.9390,30842.0000,28961.2000,2026-07-29 14:00:00
1.4857,29203.8000,43389.1000,2026-07-29 15:00:00
1.2849,26944.4000,34620.8000,2026-07-29 16:00:00
1.3872,12998.2000,18031.5000,2026-07-29 17:00:00
1.0628,33557.6000,35664.7000,2026-07-29 18:00:00
0.8128,29415.2000,23908.8000,2026-07-29 19:00:00
0.8461,44878.3000,37969.9000,2026-07-29 20:00:00
0.6927,53002.8000,36713.3000,2026-07-29 21:00:00
1.0841,25451.2000,27590.8000,2026-07-29 22:00:00
0.9930,9903.9000,9834.7000,2026-07-29 23:00:00
0.7795,33715.6000,26280.9000,2026-07-30 00:00:00
1.3728,22229.9000,30516.2000,2026-07-30 01:00:00
0.9148,13690.1000,12523.1000,2026-07-30 02:00:00
1.2505,9103.9000,11384.2000,2026-07-30 03:00:00
0.9181,9843.5000,9037.5000,2026-07-30 04:00:00
1.3692,7825.1000,10713.9000,2026-07-30 05:00:00
0.5611,15158.2000,8504.7000,2026-07-30 06:00:00
1.3084,17140.6000,22427.0000,2026-07-30 07:00:00
1.2880,21529.0000,27728.7000,2026-07-30 08:00:00
1.1354,15071.9000,17112.7000,2026-07-30 09:00:00
0.8909,23662.5000,21081.0000,2026-07-30 10:00:00
1.3703,14748.8000,20210.4000,2026-07-30 11:00:00
1.1899,24926.4000,29660.7000,2026-07-30 12:00:00
0.9999,21302.5000,21301.4000,2026-07-30 13:00:00
0.8202,19257.7000,15794.7000,2026-07-30 14:00:00
1.2221,11771.2000,14385.0000,2026-07-30 15:00:00
1.3005,26780.1000,34827.8000,2026-07-30 16:00:00
0.8317,13033.6000,10840.3000,2026-07-30 17:00:00
0.7373,14988.0000,11050.6000,2026-07-30 18:00:00
1.2038,10583.7000,12740.6000,2026-07-30 19:00:00
0.9221,11060.4000,10198.6000,2026-07-30 20:00:00
0.7527,8429.4000,6344.9000,2026-07-30 21:00:00
1.4986,6186.4000,9271.0000,2026-07-30 22:00:00
1.2300,10775.8000,13254.2000,2026-07-30 23:00:00
0.9735,9601.5000,9346.6000,2026-07-31 00:00:00
1.2459,42622.8000,53102.0000,2026-07-31 01:00:00
0.8721,17537.2000,15293.6000,2026-07-31 02:00:00
1.0908,19549.5000,21324.4000,2026-07-31 03:00:00
0.6464,14638.9000,9461.9000,2026-07-31 04:00:00
1.2160,10033.0000,12199.9000,2026-07-31 05:00:00
0.7697,20592.6000,15849.8000,2026-07-31 06:00:00
0.7850,29381.3000,23065.3000,2026-07-31 07:00:00
1.0835,18953.4000,20536.0000,2026-07-31 08:00:00
0.6450,36300.9000,23413.4000,2026-07-31 09:00:00
1.3863,9881.9000,13699.6000,2026-07-31 10:00:00
0.8457,14286.7000,12081.7000,2026-07-31 11:00:00
0.7832,21109.9000,16532.9000,2026-07-31 12:00:00
1.0387,19037.8000,19775.3000,2026-07-31 13:00:00
1.0622,35106.0000,37288.5000,2026-07-31 14:00:00
0.9048,22577.0000,20427.9000,2026-07-31 15:00:00
1.6119,11344.3000,18286.1000,2026-07-31 16:00:00
1.3814,9114.8000,12591.4000,2026-07-31 17:00:00
0.7813,15695.0000,12262.2000,2026-07-31 18:00:00
0.7841,12306.5000,9649.1000,2026-07-31 19:00:00
0.4434,27006.2000,11975.5000,2026-07-31 20:00:00
0.7977,53254.7000,42480.2000,2026-07-31 21:00:00
0.7247,23080.4000,16725.3000,2026-07-31 22:00:00
0.8691,29267.5000,25437.3000,2026-07-31 23:00:00
0.6789,53860.5000,36565.5000,2026-08-01 00:00:00
1.3106,26977.4000,35356.7000,2026-08-01 01:00:00
1.3030,9041.9000,11781.6000,2026-08-01 02:00:00
0.8200,32539.1000,26683.5000,2026-08-01 03:00:00
1.0494,42686.0000,44793.9000,2026-08-01 04:00:00
0.7440,26339.4000,19595.6000,2026-08-01 05:00:00
1.0334,18710.8000,19336.2000,2026-08-01 06:00:00
1.0516,14291.2000,15029.2000,2026-08-01 07:00:00
0.8784,12998.9000,11418.0000,2026-08-01 08:00:00
1.1015,12377.1000,13632.9000,2026-08-01 09:00:00
0.8390,25764.8000,21616.4000,2026-08-01 10:00:00
1.3375,10221.9000,13671.6000,2026-08-01 11:00:00
0.9529,12711.6000,12113.0000,2026-08-01 12:00:00
0.8497,10599.2000,9005.8000,2026-08-01 13:00:00
1.6421,17622.3000,28937.5000,2026-08-01 14:00:00
0.9483,15786.7000,14970.2000,2026-08-01 15:00:00
1.0254,15626.6000,16023.5000,2026-08-01 16:00:00
0.7279,18569.4000,13517.2000,2026-08-01 17:00:00
0.6791,58630.7000,39814.3000,2026-08-01 18:00:00
1.1628,32327.8000,37590.4000,2026-08-01 19:00:00
0.6729,23885.8000,16072.7000,2026-08-01 20:00:00
0.9523,32821.0000,31255.6000,2026-08-01 21:00:00
1.0737,13204.3000,14177.0000,2026-08-01 22:00:00
0.6614,9814.4000,6491.5000,2026-08-01 23:00:00
1.2434,11060.9000,13752.8000,2026-08-02 00:00:00
0.8294,11975.1000,9932.0000,2026-08-02 01:00:00
1.1336,22422.5000,25419.1000,2026-08-02 02:00:00
1.0664,11995.5000,12792.1000,2026-08-02 03:00:00
0.7319,19540.6000,14301.8000,2026-08-02 04:00:00
0.8908,16823.3000,14986.1000,2026-08-02 05:00:00
0.9687,6621.7000,6414.3000,2026-08-02 06:00:00
1.2154,10530.6000,12799.1000,2026-08-02 07:00:00
0.6118,17747.5000,10858.4000,2026-08-02 08:00:00
1.6281,15892.9000,25875.7000,2026-08-02 09:00:00
0.9706,7589.4000,7366.2000,2026-08-02 10:00:00
0.8130,10116.4000,8224.6000,2026-08-02 11:00:00
0.5083,29410.3000,14948.2000,2026-08-02 12:00:00
2.0345,8326.1000,16939.1000,2026-08-02 13:00:00
1.4310,11628.9000,16640.4000,2026-08-02 14:00:00
1.2679,11760.6000,14911.6000,2026-08-02 15:00:00
1.1211,8574.1000,9612.5000,2026-08-02 16:00:00
1.1222,5914.3000,6637.1000,2026-08-02 17:00:00
