sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
44092264.88000000,3256225.66629952,104675440.00000000,2026-07-28 20:00:00
44161292.37000000,3227047.13638754,104675440.00000000,2026-07-28 21:00:00
44453723.62000000,3206891.62194680,104675440.00000000,2026-07-28 22:00:00
46059555.37000000,3254107.58689050,104675440.00000000,2026-07-28 23:00:00
47076676.63000000,3344797.87456150,104675440.00000000,2026-07-29 00:00:00
47400650.13000000,3401470.65332880,104675440.00000000,2026-07-29 01:00:00
47291103.47000000,3314633.44221230,104675440.00000000,2026-07-29 02:00:00
46903846.78000000,3261618.92796482,104675440.00000000,2026-07-29 03:00:00
46032680.00000000,3183620.14880000,104675440.00000000,2026-07-29 04:00:00
46392404.94000000,3275489.82230781,104675440.00000000,2026-07-29 05:00:00
46102676.92000000,3302505.32768420,104675440.00000000,2026-07-29 06:00:00
45830511.28000000,3279631.38719680,104675440.00000000,2026-07-29 07:00:00
45675184.37000000,3273997.21564160,104675440.00000000,2026-07-29 08:00:00
45885604.76000000,3257838.93519595,104675440.00000000,2026-07-29 09:00:00
45920761.10000000,3237872.86516100,104675440.00000000,2026-07-29 10:00:00
45883485.19000000,3232491.53163550,104675440.00000000,2026-07-29 11:00:00
45853417.76000000,3239213.82013613,104675440.00000000,2026-07-29 12:00:00
45258507.25000000,3209733.33417000,104675440.00000000,2026-07-29 13:00:00
45111786.13000000,3222334.88326590,104675440.00000000,2026-07-29 14:00:00
44979535.65000000,3189498.87294150,104675440.00000000,2026-07-29 15:00:00
44934110.15000000,3208860.73581569,104675440.00000000,2026-07-29 16:00:00
44547287.79000000,3255893.55269366,104675440.00000000,2026-07-29 17:00:00
44169782.51000000,3265913.71878940,104675440.00000000,2026-07-29 18:00:00
43688764.55000000,3153891.91286450,104675440.00000000,2026-07-29 19:00:00
43592579.65000000,3147384.25073000,104675440.00000000,2026-07-29 20:00:00
43484766.99000000,3103652.62435038,104675440.00000000,2026-07-29 21:00:00
43281326.57000000,3111061.75385160,104675440.00000000,2026-07-29 22:00:00
43240016.05000000,3071557.99931303,104675440.00000000,2026-07-29 23:00:00
43274421.16000000,3077676.83289920,104675440.00000000,2026-07-30 00:00:00
42847748.14000000,3085866.97000651,104675440.00000000,2026-07-30 01:00:00
42774042.50000000,3036199.48920733,104675440.00000000,2026-07-30 02:00:00
43006260.48000000,3012588.54662400,104675440.00000000,2026-07-30 03:00:00
43196240.32000000,3022972.24894634,104675440.00000000,2026-07-30 04:00:00
43337896.34000000,2974713.20477760,104675440.00000000,2026-07-30 05:00:00
43609038.07000000,3010518.10856466,104675440.00000000,2026-07-30 06:00:00
43702454.27000000,3005517.85876818,104675440.00000000,2026-07-30 07:00:00
43929937.03000000,2991700.31754036,104675440.00000000,2026-07-30 08:00:00
44704345.44000000,3032121.85129144,104675440.00000000,2026-07-30 09:00:00
45622590.88000000,3030721.03025794,104675440.00000000,2026-07-30 10:00:00
46639986.30000000,3134245.32414877,104675440.00000000,2026-07-30 11:00:00
46858608.85000000,3156525.69048251,104675440.00000000,2026-07-30 12:00:00
47526376.98000000,3163056.71087760,104675440.00000000,2026-07-30 13:00:00
47951369.56000000,3195159.91135713,104675440.00000000,2026-07-30 14:00:00
47855372.49000000,3178075.28706090,104675440.00000000,2026-07-30 15:00:00
48147072.86000000,3202067.78321497,104675440.00000000,2026-07-30 16:00:00
49400480.15000000,3188576.22149782,104675440.00000000,2026-07-30 17:00:00
48999795.52000000,3121678.48299021,104675440.00000000,2026-07-30 18:00:00
49478094.93000000,3164612.51957046,104675440.00000000,2026-07-30 19:00:00
50019477.84000000,3166733.14205040,104675440.00000000,2026-07-30 20:00:00
50077209.60000000,3178169.63737574,104675440.00000000,2026-07-30 21:00:00
50126998.69000000,3188565.35365124,104675440.00000000,2026-07-30 22:00:00
49931597.33000000,3215095.55207870,104675440.00000000,2026-07-30 23:00:00
49771557.03000000,3198320.25474780,104675440.00000000,2026-07-31 00:00:00
50078064.39000000,3229130.74331212,104675440.00000000,2026-07-31 01:00:00
50523416.24000000,3219048.43708120,104675440.00000000,2026-07-31 02:00:00
51020667.72000000,3244970.07951982,104675440.00000000,2026-07-31 03:00:00
51269646.48000000,3273320.83344490,104675440.00000000,2026-07-31 04:00:00
50903917.26000000,3307736.54355480,104675440.00000000,2026-07-31 05:00:00
