buySellRatio,sellVol,buyVol,time
0.8729,1225028.2400,1069297.5200,2026-07-28 19:00:00
0.5706,2415733.3000,1378530.3500,2026-07-28 20:00:00
0.5490,1832332.5000,1006019.6000,2026-07-28 21:00:00
0.6916,4257781.1500,2944739.0800,2026-07-28 22:00:00
0.8684,4427013.7600,3844258.1400,2026-07-28 23:00:00
1.1778,3075947.9700,3622758.9000,2026-07-29 00:00:00
0.5930,2328262.1400,1380564.7800,2026-07-29 01:00:00
0.6812,4361466.6900,2970875.9800,2026-07-29 02:00:00
1.1408,3470742.0500,3959276.3100,2026-07-29 03:00:00
0.9598,1996973.8900,1916615.5400,2026-07-29 04:00:00
1.2199,1859314.0900,2268181.2100,2026-07-29 05:00:00
1.2133,1998961.4300,2425396.4600,2026-07-29 06:00:00
1.0028,1580845.0900,1585295.6200,2026-07-29 07:00:00
0.7984,2160671.3200,1725187.7800,2026-07-29 08:00:00
0.8041,1487523.9000,1196165.7000,2026-07-29 09:00:00
1.0519,2435308.2600,2561791.8400,2026-07-29 10:00:00
1.1504,827528.3300,951998.0000,2026-07-29 11:00:00
1.5249,1278241.2900,1949137.0400,2026-07-29 12:00:00
1.3854,1212853.8800,1680337.6500,2026-07-29 13:00:00
1.0480,1025988.9500,1075251.2100,2026-07-29 14:00:00
1.1551,1494973.7000,1726879.7800,2026-07-29 15:00:00
1.4822,1859787.5300,2756562.8600,2026-07-29 16:00:00
1.1923,1832155.7500,2184495.4400,2026-07-29 17:00:00
0.7842,2257403.9400,1770359.8100,2026-07-29 18:00:00
0.8655,1539830.2000,1332725.4800,2026-07-29 19:00:00
0.7093,1796128.5500,1274083.1700,2026-07-29 20:00:00
0.9633,1394218.4600,1342989.1600,2026-07-29 21:00:00
0.8648,1177627.9600,1018378.6500,2026-07-29 22:00:00
1.2072,706721.7100,853178.3800,2026-07-29 23:00:00
1.4201,1766062.3600,2507991.0000,2026-07-30 00:00:00
0.8053,1661598.0900,1338123.9000,2026-07-30 01:00:00
0.6678,1535477.1700,1025390.3000,2026-07-30 02:00:00
0.7587,1364538.7800,1035237.0500,2026-07-30 03:00:00
0.4830,2368794.5600,1144162.7400,2026-07-30 04:00:00
0.9989,1125431.8400,1124202.9200,2026-07-30 05:00:00
1.0941,879582.9100,962350.3500,2026-07-30 06:00:00
0.6855,2027423.8100,1389741.1300,2026-07-30 07:00:00
0.7174,2666035.6000,1912499.7000,2026-07-30 08:00:00
0.5684,2406069.8500,1367498.2800,2026-07-30 09:00:00
1.4154,2724023.7000,3855468.2000,2026-07-30 10:00:00
1.1682,1414876.5300,1652901.4300,2026-07-30 11:00:00
0.4931,1721275.1200,848743.1300,2026-07-30 12:00:00
0.7742,1568674.6800,1214517.8100,2026-07-30 13:00:00
1.0507,2273778.3100,2389141.6900,2026-07-30 14:00:00
0.7451,2135357.2800,1591132.5000,2026-07-30 15:00:00
0.5023,5185509.0400,2604830.1000,2026-07-30 16:00:00
0.7675,5800171.8500,4451654.9400,2026-07-30 17:00:00
0.8797,2228513.6800,1960504.7200,2026-07-30 18:00:00
0.9308,3372054.5700,3138655.0800,2026-07-30 19:00:00
0.8602,2342148.8700,2014636.0800,2026-07-30 20:00:00
0.7377,1474074.5000,1087366.7600,2026-07-30 21:00:00
1.2974,1888747.9800,2450507.0500,2026-07-30 22:00:00
1.1063,2033927.9900,2250073.4000,2026-07-30 23:00:00
0.7865,2773285.7900,2181167.0500,2026-07-31 00:00:00
0.6098,1876797.7500,1144560.1300,2026-07-31 01:00:00
