longAccount,longShortRatio,shortAccount,time
0.6651,1.9856,0.3349,2026-07-28 20:00:00
0.6630,1.9674,0.3370,2026-07-28 21:00:00
0.6648,1.9834,0.3352,2026-07-28 22:00:00
0.6686,2.0173,0.3314,2026-07-28 23:00:00
0.6698,2.0281,0.3302,2026-07-29 00:00:00
0.6710,2.0395,0.3290,2026-07-29 01:00:00
0.6731,2.0591,0.3269,2026-07-29 02:00:00
0.6725,2.0530,0.3275,2026-07-29 03:00:00
0.6730,2.0580,0.3270,2026-07-29 04:00:00
0.6735,2.0624,0.3265,2026-07-29 05:00:00
0.6737,2.0645,0.3263,2026-07-29 06:00:00
0.6734,2.0622,0.3266,2026-07-29 07:00:00
0.6736,2.0637,0.3264,2026-07-29 08:00:00
0.6763,2.0890,0.3237,2026-07-29 09:00:00
0.6761,2.0876,0.3239,2026-07-29 10:00:00
0.6762,2.0887,0.3238,2026-07-29 11:00:00
0.6770,2.0964,0.3230,2026-07-29 12:00:00
0.6786,2.1115,0.3214,2026-07-29 13:00:00
0.6768,2.0941,0.3232,2026-07-29 14:00:00
0.6767,2.0930,0.3233,2026-07-29 15:00:00
0.6740,2.0670,0.3260,2026-07-29 16:00:00
0.6709,2.0385,0.3291,2026-07-29 17:00:00
0.6679,2.0107,0.3321,2026-07-29 18:00:00
0.6685,2.0164,0.3315,2026-07-29 19:00:00
0.6710,2.0394,0.3290,2026-07-29 20:00:00
0.6723,2.0513,0.3277,2026-07-29 21:00:00
0.6706,2.0363,0.3294,2026-07-29 22:00:00
0.6700,2.0303,0.3300,2026-07-29 23:00:00
0.6686,2.0176,0.3314,2026-07-30 00:00:00
0.6638,1.9746,0.3362,2026-07-30 01:00:00
0.6597,1.9382,0.3403,2026-07-30 02:00:00
0.6607,1.9476,0.3393,2026-07-30 03:00:00
0.6619,1.9579,0.3381,2026-07-30 04:00:00
0.6604,1.9444,0.3396,2026-07-30 05:00:00
0.6611,1.9509,0.3389,2026-07-30 06:00:00
0.6605,1.9458,0.3395,2026-07-30 07:00:00
0.6595,1.9366,0.3405,2026-07-30 08:00:00
0.6616,1.9555,0.3384,2026-07-30 09:00:00
0.6651,1.9857,0.3349,2026-07-30 10:00:00
0.6652,1.9867,0.3348,2026-07-30 11:00:00
0.6631,1.9678,0.3369,2026-07-30 12:00:00
0.6655,1.9891,0.3345,2026-07-30 13:00:00
0.6652,1.9865,0.3348,2026-07-30 14:00:00
0.6640,1.9763,0.3360,2026-07-30 15:00:00
0.6668,2.0009,0.3332,2026-07-30 16:00:00
0.6666,1.9994,0.3334,2026-07-30 17:00:00
0.6584,1.9277,0.3416,2026-07-30 18:00:00
0.6565,1.9108,0.3435,2026-07-30 19:00:00
0.6576,1.9210,0.3424,2026-07-30 20:00:00
0.6563,1.9096,0.3437,2026-07-30 21:00:00
0.6550,1.8983,0.3450,2026-07-30 22:00:00
0.6527,1.8792,0.3473,2026-07-30 23:00:00
0.6501,1.8579,0.3499,2026-07-31 00:00:00
0.6485,1.8449,0.3515,2026-07-31 01:00:00
0.6531,1.8827,0.3469,2026-07-31 02:00:00
0.6524,1.8766,0.3476,2026-07-31 03:00:00
0.6502,1.8586,0.3498,2026-07-31 04:00:00
0.6464,1.8281,0.3536,2026-07-31 05:00:00
0.6492,1.8504,0.3508,2026-07-31 06:00:00
0.6511,1.8661,0.3489,2026-07-31 07:00:00
0.6521,1.8743,0.3479,2026-07-31 08:00:00
0.6524,1.8769,0.3476,2026-07-31 09:00:00
0.6491,1.8502,0.3509,2026-07-31 10:00:00
0.6475,1.8367,0.3525,2026-07-31 11:00:00
0.6461,1.8255,0.3539,2026-07-31 12:00:00
0.6444,1.8124,0.3556,2026-07-31 13:00:00
0.6451,1.8176,0.3549,2026-07-31 14:00:00
0.6436,1.8057,0.3564,2026-07-31 15:00:00
0.6403,1.7799,0.3597,2026-07-31 16:00:00
0.6404,1.7805,0.3596,2026-07-31 17:00:00
0.6396,1.7746,0.3604,2026-07-31 18:00:00
0.6406,1.7822,0.3594,2026-07-31 19:00:00
0.6418,1.7917,0.3582,2026-07-31 20:00:00
0.6416,1.7900,0.3584,2026-07-31 21:00:00
0.6371,1.7557,0.3629,2026-07-31 22:00:00
0.6372,1.7564,0.3628,2026-07-31 23:00:00
0.6380,1.7623,0.3620,2026-08-01 00:00:00
0.6403,1.7800,0.3597,2026-08-01 01:00:00
0.6477,1.8385,0.3523,2026-08-01 02:00:00
0.6448,1.8149,0.3552,2026-08-01 03:00:00
0.6463,1.8275,0.3537,2026-08-01 04:00:00
0.6466,1.8297,0.3534,2026-08-01 05:00:00
0.6470,1.8331,0.3530,2026-08-01 06:00:00
0.6483,1.8430,0.3517,2026-08-01 07:00:00
0.6482,1.8422,0.3518,2026-08-01 08:00:00
0.6462,1.8263,0.3538,2026-08-01 09:00:00
0.6474,1.8365,0.3526,2026-08-01 10:00:00
0.6477,1.8384,0.3523,2026-08-01 11:00:00
0.6489,1.8482,0.3511,2026-08-01 12:00:00
0.6485,1.8446,0.3515,2026-08-01 13:00:00
0.6512,1.8667,0.3488,2026-08-01 14:00:00
0.6517,1.8709,0.3483,2026-08-01 15:00:00
0.6514,1.8690,0.3486,2026-08-01 16:00:00
0.6488,1.8477,0.3512,2026-08-01 17:00:00
0.6525,1.8778,0.3475,2026-08-01 18:00:00
0.6536,1.8869,0.3464,2026-08-01 19:00:00
0.6531,1.8825,0.3469,2026-08-01 20:00:00
0.6452,1.8187,0.3548,2026-08-01 21:00:00
0.6486,1.8456,0.3514,2026-08-01 22:00:00
0.6584,1.9275,0.3416,2026-08-01 23:00:00
0.6612,1.9517,0.3388,2026-08-02 00:00:00
0.6610,1.9503,0.3390,2026-08-02 01:00:00
0.6571,1.9162,0.3429,2026-08-02 02:00:00
0.6619,1.9578,0.3381,2026-08-02 03:00:00
0.6603,1.9439,0.3397,2026-08-02 04:00:00
0.6601,1.9420,0.3399,2026-08-02 05:00:00
0.6602,1.9426,0.3398,2026-08-02 06:00:00
0.6610,1.9498,0.3390,2026-08-02 07:00:00
0.6575,1.9199,0.3425,2026-08-02 08:00:00
0.6579,1.9230,0.3421,2026-08-02 09:00:00
0.6552,1.9003,0.3448,2026-08-02 10:00:00
0.6552,1.9003,0.3448,2026-08-02 11:00:00
0.6534,1.8850,0.3466,2026-08-02 12:00:00
0.6506,1.8622,0.3494,2026-08-02 13:00:00
0.6476,1.8379,0.3524,2026-08-02 14:00:00
0.6466,1.8293,0.3534,2026-08-02 15:00:00
0.6455,1.8210,0.3545,2026-08-02 16:00:00
0.6429,1.8002,0.3571,2026-08-02 17:00:00
0.6413,1.7879,0.3587,2026-08-02 18:00:00
0.6416,1.7905,0.3584,2026-08-02 19:00:00
0.6424,1.7965,0.3576,2026-08-02 20:00:00
0.6424,1.7968,0.3576,2026-08-02 21:00:00
0.6427,1.7988,0.3573,2026-08-02 22:00:00
0.6447,1.8144,0.3553,2026-08-02 23:00:00
0.6448,1.8153,0.3552,2026-08-03 00:00:00
0.6453,1.8192,0.3547,2026-08-03 01:00:00
0.6442,1.8104,0.3558,2026-08-03 02:00:00
0.6419,1.7923,0.3581,2026-08-03 03:00:00
0.6430,1.8015,0.3570,2026-08-03 04:00:00
0.6442,1.8102,0.3558,2026-08-03 05:00:00
0.6418,1.7914,0.3582,2026-08-03 06:00:00
0.6379,1.7619,0.3621,2026-08-03 07:00:00
0.6286,1.6926,0.3714,2026-08-03 08:00:00
0.6187,1.6228,0.3813,2026-08-03 09:00:00
0.6273,1.6828,0.3727,2026-08-03 10:00:00
0.6302,1.7040,0.3698,2026-08-03 11:00:00
0.6388,1.7683,0.3612,2026-08-03 12:00:00
0.6392,1.7715,0.3608,2026-08-03 13:00:00
0.6392,1.7718,0.3608,2026-08-03 14:00:00
0.6420,1.7931,0.3580,2026-08-03 15:00:00
0.6427,1.7989,0.3573,2026-08-03 16:00:00
0.6420,1.7930,0.3580,2026-08-03 17:00:00
0.6419,1.7926,0.3581,2026-08-03 18:00:00
0.6383,1.7651,0.3617,2026-08-03 19:00:00
0.6413,1.7881,0.3587,2026-08-03 20:00:00
0.6390,1.7697,0.3610,2026-08-03 21:00:00
0.6386,1.7671,0.3614,2026-08-03 22:00:00
0.6393,1.7724,0.3607,2026-08-03 23:00:00
0.6371,1.7558,0.3629,2026-08-04 00:00:00
0.6345,1.7360,0.3655,2026-08-04 01:00:00
0.6347,1.7376,0.3653,2026-08-04 02:00:00
0.6330,1.7250,0.3670,2026-08-04 03:00:00
0.6339,1.7314,0.3661,2026-08-04 04:00:00
0.6380,1.7625,0.3620,2026-08-04 05:00:00
0.6388,1.7682,0.3612,2026-08-04 06:00:00
0.6429,1.8000,0.3571,2026-08-04 07:00:00
0.6450,1.8168,0.3550,2026-08-04 08:00:00
0.6458,1.8231,0.3542,2026-08-04 09:00:00
0.6461,1.8258,0.3539,2026-08-04 10:00:00
0.6470,1.8330,0.3530,2026-08-04 11:00:00
0.6490,1.8487,0.3510,2026-08-04 12:00:00
0.6480,1.8413,0.3520,2026-08-04 13:00:00
0.6490,1.8491,0.3510,2026-08-04 14:00:00
0.6496,1.8540,0.3504,2026-08-04 15:00:00
0.6505,1.8610,0.3495,2026-08-04 16:00:00
0.6479,1.8397,0.3521,2026-08-04 17:00:00
0.6477,1.8388,0.3523,2026-08-04 18:00:00
0.6461,1.8254,0.3539,2026-08-04 19:00:00
0.6472,1.8347,0.3528,2026-08-04 20:00:00
0.6434,1.8039,0.3566,2026-08-04 21:00:00
0.6447,1.8144,0.3553,2026-08-04 22:00:00
0.6445,1.8128,0.3555,2026-08-04 23:00:00
0.6437,1.8069,0.3563,2026-08-05 00:00:00
0.6413,1.7877,0.3587,2026-08-05 01:00:00
0.6397,1.7757,0.3603,2026-08-05 02:00:00
0.6416,1.7898,0.3584,2026-08-05 03:00:00
0.6330,1.7247,0.3670,2026-08-05 04:00:00
0.6319,1.7163,0.3681,2026-08-05 05:00:00
0.6303,1.7046,0.3697,2026-08-05 06:00:00
0.6360,1.7471,0.3640,2026-08-05 07:00:00
0.6417,1.7913,0.3583,2026-08-05 08:00:00
0.6425,1.7969,0.3575,2026-08-05 09:00:00
0.6431,1.8020,0.3569,2026-08-05 10:00:00
0.6422,1.7952,0.3578,2026-08-05 11:00:00
0.6421,1.7943,0.3579,2026-08-05 12:00:00
0.6421,1.7941,0.3579,2026-08-05 13:00:00
0.6400,1.7774,0.3600,2026-08-05 14:00:00
0.6391,1.7709,0.3609,2026-08-05 15:00:00
0.6408,1.7843,0.3592,2026-08-05 16:00:00
0.6407,1.7835,0.3593,2026-08-05 17:00:00
0.6418,1.7915,0.3582,2026-08-05 18:00:00
0.6438,1.8070,0.3562,2026-08-05 19:00:00
0.6448,1.8151,0.3552,2026-08-05 20:00:00
0.6450,1.8166,0.3550,2026-08-05 21:00:00
0.6439,1.8082,0.3561,2026-08-05 22:00:00
0.6448,1.8156,0.3552,2026-08-05 23:00:00
0.6490,1.8491,0.3510,2026-08-06 00:00:00
0.6491,1.8502,0.3509,2026-08-06 01:00:00
0.6492,1.8507,0.3508,2026-08-06 02:00:00
0.6482,1.8426,0.3518,2026-08-06 03:00:00
0.6447,1.8145,0.3553,2026-08-06 04:00:00
0.6450,1.8171,0.3550,2026-08-06 05:00:00
0.6467,1.8305,0.3533,2026-08-06 06:00:00
0.6440,1.8092,0.3560,2026-08-06 07:00:00
0.6409,1.7851,0.3591,2026-08-06 08:00:00
0.6371,1.7556,0.3629,2026-08-06 09:00:00
0.6355,1.7433,0.3645,2026-08-06 10:00:00
0.6322,1.7192,0.3678,2026-08-06 11:00:00
0.6323,1.7196,0.3677,2026-08-06 12:00:00
0.6358,1.7456,0.3642,2026-08-06 13:00:00
0.6311,1.7109,0.3689,2026-08-06 14:00:00
0.6272,1.6825,0.3728,2026-08-06 15:00:00
0.6307,1.7081,0.3693,2026-08-06 16:00:00
0.6167,1.6090,0.3833,2026-08-06 17:00:00
0.6267,1.6786,0.3733,2026-08-06 18:00:00
0.6176,1.6153,0.3824,2026-08-06 19:00:00
0.6163,1.6063,0.3837,2026-08-06 20:00:00
0.6149,1.5967,0.3851,2026-08-06 21:00:00
0.6234,1.6552,0.3766,2026-08-06 22:00:00
0.6208,1.6372,0.3792,2026-08-06 23:00:00
0.6183,1.6200,0.3817,2026-08-07 00:00:00
0.6107,1.5686,0.3893,2026-08-07 01:00:00
0.6125,1.5804,0.3875,2026-08-07 02:00:00
0.5891,1.4336,0.4109,2026-08-07 03:00:00
0.5980,1.4874,0.4020,2026-08-07 04:00:00
0.5978,1.4865,0.4022,2026-08-07 05:00:00
0.5738,1.3465,0.4262,2026-08-07 06:00:00
0.5948,1.4677,0.4052,2026-08-07 07:00:00
0.5662,1.3051,0.4338,2026-08-07 08:00:00
0.5584,1.2644,0.4416,2026-08-07 09:00:00
0.5778,1.3684,0.4222,2026-08-07 10:00:00
0.5712,1.3320,0.4288,2026-08-07 11:00:00
0.5751,1.3535,0.4249,2026-08-07 12:00:00
0.5859,1.4149,0.4141,2026-08-07 13:00:00
0.5827,1.3961,0.4173,2026-08-07 14:00:00
0.5881,1.4277,0.4119,2026-08-07 15:00:00
0.5882,1.4286,0.4118,2026-08-07 16:00:00
0.5866,1.4187,0.4134,2026-08-07 17:00:00
0.5899,1.4383,0.4101,2026-08-07 18:00:00
0.5863,1.4171,0.4137,2026-08-07 19:00:00
0.5828,1.3967,0.4172,2026-08-07 20:00:00
0.5788,1.3741,0.4212,2026-08-07 21:00:00
0.5801,1.3814,0.4199,2026-08-07 22:00:00
0.5793,1.3768,0.4207,2026-08-07 23:00:00
0.5816,1.3899,0.4184,2026-08-08 00:00:00
0.5833,1.3999,0.4167,2026-08-08 01:00:00
0.5817,1.3906,0.4183,2026-08-08 02:00:00
0.5831,1.3985,0.4169,2026-08-08 03:00:00
0.5845,1.4067,0.4155,2026-08-08 04:00:00
0.5862,1.4169,0.4138,2026-08-08 05:00:00
0.5893,1.4349,0.4107,2026-08-08 06:00:00
0.5846,1.4075,0.4154,2026-08-08 07:00:00
0.5795,1.3779,0.4205,2026-08-08 08:00:00
0.5786,1.3733,0.4214,2026-08-08 09:00:00
0.5774,1.3664,0.4226,2026-08-08 10:00:00
0.5767,1.3623,0.4233,2026-08-08 11:00:00
0.5746,1.3509,0.4254,2026-08-08 12:00:00
0.5717,1.3351,0.4283,2026-08-08 13:00:00
0.5724,1.3388,0.4276,2026-08-08 14:00:00
0.5573,1.2589,0.4427,2026-08-08 15:00:00
0.5535,1.2396,0.4465,2026-08-08 16:00:00
0.5381,1.1650,0.4619,2026-08-08 17:00:00
0.5319,1.1364,0.4681,2026-08-08 18:00:00
0.5330,1.1412,0.4670,2026-08-08 19:00:00
0.5323,1.1382,0.4677,2026-08-08 20:00:00
0.5369,1.1594,0.4631,2026-08-08 21:00:00
0.5365,1.1573,0.4635,2026-08-08 22:00:00
0.5366,1.1581,0.4634,2026-08-08 23:00:00
0.5322,1.1376,0.4678,2026-08-09 00:00:00
0.5269,1.1137,0.4731,2026-08-09 01:00:00
0.5230,1.0963,0.4770,2026-08-09 02:00:00
0.5202,1.0842,0.4798,2026-08-09 03:00:00
0.5375,1.1620,0.4625,2026-08-09 04:00:00
0.5374,1.1617,0.4626,2026-08-09 05:00:00
0.5411,1.1791,0.4589,2026-08-09 06:00:00
0.5442,1.1941,0.4558,2026-08-09 07:00:00
0.5521,1.2329,0.4479,2026-08-09 08:00:00
0.5570,1.2571,0.4430,2026-08-09 09:00:00
0.5533,1.2387,0.4467,2026-08-09 10:00:00
0.5529,1.2365,0.4471,2026-08-09 11:00:00
0.5537,1.2408,0.4463,2026-08-09 12:00:00
0.5591,1.2680,0.4409,2026-08-09 13:00:00
0.5620,1.2832,0.4380,2026-08-09 14:00:00
0.5607,1.2765,0.4393,2026-08-09 15:00:00
0.5608,1.2766,0.4392,2026-08-09 16:00:00
0.5615,1.2805,0.4385,2026-08-09 17:00:00
0.5650,1.2991,0.4350,2026-08-09 18:00:00
0.5652,1.2998,0.4348,2026-08-09 19:00:00
0.5646,1.2965,0.4354,2026-08-09 20:00:00
0.5668,1.3083,0.4332,2026-08-09 21:00:00
0.5661,1.3047,0.4339,2026-08-09 22:00:00
0.5676,1.3126,0.4324,2026-08-09 23:00:00
0.5711,1.3315,0.4289,2026-08-10 00:00:00
0.5734,1.3441,0.4266,2026-08-10 01:00:00
0.5734,1.3441,0.4266,2026-08-10 02:00:00
0.5760,1.3587,0.4240,2026-08-10 03:00:00
0.5728,1.3411,0.4272,2026-08-10 04:00:00
0.5775,1.3670,0.4225,2026-08-10 05:00:00
0.5775,1.3671,0.4225,2026-08-10 06:00:00
0.5799,1.3803,0.4201,2026-08-10 07:00:00
0.5833,1.3996,0.4167,2026-08-10 08:00:00
0.5870,1.4215,0.4130,2026-08-10 09:00:00
0.5868,1.4199,0.4132,2026-08-10 10:00:00
0.5895,1.4361,0.4105,2026-08-10 11:00:00
0.5893,1.4350,0.4107,2026-08-10 12:00:00
0.5887,1.4312,0.4113,2026-08-10 13:00:00
0.5895,1.4359,0.4105,2026-08-10 14:00:00
0.5887,1.4311,0.4113,2026-08-10 15:00:00
0.5867,1.4196,0.4133,2026-08-10 16:00:00
0.5882,1.4283,0.4118,2026-08-10 17:00:00
0.5907,1.4432,0.4093,2026-08-10 18:00:00
0.5905,1.4422,0.4095,2026-08-10 19:00:00
0.5893,1.4348,0.4107,2026-08-10 20:00:00
0.5903,1.4407,0.4097,2026-08-10 21:00:00
0.5888,1.4317,0.4112,2026-08-10 22:00:00
0.5915,1.4480,0.4085,2026-08-10 23:00:00
0.5908,1.4440,0.4092,2026-08-11 00:00:00
0.5923,1.4527,0.4077,2026-08-11 01:00:00
0.5871,1.4220,0.4129,2026-08-11 02:00:00
0.5891,1.4338,0.4109,2026-08-11 03:00:00
0.5909,1.4445,0.4091,2026-08-11 04:00:00
0.5920,1.4509,0.4080,2026-08-11 05:00:00
0.5855,1.4125,0.4145,2026-08-11 06:00:00
0.5850,1.4096,0.4150,2026-08-11 07:00:00
0.5810,1.3864,0.4190,2026-08-11 08:00:00
0.5826,1.3959,0.4174,2026-08-11 09:00:00
0.5856,1.4129,0.4144,2026-08-11 10:00:00
0.5953,1.4708,0.4047,2026-08-11 11:00:00
0.5967,1.4796,0.4033,2026-08-11 12:00:00
0.5927,1.4552,0.4073,2026-08-11 13:00:00
0.5956,1.4730,0.4044,2026-08-11 14:00:00
0.5977,1.4856,0.4023,2026-08-11 15:00:00
0.5966,1.4792,0.4034,2026-08-11 16:00:00
0.5945,1.4658,0.4055,2026-08-11 17:00:00
0.5932,1.4582,0.4068,2026-08-11 18:00:00
0.5927,1.4549,0.4073,2026-08-11 19:00:00
0.5912,1.4460,0.4088,2026-08-11 20:00:00
0.5905,1.4420,0.4095,2026-08-11 21:00:00
0.5888,1.4320,0.4112,2026-08-11 22:00:00
0.5896,1.4365,0.4104,2026-08-11 23:00:00
0.5916,1.4489,0.4084,2026-08-12 00:00:00
0.5907,1.4434,0.4093,2026-08-12 01:00:00
0.5877,1.4256,0.4123,2026-08-12 02:00:00
0.5893,1.4348,0.4107,2026-08-12 03:00:00
0.5879,1.4265,0.4121,2026-08-12 04:00:00
0.5864,1.4177,0.4136,2026-08-12 05:00:00
0.6014,1.5091,0.3986,2026-08-12 06:00:00
0.5980,1.4874,0.4020,2026-08-12 07:00:00
0.5964,1.4775,0.4036,2026-08-12 08:00:00
0.5997,1.4979,0.4003,2026-08-12 09:00:00
0.5951,1.4699,0.4049,2026-08-12 10:00:00
0.5975,1.4844,0.4025,2026-08-12 11:00:00
0.5968,1.4802,0.4032,2026-08-12 12:00:00
0.5978,1.4864,0.4022,2026-08-12 13:00:00
0.5916,1.4487,0.4084,2026-08-12 14:00:00
0.5909,1.4444,0.4091,2026-08-12 15:00:00
0.5915,1.4481,0.4085,2026-08-12 16:00:00
0.5914,1.4475,0.4086,2026-08-12 17:00:00
0.5931,1.4577,0.4069,2026-08-12 18:00:00
0.5957,1.4736,0.4043,2026-08-12 19:00:00
0.5959,1.4745,0.4041,2026-08-12 20:00:00
0.5966,1.4790,0.4034,2026-08-12 21:00:00
0.5981,1.4879,0.4019,2026-08-12 22:00:00
0.5988,1.4927,0.4012,2026-08-12 23:00:00
0.6020,1.5125,0.3980,2026-08-13 00:00:00
0.5979,1.4872,0.4021,2026-08-13 01:00:00
0.6013,1.5082,0.3987,2026-08-13 02:00:00
0.6022,1.5135,0.3978,2026-08-13 03:00:00
0.6026,1.5161,0.3974,2026-08-13 04:00:00
0.6014,1.5089,0.3986,2026-08-13 05:00:00
0.6013,1.5081,0.3987,2026-08-13 06:00:00
0.6026,1.5166,0.3974,2026-08-13 07:00:00
0.6049,1.5308,0.3951,2026-08-13 08:00:00
0.6056,1.5352,0.3944,2026-08-13 09:00:00
0.6070,1.5444,0.3930,2026-08-13 10:00:00
0.6072,1.5459,0.3928,2026-08-13 11:00:00
0.6057,1.5362,0.3943,2026-08-13 12:00:00
0.6058,1.5369,0.3942,2026-08-13 13:00:00
0.6075,1.5479,0.3925,2026-08-13 14:00:00
0.6047,1.5299,0.3953,2026-08-13 15:00:00
0.5995,1.4969,0.4005,2026-08-13 16:00:00
0.5996,1.4973,0.4004,2026-08-13 17:00:00
0.5928,1.4559,0.4072,2026-08-13 18:00:00
0.5968,1.4800,0.4032,2026-08-13 19:00:00
0.5947,1.4675,0.4053,2026-08-13 20:00:00
0.5922,1.4524,0.4078,2026-08-13 21:00:00
0.5924,1.4533,0.4076,2026-08-13 22:00:00
0.5924,1.4536,0.4076,2026-08-13 23:00:00
0.5943,1.4646,0.4057,2026-08-14 00:00:00
0.5969,1.4809,0.4031,2026-08-14 01:00:00
