longAccount,longShortRatio,shortAccount,time
0.3359,0.5058,0.6641,2026-07-28 20:00:00
0.3361,0.5063,0.6639,2026-07-28 21:00:00
0.3366,0.5074,0.6634,2026-07-28 22:00:00
0.3303,0.4932,0.6697,2026-07-28 23:00:00
0.3356,0.5051,0.6644,2026-07-29 00:00:00
0.3372,0.5088,0.6628,2026-07-29 01:00:00
0.3548,0.5499,0.6452,2026-07-29 02:00:00
0.3490,0.5361,0.6510,2026-07-29 03:00:00
0.3327,0.4986,0.6673,2026-07-29 04:00:00
0.3286,0.4894,0.6714,2026-07-29 05:00:00
0.3197,0.4699,0.6803,2026-07-29 06:00:00
0.3238,0.4789,0.6762,2026-07-29 07:00:00
0.3266,0.4850,0.6734,2026-07-29 08:00:00
0.3194,0.4693,0.6806,2026-07-29 09:00:00
0.3169,0.4639,0.6831,2026-07-29 10:00:00
0.3127,0.4550,0.6873,2026-07-29 11:00:00
0.2985,0.4255,0.7015,2026-07-29 12:00:00
0.3079,0.4449,0.6921,2026-07-29 13:00:00
0.3075,0.4440,0.6925,2026-07-29 14:00:00
0.3030,0.4347,0.6970,2026-07-29 15:00:00
0.3099,0.4491,0.6901,2026-07-29 16:00:00
0.3103,0.4499,0.6897,2026-07-29 17:00:00
0.3115,0.4524,0.6885,2026-07-29 18:00:00
0.3066,0.4422,0.6934,2026-07-29 19:00:00
0.2918,0.4120,0.7082,2026-07-29 20:00:00
0.2944,0.4172,0.7056,2026-07-29 21:00:00
0.2966,0.4217,0.7034,2026-07-29 22:00:00
0.2918,0.4120,0.7082,2026-07-29 23:00:00
0.2927,0.4138,0.7073,2026-07-30 00:00:00
0.2944,0.4172,0.7056,2026-07-30 01:00:00
0.3158,0.4616,0.6842,2026-07-30 02:00:00
0.3131,0.4558,0.6869,2026-07-30 03:00:00
0.3131,0.4558,0.6869,2026-07-30 04:00:00
0.3123,0.4541,0.6877,2026-07-30 05:00:00
0.3151,0.4601,0.6849,2026-07-30 06:00:00
0.3224,0.4758,0.6776,2026-07-30 07:00:00
0.3130,0.4556,0.6870,2026-07-30 08:00:00
0.3333,0.4999,0.6667,2026-07-30 09:00:00
0.3206,0.4719,0.6794,2026-07-30 10:00:00
0.3194,0.4693,0.6806,2026-07-30 11:00:00
0.3046,0.4380,0.6954,2026-07-30 12:00:00
0.2960,0.4205,0.7040,2026-07-30 13:00:00
0.3008,0.4302,0.6992,2026-07-30 14:00:00
0.3135,0.4567,0.6865,2026-07-30 15:00:00
0.3129,0.4554,0.6871,2026-07-30 16:00:00
0.3099,0.4491,0.6901,2026-07-30 17:00:00
0.3138,0.4573,0.6862,2026-07-30 18:00:00
0.3152,0.4603,0.6848,2026-07-30 19:00:00
0.3124,0.4543,0.6876,2026-07-30 20:00:00
0.3116,0.4526,0.6884,2026-07-30 21:00:00
0.3172,0.4646,0.6828,2026-07-30 22:00:00
0.3111,0.4516,0.6889,2026-07-30 23:00:00
0.3110,0.4514,0.6890,2026-07-31 00:00:00
0.3115,0.4524,0.6885,2026-07-31 01:00:00
0.3167,0.4635,0.6833,2026-07-31 02:00:00
0.3161,0.4622,0.6839,2026-07-31 03:00:00
0.3193,0.4691,0.6807,2026-07-31 04:00:00
0.3253,0.4821,0.6747,2026-07-31 05:00:00
