longAccount,longShortRatio,shortAccount,time
0.5740,1.3474,0.4260,2026-07-28 20:00:00
0.5693,1.3218,0.4307,2026-07-28 21:00:00
0.5643,1.2952,0.4357,2026-07-28 22:00:00
0.5680,1.3148,0.4320,2026-07-28 23:00:00
0.5673,1.3111,0.4327,2026-07-29 00:00:00
0.5543,1.2437,0.4457,2026-07-29 01:00:00
0.5651,1.2994,0.4349,2026-07-29 02:00:00
0.5618,1.2821,0.4382,2026-07-29 03:00:00
0.5571,1.2578,0.4429,2026-07-29 04:00:00
0.5625,1.2857,0.4375,2026-07-29 05:00:00
0.5611,1.2784,0.4389,2026-07-29 06:00:00
0.5548,1.2462,0.4452,2026-07-29 07:00:00
0.5619,1.2826,0.4381,2026-07-29 08:00:00
0.5665,1.3068,0.4335,2026-07-29 09:00:00
0.5664,1.3063,0.4336,2026-07-29 10:00:00
0.5646,1.2967,0.4354,2026-07-29 11:00:00
0.5586,1.2655,0.4414,2026-07-29 12:00:00
0.5618,1.2821,0.4382,2026-07-29 13:00:00
0.5597,1.2712,0.4403,2026-07-29 14:00:00
0.5641,1.2941,0.4359,2026-07-29 15:00:00
0.5613,1.2795,0.4387,2026-07-29 16:00:00
0.5607,1.2763,0.4393,2026-07-29 17:00:00
0.5569,1.2568,0.4431,2026-07-29 18:00:00
0.5577,1.2609,0.4423,2026-07-29 19:00:00
0.5561,1.2528,0.4439,2026-07-29 20:00:00
0.5582,1.2635,0.4418,2026-07-29 21:00:00
0.5593,1.2691,0.4407,2026-07-29 22:00:00
0.5598,1.2717,0.4402,2026-07-29 23:00:00
0.5658,1.3031,0.4342,2026-07-30 00:00:00
0.5631,1.2889,0.4369,2026-07-30 01:00:00
0.5660,1.3041,0.4340,2026-07-30 02:00:00
0.5627,1.2868,0.4373,2026-07-30 03:00:00
0.5694,1.3223,0.4306,2026-07-30 04:00:00
0.5690,1.3202,0.4310,2026-07-30 05:00:00
0.5691,1.3207,0.4309,2026-07-30 06:00:00
