buySellRatio,sellVol,buyVol,time
0.9467,173120.0000,163896.0000,2026-07-28 19:00:00
0.8818,115424.0000,101784.0000,2026-07-28 20:00:00
1.7331,77981.0000,135147.0000,2026-07-28 21:00:00
0.9969,58746.0000,58565.0000,2026-07-28 22:00:00
0.8082,93074.0000,75221.0000,2026-07-28 23:00:00
0.7005,330749.0000,231696.0000,2026-07-29 00:00:00
0.7842,213914.0000,167751.0000,2026-07-29 01:00:00
0.8581,202069.0000,173402.0000,2026-07-29 02:00:00
0.8260,292029.0000,241215.0000,2026-07-29 03:00:00
0.9758,225354.0000,219891.0000,2026-07-29 04:00:00
0.8433,176964.0000,149227.0000,2026-07-29 05:00:00
1.1592,103361.0000,119820.0000,2026-07-29 06:00:00
0.5651,91549.0000,51730.0000,2026-07-29 07:00:00
0.7626,479629.0000,365777.0000,2026-07-29 08:00:00
1.1753,131798.0000,154908.0000,2026-07-29 09:00:00
1.1280,131090.0000,147865.0000,2026-07-29 10:00:00
0.7700,131169.0000,100995.0000,2026-07-29 11:00:00
0.9257,140048.0000,129648.0000,2026-07-29 12:00:00
1.0991,391538.0000,430345.0000,2026-07-29 13:00:00
0.6396,162870.0000,104169.0000,2026-07-29 14:00:00
1.1235,182490.0000,205022.0000,2026-07-29 15:00:00
0.8835,90429.0000,79893.0000,2026-07-29 16:00:00
1.0704,142918.0000,152984.0000,2026-07-29 17:00:00
1.0143,338144.0000,342971.0000,2026-07-29 18:00:00
1.4683,289098.0000,424495.0000,2026-07-29 19:00:00
0.9305,274183.0000,255138.0000,2026-07-29 20:00:00
0.8689,105832.0000,91956.0000,2026-07-29 21:00:00
0.6480,68745.0000,44549.0000,2026-07-29 22:00:00
0.8295,115847.0000,96098.0000,2026-07-29 23:00:00
1.2659,130207.0000,164824.0000,2026-07-30 00:00:00
0.5258,119224.0000,62684.0000,2026-07-30 01:00:00
0.6989,125450.0000,87682.0000,2026-07-30 02:00:00
0.9329,110032.0000,102647.0000,2026-07-30 03:00:00
0.5644,109768.0000,61955.0000,2026-07-30 04:00:00
0.7880,97949.0000,77187.0000,2026-07-30 05:00:00
0.8830,183279.0000,161839.0000,2026-07-30 06:00:00
0.5971,97854.0000,58427.0000,2026-07-30 07:00:00
0.8885,180757.0000,160595.0000,2026-07-30 08:00:00
1.0319,91678.0000,94606.0000,2026-07-30 09:00:00
1.1014,184405.0000,203109.0000,2026-07-30 10:00:00
1.4356,98047.0000,140756.0000,2026-07-30 11:00:00
1.4570,241030.0000,351173.0000,2026-07-30 12:00:00
1.3378,77768.0000,104036.0000,2026-07-30 13:00:00
1.0638,171313.0000,182248.0000,2026-07-30 14:00:00
1.3494,77507.0000,104588.0000,2026-07-30 15:00:00
0.6923,341900.0000,236703.0000,2026-07-30 16:00:00
0.8987,215828.0000,193954.0000,2026-07-30 17:00:00
0.9715,95508.0000,92789.0000,2026-07-30 18:00:00
1.9057,50492.0000,96223.0000,2026-07-30 19:00:00
1.1737,54126.0000,63526.0000,2026-07-30 20:00:00
1.0040,46751.0000,46938.0000,2026-07-30 21:00:00
0.7080,53390.0000,37800.0000,2026-07-30 22:00:00
1.6506,106535.0000,175850.0000,2026-07-30 23:00:00
0.6970,167185.0000,116535.0000,2026-07-31 00:00:00
0.5699,69572.0000,39646.0000,2026-07-31 01:00:00
0.9663,151909.0000,146791.0000,2026-07-31 02:00:00
0.8236,83696.0000,68935.0000,2026-07-31 03:00:00
1.1083,81532.0000,90358.0000,2026-07-31 04:00:00
0.6305,85770.0000,54081.0000,2026-07-31 05:00:00
0.7837,60920.0000,47745.0000,2026-07-31 06:00:00
0.9226,299913.0000,276695.0000,2026-07-31 07:00:00
1.2561,75189.0000,94447.0000,2026-07-31 08:00:00
1.4047,89492.0000,125705.0000,2026-07-31 09:00:00
1.5672,204655.0000,320743.0000,2026-07-31 10:00:00
0.8635,237972.0000,205492.0000,2026-07-31 11:00:00
0.9202,126629.0000,116523.0000,2026-07-31 12:00:00
1.1848,84727.0000,100382.0000,2026-07-31 13:00:00
1.2659,249581.0000,315939.0000,2026-07-31 14:00:00
