longAccount,longShortRatio,shortAccount,time
0.5607,1.2763,0.4393,2026-07-28 20:00:00
0.5576,1.2604,0.4424,2026-07-28 21:00:00
0.5519,1.2316,0.4481,2026-07-28 22:00:00
0.5570,1.2573,0.4430,2026-07-28 23:00:00
0.5553,1.2487,0.4447,2026-07-29 00:00:00
0.5405,1.1763,0.4595,2026-07-29 01:00:00
0.5512,1.2282,0.4488,2026-07-29 02:00:00
0.5380,1.1645,0.4620,2026-07-29 03:00:00
0.5359,1.1547,0.4641,2026-07-29 04:00:00
0.5432,1.1891,0.4568,2026-07-29 05:00:00
0.5424,1.1853,0.4576,2026-07-29 06:00:00
0.5364,1.1570,0.4636,2026-07-29 07:00:00
0.5454,1.1997,0.4546,2026-07-29 08:00:00
0.5520,1.2321,0.4480,2026-07-29 09:00:00
0.5543,1.2437,0.4457,2026-07-29 10:00:00
0.5517,1.2306,0.4483,2026-07-29 11:00:00
0.5437,1.1915,0.4563,2026-07-29 12:00:00
0.5446,1.1959,0.4554,2026-07-29 13:00:00
0.5432,1.1891,0.4568,2026-07-29 14:00:00
0.5463,1.2041,0.4537,2026-07-29 15:00:00
0.5455,1.2002,0.4545,2026-07-29 16:00:00
0.5438,1.1920,0.4562,2026-07-29 17:00:00
0.5390,1.1692,0.4610,2026-07-29 18:00:00
0.5373,1.1612,0.4627,2026-07-29 19:00:00
0.5328,1.1404,0.4672,2026-07-29 20:00:00
0.5340,1.1459,0.4660,2026-07-29 21:00:00
0.5389,1.1687,0.4611,2026-07-29 22:00:00
0.5356,1.1533,0.4644,2026-07-29 23:00:00
0.5478,1.2114,0.4522,2026-07-30 00:00:00
0.5450,1.1978,0.4550,2026-07-30 01:00:00
0.5504,1.2242,0.4496,2026-07-30 02:00:00
0.5383,1.1659,0.4617,2026-07-30 03:00:00
0.5469,1.2070,0.4531,2026-07-30 04:00:00
0.5435,1.1906,0.4565,2026-07-30 05:00:00
0.5452,1.1988,0.4548,2026-07-30 06:00:00
0.5525,1.2346,0.4475,2026-07-30 07:00:00
0.5540,1.2422,0.4460,2026-07-30 08:00:00
0.5569,1.2568,0.4431,2026-07-30 09:00:00
0.5466,1.2056,0.4534,2026-07-30 10:00:00
0.5469,1.2070,0.4531,2026-07-30 11:00:00
0.5536,1.2401,0.4464,2026-07-30 12:00:00
0.5616,1.2810,0.4384,2026-07-30 13:00:00
0.5615,1.2805,0.4385,2026-07-30 14:00:00
0.5719,1.3359,0.4281,2026-07-30 15:00:00
0.5706,1.3288,0.4294,2026-07-30 16:00:00
0.5652,1.2999,0.4348,2026-07-30 17:00:00
0.5635,1.2910,0.4365,2026-07-30 18:00:00
