longAccount,longShortRatio,shortAccount,time
0.6928,2.2552,0.3072,2026-07-28 19:00:00
0.6935,2.2626,0.3065,2026-07-28 20:00:00
0.6775,2.1008,0.3225,2026-07-28 21:00:00
0.6885,2.2103,0.3115,2026-07-28 22:00:00
0.6700,2.0303,0.3300,2026-07-28 23:00:00
0.6717,2.0460,0.3283,2026-07-29 00:00:00
0.6871,2.1959,0.3129,2026-07-29 01:00:00
0.6830,2.1546,0.3170,2026-07-29 02:00:00
0.6836,2.1606,0.3164,2026-07-29 03:00:00
0.6740,2.0675,0.3260,2026-07-29 04:00:00
0.6735,2.0628,0.3265,2026-07-29 05:00:00
0.6680,2.0120,0.3320,2026-07-29 06:00:00
0.6691,2.0221,0.3309,2026-07-29 07:00:00
0.6691,2.0221,0.3309,2026-07-29 08:00:00
0.6803,2.1279,0.3197,2026-07-29 09:00:00
0.6395,1.7739,0.3605,2026-07-29 10:00:00
0.6746,2.0731,0.3254,2026-07-29 11:00:00
0.6653,1.9878,0.3347,2026-07-29 12:00:00
0.6591,1.9334,0.3409,2026-07-29 13:00:00
0.6579,1.9231,0.3421,2026-07-29 14:00:00
0.6680,2.0120,0.3320,2026-07-29 15:00:00
0.6794,2.1192,0.3206,2026-07-29 16:00:00
0.6547,1.8960,0.3453,2026-07-29 17:00:00
0.6426,1.7980,0.3574,2026-07-29 18:00:00
0.6677,2.0093,0.3323,2026-07-29 19:00:00
0.7066,2.4083,0.2934,2026-07-29 20:00:00
0.6229,1.6518,0.3771,2026-07-29 21:00:00
0.6552,1.9002,0.3448,2026-07-29 22:00:00
0.6471,1.8337,0.3529,2026-07-29 23:00:00
0.6643,1.9789,0.3357,2026-07-30 00:00:00
0.6683,2.0148,0.3317,2026-07-30 01:00:00
0.6609,1.9490,0.3391,2026-07-30 02:00:00
0.6548,1.8969,0.3452,2026-07-30 03:00:00
0.6202,1.6330,0.3798,2026-07-30 04:00:00
0.6159,1.6035,0.3841,2026-07-30 05:00:00
0.6350,1.7397,0.3650,2026-07-30 06:00:00
0.6270,1.6810,0.3730,2026-07-30 07:00:00
0.6299,1.7020,0.3701,2026-07-30 08:00:00
0.6326,1.7218,0.3674,2026-07-30 09:00:00
0.6396,1.7747,0.3604,2026-07-30 10:00:00
0.6412,1.7871,0.3588,2026-07-30 11:00:00
0.6581,1.9248,0.3419,2026-07-30 12:00:00
0.6575,1.9197,0.3425,2026-07-30 13:00:00
0.6348,1.7382,0.3652,2026-07-30 14:00:00
0.6332,1.7263,0.3668,2026-07-30 15:00:00
0.6200,1.6316,0.3800,2026-07-30 16:00:00
0.6132,1.5853,0.3868,2026-07-30 17:00:00
0.5932,1.4582,0.4068,2026-07-30 18:00:00
