buySellRatio,sellVol,buyVol,time
1.6934,2082.8100,3527.0300,2026-07-28 19:00:00
1.1719,4537.1300,5317.2100,2026-07-28 20:00:00
0.8226,647.9400,532.9900,2026-07-28 21:00:00
0.7735,2678.3300,2071.7100,2026-07-28 22:00:00
0.8375,4009.8000,3358.1000,2026-07-28 23:00:00
1.0937,2682.4300,2933.8100,2026-07-29 00:00:00
1.1559,1648.3800,1905.3000,2026-07-29 01:00:00
1.0526,2715.2500,2858.0400,2026-07-29 02:00:00
1.0728,1932.4800,2073.2500,2026-07-29 03:00:00
0.8401,6759.8300,5678.9400,2026-07-29 04:00:00
0.8702,2447.5700,2129.7700,2026-07-29 05:00:00
1.0962,1457.8200,1598.1200,2026-07-29 06:00:00
1.0555,6383.8900,6738.0500,2026-07-29 07:00:00
0.8334,5166.7900,4306.2300,2026-07-29 08:00:00
1.1431,4971.8900,5683.3600,2026-07-29 09:00:00
0.9154,2219.6400,2031.8500,2026-07-29 10:00:00
1.1487,1759.2400,2020.8000,2026-07-29 11:00:00
1.0204,4363.8100,4452.9200,2026-07-29 12:00:00
1.0194,15682.8700,15987.0400,2026-07-29 13:00:00
0.9788,13393.3200,13109.6100,2026-07-29 14:00:00
0.7731,7119.5700,5504.0500,2026-07-29 15:00:00
1.6960,3741.9500,6346.4300,2026-07-29 16:00:00
0.6365,4788.7800,3048.2900,2026-07-29 17:00:00
0.9264,8663.0700,8025.3600,2026-07-29 18:00:00
0.5623,21620.9200,12158.1100,2026-07-29 19:00:00
1.1469,32059.4400,36770.1800,2026-07-29 20:00:00
0.7018,5659.4800,3971.8700,2026-07-29 21:00:00
1.1316,2821.5800,3192.9100,2026-07-29 22:00:00
0.7293,1961.5200,1430.6200,2026-07-29 23:00:00
0.9088,4057.9400,3687.7900,2026-07-30 00:00:00
1.5763,4561.1000,7189.7300,2026-07-30 01:00:00
0.8938,3051.2600,2727.3500,2026-07-30 02:00:00
1.1183,3217.2400,3597.7200,2026-07-30 03:00:00
0.9316,1066.8800,993.9200,2026-07-30 04:00:00
0.6301,3681.9500,2319.9900,2026-07-30 05:00:00
1.1386,859.9000,979.1000,2026-07-30 06:00:00
0.9000,903.2600,812.9100,2026-07-30 07:00:00
1.0392,6250.5200,6495.8200,2026-07-30 08:00:00
0.9484,1844.1700,1748.9500,2026-07-30 09:00:00
1.0135,2672.1000,2708.2000,2026-07-30 10:00:00
0.9432,3125.1100,2947.7000,2026-07-30 11:00:00
1.1588,4559.4400,5283.4300,2026-07-30 12:00:00
1.0574,19518.2100,20637.8700,2026-07-30 13:00:00
1.6428,11604.8600,19064.1300,2026-07-30 14:00:00
0.9276,6229.3100,5778.6100,2026-07-30 15:00:00
0.9155,4584.9200,4197.5400,2026-07-30 16:00:00
0.7252,6957.7300,5045.4700,2026-07-30 17:00:00
0.9293,16148.3000,15007.3700,2026-07-30 18:00:00
1.0925,12478.2900,13632.7300,2026-07-30 19:00:00
1.0467,142568.7200,149230.5300,2026-07-30 20:00:00
0.9942,61301.7700,60945.0600,2026-07-30 21:00:00
1.1259,21610.6600,24332.3100,2026-07-30 22:00:00
1.0225,16528.3700,16900.5800,2026-07-30 23:00:00
1.0307,18382.8900,18947.8600,2026-07-31 00:00:00
0.9525,18075.9600,17216.7700,2026-07-31 01:00:00
1.0833,10244.5200,11097.4300,2026-07-31 02:00:00
1.0782,11230.9400,12109.3600,2026-07-31 03:00:00
0.9790,12064.3400,11811.4600,2026-07-31 04:00:00
1.0372,14718.9700,15266.9900,2026-07-31 05:00:00
0.9057,21916.8600,19849.6600,2026-07-31 06:00:00
1.0037,13592.7500,13643.1400,2026-07-31 07:00:00
0.8777,23155.6900,20322.9400,2026-07-31 08:00:00
1.0629,15741.8300,16731.7300,2026-07-31 09:00:00
1.2243,22230.6200,27216.6400,2026-07-31 10:00:00
0.9800,52232.2000,51189.4900,2026-07-31 11:00:00
0.9889,97006.7600,95930.4000,2026-07-31 12:00:00
0.9548,361867.6800,345506.6100,2026-07-31 13:00:00
0.9602,162765.3400,156280.3900,2026-07-31 14:00:00
0.9793,62635.7600,61341.0900,2026-07-31 15:00:00
1.0668,56240.5500,59995.1700,2026-07-31 16:00:00
0.9009,50209.0900,45233.3400,2026-07-31 17:00:00
0.9762,39933.3400,38983.7700,2026-07-31 18:00:00
