longAccount,longShortRatio,shortAccount,time
0.7289,2.6887,0.2711,2026-07-28 19:00:00
0.7265,2.6563,0.2735,2026-07-28 20:00:00
0.7172,2.5361,0.2828,2026-07-28 21:00:00
0.7235,2.6166,0.2765,2026-07-28 22:00:00
0.7127,2.4807,0.2873,2026-07-28 23:00:00
0.6999,2.3322,0.3001,2026-07-29 00:00:00
0.7378,2.8139,0.2622,2026-07-29 01:00:00
0.7277,2.6724,0.2723,2026-07-29 02:00:00
0.7224,2.6023,0.2776,2026-07-29 03:00:00
0.7177,2.5423,0.2823,2026-07-29 04:00:00
0.7205,2.5778,0.2795,2026-07-29 05:00:00
0.7153,2.5125,0.2847,2026-07-29 06:00:00
0.7157,2.5174,0.2843,2026-07-29 07:00:00
0.7160,2.5211,0.2840,2026-07-29 08:00:00
0.7243,2.6271,0.2757,2026-07-29 09:00:00
0.6813,2.1377,0.3187,2026-07-29 10:00:00
0.7151,2.5100,0.2849,2026-07-29 11:00:00
0.7135,2.4904,0.2865,2026-07-29 12:00:00
0.7060,2.4014,0.2940,2026-07-29 13:00:00
0.7093,2.4400,0.2907,2026-07-29 14:00:00
0.7177,2.5423,0.2823,2026-07-29 15:00:00
0.7390,2.8314,0.2610,2026-07-29 16:00:00
0.7129,2.4831,0.2871,2026-07-29 17:00:00
0.6938,2.2658,0.3062,2026-07-29 18:00:00
0.7128,2.4819,0.2872,2026-07-29 19:00:00
0.7591,3.1511,0.2409,2026-07-29 20:00:00
0.6609,1.9490,0.3391,2026-07-29 21:00:00
0.7003,2.3367,0.2997,2026-07-29 22:00:00
0.6925,2.2520,0.3075,2026-07-29 23:00:00
0.7082,2.4270,0.2918,2026-07-30 00:00:00
0.7164,2.5261,0.2836,2026-07-30 01:00:00
0.7007,2.3411,0.2993,2026-07-30 02:00:00
0.7016,2.3512,0.2984,2026-07-30 03:00:00
0.6762,2.0883,0.3238,2026-07-30 04:00:00
0.6685,2.0166,0.3315,2026-07-30 05:00:00
0.6836,2.1606,0.3164,2026-07-30 06:00:00
0.6707,2.0367,0.3293,2026-07-30 07:00:00
0.6799,2.1240,0.3201,2026-07-30 08:00:00
0.6741,2.0684,0.3259,2026-07-30 09:00:00
0.6899,2.2248,0.3101,2026-07-30 10:00:00
0.6887,2.2123,0.3113,2026-07-30 11:00:00
0.6959,2.2884,0.3041,2026-07-30 12:00:00
0.7077,2.4211,0.2923,2026-07-30 13:00:00
0.6769,2.0950,0.3231,2026-07-30 14:00:00
0.6804,2.1289,0.3196,2026-07-30 15:00:00
0.6608,1.9481,0.3392,2026-07-30 16:00:00
0.6534,1.8852,0.3466,2026-07-30 17:00:00
0.6364,1.7503,0.3636,2026-07-30 18:00:00
0.6233,1.6546,0.3767,2026-07-30 19:00:00
0.6229,1.6518,0.3771,2026-07-30 20:00:00
0.4703,0.8879,0.5297,2026-07-30 21:00:00
0.4776,0.9142,0.5224,2026-07-30 22:00:00
0.4563,0.8392,0.5437,2026-07-30 23:00:00
0.4671,0.8765,0.5329,2026-07-31 00:00:00
0.4593,0.8495,0.5407,2026-07-31 01:00:00
0.4445,0.8002,0.5555,2026-07-31 02:00:00
0.4370,0.7762,0.5630,2026-07-31 03:00:00
0.4438,0.7979,0.5562,2026-07-31 04:00:00
0.4533,0.8292,0.5467,2026-07-31 05:00:00
0.4495,0.8165,0.5505,2026-07-31 06:00:00
0.4061,0.6838,0.5939,2026-07-31 07:00:00
0.3970,0.6584,0.6030,2026-07-31 08:00:00
0.4084,0.6903,0.5916,2026-07-31 09:00:00
0.3963,0.6565,0.6037,2026-07-31 10:00:00
0.4066,0.6852,0.5934,2026-07-31 11:00:00
0.4090,0.6920,0.5910,2026-07-31 12:00:00
0.3855,0.6273,0.6145,2026-07-31 13:00:00
0.4008,0.6689,0.5992,2026-07-31 14:00:00
0.4457,0.8041,0.5543,2026-07-31 15:00:00
0.4272,0.7458,0.5728,2026-07-31 16:00:00
0.4441,0.7989,0.5559,2026-07-31 17:00:00
0.4194,0.7224,0.5806,2026-07-31 18:00:00
0.4142,0.7071,0.5858,2026-07-31 19:00:00
0.3926,0.6464,0.6074,2026-07-31 20:00:00
0.4190,0.7212,0.5810,2026-07-31 21:00:00
0.4075,0.6878,0.5925,2026-07-31 22:00:00
0.4071,0.6866,0.5929,2026-07-31 23:00:00
0.3895,0.6380,0.6105,2026-08-01 00:00:00
0.3770,0.6051,0.6230,2026-08-01 01:00:00
0.3839,0.6231,0.6161,2026-08-01 02:00:00
0.3950,0.6529,0.6050,2026-08-01 03:00:00
0.3957,0.6548,0.6043,2026-08-01 04:00:00
0.3884,0.6351,0.6116,2026-08-01 05:00:00
0.3845,0.6247,0.6155,2026-08-01 06:00:00
0.3899,0.6391,0.6101,2026-08-01 07:00:00
0.4139,0.7062,0.5861,2026-08-01 08:00:00
0.4085,0.6906,0.5915,2026-08-01 09:00:00
0.4025,0.6736,0.5975,2026-08-01 10:00:00
0.4014,0.6706,0.5986,2026-08-01 11:00:00
0.4214,0.7283,0.5786,2026-08-01 12:00:00
0.4169,0.7150,0.5831,2026-08-01 13:00:00
0.4061,0.6838,0.5939,2026-08-01 14:00:00
0.4008,0.6689,0.5992,2026-08-01 15:00:00
0.4047,0.6798,0.5953,2026-08-01 16:00:00
0.4106,0.6966,0.5894,2026-08-01 17:00:00
0.4039,0.6776,0.5961,2026-08-01 18:00:00
0.4102,0.6955,0.5898,2026-08-01 19:00:00
0.4098,0.6943,0.5902,2026-08-01 20:00:00
0.4148,0.7088,0.5852,2026-08-01 21:00:00
0.4047,0.6798,0.5953,2026-08-01 22:00:00
0.4111,0.6981,0.5889,2026-08-01 23:00:00
0.4118,0.7001,0.5882,2026-08-02 00:00:00
0.4082,0.6898,0.5918,2026-08-02 01:00:00
0.4090,0.6920,0.5910,2026-08-02 02:00:00
0.4052,0.6812,0.5948,2026-08-02 03:00:00
0.4163,0.7132,0.5837,2026-08-02 04:00:00
0.4108,0.6972,0.5892,2026-08-02 05:00:00
0.4096,0.6938,0.5904,2026-08-02 06:00:00
0.4086,0.6909,0.5914,2026-08-02 07:00:00
0.4207,0.7262,0.5793,2026-08-02 08:00:00
0.4007,0.6686,0.5993,2026-08-02 09:00:00
0.4069,0.6861,0.5931,2026-08-02 10:00:00
0.4082,0.6898,0.5918,2026-08-02 11:00:00
0.4053,0.6815,0.5947,2026-08-02 12:00:00
0.3997,0.6658,0.6003,2026-08-02 13:00:00
0.4049,0.6804,0.5951,2026-08-02 14:00:00
0.4019,0.6720,0.5981,2026-08-02 15:00:00
0.4025,0.6736,0.5975,2026-08-02 16:00:00
0.4015,0.6708,0.5985,2026-08-02 17:00:00
0.3994,0.6650,0.6006,2026-08-02 18:00:00
0.4006,0.6683,0.5994,2026-08-02 19:00:00
0.4022,0.6728,0.5978,2026-08-02 20:00:00
0.4073,0.6872,0.5927,2026-08-02 21:00:00
0.4200,0.7241,0.5800,2026-08-02 22:00:00
0.4201,0.7244,0.5799,2026-08-02 23:00:00
0.4132,0.7042,0.5868,2026-08-03 00:00:00
0.3956,0.6545,0.6044,2026-08-03 01:00:00
0.4056,0.6824,0.5944,2026-08-03 02:00:00
0.4147,0.7085,0.5853,2026-08-03 03:00:00
0.4210,0.7271,0.5790,2026-08-03 04:00:00
0.4112,0.6984,0.5888,2026-08-03 05:00:00
0.4120,0.7007,0.5880,2026-08-03 06:00:00
0.4086,0.6909,0.5914,2026-08-03 07:00:00
0.4179,0.7179,0.5821,2026-08-03 08:00:00
0.4157,0.7114,0.5843,2026-08-03 09:00:00
0.4240,0.7361,0.5760,2026-08-03 10:00:00
0.4304,0.7556,0.5696,2026-08-03 11:00:00
0.4442,0.7992,0.5558,2026-08-03 12:00:00
0.4301,0.7547,0.5699,2026-08-03 13:00:00
0.4615,0.8570,0.5385,2026-08-03 14:00:00
0.4332,0.7643,0.5668,2026-08-03 15:00:00
0.4243,0.7370,0.5757,2026-08-03 16:00:00
0.4091,0.6923,0.5909,2026-08-03 17:00:00
0.4141,0.7068,0.5859,2026-08-03 18:00:00
0.4113,0.6987,0.5887,2026-08-03 19:00:00
0.4093,0.6929,0.5907,2026-08-03 20:00:00
0.4114,0.6989,0.5886,2026-08-03 21:00:00
0.4258,0.7416,0.5742,2026-08-03 22:00:00
0.4187,0.7203,0.5813,2026-08-03 23:00:00
0.4178,0.7176,0.5822,2026-08-04 00:00:00
0.4268,0.7446,0.5732,2026-08-04 01:00:00
0.4187,0.7203,0.5813,2026-08-04 02:00:00
0.4241,0.7364,0.5759,2026-08-04 03:00:00
0.4289,0.7510,0.5711,2026-08-04 04:00:00
0.4246,0.7379,0.5754,2026-08-04 05:00:00
0.4213,0.7280,0.5787,2026-08-04 06:00:00
0.4155,0.7109,0.5845,2026-08-04 07:00:00
0.4122,0.7013,0.5878,2026-08-04 08:00:00
0.3935,0.6488,0.6065,2026-08-04 09:00:00
0.3923,0.6455,0.6077,2026-08-04 10:00:00
0.4076,0.6880,0.5924,2026-08-04 11:00:00
0.4654,0.8706,0.5346,2026-08-04 12:00:00
0.4475,0.8100,0.5525,2026-08-04 13:00:00
0.4932,0.9732,0.5068,2026-08-04 14:00:00
0.4714,0.8918,0.5286,2026-08-04 15:00:00
0.4717,0.8929,0.5283,2026-08-04 16:00:00
0.4727,0.8965,0.5273,2026-08-04 17:00:00
0.4730,0.8975,0.5270,2026-08-04 18:00:00
0.4733,0.8986,0.5267,2026-08-04 19:00:00
0.4625,0.8605,0.5375,2026-08-04 20:00:00
0.4601,0.8522,0.5399,2026-08-04 21:00:00
0.4674,0.8776,0.5326,2026-08-04 22:00:00
0.4739,0.9008,0.5261,2026-08-04 23:00:00
0.4771,0.9124,0.5229,2026-08-05 00:00:00
0.4811,0.9272,0.5189,2026-08-05 01:00:00
0.4835,0.9361,0.5165,2026-08-05 02:00:00
0.4933,0.9736,0.5067,2026-08-05 03:00:00
0.4899,0.9604,0.5101,2026-08-05 04:00:00
0.4891,0.9573,0.5109,2026-08-05 05:00:00
0.4775,0.9139,0.5225,2026-08-05 06:00:00
0.4733,0.8986,0.5267,2026-08-05 07:00:00
0.4672,0.8769,0.5328,2026-08-05 08:00:00
0.4749,0.9044,0.5251,2026-08-05 09:00:00
0.4617,0.8577,0.5383,2026-08-05 10:00:00
0.4753,0.9059,0.5247,2026-08-05 11:00:00
0.4730,0.8975,0.5270,2026-08-05 12:00:00
0.4811,0.9272,0.5189,2026-08-05 13:00:00
0.4241,0.7364,0.5759,2026-08-05 14:00:00
0.4371,0.7765,0.5629,2026-08-05 15:00:00
0.4344,0.7680,0.5656,2026-08-05 16:00:00
0.4489,0.8146,0.5511,2026-08-05 17:00:00
0.4385,0.7809,0.5615,2026-08-05 18:00:00
0.4507,0.8205,0.5493,2026-08-05 19:00:00
0.4507,0.8205,0.5493,2026-08-05 20:00:00
0.4488,0.8142,0.5512,2026-08-05 21:00:00
0.4484,0.8129,0.5516,2026-08-05 22:00:00
0.4379,0.7790,0.5621,2026-08-05 23:00:00
0.4382,0.7800,0.5618,2026-08-06 00:00:00
0.4722,0.8947,0.5278,2026-08-06 01:00:00
0.4679,0.8793,0.5321,2026-08-06 02:00:00
0.4735,0.8993,0.5265,2026-08-06 03:00:00
0.4816,0.9290,0.5184,2026-08-06 04:00:00
0.4786,0.9179,0.5214,2026-08-06 05:00:00
0.4749,0.9044,0.5251,2026-08-06 06:00:00
0.4854,0.9433,0.5146,2026-08-06 07:00:00
0.4772,0.9128,0.5228,2026-08-06 08:00:00
0.4779,0.9153,0.5221,2026-08-06 09:00:00
0.4791,0.9198,0.5209,2026-08-06 10:00:00
0.4817,0.9294,0.5183,2026-08-06 11:00:00
0.4801,0.9234,0.5199,2026-08-06 12:00:00
0.4827,0.9331,0.5173,2026-08-06 13:00:00
0.4928,0.9716,0.5072,2026-08-06 14:00:00
0.4319,0.7603,0.5681,2026-08-06 15:00:00
0.4447,0.8008,0.5553,2026-08-06 16:00:00
0.4274,0.7464,0.5726,2026-08-06 17:00:00
0.4329,0.7634,0.5671,2026-08-06 18:00:00
0.4211,0.7274,0.5789,2026-08-06 19:00:00
0.4187,0.7203,0.5813,2026-08-06 20:00:00
0.4244,0.7373,0.5756,2026-08-06 21:00:00
0.4254,0.7403,0.5746,2026-08-06 22:00:00
0.4194,0.7224,0.5806,2026-08-06 23:00:00
0.4212,0.7277,0.5788,2026-08-07 00:00:00
0.4198,0.7235,0.5802,2026-08-07 01:00:00
0.4200,0.7241,0.5800,2026-08-07 02:00:00
0.4386,0.7813,0.5614,2026-08-07 03:00:00
0.4386,0.7813,0.5614,2026-08-07 04:00:00
0.4328,0.7630,0.5672,2026-08-07 05:00:00
0.4329,0.7634,0.5671,2026-08-07 06:00:00
0.4285,0.7498,0.5715,2026-08-07 07:00:00
0.4211,0.7274,0.5789,2026-08-07 08:00:00
0.4241,0.7364,0.5759,2026-08-07 09:00:00
0.4316,0.7593,0.5684,2026-08-07 10:00:00
0.4285,0.7498,0.5715,2026-08-07 11:00:00
0.4182,0.7188,0.5818,2026-08-07 12:00:00
0.4292,0.7519,0.5708,2026-08-07 13:00:00
0.4018,0.6717,0.5982,2026-08-07 14:00:00
0.4290,0.7513,0.5710,2026-08-07 15:00:00
0.4025,0.6736,0.5975,2026-08-07 16:00:00
0.3749,0.5997,0.6251,2026-08-07 17:00:00
0.3680,0.5823,0.6320,2026-08-07 18:00:00
0.3746,0.5990,0.6254,2026-08-07 19:00:00
0.3798,0.6124,0.6202,2026-08-07 20:00:00
0.3817,0.6173,0.6183,2026-08-07 21:00:00
0.3767,0.6044,0.6233,2026-08-07 22:00:00
0.3780,0.6077,0.6220,2026-08-07 23:00:00
0.3718,0.5918,0.6282,2026-08-08 00:00:00
0.3668,0.5793,0.6332,2026-08-08 01:00:00
0.3630,0.5699,0.6370,2026-08-08 02:00:00
0.3600,0.5625,0.6400,2026-08-08 03:00:00
0.3554,0.5513,0.6446,2026-08-08 04:00:00
0.3475,0.5326,0.6525,2026-08-08 05:00:00
0.3510,0.5408,0.6490,2026-08-08 06:00:00
0.3611,0.5652,0.6389,2026-08-08 07:00:00
0.3524,0.5442,0.6476,2026-08-08 08:00:00
0.3500,0.5385,0.6500,2026-08-08 09:00:00
0.3442,0.5249,0.6558,2026-08-08 10:00:00
0.3525,0.5444,0.6475,2026-08-08 11:00:00
0.3479,0.5335,0.6521,2026-08-08 12:00:00
0.3483,0.5344,0.6517,2026-08-08 13:00:00
0.3462,0.5295,0.6538,2026-08-08 14:00:00
0.3476,0.5328,0.6524,2026-08-08 15:00:00
0.3499,0.5382,0.6501,2026-08-08 16:00:00
0.3428,0.5216,0.6572,2026-08-08 17:00:00
0.3539,0.5477,0.6461,2026-08-08 18:00:00
0.3571,0.5555,0.6429,2026-08-08 19:00:00
0.3630,0.5699,0.6370,2026-08-08 20:00:00
0.3605,0.5637,0.6395,2026-08-08 21:00:00
0.3616,0.5664,0.6384,2026-08-08 22:00:00
0.3609,0.5647,0.6391,2026-08-08 23:00:00
0.3642,0.5728,0.6358,2026-08-09 00:00:00
0.3646,0.5738,0.6354,2026-08-09 01:00:00
0.3644,0.5733,0.6356,2026-08-09 02:00:00
0.3604,0.5635,0.6396,2026-08-09 03:00:00
0.3679,0.5820,0.6321,2026-08-09 04:00:00
0.3665,0.5785,0.6335,2026-08-09 05:00:00
0.3679,0.5820,0.6321,2026-08-09 06:00:00
0.3770,0.6051,0.6230,2026-08-09 07:00:00
0.3840,0.6234,0.6160,2026-08-09 08:00:00
0.3828,0.6202,0.6172,2026-08-09 09:00:00
0.3803,0.6137,0.6197,2026-08-09 10:00:00
0.3790,0.6103,0.6210,2026-08-09 11:00:00
0.3817,0.6173,0.6183,2026-08-09 12:00:00
0.3845,0.6247,0.6155,2026-08-09 13:00:00
0.3770,0.6051,0.6230,2026-08-09 14:00:00
0.3818,0.6176,0.6182,2026-08-09 15:00:00
0.3733,0.5957,0.6267,2026-08-09 16:00:00
0.3786,0.6093,0.6214,2026-08-09 17:00:00
0.3792,0.6108,0.6208,2026-08-09 18:00:00
0.3855,0.6273,0.6145,2026-08-09 19:00:00
0.3833,0.6215,0.6167,2026-08-09 20:00:00
0.3878,0.6335,0.6122,2026-08-09 21:00:00
0.3846,0.6250,0.6154,2026-08-09 22:00:00
0.3770,0.6051,0.6230,2026-08-09 23:00:00
0.3834,0.6218,0.6166,2026-08-10 00:00:00
0.3899,0.6391,0.6101,2026-08-10 01:00:00
0.4006,0.6683,0.5994,2026-08-10 02:00:00
0.4002,0.6672,0.5998,2026-08-10 03:00:00
0.3971,0.6586,0.6029,2026-08-10 04:00:00
0.3974,0.6595,0.6026,2026-08-10 05:00:00
0.3944,0.6513,0.6056,2026-08-10 06:00:00
0.4024,0.6734,0.5976,2026-08-10 07:00:00
0.3979,0.6609,0.6021,2026-08-10 08:00:00
0.4091,0.6923,0.5909,2026-08-10 09:00:00
0.4118,0.7001,0.5882,2026-08-10 10:00:00
0.4146,0.7082,0.5854,2026-08-10 11:00:00
0.4002,0.6672,0.5998,2026-08-10 12:00:00
0.4208,0.7265,0.5792,2026-08-10 13:00:00
0.4617,0.8577,0.5383,2026-08-10 14:00:00
0.5044,1.0178,0.4956,2026-08-10 15:00:00
0.5373,1.1612,0.4627,2026-08-10 16:00:00
0.5341,1.1464,0.4659,2026-08-10 17:00:00
0.5495,1.2198,0.4505,2026-08-10 18:00:00
0.5484,1.2143,0.4516,2026-08-10 19:00:00
0.5366,1.1580,0.4634,2026-08-10 20:00:00
0.5355,1.1529,0.4645,2026-08-10 21:00:00
0.5277,1.1173,0.4723,2026-08-10 22:00:00
0.5403,1.1753,0.4597,2026-08-10 23:00:00
