longAccount,longShortRatio,shortAccount,time
0.5161,1.0664,0.4839,2026-07-28 19:00:00
0.5147,1.0606,0.4853,2026-07-28 20:00:00
0.5152,1.0628,0.4848,2026-07-28 21:00:00
0.5146,1.0600,0.4854,2026-07-28 22:00:00
0.5173,1.0715,0.4827,2026-07-28 23:00:00
0.5124,1.0507,0.4876,2026-07-29 00:00:00
0.5133,1.0547,0.4867,2026-07-29 01:00:00
0.5163,1.0674,0.4837,2026-07-29 02:00:00
0.5166,1.0688,0.4834,2026-07-29 03:00:00
0.5187,1.0777,0.4813,2026-07-29 04:00:00
0.5185,1.0767,0.4815,2026-07-29 05:00:00
0.5164,1.0677,0.4836,2026-07-29 06:00:00
0.5153,1.0633,0.4847,2026-07-29 07:00:00
0.5140,1.0575,0.4860,2026-07-29 08:00:00
0.5160,1.0659,0.4840,2026-07-29 09:00:00
0.5188,1.0781,0.4812,2026-07-29 10:00:00
0.5202,1.0843,0.4798,2026-07-29 11:00:00
0.5212,1.0886,0.4788,2026-07-29 12:00:00
0.5220,1.0922,0.4780,2026-07-29 13:00:00
0.5236,1.0990,0.4764,2026-07-29 14:00:00
0.5211,1.0881,0.4789,2026-07-29 15:00:00
0.5210,1.0875,0.4790,2026-07-29 16:00:00
0.5227,1.0951,0.4773,2026-07-29 17:00:00
0.5204,1.0850,0.4796,2026-07-29 18:00:00
0.5201,1.0837,0.4799,2026-07-29 19:00:00
0.5148,1.0611,0.4852,2026-07-29 20:00:00
0.5228,1.0958,0.4772,2026-07-29 21:00:00
0.5185,1.0770,0.4815,2026-07-29 22:00:00
0.5194,1.0805,0.4806,2026-07-29 23:00:00
0.5188,1.0779,0.4812,2026-07-30 00:00:00
0.5183,1.0759,0.4817,2026-07-30 01:00:00
0.5196,1.0816,0.4804,2026-07-30 02:00:00
0.5227,1.0949,0.4773,2026-07-30 03:00:00
0.5250,1.1051,0.4750,2026-07-30 04:00:00
0.5263,1.1112,0.4737,2026-07-30 05:00:00
0.5246,1.1033,0.4754,2026-07-30 06:00:00
0.5247,1.1038,0.4753,2026-07-30 07:00:00
0.5247,1.1039,0.4753,2026-07-30 08:00:00
0.5211,1.0880,0.4789,2026-07-30 09:00:00
0.5213,1.0889,0.4787,2026-07-30 10:00:00
0.5206,1.0858,0.4794,2026-07-30 11:00:00
0.5232,1.0971,0.4768,2026-07-30 12:00:00
0.5264,1.1113,0.4736,2026-07-30 13:00:00
0.5288,1.1222,0.4712,2026-07-30 14:00:00
0.5273,1.1153,0.4727,2026-07-30 15:00:00
0.5270,1.1142,0.4730,2026-07-30 16:00:00
0.5274,1.1160,0.4726,2026-07-30 17:00:00
0.5316,1.1349,0.4684,2026-07-30 18:00:00
0.5196,1.0817,0.4804,2026-07-30 19:00:00
0.5155,1.0642,0.4845,2026-07-30 20:00:00
0.5203,1.0848,0.4797,2026-07-30 21:00:00
0.5288,1.1221,0.4712,2026-07-30 22:00:00
0.5183,1.0761,0.4817,2026-07-30 23:00:00
0.5194,1.0809,0.4806,2026-07-31 00:00:00
0.5159,1.0658,0.4841,2026-07-31 01:00:00
0.5340,1.1460,0.4660,2026-07-31 02:00:00
0.5336,1.1442,0.4664,2026-07-31 03:00:00
0.5322,1.1377,0.4678,2026-07-31 04:00:00
0.5328,1.1403,0.4672,2026-07-31 05:00:00
0.5199,1.0828,0.4801,2026-07-31 06:00:00
0.5273,1.1155,0.4727,2026-07-31 07:00:00
0.5239,1.1004,0.4761,2026-07-31 08:00:00
0.5294,1.1251,0.4706,2026-07-31 09:00:00
0.5340,1.1459,0.4660,2026-07-31 10:00:00
0.5215,1.0900,0.4785,2026-07-31 11:00:00
0.5253,1.1065,0.4747,2026-07-31 12:00:00
0.5287,1.1219,0.4713,2026-07-31 13:00:00
0.5392,1.1703,0.4608,2026-07-31 14:00:00
0.5331,1.1416,0.4669,2026-07-31 15:00:00
0.5367,1.1585,0.4633,2026-07-31 16:00:00
0.5294,1.1248,0.4706,2026-07-31 17:00:00
0.5384,1.1666,0.4616,2026-07-31 18:00:00
0.5541,1.2428,0.4459,2026-07-31 19:00:00
0.5551,1.2476,0.4449,2026-07-31 20:00:00
0.5549,1.2469,0.4451,2026-07-31 21:00:00
0.5567,1.2558,0.4433,2026-07-31 22:00:00
0.5574,1.2593,0.4426,2026-07-31 23:00:00
0.5560,1.2523,0.4440,2026-08-01 00:00:00
0.5653,1.3005,0.4347,2026-08-01 01:00:00
0.5736,1.3454,0.4264,2026-08-01 02:00:00
0.5705,1.3283,0.4295,2026-08-01 03:00:00
0.5704,1.3276,0.4296,2026-08-01 04:00:00
0.5743,1.3492,0.4257,2026-08-01 05:00:00
0.5905,1.4423,0.4095,2026-08-01 06:00:00
0.5982,1.4887,0.4018,2026-08-01 07:00:00
0.6021,1.5131,0.3979,2026-08-01 08:00:00
0.6030,1.5190,0.3970,2026-08-01 09:00:00
0.6040,1.5250,0.3960,2026-08-01 10:00:00
0.6034,1.5215,0.3966,2026-08-01 11:00:00
0.6123,1.5795,0.3877,2026-08-01 12:00:00
0.6125,1.5807,0.3875,2026-08-01 13:00:00
0.6150,1.5975,0.3850,2026-08-01 14:00:00
0.6166,1.6085,0.3834,2026-08-01 15:00:00
0.6174,1.6135,0.3826,2026-08-01 16:00:00
0.6192,1.6260,0.3808,2026-08-01 17:00:00
0.6244,1.6625,0.3756,2026-08-01 18:00:00
0.6256,1.6709,0.3744,2026-08-01 19:00:00
0.6302,1.7041,0.3698,2026-08-01 20:00:00
0.6280,1.6878,0.3720,2026-08-01 21:00:00
0.6319,1.7167,0.3681,2026-08-01 22:00:00
0.6260,1.6741,0.3740,2026-08-01 23:00:00
0.6274,1.6837,0.3726,2026-08-02 00:00:00
0.6286,1.6922,0.3714,2026-08-02 01:00:00
0.6287,1.6930,0.3713,2026-08-02 02:00:00
0.6290,1.6952,0.3710,2026-08-02 03:00:00
0.6283,1.6903,0.3717,2026-08-02 04:00:00
0.6276,1.6853,0.3724,2026-08-02 05:00:00
0.6263,1.6762,0.3737,2026-08-02 06:00:00
0.6249,1.6662,0.3751,2026-08-02 07:00:00
0.6196,1.6287,0.3804,2026-08-02 08:00:00
0.6266,1.6779,0.3734,2026-08-02 09:00:00
0.6275,1.6843,0.3725,2026-08-02 10:00:00
0.6291,1.6959,0.3709,2026-08-02 11:00:00
0.6306,1.7070,0.3694,2026-08-02 12:00:00
0.6284,1.6909,0.3716,2026-08-02 13:00:00
0.6279,1.6873,0.3721,2026-08-02 14:00:00
0.6286,1.6927,0.3714,2026-08-02 15:00:00
0.6264,1.6765,0.3736,2026-08-02 16:00:00
0.6254,1.6695,0.3746,2026-08-02 17:00:00
0.6245,1.6629,0.3755,2026-08-02 18:00:00
0.6254,1.6698,0.3746,2026-08-02 19:00:00
0.6271,1.6820,0.3729,2026-08-02 20:00:00
0.6272,1.6824,0.3728,2026-08-02 21:00:00
0.6314,1.7127,0.3686,2026-08-02 22:00:00
0.6291,1.6961,0.3709,2026-08-02 23:00:00
0.6288,1.6939,0.3712,2026-08-03 00:00:00
0.6240,1.6598,0.3760,2026-08-03 01:00:00
0.6214,1.6412,0.3786,2026-08-03 02:00:00
0.6206,1.6359,0.3794,2026-08-03 03:00:00
0.6216,1.6428,0.3784,2026-08-03 04:00:00
0.6222,1.6470,0.3778,2026-08-03 05:00:00
0.6213,1.6407,0.3787,2026-08-03 06:00:00
0.6229,1.6515,0.3771,2026-08-03 07:00:00
0.6227,1.6505,0.3773,2026-08-03 08:00:00
0.6209,1.6378,0.3791,2026-08-03 09:00:00
0.6261,1.6743,0.3739,2026-08-03 10:00:00
0.6263,1.6757,0.3737,2026-08-03 11:00:00
0.6226,1.6500,0.3774,2026-08-03 12:00:00
0.6197,1.6292,0.3803,2026-08-03 13:00:00
0.6005,1.5030,0.3995,2026-08-03 14:00:00
0.6063,1.5401,0.3937,2026-08-03 15:00:00
0.6110,1.5706,0.3890,2026-08-03 16:00:00
0.6131,1.5845,0.3869,2026-08-03 17:00:00
0.6003,1.5018,0.3997,2026-08-03 18:00:00
0.6025,1.5155,0.3975,2026-08-03 19:00:00
0.5964,1.4776,0.4036,2026-08-03 20:00:00
0.5975,1.4845,0.4025,2026-08-03 21:00:00
0.5963,1.4768,0.4037,2026-08-03 22:00:00
0.5972,1.4824,0.4028,2026-08-03 23:00:00
0.5991,1.4945,0.4009,2026-08-04 00:00:00
0.5934,1.4596,0.4066,2026-08-04 01:00:00
0.5879,1.4266,0.4121,2026-08-04 02:00:00
0.5967,1.4798,0.4033,2026-08-04 03:00:00
0.5951,1.4696,0.4049,2026-08-04 04:00:00
0.5963,1.4773,0.4037,2026-08-04 05:00:00
0.5914,1.4474,0.4086,2026-08-04 06:00:00
0.5923,1.4528,0.4077,2026-08-04 07:00:00
0.5908,1.4440,0.4092,2026-08-04 08:00:00
0.5949,1.4684,0.4051,2026-08-04 09:00:00
0.5963,1.4774,0.4037,2026-08-04 10:00:00
0.5695,1.3229,0.4305,2026-08-04 11:00:00
0.5773,1.3659,0.4227,2026-08-04 12:00:00
0.5928,1.4555,0.4072,2026-08-04 13:00:00
0.5735,1.3449,0.4265,2026-08-04 14:00:00
0.5769,1.3637,0.4231,2026-08-04 15:00:00
0.5750,1.3529,0.4250,2026-08-04 16:00:00
0.5788,1.3740,0.4212,2026-08-04 17:00:00
