longAccount,longShortRatio,shortAccount,time
0.7132,2.4868,0.2868,2026-07-28 19:00:00
0.7223,2.6010,0.2777,2026-07-28 20:00:00
0.6482,1.8425,0.3518,2026-07-28 21:00:00
0.6288,1.6940,0.3712,2026-07-28 22:00:00
0.6538,1.8885,0.3462,2026-07-28 23:00:00
0.6402,1.7793,0.3598,2026-07-29 00:00:00
0.6572,1.9172,0.3428,2026-07-29 01:00:00
0.6701,2.0312,0.3299,2026-07-29 02:00:00
0.6536,1.8868,0.3464,2026-07-29 03:00:00
0.6683,2.0148,0.3317,2026-07-29 04:00:00
0.6550,1.8986,0.3450,2026-07-29 05:00:00
0.6292,1.6969,0.3708,2026-07-29 06:00:00
0.6449,1.8161,0.3551,2026-07-29 07:00:00
0.6663,1.9967,0.3337,2026-07-29 08:00:00
0.6814,2.1387,0.3186,2026-07-29 09:00:00
0.7010,2.3445,0.2990,2026-07-29 10:00:00
0.6857,2.1817,0.3143,2026-07-29 11:00:00
0.6844,2.1686,0.3156,2026-07-29 12:00:00
0.6552,1.9002,0.3448,2026-07-29 13:00:00
0.6777,2.1027,0.3223,2026-07-29 14:00:00
0.7057,2.3979,0.2943,2026-07-29 15:00:00
0.7153,2.5125,0.2847,2026-07-29 16:00:00
0.7003,2.3367,0.2997,2026-07-29 17:00:00
0.6909,2.2352,0.3091,2026-07-29 18:00:00
0.7038,2.3761,0.2962,2026-07-29 19:00:00
0.7208,2.5817,0.2792,2026-07-29 20:00:00
0.7004,2.3378,0.2996,2026-07-29 21:00:00
0.7011,2.3456,0.2989,2026-07-29 22:00:00
0.6862,2.1867,0.3138,2026-07-29 23:00:00
0.6707,2.0367,0.3293,2026-07-30 00:00:00
0.6888,2.2134,0.3112,2026-07-30 01:00:00
0.6797,2.1221,0.3203,2026-07-30 02:00:00
0.7049,2.3887,0.2951,2026-07-30 03:00:00
0.6918,2.2446,0.3082,2026-07-30 04:00:00
0.6994,2.3267,0.3006,2026-07-30 05:00:00
0.6843,2.1676,0.3157,2026-07-30 06:00:00
0.6762,2.0883,0.3238,2026-07-30 07:00:00
0.6902,2.2279,0.3098,2026-07-30 08:00:00
0.6925,2.2520,0.3075,2026-07-30 09:00:00
0.6636,1.9727,0.3364,2026-07-30 10:00:00
0.6682,2.0139,0.3318,2026-07-30 11:00:00
0.6661,1.9949,0.3339,2026-07-30 12:00:00
0.6701,2.0312,0.3299,2026-07-30 13:00:00
0.5539,1.2416,0.4461,2026-07-30 14:00:00
0.4917,0.9673,0.5083,2026-07-30 15:00:00
0.4776,0.9142,0.5224,2026-07-30 16:00:00
0.4845,0.9399,0.5155,2026-07-30 17:00:00
0.4743,0.9022,0.5257,2026-07-30 18:00:00
0.4963,0.9853,0.5037,2026-07-30 19:00:00
0.5003,1.0012,0.4997,2026-07-30 20:00:00
0.4776,0.9142,0.5224,2026-07-30 21:00:00
0.4651,0.8695,0.5349,2026-07-30 22:00:00
0.4640,0.8657,0.5360,2026-07-30 23:00:00
0.4689,0.8829,0.5311,2026-07-31 00:00:00
0.4706,0.8889,0.5294,2026-07-31 01:00:00
0.4635,0.8639,0.5365,2026-07-31 02:00:00
0.4603,0.8529,0.5397,2026-07-31 03:00:00
0.4410,0.7889,0.5590,2026-07-31 04:00:00
0.4595,0.8501,0.5405,2026-07-31 05:00:00
0.4712,0.8911,0.5288,2026-07-31 06:00:00
0.4581,0.8454,0.5419,2026-07-31 07:00:00
0.4574,0.8430,0.5426,2026-07-31 08:00:00
0.4647,0.8681,0.5353,2026-07-31 09:00:00
0.4805,0.9249,0.5195,2026-07-31 10:00:00
0.4898,0.9600,0.5102,2026-07-31 11:00:00
0.4959,0.9837,0.5041,2026-07-31 12:00:00
0.4686,0.8818,0.5314,2026-07-31 13:00:00
0.4979,0.9916,0.5021,2026-07-31 14:00:00
0.5108,1.0442,0.4892,2026-07-31 15:00:00
0.4846,0.9402,0.5154,2026-07-31 16:00:00
0.4820,0.9305,0.5180,2026-07-31 17:00:00
0.4823,0.9316,0.5177,2026-07-31 18:00:00
0.4868,0.9486,0.5132,2026-07-31 19:00:00
0.5022,1.0088,0.4978,2026-07-31 20:00:00
0.4970,0.9881,0.5030,2026-07-31 21:00:00
0.5112,1.0458,0.4888,2026-07-31 22:00:00
0.5117,1.0479,0.4883,2026-07-31 23:00:00
0.5114,1.0467,0.4886,2026-08-01 00:00:00
0.5078,1.0317,0.4922,2026-08-01 01:00:00
0.5150,1.0619,0.4850,2026-08-01 02:00:00
0.5177,1.0734,0.4823,2026-08-01 03:00:00
0.5185,1.0768,0.4815,2026-08-01 04:00:00
0.5242,1.1017,0.4758,2026-08-01 05:00:00
0.5292,1.1240,0.4708,2026-08-01 06:00:00
0.5333,1.1427,0.4667,2026-08-01 07:00:00
0.5424,1.1853,0.4576,2026-08-01 08:00:00
0.5473,1.2090,0.4527,2026-08-01 09:00:00
0.5407,1.1772,0.4593,2026-08-01 10:00:00
0.5490,1.2173,0.4510,2026-08-01 11:00:00
0.5463,1.2041,0.4537,2026-08-01 12:00:00
0.5374,1.1617,0.4626,2026-08-01 13:00:00
