buySellRatio,sellVol,buyVol,time
0.8558,3880.8900,3321.1500,2026-07-28 19:00:00
1.0130,27315.6500,27672.0400,2026-07-28 20:00:00
0.7995,8437.8000,6746.0800,2026-07-28 21:00:00
0.5936,5836.0200,3464.5300,2026-07-28 22:00:00
1.4325,3059.6700,4382.8800,2026-07-28 23:00:00
0.8967,7888.0600,7073.5300,2026-07-29 00:00:00
0.6994,2647.1900,1851.5100,2026-07-29 01:00:00
0.9408,1472.5500,1385.3400,2026-07-29 02:00:00
0.4612,2150.3700,991.7800,2026-07-29 03:00:00
0.7884,2617.9500,2064.0700,2026-07-29 04:00:00
1.0000,1290.1900,1290.1900,2026-07-29 05:00:00
0.7119,3744.9800,2665.8800,2026-07-29 06:00:00
1.0392,1559.2200,1620.3000,2026-07-29 07:00:00
0.8838,7956.9100,7032.3500,2026-07-29 08:00:00
0.7995,2470.1500,1974.9900,2026-07-29 09:00:00
0.7890,4132.4300,3260.5800,2026-07-29 10:00:00
0.9762,3182.2400,3106.5400,2026-07-29 11:00:00
0.8120,2700.0900,2192.4500,2026-07-29 12:00:00
0.9518,21954.8800,20896.1400,2026-07-29 13:00:00
0.7498,22179.7600,16630.0800,2026-07-29 14:00:00
0.9154,6991.7600,6400.1500,2026-07-29 15:00:00
0.8679,7028.4700,6099.8500,2026-07-29 16:00:00
1.0380,6838.9900,7099.0500,2026-07-29 17:00:00
1.1378,7365.0800,8380.1300,2026-07-29 18:00:00
0.9344,9996.2700,9340.5200,2026-07-29 19:00:00
0.7933,5468.9100,4338.5000,2026-07-29 20:00:00
0.7764,2216.0700,1720.5200,2026-07-29 21:00:00
1.0082,2468.3400,2488.5800,2026-07-29 22:00:00
0.8811,1859.8800,1638.6900,2026-07-29 23:00:00
0.9346,2204.3300,2060.1200,2026-07-30 00:00:00
1.1746,2528.9100,2970.5300,2026-07-30 01:00:00
0.7601,1481.0800,1125.7500,2026-07-30 02:00:00
1.0330,1397.1600,1443.3200,2026-07-30 03:00:00
0.7197,1712.6100,1232.5900,2026-07-30 04:00:00
1.0750,1364.5700,1466.8900,2026-07-30 05:00:00
1.1111,452.0700,502.2800,2026-07-30 06:00:00
0.9190,838.3400,770.4000,2026-07-30 07:00:00
1.0661,1625.0100,1732.3600,2026-07-30 08:00:00
1.0920,2684.5500,2931.6200,2026-07-30 09:00:00
1.0138,1391.2400,1410.4900,2026-07-30 10:00:00
1.1231,3467.4600,3894.3400,2026-07-30 11:00:00
1.1095,3328.7300,3693.2700,2026-07-30 12:00:00
1.0577,37645.3900,39816.6900,2026-07-30 13:00:00
0.9178,31318.0300,28744.1300,2026-07-30 14:00:00
0.9843,14808.1200,14576.0400,2026-07-30 15:00:00
0.7786,10984.9000,8553.0100,2026-07-30 16:00:00
0.9935,5144.3000,5110.7400,2026-07-30 17:00:00
0.7540,14390.0000,10849.4700,2026-07-30 18:00:00
1.2624,7164.1000,9043.7500,2026-07-30 19:00:00
1.2477,10220.4600,12751.7100,2026-07-30 20:00:00
1.0302,4876.8400,5024.0200,2026-07-30 21:00:00
1.2720,1208.8700,1537.7000,2026-07-30 22:00:00
1.2207,1099.6600,1342.3600,2026-07-30 23:00:00
0.9620,6509.9900,6262.4000,2026-07-31 00:00:00
0.9244,5117.3500,4730.4100,2026-07-31 01:00:00
0.9219,2306.5200,2126.4700,2026-07-31 02:00:00
1.0786,1416.6400,1527.9500,2026-07-31 03:00:00
1.0085,1533.1600,1546.1600,2026-07-31 04:00:00
1.1915,3021.5900,3600.2800,2026-07-31 05:00:00
1.0454,4307.1700,4502.8600,2026-07-31 06:00:00
0.7526,2365.7200,1780.3600,2026-07-31 07:00:00
1.0441,4188.6300,4373.4100,2026-07-31 08:00:00
0.8319,5329.2500,4433.2500,2026-07-31 09:00:00
0.7200,2768.1800,1993.1800,2026-07-31 10:00:00
1.1174,2810.1000,3140.1200,2026-07-31 11:00:00
0.8391,4157.9800,3489.1300,2026-07-31 12:00:00
0.9571,44600.4400,42686.2400,2026-07-31 13:00:00
0.6698,23206.9700,15542.9600,2026-07-31 14:00:00
0.7615,8396.2500,6393.4600,2026-07-31 15:00:00
0.9515,4417.5100,4203.2500,2026-07-31 16:00:00
1.1103,3265.5100,3625.6200,2026-07-31 17:00:00
0.9345,2078.2700,1942.1100,2026-07-31 18:00:00
0.8250,3109.7500,2565.6600,2026-07-31 19:00:00
0.7679,3349.9700,2572.4900,2026-07-31 20:00:00
0.8106,4925.2200,3992.1400,2026-07-31 21:00:00
0.8562,579.5400,496.2100,2026-07-31 22:00:00
1.7748,323.9400,574.9300,2026-07-31 23:00:00
0.7011,813.5200,570.3900,2026-08-01 00:00:00
1.7127,230.5000,394.7700,2026-08-01 01:00:00
1.1493,71.8600,82.5900,2026-08-01 02:00:00
0.5961,233.6500,139.2700,2026-08-01 03:00:00
2.1349,76.4000,163.1100,2026-08-01 04:00:00
1.0859,180.3300,195.8200,2026-08-01 05:00:00
0.9572,282.4600,270.3700,2026-08-01 06:00:00
1.1976,138.7800,166.2000,2026-08-01 07:00:00
0.5354,167.6500,89.7600,2026-08-01 08:00:00
0.4261,119.1200,50.7600,2026-08-01 09:00:00
1.5501,46.1000,71.4600,2026-08-01 10:00:00
0.9428,97.5600,91.9800,2026-08-01 11:00:00
0.1353,558.0400,75.5100,2026-08-01 12:00:00
0.7159,87.5900,62.7100,2026-08-01 13:00:00
0.8470,44.3800,37.5900,2026-08-01 14:00:00
0.6530,47.4400,30.9800,2026-08-01 15:00:00
2.1631,402.7100,871.1200,2026-08-01 16:00:00
0.6887,149.5900,103.0300,2026-08-01 17:00:00
0.5060,370.6400,187.5500,2026-08-01 18:00:00
1.2650,90.8900,114.9800,2026-08-01 19:00:00
0.5618,83.8800,47.1200,2026-08-01 20:00:00
