longAccount,longShortRatio,shortAccount,time
0.7259,2.6483,0.2741,2026-07-28 20:00:00
0.7256,2.6443,0.2744,2026-07-28 21:00:00
0.7248,2.6337,0.2752,2026-07-28 22:00:00
0.7260,2.6496,0.2740,2026-07-28 23:00:00
0.7271,2.6643,0.2729,2026-07-29 00:00:00
0.7256,2.6443,0.2744,2026-07-29 01:00:00
0.7247,2.6324,0.2753,2026-07-29 02:00:00
0.7259,2.6483,0.2741,2026-07-29 03:00:00
0.7272,2.6657,0.2728,2026-07-29 04:00:00
0.7286,2.6846,0.2714,2026-07-29 05:00:00
0.7299,2.7023,0.2701,2026-07-29 06:00:00
0.7285,2.6832,0.2715,2026-07-29 07:00:00
0.7280,2.6765,0.2720,2026-07-29 08:00:00
0.7256,2.6443,0.2744,2026-07-29 09:00:00
0.7250,2.6364,0.2750,2026-07-29 10:00:00
0.7265,2.6563,0.2735,2026-07-29 11:00:00
0.7252,2.6390,0.2748,2026-07-29 12:00:00
0.7276,2.6711,0.2724,2026-07-29 13:00:00
0.7287,2.6860,0.2713,2026-07-29 14:00:00
0.7286,2.6846,0.2714,2026-07-29 15:00:00
0.7288,2.6873,0.2712,2026-07-29 16:00:00
0.7282,2.6792,0.2718,2026-07-29 17:00:00
0.7295,2.6969,0.2705,2026-07-29 18:00:00
0.7239,2.6219,0.2761,2026-07-29 19:00:00
0.7260,2.6496,0.2740,2026-07-29 20:00:00
0.7262,2.6523,0.2738,2026-07-29 21:00:00
0.7283,2.6805,0.2717,2026-07-29 22:00:00
0.7251,2.6377,0.2749,2026-07-29 23:00:00
0.7232,2.6127,0.2768,2026-07-30 00:00:00
0.7232,2.6127,0.2768,2026-07-30 01:00:00
0.7204,2.5765,0.2796,2026-07-30 02:00:00
0.7196,2.5663,0.2804,2026-07-30 03:00:00
0.7181,2.5474,0.2819,2026-07-30 04:00:00
0.7196,2.5663,0.2804,2026-07-30 05:00:00
0.7203,2.5753,0.2797,2026-07-30 06:00:00
0.7215,2.5907,0.2785,2026-07-30 07:00:00
0.7164,2.5261,0.2836,2026-07-30 08:00:00
0.7129,2.4831,0.2871,2026-07-30 09:00:00
0.7106,2.4554,0.2894,2026-07-30 10:00:00
0.7046,2.3852,0.2954,2026-07-30 11:00:00
0.6984,2.3156,0.3016,2026-07-30 12:00:00
0.6983,2.3146,0.3017,2026-07-30 13:00:00
0.6952,2.2808,0.3048,2026-07-30 14:00:00
0.6929,2.2563,0.3071,2026-07-30 15:00:00
0.6900,2.2258,0.3100,2026-07-30 16:00:00
0.6920,2.2468,0.3080,2026-07-30 17:00:00
0.6973,2.3036,0.3027,2026-07-30 18:00:00
0.6954,2.2830,0.3046,2026-07-30 19:00:00
0.6934,2.2616,0.3066,2026-07-30 20:00:00
0.6930,2.2573,0.3070,2026-07-30 21:00:00
0.6931,2.2584,0.3069,2026-07-30 22:00:00
0.6936,2.2637,0.3064,2026-07-30 23:00:00
0.6930,2.2573,0.3070,2026-07-31 00:00:00
0.6933,2.2605,0.3067,2026-07-31 01:00:00
0.6913,2.2394,0.3087,2026-07-31 02:00:00
0.6924,2.2510,0.3076,2026-07-31 03:00:00
0.6915,2.2415,0.3085,2026-07-31 04:00:00
0.6925,2.2520,0.3075,2026-07-31 05:00:00
0.6910,2.2362,0.3090,2026-07-31 06:00:00
0.6873,2.1980,0.3127,2026-07-31 07:00:00
0.6872,2.1969,0.3128,2026-07-31 08:00:00
0.6872,2.1969,0.3128,2026-07-31 09:00:00
0.6853,2.1776,0.3147,2026-07-31 10:00:00
0.6840,2.1646,0.3160,2026-07-31 11:00:00
0.6825,2.1496,0.3175,2026-07-31 12:00:00
0.6829,2.1536,0.3171,2026-07-31 13:00:00
0.6838,2.1626,0.3162,2026-07-31 14:00:00
0.6868,2.1928,0.3132,2026-07-31 15:00:00
0.6897,2.2227,0.3103,2026-07-31 16:00:00
0.6888,2.2134,0.3112,2026-07-31 17:00:00
0.6872,2.1969,0.3128,2026-07-31 18:00:00
0.6872,2.1969,0.3128,2026-07-31 19:00:00
