sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
59268824.00000000,7055333.54530096,236300000.00000000,2026-07-28 20:00:00
59291536.00000000,7079600.91006128,236300000.00000000,2026-07-28 21:00:00
59308478.00000000,7105748.74918000,236300000.00000000,2026-07-28 22:00:00
59192073.00000000,7019156.42685783,236300000.00000000,2026-07-28 23:00:00
59116274.00000000,7039565.90792000,236300000.00000000,2026-07-29 00:00:00
59093134.00000000,7079948.38454000,236300000.00000000,2026-07-29 01:00:00
59012983.00000000,6973488.07436193,236300000.00000000,2026-07-29 02:00:00
59062767.00000000,7008912.40959096,236300000.00000000,2026-07-29 03:00:00
58689673.00000000,6877715.42227959,236300000.00000000,2026-07-29 04:00:00
58772225.00000000,6968622.71825000,236300000.00000000,2026-07-29 05:00:00
58560907.00000000,6941022.27158085,236300000.00000000,2026-07-29 06:00:00
58751165.00000000,7033689.47380000,236300000.00000000,2026-07-29 07:00:00
58863842.00000000,7060640.14762856,236300000.00000000,2026-07-29 08:00:00
58775063.00000000,7031848.53732000,236300000.00000000,2026-07-29 09:00:00
58964353.00000000,7075511.85725979,236300000.00000000,2026-07-29 10:00:00
59051922.00000000,7105065.84104112,236300000.00000000,2026-07-29 11:00:00
59103041.00000000,7126053.65337000,236300000.00000000,2026-07-29 12:00:00
59225068.00000000,7205026.23979068,236300000.00000000,2026-07-29 13:00:00
59369461.00000000,7243074.24200000,236300000.00000000,2026-07-29 14:00:00
59277171.00000000,7212930.93363453,236300000.00000000,2026-07-29 15:00:00
59126495.00000000,7138341.74135000,236300000.00000000,2026-07-29 16:00:00
59038308.00000000,7121791.09404000,236300000.00000000,2026-07-29 17:00:00
59158704.00000000,7178618.26116336,236300000.00000000,2026-07-29 18:00:00
59221925.00000000,7196597.98736375,236300000.00000000,2026-07-29 19:00:00
59064893.00000000,7113185.06399000,236300000.00000000,2026-07-29 20:00:00
59091115.00000000,7129345.38839460,236300000.00000000,2026-07-29 21:00:00
59326298.00000000,7256701.40886108,236300000.00000000,2026-07-29 22:00:00
58981917.00000000,7187531.09724747,236300000.00000000,2026-07-29 23:00:00
58881497.00000000,7245984.69512359,236300000.00000000,2026-07-30 00:00:00
58805253.00000000,7264331.10164853,236300000.00000000,2026-07-30 01:00:00
58947473.00000000,7364672.68674787,236300000.00000000,2026-07-30 02:00:00
59094668.00000000,7493203.90240000,236300000.00000000,2026-07-30 03:00:00
59462153.00000000,7662259.73677432,236300000.00000000,2026-07-30 04:00:00
58887157.00000000,7373260.92797000,236300000.00000000,2026-07-30 05:00:00
58648845.00000000,7354565.16300000,236300000.00000000,2026-07-30 06:00:00
58752362.00000000,7369875.72595330,236300000.00000000,2026-07-30 07:00:00
58497485.00000000,7288390.60302655,236300000.00000000,2026-07-30 08:00:00
58512036.00000000,7331700.88016784,236300000.00000000,2026-07-30 09:00:00
58293778.00000000,7171188.06256846,236300000.00000000,2026-07-30 10:00:00
58090584.00000000,7081054.55701368,236300000.00000000,2026-07-30 11:00:00
58227678.00000000,7146004.01036238,236300000.00000000,2026-07-30 12:00:00
58233650.00000000,7121361.61232900,236300000.00000000,2026-07-30 13:00:00
58206496.00000000,7099292.65197056,236300000.00000000,2026-07-30 14:00:00
58205992.00000000,7055730.35024000,236300000.00000000,2026-07-30 15:00:00
58257489.00000000,7071130.31127591,236300000.00000000,2026-07-30 16:00:00
58212218.00000000,7027378.95696000,236300000.00000000,2026-07-30 17:00:00
58083303.00000000,7037953.82451000,236300000.00000000,2026-07-30 18:00:00
58167694.00000000,7069414.18035164,236300000.00000000,2026-07-30 19:00:00
58121295.00000000,7051856.72235000,236300000.00000000,2026-07-30 20:00:00
58230338.00000000,7089339.84531700,236300000.00000000,2026-07-30 21:00:00
58210081.00000000,7083584.75689000,236300000.00000000,2026-07-30 22:00:00
58233935.00000000,7153456.57540000,236300000.00000000,2026-07-30 23:00:00
58212224.00000000,7198077.13208192,236300000.00000000,2026-07-31 00:00:00
58138561.00000000,7196972.46619000,236300000.00000000,2026-07-31 01:00:00
58082554.00000000,7211529.90464000,236300000.00000000,2026-07-31 02:00:00
57879797.00000000,7150405.29600736,236300000.00000000,2026-07-31 03:00:00
57806988.00000000,7062279.72396000,236300000.00000000,2026-07-31 04:00:00
57795275.00000000,6998408.46549825,236300000.00000000,2026-07-31 05:00:00
58065283.00000000,7043164.95490005,236300000.00000000,2026-07-31 06:00:00
58138549.00000000,7039415.51292000,236300000.00000000,2026-07-31 07:00:00
58260713.00000000,7021581.13076000,236300000.00000000,2026-07-31 08:00:00
58254108.00000000,7021917.55601952,236300000.00000000,2026-07-31 09:00:00
58181678.00000000,7025437.61850000,236300000.00000000,2026-07-31 10:00:00
58382819.00000000,7062087.37234506,236300000.00000000,2026-07-31 11:00:00
58572139.00000000,7053256.97838000,236300000.00000000,2026-07-31 12:00:00
58581510.00000000,7077818.03820000,236300000.00000000,2026-07-31 13:00:00
58426749.00000000,6945771.92112000,236300000.00000000,2026-07-31 14:00:00
58573354.00000000,6918910.66762644,236300000.00000000,2026-07-31 15:00:00
58629231.00000000,6917172.82531884,236300000.00000000,2026-07-31 16:00:00
58729832.00000000,6958897.79368000,236300000.00000000,2026-07-31 17:00:00
58785435.00000000,6964472.14439625,236300000.00000000,2026-07-31 18:00:00
58706406.00000000,6969037.45626000,236300000.00000000,2026-07-31 19:00:00
58698075.00000000,6907589.46600000,236300000.00000000,2026-07-31 20:00:00
58675220.00000000,6915461.42920000,236300000.00000000,2026-07-31 21:00:00
58712491.00000000,6951695.73450403,236300000.00000000,2026-07-31 22:00:00
58789693.00000000,7007731.40560000,236300000.00000000,2026-07-31 23:00:00
58922586.00000000,7057302.48555570,236300000.00000000,2026-08-01 00:00:00
58929831.00000000,7098098.14395000,236300000.00000000,2026-08-01 01:00:00
58820475.00000000,7067868.27600000,236300000.00000000,2026-08-01 02:00:00
58870951.00000000,7059215.73441000,236300000.00000000,2026-08-01 03:00:00
58930377.00000000,7077702.69345183,236300000.00000000,2026-08-01 04:00:00
58913270.00000000,7046027.09200000,236300000.00000000,2026-08-01 05:00:00
58939677.00000000,7027712.46607536,236300000.00000000,2026-08-01 06:00:00
58986698.00000000,7039472.53932000,236300000.00000000,2026-08-01 07:00:00
58967075.00000000,7073627.81190050,236300000.00000000,2026-08-01 08:00:00
59067908.00000000,7058593.15087404,236300000.00000000,2026-08-01 09:00:00
59107001.00000000,7063607.57051543,236300000.00000000,2026-08-01 10:00:00
59189463.00000000,7077284.09091000,236300000.00000000,2026-08-01 11:00:00
59241612.00000000,7112345.92282308,236300000.00000000,2026-08-01 12:00:00
59285305.00000000,7127813.52769805,236300000.00000000,2026-08-01 13:00:00
59254516.00000000,7127004.60218028,236300000.00000000,2026-08-01 14:00:00
59402898.00000000,7157356.57120932,236300000.00000000,2026-08-01 15:00:00
59262267.00000000,7138732.68282000,236300000.00000000,2026-08-01 16:00:00
61071431.00000000,7731032.45029000,236300000.00000000,2026-08-01 17:00:00
59488389.00000000,7198095.06900000,236300000.00000000,2026-08-01 18:00:00
59117164.00000000,7110498.38979348,236300000.00000000,2026-08-01 19:00:00
59092804.00000000,7082492.97555892,236300000.00000000,2026-08-01 20:00:00
59095648.00000000,7164756.36352000,236300000.00000000,2026-08-01 21:00:00
59236369.00000000,7261682.81206425,236300000.00000000,2026-08-01 22:00:00
59259839.00000000,7295957.00619073,236300000.00000000,2026-08-01 23:00:00
59056808.00000000,7241545.79696000,236300000.00000000,2026-08-02 00:00:00
59005561.00000000,7198057.70349828,236300000.00000000,2026-08-02 01:00:00
59029398.00000000,7247863.24285608,236300000.00000000,2026-08-02 02:00:00
58792446.00000000,7186788.59904000,236300000.00000000,2026-08-02 03:00:00
58832423.00000000,7167554.09409000,236300000.00000000,2026-08-02 04:00:00
58766722.00000000,7164251.07902000,236300000.00000000,2026-08-02 05:00:00
58736386.00000000,7113563.70846000,236300000.00000000,2026-08-02 06:00:00
58750210.00000000,7104662.89530000,236300000.00000000,2026-08-02 07:00:00
58627973.00000000,7126230.11815000,236300000.00000000,2026-08-02 08:00:00
58363340.00000000,7034861.95580420,236300000.00000000,2026-08-02 09:00:00
59473632.00000000,7256929.75562496,236300000.00000000,2026-08-02 10:00:00
59488684.00000000,7265352.97692000,236300000.00000000,2026-08-02 11:00:00
59547484.00000000,7312431.03520000,236300000.00000000,2026-08-02 12:00:00
60114732.00000000,7425161.89622532,236300000.00000000,2026-08-02 13:00:00
60014266.00000000,7485890.27207788,236300000.00000000,2026-08-02 14:00:00
60032262.00000000,7481735.56724796,236300000.00000000,2026-08-02 15:00:00
61282808.00000000,7810210.75302704,236300000.00000000,2026-08-02 16:00:00
61165435.00000000,7754553.84930000,236300000.00000000,2026-08-02 17:00:00
61283030.00000000,7751572.80128240,236300000.00000000,2026-08-02 18:00:00
61353706.00000000,7772901.01314000,236300000.00000000,2026-08-02 19:00:00
61229194.00000000,7796925.56396000,236300000.00000000,2026-08-02 20:00:00
61267954.00000000,7835274.96643298,236300000.00000000,2026-08-02 21:00:00
61225151.00000000,7834031.13462346,236300000.00000000,2026-08-02 22:00:00
61085557.00000000,7780361.10622082,236300000.00000000,2026-08-02 23:00:00
61142913.00000000,7793275.69098000,236300000.00000000,2026-08-03 00:00:00
61521073.00000000,7861123.94966401,236300000.00000000,2026-08-03 01:00:00
61500023.00000000,7856627.93825000,236300000.00000000,2026-08-03 02:00:00
61560239.00000000,7808300.71476000,236300000.00000000,2026-08-03 03:00:00
61560031.00000000,7730869.98026122,236300000.00000000,2026-08-03 04:00:00
61435350.00000000,7695793.11383550,236300000.00000000,2026-08-03 05:00:00
61494851.00000000,7658877.44769202,236300000.00000000,2026-08-03 06:00:00
61271081.00000000,7642332.12975704,236300000.00000000,2026-08-03 07:00:00
61185128.00000000,7571438.09983664,236300000.00000000,2026-08-03 08:00:00
61244130.00000000,7621010.69471670,236300000.00000000,2026-08-03 09:00:00
61184345.00000000,7613417.06863415,236300000.00000000,2026-08-03 10:00:00
61149191.00000000,7611836.61987416,236300000.00000000,2026-08-03 11:00:00
60986177.00000000,7536715.66370744,236300000.00000000,2026-08-03 12:00:00
60662528.00000000,7442078.93504000,236300000.00000000,2026-08-03 13:00:00
60643252.00000000,7532893.72492304,236300000.00000000,2026-08-03 14:00:00
61052575.00000000,7634434.01971600,236300000.00000000,2026-08-03 15:00:00
61027401.00000000,7658062.47202164,236300000.00000000,2026-08-03 16:00:00
61085356.00000000,7698476.85218564,236300000.00000000,2026-08-03 17:00:00
61122379.00000000,7705087.09674000,236300000.00000000,2026-08-03 18:00:00
61175898.00000000,7737527.57904000,236300000.00000000,2026-08-03 19:00:00
61187922.00000000,7737212.73690000,236300000.00000000,2026-08-03 20:00:00
61213688.00000000,7756840.61204496,236300000.00000000,2026-08-03 21:00:00
61230246.00000000,7750524.53868000,236300000.00000000,2026-08-03 22:00:00
61249852.00000000,7768296.67921328,236300000.00000000,2026-08-03 23:00:00
61405343.00000000,7788653.70612000,236300000.00000000,2026-08-04 00:00:00
61511501.00000000,7904227.87850000,236300000.00000000,2026-08-04 01:00:00
61586600.00000000,7927855.79473600,236300000.00000000,2026-08-04 02:00:00
61681750.00000000,7926721.69250000,236300000.00000000,2026-08-04 03:00:00
61634091.00000000,7854032.21613000,236300000.00000000,2026-08-04 04:00:00
61649199.00000000,7871226.08568633,236300000.00000000,2026-08-04 05:00:00
61618286.00000000,7855353.58280118,236300000.00000000,2026-08-04 06:00:00
61705776.00000000,7977939.77904000,236300000.00000000,2026-08-04 07:00:00
61667879.00000000,7972423.39712000,236300000.00000000,2026-08-04 08:00:00
62137160.00000000,8158915.44419880,236300000.00000000,2026-08-04 09:00:00
62397014.00000000,8023632.03026000,236300000.00000000,2026-08-04 10:00:00
