longAccount,longShortRatio,shortAccount,time
0.5745,1.3502,0.4255,2026-07-28 03:00:00
0.5737,1.3458,0.4263,2026-07-28 04:00:00
0.5742,1.3485,0.4258,2026-07-28 05:00:00
0.5726,1.3397,0.4274,2026-07-28 06:00:00
0.5716,1.3343,0.4284,2026-07-28 07:00:00
0.5708,1.3299,0.4292,2026-07-28 08:00:00
0.5692,1.3213,0.4308,2026-07-28 09:00:00
0.5695,1.3229,0.4305,2026-07-28 10:00:00
0.5720,1.3364,0.4280,2026-07-28 11:00:00
0.5749,1.3524,0.4251,2026-07-28 12:00:00
0.5750,1.3529,0.4250,2026-07-28 13:00:00
0.5818,1.3912,0.4182,2026-07-28 14:00:00
0.5723,1.3381,0.4277,2026-07-28 15:00:00
0.5699,1.3250,0.4301,2026-07-28 16:00:00
0.5712,1.3321,0.4288,2026-07-28 17:00:00
0.5719,1.3359,0.4281,2026-07-28 18:00:00
0.5718,1.3354,0.4282,2026-07-28 19:00:00
0.5724,1.3386,0.4276,2026-07-28 20:00:00
0.5700,1.3256,0.4300,2026-07-28 21:00:00
0.5683,1.3164,0.4317,2026-07-28 22:00:00
0.5647,1.2973,0.4353,2026-07-28 23:00:00
0.5731,1.3425,0.4269,2026-07-29 00:00:00
0.5669,1.3089,0.4331,2026-07-29 01:00:00
0.5658,1.3031,0.4342,2026-07-29 02:00:00
0.5697,1.3240,0.4303,2026-07-29 03:00:00
0.5676,1.3127,0.4324,2026-07-29 04:00:00
0.5659,1.3036,0.4341,2026-07-29 05:00:00
0.5700,1.3256,0.4300,2026-07-29 06:00:00
0.5643,1.2952,0.4357,2026-07-29 07:00:00
0.5727,1.3403,0.4273,2026-07-29 08:00:00
0.5698,1.3245,0.4302,2026-07-29 09:00:00
0.5648,1.2978,0.4352,2026-07-29 10:00:00
0.5631,1.2889,0.4369,2026-07-29 11:00:00
0.5628,1.2873,0.4372,2026-07-29 12:00:00
0.5623,1.2847,0.4377,2026-07-29 13:00:00
0.5636,1.2915,0.4364,2026-07-29 14:00:00
0.5690,1.3202,0.4310,2026-07-29 15:00:00
0.5631,1.2889,0.4369,2026-07-29 16:00:00
0.5694,1.3223,0.4306,2026-07-29 17:00:00
0.5671,1.3100,0.4329,2026-07-29 18:00:00
0.5631,1.2889,0.4369,2026-07-29 19:00:00
0.5686,1.3180,0.4314,2026-07-29 20:00:00
0.5641,1.2941,0.4359,2026-07-29 21:00:00
0.5649,1.2983,0.4351,2026-07-29 22:00:00
0.5667,1.3079,0.4333,2026-07-29 23:00:00
0.5626,1.2862,0.4374,2026-07-30 00:00:00
0.5713,1.3326,0.4287,2026-07-30 01:00:00
0.5646,1.2967,0.4354,2026-07-30 02:00:00
0.5640,1.2936,0.4360,2026-07-30 03:00:00
0.5622,1.2841,0.4378,2026-07-30 04:00:00
0.5631,1.2889,0.4369,2026-07-30 05:00:00
0.5648,1.2978,0.4352,2026-07-30 06:00:00
0.5646,1.2967,0.4354,2026-07-30 07:00:00
0.5638,1.2925,0.4362,2026-07-30 08:00:00
0.5632,1.2894,0.4368,2026-07-30 09:00:00
0.5597,1.2712,0.4403,2026-07-30 10:00:00
0.5590,1.2676,0.4410,2026-07-30 11:00:00
0.5593,1.2691,0.4407,2026-07-30 12:00:00
0.5569,1.2568,0.4431,2026-07-30 13:00:00
0.5573,1.2589,0.4427,2026-07-30 14:00:00
0.5577,1.2609,0.4423,2026-07-30 15:00:00
0.5592,1.2686,0.4408,2026-07-30 16:00:00
0.5532,1.2381,0.4468,2026-07-30 17:00:00
0.5542,1.2432,0.4458,2026-07-30 18:00:00
0.5518,1.2311,0.4482,2026-07-30 19:00:00
0.5532,1.2381,0.4468,2026-07-30 20:00:00
0.5564,1.2543,0.4436,2026-07-30 21:00:00
0.5524,1.2341,0.4476,2026-07-30 22:00:00
0.5532,1.2381,0.4468,2026-07-30 23:00:00
0.5565,1.2548,0.4435,2026-07-31 00:00:00
0.5536,1.2401,0.4464,2026-07-31 01:00:00
0.5534,1.2391,0.4466,2026-07-31 02:00:00
0.5598,1.2717,0.4402,2026-07-31 03:00:00
0.5533,1.2386,0.4467,2026-07-31 04:00:00
0.5554,1.2492,0.4446,2026-07-31 05:00:00
0.5578,1.2614,0.4422,2026-07-31 06:00:00
0.5555,1.2497,0.4445,2026-07-31 07:00:00
0.5608,1.2769,0.4392,2026-07-31 08:00:00
0.5658,1.3031,0.4342,2026-07-31 09:00:00
0.5632,1.2894,0.4368,2026-07-31 10:00:00
0.5724,1.3386,0.4276,2026-07-31 11:00:00
0.5693,1.3218,0.4307,2026-07-31 12:00:00
0.5649,1.2983,0.4351,2026-07-31 13:00:00
0.5693,1.3218,0.4307,2026-07-31 14:00:00
0.5787,1.3736,0.4213,2026-07-31 15:00:00
