longAccount,longShortRatio,shortAccount,time
0.6591,1.9334,0.3409,2026-07-27 12:00:00
0.6595,1.9369,0.3405,2026-07-27 13:00:00
0.6553,1.9011,0.3447,2026-07-27 14:00:00
0.6595,1.9369,0.3405,2026-07-27 15:00:00
0.6606,1.9464,0.3394,2026-07-27 16:00:00
0.6595,1.9369,0.3405,2026-07-27 17:00:00
0.6595,1.9369,0.3405,2026-07-27 18:00:00
0.6595,1.9369,0.3405,2026-07-27 19:00:00
0.6577,1.9214,0.3423,2026-07-27 20:00:00
0.6588,1.9308,0.3412,2026-07-27 21:00:00
0.6610,1.9499,0.3390,2026-07-27 22:00:00
0.6648,1.9833,0.3352,2026-07-27 23:00:00
0.6734,2.0618,0.3266,2026-07-28 00:00:00
0.6764,2.0902,0.3236,2026-07-28 01:00:00
0.6742,2.0694,0.3258,2026-07-28 02:00:00
0.6757,2.0836,0.3243,2026-07-28 03:00:00
0.6749,2.0760,0.3251,2026-07-28 04:00:00
0.6776,2.1017,0.3224,2026-07-28 05:00:00
0.6764,2.0902,0.3236,2026-07-28 06:00:00
0.6768,2.0941,0.3232,2026-07-28 07:00:00
0.6790,2.1153,0.3210,2026-07-28 08:00:00
0.6787,2.1124,0.3213,2026-07-28 09:00:00
0.6798,2.1230,0.3202,2026-07-28 10:00:00
0.6809,2.1338,0.3191,2026-07-28 11:00:00
0.6804,2.1289,0.3196,2026-07-28 12:00:00
0.6812,2.1368,0.3188,2026-07-28 13:00:00
0.6882,2.2072,0.3118,2026-07-28 14:00:00
0.6840,2.1646,0.3160,2026-07-28 15:00:00
0.6826,2.1506,0.3174,2026-07-28 16:00:00
0.6796,2.1211,0.3204,2026-07-28 17:00:00
0.6804,2.1289,0.3196,2026-07-28 18:00:00
0.6808,2.1328,0.3192,2026-07-28 19:00:00
0.6800,2.1250,0.3200,2026-07-28 20:00:00
0.6800,2.1250,0.3200,2026-07-28 21:00:00
0.6773,2.0989,0.3227,2026-07-28 22:00:00
0.6751,2.0779,0.3249,2026-07-28 23:00:00
0.6747,2.0741,0.3253,2026-07-29 00:00:00
0.6728,2.0562,0.3272,2026-07-29 01:00:00
0.6732,2.0600,0.3268,2026-07-29 02:00:00
0.6705,2.0349,0.3295,2026-07-29 03:00:00
0.6742,2.0694,0.3258,2026-07-29 04:00:00
0.6739,2.0665,0.3261,2026-07-29 05:00:00
0.6720,2.0488,0.3280,2026-07-29 06:00:00
0.6659,1.9931,0.3341,2026-07-29 07:00:00
0.6648,1.9833,0.3352,2026-07-29 08:00:00
0.6648,1.9833,0.3352,2026-07-29 09:00:00
0.6636,1.9727,0.3364,2026-07-29 10:00:00
0.6586,1.9291,0.3414,2026-07-29 11:00:00
0.6586,1.9291,0.3414,2026-07-29 12:00:00
0.6594,1.9360,0.3406,2026-07-29 13:00:00
0.6586,1.9291,0.3414,2026-07-29 14:00:00
0.6590,1.9326,0.3410,2026-07-29 15:00:00
0.6613,1.9525,0.3387,2026-07-29 16:00:00
0.6624,1.9621,0.3376,2026-07-29 17:00:00
0.6620,1.9586,0.3380,2026-07-29 18:00:00
0.6547,1.8960,0.3453,2026-07-29 19:00:00
0.6605,1.9455,0.3395,2026-07-29 20:00:00
0.6651,1.9860,0.3349,2026-07-29 21:00:00
0.6678,2.0102,0.3322,2026-07-29 22:00:00
0.6667,2.0003,0.3333,2026-07-29 23:00:00
0.6639,1.9753,0.3361,2026-07-30 00:00:00
0.6674,2.0066,0.3326,2026-07-30 01:00:00
0.6643,1.9789,0.3357,2026-07-30 02:00:00
0.6601,1.9420,0.3399,2026-07-30 03:00:00
0.6601,1.9420,0.3399,2026-07-30 04:00:00
0.6617,1.9560,0.3383,2026-07-30 05:00:00
0.6624,1.9621,0.3376,2026-07-30 06:00:00
0.6636,1.9727,0.3364,2026-07-30 07:00:00
0.6632,1.9691,0.3368,2026-07-30 08:00:00
0.6590,1.9326,0.3410,2026-07-30 09:00:00
0.6514,1.8686,0.3486,2026-07-30 10:00:00
0.6514,1.8686,0.3486,2026-07-30 11:00:00
0.6488,1.8474,0.3512,2026-07-30 12:00:00
0.6462,1.8265,0.3538,2026-07-30 13:00:00
0.6428,1.7996,0.3572,2026-07-30 14:00:00
0.6432,1.8027,0.3568,2026-07-30 15:00:00
0.6429,1.8003,0.3571,2026-07-30 16:00:00
0.6406,1.7824,0.3594,2026-07-30 17:00:00
0.6410,1.7855,0.3590,2026-07-30 18:00:00
0.6417,1.7910,0.3583,2026-07-30 19:00:00
0.6417,1.7910,0.3583,2026-07-30 20:00:00
0.6425,1.7972,0.3575,2026-07-30 21:00:00
0.6440,1.8090,0.3560,2026-07-30 22:00:00
0.6421,1.7941,0.3579,2026-07-30 23:00:00
0.6421,1.7941,0.3579,2026-07-31 00:00:00
0.6410,1.7855,0.3590,2026-07-31 01:00:00
0.6499,1.8563,0.3501,2026-07-31 02:00:00
0.6566,1.9121,0.3434,2026-07-31 03:00:00
0.6554,1.9019,0.3446,2026-07-31 04:00:00
0.6566,1.9121,0.3434,2026-07-31 05:00:00
0.6558,1.9053,0.3442,2026-07-31 06:00:00
0.6592,1.9343,0.3408,2026-07-31 07:00:00
0.6678,2.0102,0.3322,2026-07-31 08:00:00
0.6731,2.0590,0.3269,2026-07-31 09:00:00
0.6712,2.0414,0.3288,2026-07-31 10:00:00
0.6764,2.0902,0.3236,2026-07-31 11:00:00
0.6783,2.1085,0.3217,2026-07-31 12:00:00
0.6771,2.0969,0.3229,2026-07-31 13:00:00
0.6778,2.1037,0.3222,2026-07-31 14:00:00
0.6936,2.2637,0.3064,2026-07-31 15:00:00
0.6972,2.3025,0.3028,2026-07-31 16:00:00
0.6973,2.3036,0.3027,2026-07-31 17:00:00
0.6986,2.3179,0.3014,2026-07-31 18:00:00
0.6941,2.2690,0.3059,2026-07-31 19:00:00
0.6941,2.2690,0.3059,2026-07-31 20:00:00
0.6959,2.2884,0.3041,2026-07-31 21:00:00
0.6966,2.2960,0.3034,2026-07-31 22:00:00
0.6980,2.3113,0.3020,2026-07-31 23:00:00
0.6983,2.3146,0.3017,2026-08-01 00:00:00
0.7002,2.3356,0.2998,2026-08-01 01:00:00
0.6952,2.2808,0.3048,2026-08-01 02:00:00
0.6952,2.2808,0.3048,2026-08-01 03:00:00
0.6942,2.2701,0.3058,2026-08-01 05:00:00
0.6938,2.2658,0.3062,2026-08-01 06:00:00
0.6927,2.2541,0.3073,2026-08-01 07:00:00
0.6919,2.2457,0.3081,2026-08-01 09:00:00
0.6934,2.2616,0.3066,2026-08-01 10:00:00
0.6941,2.2690,0.3059,2026-08-01 13:00:00
0.6941,2.2690,0.3059,2026-08-01 15:00:00
0.6947,2.2755,0.3053,2026-08-01 16:00:00
0.6928,2.2552,0.3072,2026-08-01 17:00:00
0.6944,2.2723,0.3056,2026-08-01 18:00:00
0.6984,2.3156,0.3016,2026-08-01 19:00:00
0.6994,2.3267,0.3006,2026-08-01 20:00:00
0.7006,2.3400,0.2994,2026-08-01 21:00:00
0.6969,2.2992,0.3031,2026-08-01 22:00:00
0.6965,2.2949,0.3035,2026-08-01 23:00:00
0.6965,2.2949,0.3035,2026-08-02 00:00:00
0.6979,2.3102,0.3021,2026-08-02 01:00:00
0.6909,2.2352,0.3091,2026-08-02 02:00:00
0.6818,2.1427,0.3182,2026-08-02 03:00:00
0.6830,2.1546,0.3170,2026-08-02 04:00:00
0.6819,2.1437,0.3181,2026-08-02 05:00:00
0.6800,2.1250,0.3200,2026-08-02 07:00:00
0.6789,2.1143,0.3211,2026-08-02 08:00:00
0.6812,2.1368,0.3188,2026-08-02 09:00:00
0.6833,2.1576,0.3167,2026-08-02 11:00:00
0.6852,2.1766,0.3148,2026-08-02 12:00:00
0.6870,2.1949,0.3130,2026-08-02 13:00:00
0.6885,2.2103,0.3115,2026-08-02 14:00:00
0.6877,2.2020,0.3123,2026-08-02 15:00:00
0.6881,2.2062,0.3119,2026-08-02 16:00:00
0.6888,2.2134,0.3112,2026-08-02 17:00:00
0.6877,2.2020,0.3123,2026-08-02 18:00:00
0.6867,2.1918,0.3133,2026-08-02 19:00:00
0.6847,2.1716,0.3153,2026-08-02 20:00:00
0.6836,2.1606,0.3164,2026-08-02 21:00:00
0.6792,2.1172,0.3208,2026-08-02 22:00:00
0.6785,2.1104,0.3215,2026-08-02 23:00:00
0.6782,2.1075,0.3218,2026-08-03 00:00:00
0.6782,2.1075,0.3218,2026-08-03 01:00:00
0.6767,2.0931,0.3233,2026-08-03 02:00:00
0.6800,2.1250,0.3200,2026-08-03 03:00:00
0.6819,2.1437,0.3181,2026-08-03 04:00:00
0.6804,2.1289,0.3196,2026-08-03 05:00:00
0.6834,2.1586,0.3166,2026-08-03 06:00:00
0.6850,2.1746,0.3150,2026-08-03 07:00:00
0.6890,2.2154,0.3110,2026-08-03 08:00:00
0.6881,2.2062,0.3119,2026-08-03 09:00:00
0.6894,2.2196,0.3106,2026-08-03 10:00:00
0.6905,2.2310,0.3095,2026-08-03 11:00:00
0.6879,2.2041,0.3121,2026-08-03 12:00:00
0.6894,2.2196,0.3106,2026-08-03 13:00:00
0.6819,2.1437,0.3181,2026-08-03 14:00:00
0.6712,2.0414,0.3288,2026-08-03 15:00:00
0.6685,2.0166,0.3315,2026-08-03 16:00:00
0.6659,1.9931,0.3341,2026-08-03 17:00:00
0.6607,1.9472,0.3393,2026-08-03 18:00:00
0.6603,1.9438,0.3397,2026-08-03 19:00:00
0.6567,1.9129,0.3433,2026-08-03 20:00:00
0.6570,1.9155,0.3430,2026-08-03 21:00:00
0.6578,1.9223,0.3422,2026-08-03 22:00:00
0.6596,1.9377,0.3404,2026-08-03 23:00:00
0.6592,1.9343,0.3408,2026-08-04 00:00:00
0.6611,1.9507,0.3389,2026-08-04 01:00:00
0.6577,1.9214,0.3423,2026-08-04 02:00:00
0.6578,1.9223,0.3422,2026-08-04 03:00:00
0.6570,1.9155,0.3430,2026-08-04 04:00:00
0.6535,1.8860,0.3465,2026-08-04 05:00:00
0.6524,1.8769,0.3476,2026-08-04 06:00:00
0.6535,1.8860,0.3465,2026-08-04 07:00:00
0.6524,1.8769,0.3476,2026-08-04 08:00:00
0.6546,1.8952,0.3454,2026-08-04 09:00:00
0.6575,1.9197,0.3425,2026-08-04 10:00:00
0.6597,1.9386,0.3403,2026-08-04 11:00:00
0.6564,1.9104,0.3436,2026-08-04 12:00:00
0.6568,1.9138,0.3432,2026-08-04 13:00:00
0.6590,1.9326,0.3410,2026-08-04 14:00:00
0.6568,1.9138,0.3432,2026-08-04 15:00:00
0.6531,1.8827,0.3469,2026-08-04 16:00:00
0.6542,1.8918,0.3458,2026-08-04 17:00:00
0.6502,1.8588,0.3498,2026-08-04 18:00:00
0.6510,1.8653,0.3490,2026-08-04 19:00:00
0.6510,1.8653,0.3490,2026-08-04 20:00:00
0.6524,1.8769,0.3476,2026-08-04 21:00:00
0.6528,1.8802,0.3472,2026-08-04 22:00:00
0.6521,1.8744,0.3479,2026-08-04 23:00:00
0.6539,1.8893,0.3461,2026-08-05 00:00:00
0.6550,1.8986,0.3450,2026-08-05 01:00:00
0.6528,1.8802,0.3472,2026-08-05 02:00:00
0.6405,1.7816,0.3595,2026-08-05 03:00:00
0.6431,1.8019,0.3569,2026-08-05 04:00:00
0.6405,1.7816,0.3595,2026-08-05 05:00:00
0.6383,1.7647,0.3617,2026-08-05 06:00:00
0.6373,1.7571,0.3627,2026-08-05 07:00:00
0.6427,1.7988,0.3573,2026-08-05 08:00:00
0.6399,1.7770,0.3601,2026-08-05 09:00:00
0.6398,1.7762,0.3602,2026-08-05 10:00:00
0.6391,1.7709,0.3609,2026-08-05 11:00:00
0.6427,1.7988,0.3573,2026-08-05 12:00:00
0.6338,1.7307,0.3662,2026-08-05 13:00:00
0.6387,1.7678,0.3613,2026-08-05 14:00:00
0.6356,1.7442,0.3644,2026-08-05 15:00:00
0.6331,1.7255,0.3669,2026-08-05 16:00:00
0.6292,1.6969,0.3708,2026-08-05 17:00:00
0.6292,1.6969,0.3708,2026-08-05 18:00:00
0.6262,1.6752,0.3738,2026-08-05 19:00:00
0.6251,1.6674,0.3749,2026-08-05 20:00:00
0.6241,1.6603,0.3759,2026-08-05 21:00:00
0.6251,1.6674,0.3749,2026-08-05 22:00:00
0.6234,1.6553,0.3766,2026-08-05 23:00:00
0.6231,1.6532,0.3769,2026-08-06 00:00:00
0.6246,1.6638,0.3754,2026-08-06 01:00:00
0.6281,1.6889,0.3719,2026-08-06 02:00:00
0.6353,1.7420,0.3647,2026-08-06 03:00:00
0.6338,1.7307,0.3662,2026-08-06 04:00:00
0.6334,1.7278,0.3666,2026-08-06 05:00:00
0.6290,1.6954,0.3710,2026-08-06 06:00:00
0.6303,1.7049,0.3697,2026-08-06 07:00:00
0.6294,1.6983,0.3706,2026-08-06 08:00:00
0.6283,1.6903,0.3717,2026-08-06 09:00:00
0.6322,1.7189,0.3678,2026-08-06 10:00:00
0.6346,1.7367,0.3654,2026-08-06 11:00:00
0.6361,1.7480,0.3639,2026-08-06 12:00:00
0.6357,1.7450,0.3643,2026-08-06 13:00:00
0.6370,1.7548,0.3630,2026-08-06 14:00:00
0.6356,1.7442,0.3644,2026-08-06 15:00:00
0.6305,1.7064,0.3695,2026-08-06 16:00:00
0.6322,1.7189,0.3678,2026-08-06 17:00:00
0.6322,1.7189,0.3678,2026-08-06 18:00:00
0.6337,1.7300,0.3663,2026-08-06 19:00:00
0.6350,1.7397,0.3650,2026-08-06 20:00:00
0.6335,1.7285,0.3665,2026-08-06 21:00:00
0.6343,1.7345,0.3657,2026-08-06 22:00:00
0.6357,1.7450,0.3643,2026-08-06 23:00:00
0.6392,1.7716,0.3608,2026-08-07 00:00:00
0.6388,1.7685,0.3612,2026-08-07 01:00:00
0.6358,1.7457,0.3642,2026-08-07 02:00:00
0.6390,1.7701,0.3610,2026-08-07 03:00:00
0.6397,1.7755,0.3603,2026-08-07 04:00:00
0.6400,1.7778,0.3600,2026-08-07 05:00:00
0.6403,1.7801,0.3597,2026-08-07 06:00:00
0.6407,1.7832,0.3593,2026-08-07 07:00:00
0.6419,1.7925,0.3581,2026-08-07 08:00:00
0.6354,1.7427,0.3646,2026-08-07 09:00:00
0.6379,1.7617,0.3621,2026-08-07 10:00:00
0.6355,1.7435,0.3645,2026-08-07 11:00:00
0.6360,1.7473,0.3640,2026-08-07 12:00:00
0.6333,1.7270,0.3667,2026-08-07 13:00:00
0.6289,1.6947,0.3711,2026-08-07 14:00:00
0.6285,1.6918,0.3715,2026-08-07 15:00:00
0.6320,1.7174,0.3680,2026-08-07 16:00:00
