longAccount,longShortRatio,shortAccount,time
0.4074,0.6875,0.5926,2026-07-27 12:00:00
0.3789,0.6099,0.6211,2026-07-27 13:00:00
0.3570,0.5553,0.6430,2026-07-27 14:00:00
0.4023,0.6731,0.5977,2026-07-27 15:00:00
0.4083,0.6899,0.5917,2026-07-27 16:00:00
0.4051,0.6810,0.5949,2026-07-27 17:00:00
0.4013,0.6704,0.5987,2026-07-27 18:00:00
0.3987,0.6632,0.6013,2026-07-27 19:00:00
0.3928,0.6469,0.6072,2026-07-27 20:00:00
0.3876,0.6329,0.6124,2026-07-27 21:00:00
0.3901,0.6397,0.6099,2026-07-27 22:00:00
0.4017,0.6715,0.5983,2026-07-27 23:00:00
0.4249,0.7387,0.5751,2026-07-28 00:00:00
0.4376,0.7780,0.5624,2026-07-28 01:00:00
0.4281,0.7487,0.5719,2026-07-28 02:00:00
0.4136,0.7053,0.5864,2026-07-28 03:00:00
0.4028,0.6745,0.5972,2026-07-28 04:00:00
0.4091,0.6924,0.5909,2026-07-28 05:00:00
0.4011,0.6698,0.5989,2026-07-28 06:00:00
0.3957,0.6549,0.6043,2026-07-28 07:00:00
0.3995,0.6652,0.6005,2026-07-28 08:00:00
0.4344,0.7680,0.5656,2026-07-28 09:00:00
0.4459,0.8048,0.5541,2026-07-28 10:00:00
0.4486,0.8137,0.5514,2026-07-28 11:00:00
0.4589,0.8482,0.5411,2026-07-28 12:00:00
0.4655,0.8708,0.5345,2026-07-28 13:00:00
0.4465,0.8065,0.5535,2026-07-28 14:00:00
0.4430,0.7954,0.5570,2026-07-28 15:00:00
0.4417,0.7910,0.5583,2026-07-28 16:00:00
0.4351,0.7703,0.5649,2026-07-28 17:00:00
0.4399,0.7853,0.5601,2026-07-28 18:00:00
0.4368,0.7756,0.5632,2026-07-28 19:00:00
0.4410,0.7889,0.5590,2026-07-28 20:00:00
0.4608,0.8546,0.5392,2026-07-28 21:00:00
0.4494,0.8162,0.5506,2026-07-28 22:00:00
0.4583,0.8459,0.5417,2026-07-28 23:00:00
0.4578,0.8444,0.5422,2026-07-29 00:00:00
0.5137,1.0564,0.4863,2026-07-29 01:00:00
0.5222,1.0930,0.4778,2026-07-29 02:00:00
0.4388,0.7819,0.5612,2026-07-29 03:00:00
0.4304,0.7555,0.5696,2026-07-29 04:00:00
0.4581,0.8454,0.5419,2026-07-29 05:00:00
0.4648,0.8683,0.5352,2026-07-29 06:00:00
0.6031,1.5195,0.3969,2026-07-29 07:00:00
0.5471,1.2079,0.4529,2026-07-29 08:00:00
0.5489,1.2169,0.4511,2026-07-29 09:00:00
0.4530,0.8283,0.5470,2026-07-29 10:00:00
0.4481,0.8118,0.5519,2026-07-29 11:00:00
0.4456,0.8037,0.5544,2026-07-29 12:00:00
0.4596,0.8503,0.5404,2026-07-29 13:00:00
0.4624,0.8601,0.5376,2026-07-29 14:00:00
0.4323,0.7614,0.5677,2026-07-29 15:00:00
0.4401,0.7862,0.5599,2026-07-29 16:00:00
0.3991,0.6642,0.6009,2026-07-29 17:00:00
0.4157,0.7114,0.5843,2026-07-29 18:00:00
0.4638,0.8651,0.5362,2026-07-29 19:00:00
0.4655,0.8709,0.5345,2026-07-29 20:00:00
0.4695,0.8852,0.5305,2026-07-29 21:00:00
0.4877,0.9519,0.5123,2026-07-29 22:00:00
0.4713,0.8914,0.5287,2026-07-29 23:00:00
0.4796,0.9216,0.5204,2026-07-30 00:00:00
0.4731,0.8979,0.5269,2026-07-30 01:00:00
0.4562,0.8388,0.5438,2026-07-30 02:00:00
0.4585,0.8466,0.5415,2026-07-30 03:00:00
0.4579,0.8447,0.5421,2026-07-30 04:00:00
0.4728,0.8967,0.5272,2026-07-30 05:00:00
0.4723,0.8951,0.5277,2026-07-30 06:00:00
0.4642,0.8665,0.5358,2026-07-30 07:00:00
0.4586,0.8471,0.5414,2026-07-30 08:00:00
0.4674,0.8777,0.5326,2026-07-30 09:00:00
0.4593,0.8496,0.5407,2026-07-30 10:00:00
