sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,time
18493.93200000,1180147585.39393470,20062184.00000000,2026-07-28 20:00:00
18568.35300000,1185106665.03405570,20062184.00000000,2026-07-28 21:00:00
18557.27900000,1185551610.98958200,20062184.00000000,2026-07-28 22:00:00
18542.02400000,1180963758.98880000,20062184.00000000,2026-07-28 23:00:00
18463.93800000,1178699027.65020000,20062184.00000000,2026-07-29 00:00:00
18592.06600000,1187464100.18040000,20062184.00000000,2026-07-29 01:00:00
18609.49800000,1183832049.57120000,20062184.00000000,2026-07-29 02:00:00
18539.81600000,1184377211.54640000,20062581.00000000,2026-07-29 03:00:00
18569.44800000,1181967648.53760000,20062581.00000000,2026-07-29 04:00:00
18585.66800000,1187103655.94450640,20062581.00000000,2026-07-29 05:00:00
18603.08900000,1190072062.98937150,20062581.00000000,2026-07-29 06:00:00
18839.07700000,1212158428.31770250,20062581.00000000,2026-07-29 07:00:00
18888.21800000,1217720753.52411370,20062581.00000000,2026-07-29 08:00:00
18913.48000000,1216767964.76091310,20062581.00000000,2026-07-29 09:00:00
18981.56900000,1226366904.42270000,20062581.00000000,2026-07-29 10:00:00
18978.21200000,1221999479.39520000,20062581.00000000,2026-07-29 11:00:00
18967.23400000,1222079750.57740000,20062581.00000000,2026-07-29 12:00:00
18901.48300000,1213359095.11904000,20062581.00000000,2026-07-29 13:00:00
18738.21400000,1210204316.03454200,20062581.00000000,2026-07-29 14:00:00
18492.66700000,1183767394.13760000,20062581.00000000,2026-07-29 15:00:00
18584.62900000,1186339138.24673440,20062581.00000000,2026-07-29 16:00:00
18591.31700000,1184691898.64740700,20062581.00000000,2026-07-29 17:00:00
18575.18900000,1192155630.02000000,20062581.00000000,2026-07-29 18:00:00
18720.61400000,1205871502.25740000,20062581.00000000,2026-07-29 19:00:00
18299.43600000,1162623557.21880000,20062581.00000000,2026-07-29 20:00:00
18133.90500000,1150312658.74830440,20062581.00000000,2026-07-29 21:00:00
18015.06600000,1148732484.99660000,20062581.00000000,2026-07-29 22:00:00
17992.01200000,1148739627.44443920,20062581.00000000,2026-07-29 23:00:00
17984.36700000,1149071563.85760000,20062581.00000000,2026-07-30 00:00:00
18111.76000000,1151869901.30400000,20062581.00000000,2026-07-30 01:00:00
18156.61600000,1165327928.11200000,20062581.00000000,2026-07-30 02:00:00
18291.73300000,1172618743.66533020,20063006.00000000,2026-07-30 03:00:00
18342.90900000,1175274202.61160000,20063006.00000000,2026-07-30 04:00:00
18328.91500000,1171791363.53950000,20063006.00000000,2026-07-30 05:00:00
18324.01500000,1171765252.28668930,20063006.00000000,2026-07-30 06:00:00
18291.66500000,1169012993.48400000,20063006.00000000,2026-07-30 07:00:00
18261.04700000,1167119120.95827650,20063006.00000000,2026-07-30 08:00:00
18350.07400000,1178142646.07380000,20063006.00000000,2026-07-30 09:00:00
18653.63800000,1202654137.41020000,20063006.00000000,2026-07-30 10:00:00
18814.19600000,1213041524.26080000,20063006.00000000,2026-07-30 11:00:00
18826.12500000,1217910974.17500000,20063006.00000000,2026-07-30 12:00:00
18947.10300000,1228280250.69025180,20063006.00000000,2026-07-30 13:00:00
19036.26600000,1236295482.53490040,20063006.00000000,2026-07-30 14:00:00
19021.01800000,1228778685.91980000,20063006.00000000,2026-07-30 15:00:00
18943.44800000,1224595093.01526780,20063006.00000000,2026-07-30 16:00:00
18988.41800000,1229308005.63561030,20063006.00000000,2026-07-30 17:00:00
19016.55900000,1232152578.53465960,20063006.00000000,2026-07-30 18:00:00
18910.52000000,1221987232.21242710,20063006.00000000,2026-07-30 19:00:00
18740.22900000,1213011174.12534070,20063006.00000000,2026-07-30 20:00:00
18786.98700000,1215591328.14930000,20063006.00000000,2026-07-30 21:00:00
18777.89100000,1214145599.79545280,20063006.00000000,2026-07-30 22:00:00
18721.70200000,1212916204.56343960,20063006.00000000,2026-07-30 23:00:00
18743.10500000,1212959148.65030220,20063006.00000000,2026-07-31 00:00:00
18693.15100000,1208797143.62196800,20063006.00000000,2026-07-31 01:00:00
18660.90500000,1203533201.88450000,20063006.00000000,2026-07-31 02:00:00
18585.47200000,1193708996.26189950,20063506.00000000,2026-07-31 03:00:00
18484.76900000,1188434531.61967020,20063506.00000000,2026-07-31 04:00:00
18482.91900000,1187307599.01390000,20063506.00000000,2026-07-31 05:00:00
18458.77900000,1186635216.60868600,20063506.00000000,2026-07-31 06:00:00
18497.82900000,1186894118.46379690,20063506.00000000,2026-07-31 07:00:00
18113.53600000,1156715918.13120000,20063506.00000000,2026-07-31 08:00:00
18195.08800000,1160004181.82560000,20063506.00000000,2026-07-31 09:00:00
18123.11500000,1153356850.91150000,20063506.00000000,2026-07-31 10:00:00
18046.85100000,1152013514.84460000,20063506.00000000,2026-07-31 11:00:00
18070.61400000,1151575176.00960000,20063506.00000000,2026-07-31 12:00:00
18083.25000000,1151309894.40000000,20063506.00000000,2026-07-31 13:00:00
18228.18600000,1151949313.71097600,20063506.00000000,2026-07-31 14:00:00
18886.74900000,1182093289.78650000,20063506.00000000,2026-07-31 15:00:00
18952.91500000,1186969893.57950000,20063506.00000000,2026-07-31 16:00:00
18962.15000000,1190821056.24751040,20063506.00000000,2026-07-31 17:00:00
18780.90100000,1186231756.60160000,20063506.00000000,2026-07-31 18:00:00
18570.72100000,1170243990.01753500,20063506.00000000,2026-07-31 19:00:00
18505.31500000,1163797409.81850000,20063506.00000000,2026-07-31 20:00:00
18468.31800000,1161376483.76640000,20063506.00000000,2026-07-31 21:00:00
18508.05700000,1163794027.38280000,20063506.00000000,2026-07-31 22:00:00
18483.12700000,1161989595.42908760,20063506.00000000,2026-07-31 23:00:00
18401.73600000,1155783017.96095060,20063506.00000000,2026-08-01 00:00:00
18434.67100000,1158827384.13230000,20063506.00000000,2026-08-01 01:00:00
18410.50200000,1157854881.28200000,20063506.00000000,2026-08-01 02:00:00
18425.76400000,1160587282.22080000,20063981.00000000,2026-08-01 03:00:00
18421.99200000,1159171133.89987160,20063981.00000000,2026-08-01 04:00:00
18390.31200000,1158963293.33677530,20063981.00000000,2026-08-01 05:00:00
18423.90600000,1159749877.27860000,20063981.00000000,2026-08-01 06:00:00
18420.99200000,1160477030.65246220,20063981.00000000,2026-08-01 07:00:00
18445.78100000,1161463070.23914000,20063981.00000000,2026-08-01 08:00:00
18439.12300000,1162490821.71040000,20063981.00000000,2026-08-01 09:00:00
18454.02300000,1162072675.74112400,20063981.00000000,2026-08-01 10:00:00
18458.07500000,1162432343.46750000,20063981.00000000,2026-08-01 11:00:00
18435.98600000,1161415497.23920000,20063981.00000000,2026-08-01 12:00:00
18447.79500000,1162615091.71050000,20063981.00000000,2026-08-01 13:00:00
18440.00500000,1161475062.93350000,20063981.00000000,2026-08-01 14:00:00
18430.67900000,1162093357.74640500,20063981.00000000,2026-08-01 15:00:00
18455.43100000,1161379971.85590000,20063981.00000000,2026-08-01 16:00:00
18438.74500000,1158983911.84550000,20063981.00000000,2026-08-01 17:00:00
18474.60400000,1157211065.01989630,20063981.00000000,2026-08-01 18:00:00
18442.55800000,1152855366.11480000,20063981.00000000,2026-08-01 19:00:00
18505.41800000,1155768834.98260000,20063981.00000000,2026-08-01 20:00:00
18489.00300000,1157215604.36820000,20063981.00000000,2026-08-01 21:00:00
18462.14300000,1158419520.01311970,20063981.00000000,2026-08-01 22:00:00
18471.04200000,1159130220.37887500,20063981.00000000,2026-08-01 23:00:00
18526.40400000,1162451510.75958630,20063981.00000000,2026-08-02 00:00:00
18523.26100000,1162605067.36060000,20063981.00000000,2026-08-02 01:00:00
18567.26100000,1168032968.44020000,20063981.00000000,2026-08-02 02:00:00
18454.69500000,1169510931.54000000,20064465.00000000,2026-08-02 03:00:00
18615.27900000,1180005341.78186250,20064465.00000000,2026-08-02 04:00:00
18621.87700000,1182612093.88820000,20064465.00000000,2026-08-02 05:00:00
18642.17500000,1181596978.02500000,20064465.00000000,2026-08-02 06:00:00
18595.67700000,1179040456.85419960,20064465.00000000,2026-08-02 07:00:00
18624.43500000,1181232411.79203000,20064465.00000000,2026-08-02 08:00:00
18579.00400000,1172726235.71494720,20064465.00000000,2026-08-02 09:00:00
18599.57600000,1175410673.42585870,20064465.00000000,2026-08-02 10:00:00
18636.45100000,1176500515.17900000,20064465.00000000,2026-08-02 11:00:00
18670.92500000,1175465755.56276770,20064465.00000000,2026-08-02 12:00:00
18635.73500000,1175012908.92600000,20064465.00000000,2026-08-02 13:00:00
18663.15300000,1176679025.91681340,20064465.00000000,2026-08-02 14:00:00
18662.31500000,1175596280.72123550,20064465.00000000,2026-08-02 15:00:00
18660.85200000,1176292404.07560000,20064465.00000000,2026-08-02 16:00:00
18747.32800000,1183145172.06112000,20064465.00000000,2026-08-02 17:00:00
18765.65900000,1186562856.29367880,20064465.00000000,2026-08-02 18:00:00
18752.49800000,1187105785.58675150,20064465.00000000,2026-08-02 19:00:00
18793.58700000,1191066413.27327370,20064465.00000000,2026-08-02 20:00:00
18814.51600000,1193123005.96947460,20064465.00000000,2026-08-02 21:00:00
18884.05000000,1199305243.04500000,20064465.00000000,2026-08-02 22:00:00
18900.36700000,1197200063.09053280,20064465.00000000,2026-08-02 23:00:00
18862.02700000,1197585932.08130000,20064465.00000000,2026-08-03 00:00:00
18841.22300000,1191539667.86530000,20064465.00000000,2026-08-03 01:00:00
18788.13300000,1185965243.71417070,20064465.00000000,2026-08-03 02:00:00
18751.16400000,1182540924.46644800,20064946.00000000,2026-08-03 03:00:00
18716.48900000,1174914085.34787540,20064946.00000000,2026-08-03 04:00:00
18750.40400000,1175590329.50720000,20064946.00000000,2026-08-03 05:00:00
18745.72400000,1175979252.83680000,20064946.00000000,2026-08-03 06:00:00
18873.33400000,1180153349.68680000,20064946.00000000,2026-08-03 07:00:00
18927.41900000,1183438765.71690000,20064946.00000000,2026-08-03 08:00:00
19072.43000000,1190954619.95574450,20064946.00000000,2026-08-03 09:00:00
18979.83500000,1190682872.20057030,20064946.00000000,2026-08-03 10:00:00
18936.62300000,1186216055.54619620,20064946.00000000,2026-08-03 11:00:00
18928.13800000,1182402924.58400000,20064946.00000000,2026-08-03 12:00:00
18905.42500000,1183621586.93440130,20064946.00000000,2026-08-03 13:00:00
18689.81600000,1182274773.58320000,20064946.00000000,2026-08-03 14:00:00
19237.45500000,1229084450.04346560,20064946.00000000,2026-08-03 15:00:00
19438.39300000,1236556632.09865430,20064946.00000000,2026-08-03 16:00:00
19615.12400000,1249475552.75040000,20064946.00000000,2026-08-03 17:00:00
19567.32000000,1249073421.73747350,20064946.00000000,2026-08-03 18:00:00
19539.59900000,1246530672.16490000,20064946.00000000,2026-08-03 19:00:00
19521.56400000,1245292765.77929830,20064946.00000000,2026-08-03 20:00:00
19577.55100000,1247543252.81471010,20064946.00000000,2026-08-03 21:00:00
19546.47100000,1241877509.58154630,20064946.00000000,2026-08-03 22:00:00
19543.29700000,1241819590.26210950,20064946.00000000,2026-08-03 23:00:00
19526.61300000,1239078801.86670000,20064946.00000000,2026-08-04 00:00:00
19550.87100000,1237271005.97370000,20064946.00000000,2026-08-04 01:00:00
19526.73800000,1245215527.58646180,20064946.00000000,2026-08-04 02:00:00
19571.26200000,1247687523.76200000,20065409.00000000,2026-08-04 03:00:00
